sentence,emotion category
"বিখ্যাত মৃৎশিল্পী।
",5
" পরিবারের সঙ্গে কোনো যোগাযোগ নেই বহুবছর।
",3
"মান গেলে অভিমান আরো জবরদস্ত হয়।
",5
"তাই কাউকেই জানতে দিতো না সে কোথায় তার আদি বাসস্থান বা তার বংশ পরিচয়ই বা কি?
",5
"এমনকি নিজের নামের পাশে পদবি টুকুও ব্যবহার করতো না সে?
",5
"নিজের মনে গৃহের এক কোণে আপন শিল্পের কাজে তন্ময় হয়ে থাকতো সে।
",5
" তখন তার কল্পনাতেও ছিলনা যে কারোপ্রতি কোনো আকর্ষণ তাকে আবার পার্থিব জগতে নতুন কোনো স্বাদ এনে দিবে, যা তাকে নতুন করে স্বপ্ন দেখতে শিখাবে।
",5
"একদিন সেও ঘর বাঁধবে কাউকে নিয়ে।
",5
" প্রথম থেকেই পাড়াতে তুহিন বাবুর ছোট্ট মেয়ে বৃন্দার মধ্যে মেয়ের চেয়ে ছেলে ছেলে বা পুরুষালি চালচলন ছিলো প্রকট।
",5
"কিন্তু পরিবারের সকলেই জানে এবং সে নিজেও জানে সে মেয়ে।
",5
"তার বাবা অবশ্য তাকে বলতেন, ""এটা আমার ছেলে।
",5
""" বৃন্দা বলতে তিনি ছিলেন অজ্ঞান।
",5
" বৃন্দা অবশ্য গর্ব করার মতোই মেয়ে।
",5
"পড়াশুনোতে তেমন মেধাবী না হলেও খেলাধুলোতে তার জুড়ি মেলা ভার।
",5
" বিশেষত ফুটবল খেলাতে অসাধারণ দক্ষতা ছিল তার।
",5
"আর একটি কাজ সে ছোটো থেকেই করতো।
",5
"সেটা হ'ল মূর্তি তৈরি।
",5
"দারুণ সুন্দর মূর্তি গড়তে পারতো সে।
",5
"সবাই অবাক হয়ে যেত তার কাজ দেখে।
",5
" বাবার বাইকে চেপে পাড়ার লোকের কার কি অসুবিধা , কার কি প্রয়োজন সব মুশকিলআসান করার দায়িত্ব সে স্বেচ্ছায় নিজের কাঁধে নিয়েছিল।
",5
" সেল্ফ ডিফেন্স ট্রেনিং দেওয়া মেয়ে সে।
",5
"ভয় তার রক্তে নেই।
",5
"পাড়ায় সে বৃন্দা ওস্তাদ বলে পরিচিত।
",5
"অবশ্য লুকিয়ে অনেকেই বলে বৃন্দা মস্তান।
",5
"অনেকের আবার আক্ষেপের এবং চিন্তার শেষ নেই।
",5
" অমন ভালো মানুষ তুহিন বাবুর নাকি এমন একটি মস্তান গুণ্ডা মেয়ে জন্মালো!ছেলে হলেও না হয় কথা ছিল।
",5
"এ যেন শৃগালী হল সিংহ।
",5
" এ নিয়ে অবশ্য তুহিন বাবুকে কোনোদিন বিন্দুমাত্র আক্ষেপ করতে শোনা যায় নি।
",5
"বরং যেদিন মুচিপাড়ার তিলকের মেয়েটাকে কয়েকজন গুণ্ডা বে আব্রু করার চেষ্টা করতে গিয়ে বৃন্দার কাছে বেধড়ক মার খেয়ে পিঠটান দিতে বাধ্য হয়েছিল,সেদিন গর্বে তুহিনবাবুর বুক ফুলে উঠেছিলো।
",5
" এরমধ্যেই বিদ্যালয়ের ফুটবল টীমে বৃন্দা হয়ে উঠেছিল অপরিহার্য।
",5
"বাইরে অনেক জায়গাতে এমনকি জেলাতে খেলেও ট্রফি জিতে এনেছে সে।
",5
" সে যেন একাই একশো।
",5
" পাড়ার অনেকে যেমন তাকে খুব ভালোবাসে, অনেক ঈর্ষাপরায়ণ মানুষ আবার তার কি করে ক্ষতি করা যায় তা ভেবে ভেবেই অস্থির।
",5
" কিন্তু নিজের পায়ের যাদুতেই বড় ক্লাবের হয়ে খেলার সুযোগ হয়ে গেল বৃন্দার।
",5
"চোখে পড়ে গেলো সে মিঃ রনেন্দ্র গুহের।
",5
"তিনি সেই ক্লাবের কর্ণধার।
",5
" তিনিই কোচিং নেওয়ার ব্যবস্থা করে দেন বৃন্দার।
",5
"দিনে দিনে অপ্রতিরোধ্য খেলোয়াড় হয়ে উঠতে থাকে সে।
",5
" বেঙ্গলের হয়ে খেলে সে।
",5
"ব্যাংকক এশিয়াডে ভারতের হয়ে প্রতিনিধিত্ব করতে হবে,খবর পায় সে ১৯ শে ফেব্রুয়ারি।
",5
" সে তখন আনন্দে উদ্বেলিত।
",5
"তার পরিবার তখন আনন্দে আপ্লুত।
",5
" এয়ারপোর্টে গিয়েই কিন্তু বিনা মেঘে বজ্রপাত ঘটার মতোই ঘটনা ঘটে।
",5
"তার তখন আইডেন্টিটি ক্রাইসিস।
",5
" কারন তাকে বলা হ'ল ক্রোমোজোম টেস্ট করাতে হবে।
",5
"পরীক্ষা দিতে হবে সে ছেলে না মেয়ে।
",5
"পায়ের তলার মাটি সরে যায় তার।
",5
" এ আবার কেমন প্রশ্ন?
",5
" যাই হোক টেস্ট করানো র কথা শুনে অদ্ভুত , অবুঝ এক ভয় ঘিরে ধরে তাকে?
",5
"ঐ পরীক্ষা সম্পর্কে কোনো জ্ঞানও তো ছিলোনা তখন তার।
",5
"বাধ্য হয়ে ফিরে আসে সে নিজের বাড়িতে।
",5
"বাবা এত বড় শোক সামলাতে না পেরে সেরিব্রাল attack হয়ে মারা যান।
",5
"বিধ্বস্ত , বিপর্যস্ত বৃন্দা তখন বড় একা হয়ে পড়ে।
",5
"চারিদিকে অপমান,লাঞ্ছনা, গঞ্জনা, টীকাটিপ্পনী তে অস্থির হয়ে ওঠে সে।
",5
"বাইক ই তখন যেন তার একমাত্র বন্ধু।
",5
"তাই তাকে নিয়ে উদ্দেশ্যহীনভাবে ঘুরে বেড়াই সে।
",5
"একদিন হঠাৎই এক গলির মুখে প্রচণ্ড স্পীডে গাড়ি চালাতে গিয়ে মিষ্টি নামের একটি মেয়েকে ধাক্কা মারে সে।
",5
"ছিটকে পড়ে যায় মেয়েটি।
",5
