"sentence","emotion category"
"প্রথম অধ্যায়ঃ ""বাবার অনন্তযাত্রার সময়ে এত ছোট ছিলাম বুঝতে পারিনি আমি কী হারালাম।
","5"
" কিন্তু পরবর্তীতে যখন আমি সবে ক্লাস এইটে উঠেছি পর পর দুটি মৃত্যু, বিশেষ করে দুর্গার মৃত্যু আমাকে প্রথম বুঝতে শেখায় মৃত্যু কত নির্মম ও নিষ্ঠুর।
","5"
" দুর্গার মৃত্যুর আঘাতে সেদিন সারাদিন অভুক্ত ছিলাম, কিছু খেতে ইচ্ছে করেনি।
","5"
" মা-কে বলেছি বন্ধুর বাড়িতে খেয়ে এসেছি""।
","5"
" কানে বেজেছিল চুড়ির শব্দ, চায়ের কাপ মাথার কাছে টেবিলে রাখার শব্দ, কাপ ঢেকে রাখার শব্দ ।
","5"
" কোলকাতার মানিকতলায় সেদিন সকাল বেলা বিছানায় বন্ধ চোখে চুপচাপ শুয়ে ছিলাম ।
","5"
" পড়তে এত ভালবাসি তবুও পড়ায় মন বসছিলনা, হাতের বইটা বুকে রাখা ! রাস্তায় সাইরেন বাজিয়ে একটা পুলিশের গাড়ি ছুটে যাওয়ার শব্দ মিলিয়ে গেলে মাথার চুলের হালকা  মিষ্টি সৌরভে বুঝেছিলাম বৌদির  আগমন ও নিঃশব্দ পদচারণা ।
","5"
" সেদিন সকাল বেলায় আমার গায়ে গা ছুঁয়ে বিছানায় বসলে চোখ খুলে স্খলিত-বসনা প্রমীলাটিকে বিভূতিভূষণ বন্দ্যোপাধ্যায়ের ""পথের পাঁচালী""  থেকে দুর্গার মৃত্যুর শোক শোনাতে শুরু করি।
","5"
" বৌদি হঠাৎ আমার হাতটা টেনে নিয়ে হাতের রেখা দেখতে দেখতে জানতে চেয়েছিলেন দু'টো মৃত্যুর অন্যটা কার।
","5"
" বলেছিলাম দেবদাসের।
","5"
" হাতিপোতা গ্রামে একটা বট গাছের নিচে দেবদাসের করুণ নিষ্ঠুর প্রয়াণ আমার তরুণ হৃদয়কে ক্ষতবিক্ষত করে।
","5"
" তারপরে বলেছি ভাগ্যরেখা আমি চিনিনা।
","5"
" গল্প থেকে গল্পে, হাসি থেকে রিরংসা হাসিতে শ্রাবণ সন্ধ্যার কালো মেঘ একটু একটু করে এসে জমা হতে হতে সেদিন সকাল বেলার আশ্বিনের মেঘশূন্য নীল আকাশ অন্ধকারে ঢেকে দিল।
","5"
