"sentence","emotion category"
"হৃদ - মাঝারে সংঘমিত্রা রায়চৌধুরী ------------------------------ প্রেমের ঈশ্বরপ্রাপ্তি -------------------------------- আবীর স্যারের সাথে কেকাদের যোগাযোগ করিয়ে দিয়েছেন কেকার ছোটপিসি।
","5"
" আবীর স্যারই এই ""হৃদমাঝারে রাখব"" সেন্টারের ইনচার্জ।
","5"
" গত রবিবার ছোটপিসি নিজেও কেকাদের সঙ্গে এসেছিলেন এখানে।
","5"
" প্রতিবন্ধকতা নিয়ে বেশ কিছু ছোট ছোট ছেলেমেয়েরাও এখানে থাকে।
","5"
" প্রথমদিন সিস্টাররা হাতে ধরে প্রতিটি সিঁড়ি, বারান্দা, ঘর, বাথরুম, ক্লাসরুম...  প্রতিটি জায়গা চিনিয়ে বুঝিয়ে দেন।
","5"
" পুরোটাই অঙ্ক।
","5"
" অঙ্কের হিসেবটা মনে রাখলেই সব খুঁজে নিতে পারবে সে, একথাটা কেকাকে বোঝানো হয়েছে।
","5"
" কেকাও বুঝেছে।
","5"
" কেকা এও লক্ষ্য করে দেখেছে এই দু'ছরে তার অন্যান্য ইন্দ্রিয়গুলি অনেক বেশি সজাগ ও সচেতন হয়ে উঠেছে, আগেকার তুলনায়।
","5"
" সেন্টারের আয়াদিদিদের সাহায্য কেকা নেয়ই না, মানে নিতে চায় না।
","5"
" নিজেই চেষ্টা করে।
","5"
" কেকা যদিও উচ্চ মাধ্যমিক পরীক্ষাতে খুব ভালো ফল করেছিল, তবুও তার পড়াশোনায় দীর্ঘ এক ছেদ পড়েছিল, প্রায় দু-দুটো বছরের ছেদ।
","5"
" বিশ্রী এক দুর্ঘটনায়।
","5"
" হ্যাঁ, দুর্ঘটনাই তো।
","5"
" অযাচিত প্রেমের প্রস্তাব প্রত্যাখ্যান করেছিল কেকা।
","5"
" তার ফল হলো ভয়ঙ্কর।
","5"
" কেকা অ্যাসিড আক্রান্ত হল, প্রত্যাখাত ছেলেটি তার সাঙ্গপাঙ্গদের নিয়ে ঘটিয়ে ফেলল আক্রমণ।
","5"
" প্রাণে বেঁচে গেছে কেকা।
","5"
" দীর্ঘ চিকিৎসা আর বাবা মায়ের অমানুষিক পরিশ্রমের ফলে, আর টাকার জোরে।
","5"
" তবে দুচোখের দৃষ্টি হারিয়েছে চিরতরে।
","5"
" সুতরাং এখন তাকে পরবর্তী পড়াশোনা চালিয়ে যাওয়ার জন্য ব্রেইল পদ্ধতিতে পড়তে লিখতে শিখতে হবে।
","5"
" সেই জন্যেই তার এই সেন্টারে আসা।
","5"
