"sentence","emotion category"
"  অনেকক্ষন ধরে একা একা বসে আছি অফিসে।
","5"
" আজ মনে হয় আমিই একটু তারাতারিই এসে পরেছি।
","5"
" হঠাৎ এক কলিগের (রাশেদ) আগমন, তার সাথে দুজন অচেনা লোক।
","5"
" অফিসে এদের আগে কখনো দেখেছি বলে তো মনে হয়না।
","5"
" রাশেদ ভাইয়া আমায় ডাকলো ওদের সাথে পরিচয় করিয়ে দেওয়ার জন্য।
","5"
" তারা নাকি এ অফিসে নতুন।
","5"
" বিপ্লব আর কিরন।
","5"
" মোটা ফ্রেমের চশমার নিচ দিয়ে বিপ্লব আমার দিকে তাকালো।
","5"
" দেখে মনে হলো খুব লাজুক প্রকৃতির।
","5"
" আমি সালাম দিলাম।
","5"
" কেন জানি নির্লজ্জের মত তাকিয়ে থাকলাম তার দিকে বেশকতক্ষন।
","5"
" নাহ্ তেমন নজরকাড়া সৌন্দর্যের অধিকারী নয় সে।
","5"
" তবে মুখটার মধ্য কোথায় যেন একটা অদ্ভুদ মায়া লেপটে আছে।
","5"
" বিশেষ করে তার চোখ দুটোতে।
","5"
" একবার তাকালে তাকিয়েই থাকতে ইচ্ছে করে।
","5"
" এমা... আমার পরিচয়ই তো দেওয়া হয়নি।
","5"
" আমি তিথি।
","5"
" উচ্চমাধ্যমিক পরীক্ষা দেওয়ার পর নিজের খামখেয়ালির জন্য বিশ্ববিদ্যালয়ে ভর্তি হতে পারলাম না।
","5"
" যাই হোক, একটা বছর অন্তত নাকে তেল দিয়ে শান্তিতে ঘুমাতে পারবো।
","5"
" আমি অবশ্য যা পরিকল্পনা করি সব সময়ই হয় তার উল্টা।
","5"
" বাবা মা বিয়ে দেওয়ার জন্য পাগল হয়ে গেল।
","5"
" চলতে থাকে মায়ের ছেলে দেখা।
","5"
" উফফ্, কি বাজে একটা অভিজ্ঞতা।
","5"
" ছেলে পক্ষ থেকে দেখতে আসবে আর আমি কিনা তাদের সামনে গিয়ে সং সেজে বসে থাকব।
","5"
" এই পর্যন্ত অনেক গুলো ছেলেকে প্রত্যাখ্যান করেছি।
","5"
" কিন্তু এইভাবে আর কত?
","5"
" মাথায় অন্যকিছু ঘুরতে লাগলো?
","5"
" ভাবলাম ঢাকায় গিয়ে যদি ছোটখাট একটা চাকরি করে নিজের পড়াশোনাটা চালিয়ে যেতে পারি তাহলে মন্দ কি।
","5"
" এমনেতেও তো এক বছর আমি ফ্রী ই আছি।
","5"
" এখন কোন চাকরি করি।
","5"
" এক বছর পর ঢাকার কোন বিশ্ববিদ্যালয়ে ভর্তি হয়ে যাব।
","5"
" মাকে এই কথা বলতেই আমাকে কি ঝারা টাই না ঝারল।
","5"
" মাঃ আমাদের কি টাকার অভাব?
","5"
" যে তুই চাকরি করে নিজের পড়াশোনা চালাবি?
","5"
" আর তুই কিভাবে ভাবলি আমি তোকে একা একা ঢাকায় গিয়ে চাকরি আর পড়াশোনা করতে দিব?
","5"
" ছেলে হলেও একটা কথা ছিল?
","5"
" দেখ তোর বিয়ের বয়স হয়েছে তাই বিয়ে দিব।
","5"
" বিয়ের পর শশুরবাড়ি থেকে পরতে দিলে দিবে আর না দিলে গুছিয়ে নিজের সংসার করবি, ব্যাস।
","5"
" আমি আর কোন অজুহাত শুনতে চাই না।
","5"
" আমারতো মাথায় আকাশ ভেঙে পড়ল।
","5"
" কি করব কিছুই বুঝতে পারছিলাম না।
","5"
" দূরসম্পর্কের এক ভাইয়াকে বললাম, মাকে একটু বুঝিয়ে বলতে।
","5"
" উনি আমার কথা শুনে আমায় আশ্বাস দিয়ে বললেন মাকে নাকি বুঝিয়ে বলবেন।
","5"
" যেই কথা সেই কাজ।
","5"
" পরের দিন মাকে ফোন দিয়ে বললো তাদের বাসার পাশেই নাকি একটি কম্পিউটার প্রশিক্ষণ কেন্দ্র আছে, আমাকে যেন তাদের বাসায় পাঠায়।
","5"
" যে এক বছর ফ্রী থাকব শুধু শুধু যাতে বসে না থাকি।
","5"
" কিছু একটা শিখতে পারি।
","5"
" মাতো কিছুতেই রাজি হচ্ছিল না।
","5"
" যাই হোক অনেক বুঝানোর পর কোন মতে রাজি হলো।
","5"
"  বুঝতে পারলাম মন থেকে মা বিষয়টা মেনে নিতে পারছিল না।
","5"
" মাঃ ঢাকায় যাওয়ার কি খুব দরকার ছিল?
","5"
" আমিতো তোকে বললাম বিয়ে নিয়ে আর কোন কথা বলবোনা তোর সাথে?
","5"
" আমাকে ছেড়ে তো কখনো কোথাও গিয়ে থাকিস নি।
","5"
" আমাকে ছাড়া থাকতে পারবি?
","5"
" (আমার ব্যাগ গুছিয়ে দিতে দিতে মা কথা গুলো বলছিল?
","5"
") - উফফ মা আমি কি এখনো ছোট্ট আছি নাকি যে থাকতে পারব না?
","5"
" প্লিজ আমার যাবার সময় তুমি এমন মন খারাপ করে থেক না?
","5"
" আমি তোমাকে প্রতিদিন ফোন করব।
","5"
" ঢাকায় যাওয়ার পর ভাইয়ার বন্ধুর অফিসে জয়েন করলাম।
","5"
" দিনগুলো ভালই কাটছিল।
","5"
