"sentence","emotion category"
"শুধু তোর জন্যে... কলমে মন কথা ওই !! বই থেকে বদন টা সরিয়ে এটা দেখ! বলছি যে.. ----- বলে যা! শুনছি সব।
","5"
" আরে! আঁতেল এইটা দেখার জিনিস! তোর বাড়ি থেকে না ডাকাতি করে বই গুলো কে সরাবো দেখিস স্নেহা! বলেই হুট করে বইটা কেরে নিল ও।
","5"
" ---- তপা বই টা দে।
","5"
" তুই যা বলবি আমি করে দেবো,, এখন দিয়ে দে না ।
","5"
" শালা! এত পরে কি হবে রে?
","5"
" সেই তো একদিন মরেই যাবি?
","5"
" বইটা নিয়েই ঝট করে ক্লাস থেকে বেরিয়ে এলো তপা,, আর ওর পেছনেই এলো স্নেহা।
","5"
" কলেজ করিডোরে দেখা হয়ে গেলো বাকিদের সাথে।
","5"
" তুই আবার স্নেহা কে বিরক্ত করছিস?
","5"
" সত্যি কি মেয়ে ভাই! ডোডো হাসতে হাসতে বললো তপাকে?
","5"
" ওদের কলেজের গ্রুপ তার নাম ছিল সপ্তপদী।
","5"
" ডোডো মানে দামন রায়, রাজ মানে রঙ্গনাথ চক্রবর্তী , কুমু : কুমুদিনী মিত্র, নাড়ু : সীমান্ত দাস, টপ্পা : টিকলি রায়, সাবু মানে সাবির দাস।
","5"
" আর এই টার প্রধান উদ্যোক্তা ওই তনুরুপা চৌধুরী ওরফে তপা।
","5"
" সাধারণ মেয়ের মতো চাল চলন নয় একেবারেই।
","5"
" ৫""৩' উচ্চতর ফর্সা মেয়টির বয়েজ কাট চুল।
","5"
" ছোটবেলায় করিয়ে দেওয়া বল কানের।
","5"
" আর রিমলেস চশমা।
","5"
" গেঞ্জি আর জিন্স পরে দাড়ালে কলেজে অনেকেই ভ্য়ে কাপবে।
","5"
" একটু নীতিবিরুদ্ধ কিছু দেখলে হাত পা নির্দ্বিধায় চালিয়ে দিতে পারে ও।
","5"
" তাই ডাক নাম টা তনু র চেয়ে তপা টাই বেস্ট এমন তাই মনে হয়ে ছিলো ডোডো র।
","5"
" স্নেহা পরে এসেছে।
","5"
