"sentence","emotion category"
"শীতের রাতে অন্য পাড়ায় ল্যাম্প পোস্টের নিচে সাইকেল নিয়ে অনেকক্ষন দাঁড়িয়ে | রাত প্রায় দশটা | চারিদিক কুয়াশার চাদরে ধীরে ধীরে ঢেকে যাচ্ছে | সায়কের কেমন যেন ভয় ভয় করছিল | ছোট্ট চিরকুটটা পেয়ে সব ভুলে ছুটে এসেছিল | এখন মনে হচ্ছে না এলেই ভাল করত এতো রাতে | দু'একটা পাড়ার নেড়ি কুকুর ঘেউ ঘেউ করে একটু ভয় দেখিয়ে চলে গেল | প্রায় পঁয়তাল্লিস মিনিট অপেক্ষা করার পর সায়ক দেখল সামনের বড় বাড়িটা থেকে কুয়াশা ভেদ করে ধুসর চাদরে মোড়া একটা ছায়া মুর্তি এগিয়ে আসছে | ওর বুকের ভেতরটা ধক্ করে উঠল | রিনি আসছে।
","5"
" খুব দ্রুত কিন্তু সন্ত্রস্ত ভাবে | সায়ক হাসিমাখা মুখে বলল - কি হল ?
","5"
" হঠাৎ ডাক পাঠালি ! রিনি চাপা স্বরে বলল - তো, আগে একদিন না দেখতে পেলে পাগল হয়ে যেতিস | অথচ আজ প্রায় পনেরো দিন দেখা নেই ?
","5"
" - না রে, ফোর্থ সেমিস্টার সামনে ! তা হঠাৎ তলব কেনো মহারানীর ?
","5"
" - এত রাতে মজা করতে ডাকিনি নিশ্চয় | বাড়ি ভরতি আত্মীয় | সবাই ঘুমনোর পর বেরতে পারলাম | সায়ক চোখ ঘুরিয়ে মজার ছলে বলল - ওমা ! যদি মা এর ঘুম ভেংগে যায় !! পাশে সোনামনিকে না দেখে তো কেঁদে আকুল হবে?
","5"
" রিনি কথাটা পাশ কাটিয়ে গেল | বলল -  কিছু একটা কর ।
","5"
" প্লিজ আমার খুব বিপদ ।
","5"
" - মানে ?
","5"
" - তোকে মানেটা বলতে হবে ?
","5"
" রিনির গলায় অসহিষ্ণুতা আর ঝাঁঝ ঝরে পড়ছিল ।
","5"
" - ওহ, সেই গড়িয়াহাটের বিজনেস ম্যান | আরে মালদার পার্টি | গলায় ঝুলে পর | সারাজীবন টাকার গদিতে শুয়ে থাকবি | পরস্থিতিটাকে লঘু করার উদ্দেশ্যেই সায়ক বলল কথাগুলো | রিনি একটু চুপ করে থেকে বলল - সায়ক, কাল বাড়ির লোকজন ‘ছেলে আশীর্বাদ‘ করতে যাচ্ছে | আবেগে রিনির গলার স্বর বুজে আসছিল | - তুই জানাস নি কেন আগে ?
","5"
" সায়কের গলায় ক্ষোভ ?
","5"
" - মা'কে অনেকবার বুঝিয়ে ছিলাম | বি এ অনার্সটা পাশ করতে দাও | এম এ তে একবার চান্স পেয়ে যাই | আর তো মাত্র এক-দেড়টা বছর | তারপর তোমরা যা বলবে শুনবো | - আমি কি আর করতে পারি বল ?
","5"
" - আমার বাবাকে জানিস তো ! আমার বলার ক্ষমতা নেই | তুই বল ...... কাল সকালেই তুই আয় | বাবাকে বল সব কথা ?
","5"
" - তুই কি পাগল হয়ে গেছিস ?
","5"
" - আমার কাছে আর কোনো রাস্তা খোলা নেই রে | নইলে আমাকে কঠিন কোনো সিদ্ধান্ত নিতে হবে | - পাগলামি করিস না রিনি | টেক্সটাইল ইঞ্জিনিয়ারিং পড়ে এই বাজারে চাকরি করব, না মাঠে বসে ঘাসের কার্পেট বুনবো, জানি না | - আজ নয় তো কোনোদিনই নয় | আমি খাদের কিনারায় দাঁড়িয়ে আছি সায়ক | - মানে ?
","5"
" - আজ এই মুহুর্তে আমি আর কিছু বলতে পারব না | তবে তোকে বাদ দিয়ে আমার জীবন আর চলতে পারে না | - রিনি প্লিজ !! একটু বোঝার চেষ্টা কর | - তুই কাল সকালে আয় | ইঞ্জিনিয়ারিং তো পড়ছিস | মাকে সব খুলে বলব আজ রাতে | চেষ্টা করব বাবাকে বোঝাতে | আর কোনো রাস্তা খোলা নেই রে ... - রিনি আমার পাঁচ বছরের বছরের বড় দাদা আছে | যাদবপুর থেকে মেকানিক্যাল পড়ে আজ এস্টাব্লিশড | তার বিয়ে হয়নি | পিঠেপিঠি বোন আছে একটা ..... - তোর আর কিছু বলার আছে ?
","5"
