"sentence","emotion category"
"#ব্লক #শর্মিষ্ঠা_মজুমদার (নূপুর)# ""এই যা! এই মেয়েটা কি পাগল পান থেকে চুন খসলেই দুম করে ফেসবুকে, হোয়াটস অ্যাপে ব্লক করে রাখে।
","5"
" এই তো সবে খুললো আবার ব্লক।
","5"
" আর পারা যায় না।
","5"
" ফোন ছাড়া গতি নেই।
","5"
" তাও ফোনটা রিসিভ করলে হয়।
","5"
""" অভি রাগে গজগজ করতে করতে ফোনটা রিং করলো।
","5"
" না, সাড়া নেই কোন ওপাশে।
","5"
" অভি বুঝলো আবার চলবে কিছু দিন।
","5"
" কিন্তু ওর দোষটা কোথায় বুঝে উঠতে পারলো না।
","5"
" গত দুদিনের সমস্ত কিছু খুঁটিয়ে জাবর কাটার মতো মনে করলো কিন্তু পরীকে কিছু বলেছে বা তেমন কিছুই মনে পড়লো না যাতে ওকে ব্লক করতে হবে।
","5"
" যাক গে।
","5"
" দুদিন পরেই ঠিক হয়ে যাবে।
","5"
" আজ ক্লাবে পিকনিক।
","5"
" অভিকেই সবটা সামলাতে হয়।
","5"
" অনেক কাজ।
","5"
" টাকা নিয়ে সৌম‍্যর সাথে মাংস আনতে যাবে।
","5"
" তাড়াতাড়ি স্নান করতে ঢুকলো।
","5"
" অর্ধেক স্নান না হতেই ফোনটা করুণ আর্তনাদ করে উঠলো।
","5"
" অভি মনে মনে ভাবলো ""ইস, যেন পরীর ফোন না হয়।
","5"
" এমনি কেন রেগে কে জানে তার উপর যদি ফোনটা না ধরতে পারে তো হয়ে গেল।
","5"
""" স্নান সেরে বেরিয়ে দেখলো ঠিক তাই, যা ভেবেছিল পরীর ফোন।
","5"
" ব‍্যস, এবার ধুন্ধুমার লাগবে পরীর সাথে।
","5"
" তাড়াতাড়ি পরীকে ফোন করলো ঘুরিয়ে।
","5"
" ""কোথায় ছিলি।
","5"
" আমার ফোন ধরতে ইচ্ছা করে না।
","5"
" তা করবে কেন?
","5"
" এখন যদি তোর স্বপ্না হতো ওমনি ধরতিস?
","5"
""" ওপাশ থেকে পরীর ধমকে কানে তালা লেগে গেল।
","5"
" ""আহ পরী, কতদিন বলেছি স্বপ্না শুধুই আমার বন্ধু।
","5"
" সবসময় ওকে টেনে আনিস না আমাদের মাঝে।
","5"
" তাছাড়া আমি স্নানে গেছিলাম।
","5"
" তুইও তো আমার ফোন ধরিসনি।
","5"
" আমি কিছু বলেছি?
","5"
""" কথাটা শেষ হয়নি অভির?
","5"
" ওপাশ থেকে তীব্র গর্জন ""ও তাই বাবুর বদলা নেওয়া হচ্ছিল।
","5"
" আমি ধরিনি বলে তুইও ধরবি না ফোনটা আচ্ছা বেশ।
","5"
""" বলেই কিছু বোঝার আগে দুম করে ফোনটা কেটে দিলো পরী।
","5"
" বড্ড বেশী বাড়াবাড়ি হচ্ছে।
","5"
" আর পাত্তা দেবে না অভি পরীকে।
","5"
" কাহাতক সহ‍্য হয়।
","5"
" পিকনিকটাই মাটি হবে তার চেয়ে পিকনিকে মনসংযোগ করাই ভালো।
","5"
" সৌম‍্যকে ফোন করে বেরিয়ে পড়লো অভি।
","5"
" সব আয়োজন করতে করতে বেশ বেলা হয়ে গেল।
","5"
" রাতে পিকনিক তাই আগেই সব জোগাড় করে বাড়িতে রওনা দিলো দুপুরে খেয়ে একটু ঘুমিয়ে নেবে।
","5"
" রাত জাগতে হবে।
","5"
" বাড়িতে ঢুকতেই কিল, চড়, ঘুষি।
","5"
" ""আরে আরে পরী করিস কি?
","5"
" লেগে যাবে যে?
","5"
""" পরীর দুহাত চেপে ধরে অভি।
","5"
" ""আমি সারাদিন ফোন করছি আর বাবু পিকনিক করছেন ক্লাবে।
","5"
""" বলে হাতেই কামড় বসালো পরী।
","5"
" ""উফ।
","5"
" যন্ত্রণায় ছেড়ে দিলো অভি।
","5"
" ""ফোন?
","5"
" কোথায় ফোন দেখ তো?
","5"
" ফোন করলে শুনবো না।
","5"
""" ফোনটা বের করে খুলতেই দেখলো বারোটা মিসকল পরীর।
","5"
" মনে পড়লো মাংস কেনার সময় জোর ঝগড়া লেগেছিল দোকানদারের সাথে।
","5"
" তখনই ফোনটা আসায় রাগে সাইলেন্ট করেছিল।
","5"
" আর মনে নেই ঠিক করতে।
","5"
" পরী তখনও রাগে ফুসছে।
","5"
" ""শোননা ভুল হয়ে গেছে।
","5"
" ফোনটা সাইলেন্ট মোডে ছিল।
","5"
""" হাতটা চেপে ধরে বলে অভি।
","5"
" ""দেখতো কি করলি।
","5"
" আজ পিকনিক সবাই খেপাবে রাক্ষসী আবার রক্ত খেয়েছে বলে।
","5"
" কি যে করিস না?
","5"
""" পরী উঠে গিয়ে কান মুলে বলল ""ধরলি না কেন আমার ফোন?
","5"
""" ""উফ! বললাম তো সাইলেন্ট ছিল?
","5"
" তাছাড়া তোর তো লেগেই আছে।
","5"
" কথায় কথায় ব্লক।
","5"
" ফেসবুকে ব্লক, হোয়াটস অ্যাপে ব্লক।
","5"
" এবার ফোন নম্বরটাও ব্লক কর।
","5"
" ষোলোয়ানা পূর্ণ।
","5"
""" অভি ধপ করে বিছানায় বসে বলল।
","5"
" ""তুই তো তাই চাস।
","5"
" তাহলে স্বপ্নার সাথে প্রেমটা ভালো জমে।
","5"
""" পরী গভীর দৃষ্টিতে তাকিয়ে বলল।
","5"
" ""আবার স্বপ্না?
","5"
" তোকে কতবার বলবো স্বপ্না শুধু বন্ধু?
","5"
""" অভি এবার সত্যিই রেগে বলল।
","5"
" ""হ‍্যাঁ বন্ধু।
","5"
" ও ছবি দিলেই লাভ স্টিকার।
","5"
" তেইশটা কমেন্ট শুধু তোর একার।
","5"
""" এতক্ষণে ব্লকের ব‍্যাপারটা মাথায় এলো অভির।
","5"
" হেসে বলল ""এই জন‍্য ব্লক।
","5"
" উফ তুই পারিস।
","5"
" এর জন‍্য আমায় ব্লক।
","5"
" তুই সত্যিই পাগল।
","5"
" আরে ও তো কোথায় ভর্তি হবে সেই নিয়ে কথা বলছিল।
","5"
" কমেন্ট পড়ে দেখতিস।
","5"
""" ""আমার অতো সখ নেই লোকের কমেন্ট পড়ার।
","5"
" আর তোর এতো পান্ডিত্য ফলানোরই বা কি আছে?
","5"
" আর লোক নেই?
","5"
""" বাড়িতে রাম রাবণের যুদ্ধ প্রায়ই লেগে থাকে।
","5"
" পাশাপাশি দুটো বাড়ি।
","5"
" এ বাড়ি থেকে ডাকলে ও বাড়িতে আওয়াজ যায়।
","5"
" তবুও আজ এই কাল ওই নিয়ে মারামারি, কথা বন্ধ।
","5"
" এ বাড়ির ছাদ টপকে ও বাড়ি গিয়ে অভি মেরে আসে পরীকে।
","5"
" পরীও কম না।
","5"
" যখনই সুযোগ পায় অভির কাজের জিনিস নষ্ট করে বদলা নেয়।
","5"
" আবার এক জনকে যদি কেউ কিছু বলে সে বাড়ির লোক হোক বা অন‍্যজন তখন আবার একে অপরের ঢাল হয়ে দাঁড়ায়।
","5"
" এই তো সেদিন পরী তানিয়ার সাথে সিনেমা দেখতে গিয়ে দেরী করে বাড়ি ফিরলো।
","5"
" ক্লাব থেকে অভিকে ডেকে এনে ঢাল করে বাড়ি ফিরলো।
","5"
" সবাই ভাবলো অভির সাথে গেছিল সিনেমা দেখতে সবাই মিলে অভিকে বকল।
","5"
" সারাক্ষণ মারামারি হলে হবে কি, পড়াশোনায় ছোট থেকেই কে কার চেয়ে ভালো করবে সেই প্রতিযোগিতা।
","5"
" দুজনেই একই স্কুলে পড়েছে।
","5"
" স‍্যার, ম‍্যাডামরা দুজনকেই খুব ভালোবাসেন।
","5"
" প্রত‍্যেকবার চাপা উত্তেজনা থাকে কে প্রথম হবে।
","5"
" অথচ একে অপরকে ছাড়া চলেও না।
","5"
" পিকনিকের দিন তো পিকনিকের ছবি দিতে গিয়েও দিল না অভি।
","5"
" এক তো ব্লক এতো তাড়াতাড়ি খুলবে না।
","5"
" আর এখন ছবি দিলেও কেউ যদি একটু এদিক ওদিক কমেন্ট করে পরী ছিঁড়ে খাবে।
","5"
" আবার ব্লক।
","5"
" এটা কেমন যেন ছোট বেলার সেই আড়ি ভাবের মতো।
","5"
" কথায় কথায় আড়ি, কথায় কথায় তেমন ব্লক।
","5"
" ""কি আশ্চর্য পরী।
","5"
" এই তো খুললি ব্লক।
","5"
" আমি তো তোর জন‍্য পিকনিকের ছবি গুলো পর্যন্ত আপলোড করি নি।
","5"
" আমার সব বন্ধুরা দিয়েছে।
","5"
" আমি তোর জন‍্য দিই নি।
","5"
" তাও তুই ব্লক করেছিস আবার।
","5"
" তোর মাথায় কি ছিট আছে?
","5"
""" অভি সত্যিই রেগে গেছে?
","5"
" এবার পরী খুললেও ও আর ফ্রেন্ড রিকোয়েস্ট একসেপ্ট করবে না।
","5"
" কার ভালো লাগে দু দিন অন্তর মুখের উপর দরজা বন্ধ।
","5"
" এবার ও যা খুশি করুক।
","5"
" কামড়াক, চুল টানুক, পিটাক।
","5"
" ""আমায় আর রিকোয়েস্ট পাঠাবি না।
","5"
" অনেক হয়েছে।
","5"
" এবার তুই ব্লকই থাক।
","5"
""" ফোনটা কেটে অভি শুয়ে পড়ে।
","5"
" এই যা কালকে ভোরে উঠতে হবে পরীকে তো বলা হল না ডাকার কথা।
","5"
" ফোন লাগায়।
","5"
" ""একি?
","5"
" এ যে ফোনেও ব্লক করে দিল?
","5"
""" রাগে গজগজ করে অভি।
","5"
" কিন্তু ঘুম কি আর আসতে চায় ।
","5"
" এতোদিন ঝগড়া হয়েছে কখনও ফোনে ব্লক করে নি।
","5"
" সত্যি মেয়েটাকে নিয়ে আর পারা যায় না।
","5"
" যা খুশি করুক।
","5"
" ""সবাই জানে আর তুই জানিস না।
","5"
" ওর প্রোফাইল দেখিসনি।
","5"
" সৌম‍্যর সাথে ছবি দিয়েছে পরী।
","5"
""" মৈনাকের সাথে ঝগড়া হচ্ছে অভির।
","5"
" ""বললেই হল।
","5"
" পরী কখনও আমার সাথে ছাড়া আর কারো সাথে ছবি দেয় না।
","5"
" আর সৌম‍্যকে তো সহ‍্যই করতে পারে না।
","5"
""" অভি সমানে তর্ক করে।
","5"
" ""এই দেখ।
","5"
""" চোখের সামনে পরীর প্রোফাইল খোলা।
","5"
" সৌম‍্য আর ও আইসক্রিম খাচ্ছে।
","5"
""" অভি কিছু না বলে সোজা পরীর বাড়ি।
","5"
" ""মণি পরী কই?
","5"
" ""কেন রে?
","5"
" ও তো নিজের ঘরে?
","5"
" কি যে করিস তোরা আবার ঝগড়া করেছিস।
","5"
