"sentence","emotion category"
"চরিত্রহীন মহাপুরুষ।
","5"
" আহঃ আমার আজ বড্ড দেরী হয়ে যাচ্ছে মা।
","5"
"মাসে যদি তিনদিন লেট হয় তাহলে একদিন ছুটি কাটা যাবে অফিসে।
","5"
"আমাকে তাড়াতাড়ি ছাড়ো।
","5"
" আমাকে অন্য কোনো দিন বলো আমি নিশ্চয়ই গানটা শুনিয়ে দেব।
","5"
" আজ আমার মোটেই ইচ্ছে করছে না।
","5"
" প্লি.....জ।
","5"
" মা ও নাছোড়,ছেলেকে দিয়ে গান গাইয়ে ছাড়বে।
","5"
" যাক কোনোমতে নাকে মুখে গুঁজে অফিসের উদ্দেশ্যে রওনা দিলাম।
","5"
" মা আমাকে গান করতে বলছিলেন।
","5"
" ওনার প্রিয় গান শ্যামা সংগীত........ - "" আমার সাধ না মিটিল ....আশা না পুরিল সকলি ফুরায়ে যায় মা""।
","5"
" গানটা আমি হারমোনিয়াম এ ভালো গাইতে পারি।
","5"
" কিন্তু সেদিন কিছু করার ছিলোনা আমার।
","5"
" কারণ আমি অনেক দেরি করে ফেলেছিলাম অফিস বেরোতে।
","5"
" যাইহোক বাড়ী থেকে বেরিয়ে সোজা অটো ধরলাম, তাড়া ছিলো বলে।
","5"
" যথারীতি অফিস পৌঁছলাম পুরো কাঁটায় কাঁটায় সময়ে।
","5"
" প্রচুর কাজের চাপে আজকাল সময় পাওয়া যায়না যে কোনো প্রিয়জন এর সাথে একটু ফোনালাপ করি।
","5"
" আমাদের পাশের বাড়িতে একটা ছোট্ট ফুটফুটে মেয়ে থাকতো।
","5"
" নাম তার সোনালী।
","5"
" আমাকে তো সান কাকু বলে ডাকতো।
","5"
" সকালে ঘুম থেকে উঠে সেই জানালা খুলে কি জোর ডাক।
","5"
" আমার ঘুমটার বারোটা বাজিয়ে ডেকে তুলতো।
","5"
" ওর মা বকা দিতো, যেনো এভাবে কাউকে না ডাকে।
","5"
" কে শোনে কাহার কথা।
","5"
" পরিবারটা খুবই অভাবী ছিলো।
","5"
" ওর বাবা কয়েক বছর আগে গত হয়েছেন।
","5"
" খুবই কম বয়সে পরিবার ছেড়ে চলে গেছেন।
","5"
"পুজোতে নতুন জামা কাপড় ছোট মেয়েকে কিনে দেওয়ার মতো তেমন সামর্থ ওর মায়ের ছিলনা।
","5"
" প্রথম প্রথম আমার খুব খারাপ লাগতো।
","5"
" আমার মাকে বলতো দিদুন আমি এবার পুজোয় নতুন জামা নেবো।
","5"
" আমিও মা কে বলতাম এনে দিতে।
","5"
