"sentence","emotion category"
"(এক) ১৬ই অক্টোবর,১৯৪৭ ""তোমরা চলে যাও।
","5"
"আমি এই বাড়ি ছেড়ে কোথাও যাবোনা।
","5"
"আমার পূর্বপুরুষের ভিটে।
","5"
"মরতে হলে এখানেই মরবো।
","5"
"তোমরা যাও।
","5"
"সময় নষ্ট করোনা।
","5"
""" বললেন খানবাহাদুর শাহজাহান খান সাহেব।
","5"
" ""আহা আব্বু,আপনি বুঝতে পারছেন না।
","5"
"এখন এসব আবেগের সময় নয়।
","5"
"আমাদের পালাতে হবে।
","5"
"পূর্ব পাকিস্তানেও সে তো আপনারই সম্পত্তি।
","5"
"সময় থাকতে ওখানে জমিদারি কিনে রাখা হয়েছে।
","5"
"আমাদের কোন অসুবিধে হবেনা।
","5"
"আর দেরী করার সময় নেই।
","5"
"স্টেশনে পৌঁছতে হবে।
","5"
""" ""বললাম তো আমি যাব না।
","5"
"তোমরা যাও।
","5"
"""খানবাহাদুর আদেশের সুরে বললেন।
","5"
" "" আব্বু, এরকম বলবেন না।
","5"
"আপনাকে ছেড়ে আমরা কি যেতে পারি?
","5"
"তাহলে আমরাও যাব না?
","5"
"মরতে হলে সবাই একসাথে মরবো।
","5"
""" খানবাহাদুর খান সাহেব আরাম কেদারা ছেড়ে উঠে দাড়ালেন।
","5"
"তারপর বললেন,""তর্ক কোরনা।
","5"
"আমার আদেশ।
","5"
"তোমরা যাও।
","5"
""" সবাই বেড়িয়ে যাবার পর খান সাহেব উঠে সদর দরজায় তালা লাগালেন।
","5"
"কয়েক মাস আগে অবধি এই বাড়ি ভরা কত মানুষ ছিল,দাসদাসী, আত্মীয়স্বজন,আশ্রিত, এসো জন বস জনে এ মহল গমগম করতো।
","5"
"দেশভাগের অভিশাপ বাংলাদেশের কত সংসার ধ্বংস করে দিল।
","5"
"এত বড় প্রাসাদ আজ শ্মশানপুরী।
","5"
"খান সাহেব একা কুম্ভ হয়ে আগলে আছেন তার পূর্বপুরুষের ভিটে।
","5"
"কিছু ক্ষন শূন্য উঠোনে দাঁড়িয়ে থেকে তিনি বাড়ির পেছনে গেলেন ধীর পায়ে হেঁটে।
","5"
"বালগোপাল জিউএর মন্দিরের তালা খুললেন।
","5"
"এই মন্দির তাঁর ছোটি বিবি আয়েশা,ওরফে পার্বতী দেবীর জন্য বানিয়ে দিয়েছিলেন তিনি।
","5"
"হিন্দুর মেয়ে কি ভাবে খান সাহেবের বিবি হয়ে পার্বতী থেকে আয়েশা হল,সে অনেক বড় গল্প।
","5"
"খানসাহেব এই বাল গোপাল জিউএর মন্দির বানিয়েছিলেন বলে সমাজে অনেক কথা উঠেছিল সেই সময়।
","5"
"গোড়া মুসলিম সমাজ তীব্র প্রতিবাদ জানিয়েছিল।
","5"
"হিন্দুরাও অসন্তোষ প্রকাশ করেছিল।
","5"
"কিন্তু খান সাহেব তাঁর অর্থ,প্রতিপত্তি ব্যবহার করে সেই প্রতিবাদ দমন করেছেন।
","5"
"কিন্তু আজ সময় বদলেছে।
","5"
"আজ আর কেউ ছেড়ে কথা বলবে না।
","5"
"খান সাহেব নিজে কোনদিন মন্দিরের ভিতর পা রাখেন নি।
","5"
" কিন্তু আজ আর সময় নেই।
","5"
"আজ ঢুকতেই হবে।
","5"
"পিয়ারী আয়েশার বালগোপাল জিউকে বাঁচাতেই হবে।
","5"
"আর সময় নেই।
","5"
"যে কোন সময় বাড়ি আক্রমণ হতে পারে।
","5"
"আরে দেরী নেই।
","5"
"ওরা আসছে।
","5"
" ******************************** (দুই) ১০ই আগস্ট,২০১৯ শনিবার সকালটার সঙ্গে একটা অন্যরকম ভালোলাগা জড়িয়ে থাকে।
","5"
"সারা সপ্তাহের শেষে দুটো দিন একদম নিজের।
","5"
"সকালে যোগাসন শেষ করে পেপার আর চা নিয়ে বসেছি।
","5"
"টাপুরদির কড়া নির্দেশ,যতই ব্যস্ত থাকি,রোজ সকালে যোগাসন করতেই হবে।
","5"
"নইলে আমার অ্যাসিস্ট্যান্ট পদ খারিজ।
","5"
"অগত্যা..।
","5"
"আমি জন্ম আলসে।
","5"
"একদম সকালে উঠতে পারিনা।
","5"
"কিন্তু কিছু করার নেই।
","5"
" ফোনটা বাজছে।
","5"
"পেপারটা নামিয়ে খুঁজে বার করলাম ফোনটা বালিশের তলা থেকে।
","5"
"অর্জুন দা?
","5"
"এতো সকালে?
","5"
" ""হ্যালো?
","5"
"হ্যাঁ অর্জুন দা?
","5"
"গুড মরনিং?
","5"
"কি ব্যাপার?
","5"
"বল?
","5"
""" ""গুড মরনিং মিস ওয়াটসন?
","5"
"আছো কেমন?
","5"
""" ""দিব্যি?
","5"
"তোমার খবর কি?
","5"
""" ""আমিও দিব্যি?
","5"
"আচ্ছা শোন,যে জন্য তোমায় ফোন করা।
","5"
"আমাদের দেশের বাড়িতে প্রতি বছর জন্মাষ্টমীর পুজো খুব ধুমধাম করে হয়।
","5"
"তিন দিনের অনুষ্ঠান।
","5"
"যাবে নাকি?
","5"
"ছুটি ম্যানেজ করতে পারবে?
","5"
"""অর্জুন দা জিজ্ঞাসা করলো?
","5"
" নিশ্চয়ই টাপুর দি বলেছে আমায় ফোন করতে।
","5"
"তার মানে কি টাপুরদিও যাচ্ছে?
","5"
"জিজ্ঞাসা করলাম, "" টাপুর দি যাচ্ছে তো?
","5"
""" অর্জুন দা কাঁচুমাচু মুখে বললো, ""তোমার দিদিকে তো জানোই?
","5"
"কিছু ঝেড়ে কাশে না কখনও।
","5"
""" মনে মনে খুব হাসলাম।
","5"
"টাপুরদিকে তো চিনি।
","5"
"অর্জুনদা বেচারা ওর মনের তল পাচ্ছে না।
","5"
" ""আচ্ছা অর্জুন দা,একটু সময় দাও।
","5"
"জানাচ্ছি তোমায়।
","5"
""" আমি মিতুল।
","5"
"ভালো নাম মৈথিলি সেন।
","5"
"একটি বহুজাতিক সফটওয়্যার সংস্থায় কর্মরতা।
","5"
"যারা 'টাপুরদির গোয়েন্দাগিরি' পড়েছো,তারা আশা করি আমায় মনে রেখেছো।
","5"
"আর যারা পড় নি,তাদের জন্য ছোট্ট করে আমাদের পরিচয় দিয়ে দেই।
","5"
"টাপুরদি,মানে সঙ্ঘমিত্রা ব্যানার্জি, আমার স্কুলের সিনিয়ার,তিন বছরের বড় আমার থেকে।
","5"
"অনেক বছর বিদেশে কাটিয়ে দেশে ফিরেছে বছর খানেক হল।
","5"
"টাপুরদির ষষ্ঠ ইন্দ্রিয় অত্যন্ত তীক্ষ্ণ।
","5"
" বেশ কিছু জটিল রহস্য সমাধান করে বেশ নাম করেছে ইদানীং।
","5"
"এরকমই একটা কেসে আমাদের অর্জুন দার সাথে আলাপ।
","5"
"অর্জুন দা কসবা থানার ইন চার্জ।
","5"
" দারুন মানুষ।
","5"
" অর্জুন দার ফোনটা রেখে টাপুরদিকে ফোন লাগালাম।
","5"
" ""হ্যাঁ রে মিতুল, বল।
","5"
""" ফোনের ও প্রান্ত থেকে টাপুরদির গলা পাওয়া গেলো।
","5"
" ""অর্জুন দা ফোন করেছিলো, টাপুরদি।
","5"
"ওদের দেশের বাড়িতে জন্মাষ্টমী পুজোর নেমন্তন্ন করতে।
","5"
"তুমি জানো নিশ্চয়ই।
","5"
""" ""হুম জানি।
","5"
""" ""যাবে?
","5"
"""আমি জিজ্ঞাসা করলাম?
","5"
" ""এখন তো তেমন কোন কাজ নেই।
","5"
"ঘুরে আসাই যায়।
","5"
"তুই ছুটি পাবি?
","5"
""" ""তুমি গ্রীন সিগনাল দিলে চেষ্টা করবো?
","5"
"তিন চার দিনের জন্য তেমন সমস্যা হবে না আশা করি।
","5"
"""আমি বললাম।
","5"
" "" তাহলে দ্যাখ।
","5"
""" (তিন) ২০শে আগস্ট,২০১৯ আজ আমরা এসে পৌঁছোলাম মীরপুরে।
","5"
"কলকাতা থেকে গাড়িতে আসতে ঘন্টা দুয়েক লেগেছে।
","5"
"অর্জুন দা আমাদের সাথেই এলো।
","5"
"সকাল সকাল রওনা দিয়েছিলাম।
","5"
"বেলা দশটার মধ্যে পৌঁছে গেছি।
","5"
"মীরপুরে এসেই যে জিনিসটা লক্ষ্য করছি,রাস্তাঘাট চওড়া,বেশ পরিষ্কার পরিচ্ছন্ন।
","5"
"রাস্তার দুই ধারে অনেক গাছ।
","5"
"অর্জুন দার কাছে রাস্তায় আসতে আসতে তার পরিবারের গল্প শুনলাম।
","5"
" অর্জুনদার প্রপিতামহ থাকতেন বর্তমান বাংলাদেশের যশোর জেলায়।
","5"
"দেশভাগের আগেই পরিস্থিতি দেখে তিনি এ পার বাংলায় মীরপুরের জমিদারি কিনে রাখেন মীরপুরের তদানীন্তন জমিদার খানবাহাদুর শাহ জাহান খানের পুত্রদের থেকে।
","5"
"ভেবেছিলেন, যদি পরিস্থিতি খারাপ হয়,তাহলে চলে আসবেন এখানে।
","5"
"মীরপুরে সেই সময় মুসলিম প্রজার সংখ্যা বেশি ছিল।
","5"
"শাহজাহান খানের পূর্বপুরুষেরা হিন্দু প্রজাদের সাথে ভালো ব্যবহার করেননি।
","5"
"শোনা যায় খানবাহাদুর খানসাহেব এক হিন্দু কন্যার পানিগ্রহন করেন,এবং তারপরে তাঁর মনোভাবের বদল হয়।
","5"
"তিনি সেই হিন্দু স্ত্রীর জন্য এক বালগোপালের মন্দিরও প্রতিষ্ঠা করেন বাড়ির মধ্যেই।
","5"
"দেশভাগের পর সেই অস্থির সময়ে ছেলেরা তদানিন্তন পূর্ব পাকিস্তানে পালিয়ে গেলেও শোনা যায় খানসাহেব বাড়ি ছেড়ে যেতে অস্বীকার করেন।
","5"
"একদল নিজেরই ধর্মের মানুষের হাতে মৃত্যুবরণ করেন তিনি।
","5"
"বালগোপালের মন্দিরের গর্ভগৃহে নাকি হামলাকারীরা বালগোপালের মহামূল্যবান অষ্টধাতুর মূর্তি খুঁজে পায় নি।
","5"
"সেই রাগে তারা মন্দির ভেঙ্গে দেয়।
","5"
" এর বছরখানেক পরে অর্জুনদার প্রপিতামহ পূর্বপাকিস্তানের পাট চুকিয়ে সপরিবারে এপার বাঙলায় মীরপুরে চলে আসেন।
","5"
"খানসাহেবের এই বিশাল বাড়ি সারিয়ে নিয়ে বাস করতে শুরু করেন।
","5"
"পুরো মীরপুরের জমিদারি তিনি খরিদ করেছিলেন।
","5"
"অর্থবান মানুষ ছিলেন তিনি,ছিলেন দূরদর্শী।
","5"
"দেশভাগের আগে থেকেই নিজের সম্পত্তি ধীরে ধীরে এ দেশে সরিয়ে ফেলেছিলেন তিনি।
","5"
"মীরপুরকে তিনি সুন্দর করে সাজিয়ে তোলেন।
","5"
"পুকুর খনন করেন,জায়গায় জায়গায় ফলমূলাদির বাগান তৈরি করান।
","5"
"বাড়ির নাম দেন 'রায়ভবন'।
","5"
"বাগানের একপ্রান্তে বালগোপালের মন্দির পুনর্নির্মাণ করিয়ে মূর্তি প্রতিষ্ঠা করেন জন্মাষ্টমী তিথিতে ।
","5"
"সেই থেকে প্রতি বছর ধুমধাম করে জন্মাষ্টমী পালিত হয় রায়ভবনে।
","5"
" ১৯৫৬ সালে জমিদারি বিলুপ্তিকরন বিল পাশ হলে রায়েরাও গনতান্ত্রিক ভারতবর্ষের সাধারণ নাগরিক হিসেবে পরিগনিত হন।
","5"
"তার দুই বছর পরে অর্জুনদার প্রপিতামহ দীনেন্দ্রপ্রতাপ রায়ের মৃত্যু হয়।
","5"
"মন্দিরের চাতালে তার মৃতদেহ পাওয়া যায় এক সকালে।
","5"
"শরীরে কোন আঘাতের চিহ্ন ছিল না।
","5"
"কিন্তু পুরো শরীর নীল হয়ে গিয়েছিলো।
","5"
"ডাক্তার জানান তীব্র বিষক্রিয়ায় মৃত্যু হয়েছে ওনার।
","5"
"হয়তো সর্পদংশন।
","5"
" কিন্তু দুদিন আগেই বাগান পরিষ্কার হয়েছিল।
","5"
" অ্যাসিড ছড়ানো হয়েছিলো।
","5"
" দীনেন্দ্রপ্রতাপ রায়ের মৃত্যুরহস্যের আজ পর্যন্ত কিনারা হয়নি।
","5"
" (চার) রায়ভবনের গেট দিয়ে আমাদের গাড়ি ঢুকলো।
","5"
"বিশাল গেট।
","5"
"টাপুরদি জিজ্ঞাসা করলো,""এই গেট নিশ্চয়ই পরবর্তীকালে বানানো?
","5"
" "" অর্জুন দা সপ্রশংস দৃষ্টিতে টাপুরদির দিকে তাকিয়ে বললো, ""ঠিক বলেছো?
","5"
"এই গেট আমার ঠাকুরদার আমলে বানানো।
","5"
"যেই কারণে গেটে রাধাকৃষ্ণর অবয়ব নকশা করা।
","5"
""" জন্মাষ্টমী উপলক্ষে রায়ভবন সরগরম।
","5"
" দূরদূরান্ত থেকে আত্মীয়স্বজনেরা প্রতিবছর এই সময় মীরপুরে আসেন।
","5"
"ভীষন আন্তরিকতার সাথে আমাদের অভ্যর্থনা করা হল।
","5"
"এখানে আসার আগে যেটুকু দ্বিধা ছিলো মনে,সেটুকুও মূহুর্তেই ঘুচে গেল।
","5"
"অর্জুনদার মা তো ভীষণই অমায়িক মানুষ।
","5"
"এত আদরের সাথে গ্রহণ করলেন আমাদের, মনেই হলনা আমরা ওনার অচেনা,প্রথমবার দেখছেন আমাদের।
","5"
"সবার সাথে পরিচয় হবার পর,কাকীমা, মানে অর্জুনদার মা বললেন,""তোমরা ফ্রেশ হয়ে জলখাবার খেয়ে নাও।
","5"
"তারপর কর্ত্তাবাবার সাথে দেখা করে এসো।
","5"
""" অর্জুনদা জিজ্ঞাসা করলো,""কর্ত্তাবাবা কোথায় মা?
","5"
""" কাকীমা বললেন,"" কাল থেকে শরীরটা ভালো নেই?
","5"
"রাতে একটু জ্বর ছিলো।
","5"
" সকালে বিছানা থেকে উঠতে দেইনি রে।
","5"
"শুয়ে থাকতে কি আর চান?
","5"
"ওনার তো সবসময়ই মনে হয় উনি তদারকি না করলে কোন ব্যবস্থাপনাই ঠিকমতো হবেনা?
","5"
"তোর বাবা বাজার থেকে ফিরে ফর্দ মিলিয়ে সব হিসেব ওনাকে ঘরে গিয়ে দিয়ে আসবেন,সেই কথা দিয়ে শুইয়ে রাখা হয়েছে।
","5"
""" অর্জুন দা হাসলো।
","5"
"আমাদের দিকে তাকিয়ে বললো,""বয়স হলে কি হবে,মেজাজ এখনও জমিদারী কর্ত্তাবাবার।
","5"
""" আমরা হাসলাম।
","5"
