"sentence","emotion category"
"#সিন্দুক রহস্য #শেলী ভট্টাচার্য #পর্ব ১ ""২১, রজনী সেন রোড।
","5"
" একটু তাড়াতাড়ি চলুন।
","5"
""" ট্যাক্সিতে বসেই বেশ গম্ভীর গলায় তাড়া দিলাম ড্রাইভারকে।
","5"
" ব্যাপারটা যতক্ষণ না ফেলুদাকে বলতে পারছি ভেতরে একটা অস্বস্তি হচ্ছে।
","5"
" সত্যি বলতে কী, এই রকম একটা ঘটনার খবর এখনও কীকরে আমাদের বাড়ি অবধি এসে পৌঁছায়নি তাই ভেবেই অবাক লাগছে।
","5"
" আমার ভাবনাকে ছিন্ন করে দিয়ে গাড়িটা সজোরে হর্ণ বাজাল।
","5"
" সামনের রাস্তায় চোখ বুলিয়ে খেয়াল করলাম, দুপুরের রাস্তাতেও সাদার্ন এভিনিউয়ে বেশ যানজট হয়েছে।
","5"
" সামনে কালীপূজা।
","5"
" একটা বেশ বড়সড় কালী ঠাকুর নিয়ে যাচ্ছে ম্যাটাডোর করে।
","5"
" তাতে অল্প বয়সী ছেলেরা সব হুল্লোড় করছে।
","5"
" একবার মনে হল, ফেলুদাকে ফোন করে কথাগুলো বলে পেটটাকে একটু হাল্কা করে নি।
","5"
" পরমুহূর্তেই মনে হল, না এরকম একটা কেস ফেলুদার সামনে বসে ওকে রসিয়ে কষিয়ে পরিবেশন করলে ওর যে মুখের অভিব্যক্তিগুলো চোখে পড়বে, তা মিস হয়ে যাবে তাতে।
","5"
" আগে যখন শুধুমাত্র টেলিফোন আর টেলিগ্রামই ভরসা ছিল, তখন ক্লায়েন্টরা হঠাৎ করে সকাল সকাল কলিংবেল বাজিয়ে সোজা বৈঠকখানার সোফায় এসে বসতেন।
","5"
" আর সাহায্যপ্রার্থী হয়ে তাদের সমস্যাগুলোকে বলতে থাকতেন।
","5"
" ফেলুদা ব্যায়াম সেরে চাট্টি ভেজা ছোলা বাদাম চাবাতে চাবাতে এসে বসত তাদের সমস্যাগুলো শুনতে।
","5"
" তখন কেসের আলোচনা শুনতে শুনতে আমি মুগ্ধ হয়ে অনুভব করতাম ফেলুদার মনোসংযোগ আর বুদ্ধিদীপ্ত চাউনিকে।
","5"
" ""সাহাব"" ড্রাইভারের ডাকে বাইরে চেয়ে দেখলাম বাড়ির গেটে এসে পৌঁছে গেছি।
","5"
" কোনো রকমে  ড্রাইভারকে টাকা দিয়ে জোরে পা চালিয়ে সিড়ি বেয়ে উঠে বারান্দা বরাবর সোজা গেলাম দক্ষিণে।
","5"
" দরজার বাইরে থেকে দেখলাম ফেলুদা হেলান দিয়ে বসে ট্যাবে কিছু পড়ছে।
","5"
" আমি প্রায় হুড়মুড়িয়ে ওর ঘরে ঢুকে বিছানায় গিয়ে ওর মুখোমুখি বসতেই আমায় একটা লিমেরিক শোনাল ফেলুদা ""জীবন চলেছে ছুটে একরোখা ছন্দে আমরা রয়েছি বেঁচে নিজ ভালোমন্দে              দিনরাত রাতদিন             একঘেয়ে ঘিনঘিন সাসপেন্স খুঁজে নিই সব দ্বিধা দ্বন্দ্বে।
","5"
""" ফেলুদার মাথায় সময় বিশেষে বিশেষ রকম ঝোঁক দেখা দেয়।
","5"
" কখনও কিউরিও শপে গিয়ে ইতিহাস খুঁড়তে থাকে, কখনও তাস হাতে নিয়ে হাতসাফাই অভ্যাস করে, আবার কখনো লিমেরিক লেখায় মন বসায়।
","5"
" এইমুহূর্তে বোধ হয় ... ""কিছুক্ষণ আগে লালমোহন বাবু ফোন করেছিলেন।
","5"
" ওর সঙ্গে কথা বলার পর ফোন রেখে এই লিমেরিকটা লিখে ফেললাম।
","5"
" কেমন লাগল?
","5"
""" আমার ভাবনাকে ছিন্ন করে বলে উঠল ফেলুদা?
","5"
" আমি মুচকি হেসে বললাম ""দারুণ।
","5"
" এ হল গিয়ে ফেলুদার সিগনেচার লিমেরিক।
","5"
""" ""বুঝলি তোপসে, আমার অবস্থা হয়েছে এই লিমেরিকের মতো।
","5"
" দিনরাত রাতদিন সেই একঘেয়ে জীবন কাটিয়ে চলেছি।
","5"
""" বলে ট্যাবটা বন্ধ করে পাশে রাখল ফেলুদা।
","5"
" ওর কথাটা শুনে আমার ভেতরে একটা আশার আলো ঝিলিক দিল।
","5"
" মনে হল, এই উপযুক্ত সময়, বলে ফেলি ঘোষাল বাড়ির কথাটা।
","5"
" ঠিক তখনই আমায় আড়চোখে দেখে ফেলুদা কিছু একটা আন্দাজ করে প্রশ্ন করল ""চারমিনারের স্কুলের পিটিএম সেরে ফিরতে এতো দেরি হল তোর?
","5"
" নাকি ওখান থেকে অন্যকোথাও গিয়েছিলি?
","5"
""" আমার আট বছরের মেয়ের নাম মিনু?
","5"
" মিনু হয়েছিল যে বছর, সে বছর প্রথম ডাক্তারবাবু ফেলুদার সিগারেট খাওয়ার উপর লাগাম দিতে বলেছিলেন।
","5"
" তখন ফেলুদা আমার মেয়ের নাম দিয়েছিল প্র প্রিয় সিগারেটের ব্র‍্যাণ্ডের নাম 'চারমিনার।
","5"
"' ফেলুদা বলত, একদিন যখন আমাকে সিগারেটকে পুরোপুরি ছাড়তে হবে, তখন এই চারমিনারকে নিয়ে সময় কাটাব আমি।
","5"
" ঘড়ির দিকে চেয়ে বুঝলাম, দেড় ঘন্টার লেটটা ফেলুদার মাথায় অন্যকিছুর ইঙ্গিত দিয়েছে।
","5"
" তখন নিজের পেট হাল্কা করতে বলতে শুরু করলাম ""ঢাকুরিয়ার দিকে গিয়েছিলাম।
","5"
""" আমার বাকি কথার গতিরোধ করে ফেলুদা বলে চলল ""৪৫ নম্বর, বাসব বাজার, ঢাকুরিয়া।
","5"
" এই ঠিকানায় নাকি সে পাড়ার অমৃতাদের বাড়িতে গিয়েছিলি?
","5"
""" আমি তো থ?
","5"
" কাকে কী বলতে এসেছিলাম! অস্ফুটে বললাম শুধু ""তুমি জানলে কীকরে?
","5"
""" ""তোর জামার পকেটে বাসের টিকিট?
","5"
" সাধারণত বাসে তুই চাপিস না।
","5"
