"sentence","emotion category"
"হিমাংশু চৌধুরী বিষকন্যা প্রচ্ছদ: শেলী ভট্টাচার্য্য উপক্রমণিকা: সন ১৯৪৮,  সেপ্টেম্বর মাস।
","5"
" কলিকাতা শহরে প্রভাত হইতে দেখা একটি অবিস্মরণীয় অভিজ্ঞতা।
","5"
" সূর্যের আগমন শহরের এই কেন্দ্রীয় অংশ হইতে দেখা যায়না ঠিকই, কিন্তু স্পষ্ট অনুভব করা যায়।
","5"
" আকাশ পরিষ্কার হইবার আগেই টং টং করিয়া ঘন্টা বাজাইয়া ফার্স্ট ট্রাম ময়দানের দিকে চলিয়া যায়।
","5"
"  তাহার অব্যবহিত পরেই কর্পোরেশনের গাড়ি আসিয়া রাস্তায় জল ঢালিয়া পরিষ্কার করে।
","5"
" তাহার পরেই ভিস্তিওয়ালারা তাহাদের চর্মপেটিকা লহিয়া লাইন লাগায় গঙ্গাজলের বাঘমার্কা হাইড্রান্টের কলের সম্মুখে।
","5"
"  তাহার  পরেই ঝাড়ু লহিয়া কর্পোরেশনের ঝাড়ুদার রাস্তা সাফাই করিতে শুরু করে।
","5"
" ধীরে ধীরে লোকালয় সরগরম হইতে শুরু করে।
","5"
" পশারীরা মাথায় পশরা লহিয়া বড়বাজার হইতে কোলে মার্কেটের দিকে, কেহ বা শিয়ালদহ ইস্টিশনের দিকে দ্রুত ধাবমান হইতে থাকে।
","5"
" সন্মুখস্থ গণিকাপল্লী হইতে গ্রাহকগণ রাত্রিযাপন করিয়া চক্ষু কণ্ডূয়ন করিতে করিতে নিজ গৃহ অভিমুখে যাত্রা করিয়াছেন।
","5"
" শিউশরণ ট্রপিক্যাল হাসপাতালের মেইন গেটে একটি কাষ্ঠনির্মিত টুলে বসিয়া এইসবই দেখিতেছিল, এবং তাম্বাকু পাতা চূর্ণ চুন সহযোগে দুই করতলের মধ্যে মর্দন করিতেছিলো।
","5"
" এই নেশাটি সে সম্প্রতি অর্জন করিয়াছে।
","5"
" তবে আটটা বাজিবার পূর্বেই সে উর্দি পরিয়া যখন ডিউটি শুরু করিবে, তখন আর এইসব চলিবেনা।
","5"
" সাহেবরা এইসব পসন্দ করেন না, তাহার জানা আছে।
","5"
" ট্রপিক্যাল হাসপাতালের অভ্যন্তরস্থ একটি বাসস্থান তাহার আছে।
","5"
" এত সকালে গেটের সন্মুখে আসিবার কারণ হইলো, এখনই ঝাড়ুদার ও সাফাই ওয়ালারা প্রবেশ করিয়া সব ঝাড়ুপোঁছা করিবে।
","5"
" বেলা আটটায় ডাগদারসাহেবদের আসিবার পূর্বেই সব পরিষ্কার করিয়া বিদায় লইবে।
","5"
" তাহাদের তদারকি করার দায়িত্ব তাহার।
","5"
" তাহারা কোথায় কোথায় কাজ করিবে, এবং কাজ ঠিকমতো হইলো কিনা, তাহা দেখার দায়িত্বও তাহার।
","5"
" সেই সব ভাবিতে ভাবিতেই শিউশরণ দেখিতে পায়, সাফাইকর্মিনী এবং ঝাড়ুদারেরা আসিতেছে।
","5"
