"sentence","emotion category"
"সুবর্ণরেখার ডায়েরির ছেঁড়া পাতা সংঘমিত্রা রায়চৌধুরী -------------------------------------------------- সুবর্ণরেখা সেন মারা গেছে, এই খবরটা প্রথমে কমপ্লেক্সে, তারপর সংলগ্ন পাড়ায়, তারপর প্রায় গোটা শহর জুড়ে দাবানলের মতোই ছড়িয়েছে।
","5"
" পাঞ্চালীর কানেও পৌঁছেছে যথারীতি।
","5"
" পাঞ্চালী... মানে পাঞ্চালী মিত্র এশহরে একেবারে প্রায় নতুনই বলা যায়।
","5"
" বড়োজোর মাস ছয়-সাতেক এসেছে পুষ্পাঞ্জলি হাউজিং কমপ্লেক্সে একটা ছোট্ট স্টুডিও অ্যাপার্টমেন্ট কিনে।
","5"
" একলাই থাকে।
","5"
" বিয়ে থা করে নি।
","5"
" সঙ্গে এক মধ্যবয়সী কাজের মহিলা আছে।
","5"
" পাঞ্চালী গত কয়েকদিন ছিলো না।
","5"
" দিদির বাড়ীতে গিয়েছিলো, মুম্বাইতে।
","5"
" নিজের ফ্ল্যাটে ফেরার দিনে, সন্ধ্যে নাগাদ, কমপ্লেক্সে পৌঁছেই খবরটা শুনেছে, প্রথমে কানাঘুষোয়, পরে বিস্তারিত।
","5"
" আসলে খুব সম্প্রতি পাঞ্চালীর পরিচয় হয়েছিলো সুবর্ণরেখার সঙ্গে, ব্যাঙ্কে গিয়ে।
","5"
" নিরীহ গোবেচারা টাইপের এবং শতকরা একশোভাগ গৃহবধূ বলতে যা বোঝায়।
","5"
" তবে বেশ মিশুকে।
","5"
" পাঞ্চালীর সাথে পরিচয় হওয়ার পরে পরেই একদিন হঠাৎ সুবর্ণরেখা সেন পাঞ্চালীর ফ্ল্যাটে এসেছিলো, একাই।
","5"
" একই কমপ্লেক্সের পাশাপাশি ব্লকের ওপর নীচে ফ্ল্যাট।
","5"
" প্রত্যেক ব্লকেই, প্রত্যেক ফ্লোরে চারটে করে ফ্ল্যাট।
","5"
" একটা থ্রি বেডরুম, দুটো টু বেডরুম আর একটা করে স্টুডিও অ্যাপার্টমেন্ট।
","5"
" সুবর্ণরেখারা... অর্থাৎ সুবর্ণরেখা তার স্বামী রূপনারায়ণ সেন ও দুই মেয়েকে নিয়ে পাঞ্চালীর পাশের ব্লকের সেভেন্থ ফ্লোরে, মানে আটতলায় থাকে।
","5"
" সুবর্ণরেখার ব্লক এ আর পাঞ্চালীর ব্লক বি, থার্ড ফ্লোর, মানে চারতলা।
","5"
" খুবই সাধারণ গল্পগাছা হয়েছিলো, তার বেশীরভাগ আবার কমপ্লেক্সের দুর্গাপুজো নিয়ে।
","5"
" এই কমপ্লেক্সে এই মুহূর্তে একশো ন'টি পরিবারের বাস।
","5"
" আর কিছু ফ্ল্যাটে লোক নেই।
","5"
" ফ্ল্যাট কিনেই মালিক বন্ধ করে রেখেছে।
","5"
" মোট তিনটে ব্লক।
","5"
" প্রতি ব্লকে বারোটা করে ফ্লোর, জি প্লাস বারো।
","5"
" গ্রাউন্ডে গ্যারাজ, কমিউনিটি হল, কমপ্লেক্সের সমিতির অফিস, কেয়ারটেকারের কোয়ার্টার ছাড়াও আরো কিছুটা বাঁধানো খোলা জায়গা আছে, রাস্তার দিক ঘেঁষে।
","5"
" বর্ষার সময় হঠাৎ বৃষ্টি হলে কমপ্লেক্সের পার্কে আসা বাচ্চা বা বৃদ্ধরা যাতে ভিজে না যায়, তার জন্য একটা শেড দেওয়া বেঞ্চ পাতা সুদৃশ্য বসার জায়গা।
","5"
" আসলে পুরো কমপ্লেক্সটাই ভীষণ সুন্দর প্ল্যানিং করে তৈরী।
","5"
" বেশ নতুনত্ব সাজানো গোছানোয়।
","5"
" প্রত্যেক ফ্লোরে আবার চারটে করে ফ্ল্যাট।
","5"
" তারমানে কমপ্লেক্সে সর্বসাকুল্যে মোট একশো চুয়াল্লিশটি ফ্ল্যাট।
","5"
" কাজেই এতোবড়ো কমপ্লেক্সে জমজমাট করে সব পুজো হওয়াটাই তো স্বাভাবিক।
","5"
" এছাড়াও বাংলা ও ইংরেজি নববর্ষ এবং পনেরোই আগস্ট ও ছাব্বিশে জানুয়ারি উপলক্ষ্য করেও উৎসব, গেট টুগেদারের আয়োজন হয়।
","5"
" ছোট শহরে এতোরকম ব্যবস্থাপনা দেখেই পাঞ্চালী আকৃষ্ট হয়েছিলো এই কমপ্লেক্সে ফ্ল্যাট কিনতে।
","5"
" এই ক'মাস ভালোই কেটেছে।
","5"
" কিন্তু সুবর্ণরেখার মৃত্যুর খবরে কমপ্লেক্সে স্বাভাবিক ছন্দ বেশ বিঘ্নিত।
","5"
" পুলিশ ইনভেস্টিগেশনে এসে লিফটম্যানের কাছ থেকে জেনেছে, মৃত্যুর মাত্র কয়েকটা দিন আগে নাকি ভিক্টিম সুবর্ণরেখা সেন পাঞ্চালী মিত্রের ফ্ল্যাটে এসেছিলো, এবং প্রায় ঘন্টাখানেকের মতো সময় ছিলো।
","5"
" তাহলে কীকী কথা হয়ে থাকতে পারে দুজনের মধ্যে?
","5"
" হতে পারে তা থেকে কিছু সূত্র মিলতে পারে, তাই পাঞ্চালী মিত্রের সাথে পুলিশের কথা বলতে আসার কথা?
","5"
" পাঞ্চালী মিত্র ঐসময়ে ছিলো না, সুতরাং পুলিশ পাঞ্চালী মিত্র ফিরলে দেখা করার কথা বলেছে, থানায় গিয়ে।
","5"
" যেদিন সুবর্ণরেখা এসেছিলো পাঞ্চালীর ফ্ল্যাটে বেড়াতে, সেদিন যে সুবর্ণরেখা কেবলই সৌজন্য রক্ষার কারণে আসে নি, তা ইন্ডিয়ান আর্মির রিটায়ার্ড অফিসারের অভিজ্ঞ চোখে ধরা পড়েছিলো।
","5"
" তবে কথা ঘুরপাক খেয়েছিলো ঐ আগডুম বাগডুম হাবিজাবির বৃত্তেই।
","5"
" হয়তো জড়তা ও লজ্জার কারণেই ভদ্রমহিলা আসলে যা বলতে এসেছিলো, তা আর বলে উঠতে পারে নি।
","5"
" অন্ততঃ সুবর্ণরেখা খুন হয়ে যাওয়াতে ধারণাটি পাঞ্চালীর মনে পাকাপাকিভাবে গেঁটে বসেছে।
","5"
" পুলিশ কী করবে, কতদূর করবে, তা পুলিশের ব্যাপার।
","5"
" কিন্তু একজন মহিলা হিসেবেই হোক, একজন দায়িত্বশীল সৎ নাগরিক হিসেবেই হোক, অথবা একজন প্রতিবেশী মহিলার স্বল্প হলেও পরিচিত আর্মি অফিসার হিসেবেই বলেই হোক... পাঞ্চালী একটু নড়েচড়ে বসলো।
","5"
" কিছু তো একটা করতেই হচ্ছে।
","5"
" পরদিন সকালের দিকেই পাঞ্চালী থানা থেকে ঘুরে এলো।
","5"
" চোদ্দো বছর আর্মিতে জুডিসিয়াল অফিসার হিসেবে সার্ভিস করেছে পাঞ্চালী।
","5"
" সুতরাং অসম্ভব টানটান নার্ভ এবং বুদ্ধিমত্তার অধিকারিনী পাঞ্চালী।
","5"
