"sentence","emotion category"
"   ডিটেকটিভ গল্প;মুরগির ব্যাপারী।
","5"
" লেখক; প্রতিভা দে।
","5"
"৩০/১০/১৯// ছেলেটির মা কাজ করে এক বড় বাড়িতে।
","5"
"সংসারের টানা টানিতে বাবার উশৃঙ্খল জীবন যাত্রায় অত্তীষ্ঠ মা কাজ নিয়েছে বসন মাজা কাপড় কাঁচা।
","5"
"খাওয়া দাওয়া যা পায় দেরী হয়ে যাচ্ছে বলে ঘরে নিয়ে আসে মায়ে ছেলে খায়।
","5"
" ওরা বলল ছেলেকে নিয়ে যাবে ওদের কাজের যায়গায়।
","5"
"ভালো টাকা দেবে।
","5"
" সে এক দিন নিয়ে গেল ।
","5"
"অনেক দিন হলো ছেলের কথা বেশী বেশী মনে পড়ছে।
","5"
"ছেলেকে দেখতে ইচছে করছে।
","5"
"তাই বাবুর ঘরে বললো ।
","5"
"বলতেই কিছু টাকা দিয়ে বলল।
","5"
"সে আসবে ।
","5"
"পাঠিয়ে দেব আমি গেলে।
","5"
"এমনি করে দিন যায় বললেই দিচ্ছে টাকা ধরিয়ে আর বলছে দেব দেব পাঠিয়ে।
","5"
" তা অন্যরা শুনছিল।
","5"
" এক জন ছুটির পর এক সঙ্গে হাঁটতে হাটতে বললো কি জানি আমার ছেলেটা আজ গেছে যে পাঁচ বছর এখনো এলোনা।
","5"
" ছেলের কথা বললে টাকা গুঁজে দেয়।
","5"
" কাজ ছেড়ে যেতে পারছি না ছেলেটার খোঁজে।
","5"
" আবার একটি নূতন মেয়েলোক এলো।
","5"
"তার ছেলেকেও কাজে নিল।
","5"
" তাকে দিয়ে অন্য লোকের কাছে হাঁস মুরগি বেঁচার কাজে।
","5"
"অন্যত্র থেকে আনা এই সব কাজ দিল।
","5"
" তা গাড়িতে নেওয়া আনা করে ।
","5"
"একটি মুরগি মরে আছে দেখে ভয় পেল।
","5"
"কি জানি কি কথা শুনতে হয়।
","5"
" তা না একটু পরেই পুলিশ এসে খাঁচা চেক করতেই মরা মুরগি টা তুলে ভালো করে দেখতে লাগলো।
","5"
" ওদের সন্দেহ ঠিক।
","5"
" দেখলো মরা মুরগি টা ভীষন ভারি ।
","5"
" নিয়ে গেল ওকে ধরে থানাতে ।
","5"
"পরীক্ষা করতেই পেল তাতে সোনার বিস্কুট।
","5"
" সঙ্গে সঙ্গে এরেষ্ট।
","5"
" তার মালিকের নাম বলতে বললো।
","5"
"বললো সব।
","5"
" একের পর এক ডাক পরছে আসল ঠিকানা পাচ্ছে না পুলিশ।
","5"
"পুলিশ বুঝতে পারলো এ কোন ছোট মোট বিজনেস ম্যান এর কাজ নয়।
","5"
"কোথায় লুকিয়ে আসল লোক?
","5"
" সবাই বলছে জানিনা?
","5"
" মুরগি পাইকারি হিসেবে আসে এবং বিক্রি হয়ে যায়।
","5"
" কেটে বিক্রি না ও হতে পারে।
","5"
"ছেলেটাকে কে কাজ দিয়েছে তার ডাক পড়লো।
","5"
"সেও বললো ।
","5"
"আমি ছেলেটা গরীব কাজ খুঁজছিল যোগার করে দিয়ে ছি।
","5"
" আমার তাতে দোষ কি।
","5"
" পুলিশ বুঝলো এর পেছনে রাঘব বোয়াল।
","5"
" ছেলেটার মাকে ডাকলো ।
","5"
"ছেলেটার মা বললো আমরা যেখানে কাজ করি আরো দুজনের ছেলেকে মালিক দুবাই পাঠিয়েছে কাজের জন্য।
","5"
"তাদের ছেলেরা আসছে না ছেলের কথা বললে টাকা গুঁজে দেয়।
","5"
"এখন ছেলেদের জীবন বলে কথা।
","5"
"কথা চাপে বললেও ভয়ে ভয়ে ছিল।
","5"
"এবং ভাবছিল ছেলেটাকে যদি মেরে ফেলে সে কথা ও পুলিশ কে বললো।
","5"
" পুলিশ এবার নড়ে চড়ে বসলো।
","5"
" তেমন সামাজিক মর্যাদা সম্পন্ন ব্যক্তি চট করে প্রমাণ না যোগার করে কিছু করা যাবে না।
","5"
" গরীব মানুষ গুলো কে কি করে বাঁচাবে সেই চিন্তায়।
","5"
" আলোচনা য় বসলো।
","5"
" এ দিকে কিছু টের পেয়ে সেই মালিক  ওদের না না ভাবে ভয় দেখাতে লাগলো।
","5"
"ছেলের মুখ দেখতে চাইলে যেন চুপ থাকে।
","5"
"তবে পুলিশ কিছু টা আঁচ করলো।
","5"
" এই মালিকের উপর নজর রাখতে শুরু করলো।
","5"
" কিছু টা সন্দেহ জনক কিছু লক্ষ্য করলো।
","5"
" এর পর কোথায় যায় কার কাছে যায়।
","5"
"কি ব্যপারে কথা বলে এই সব খোঁজ করতে ছদ্মবেশী লোক পাঠিয়ে দিল।
","5"
" কিন্তু ওরাও নূতন লোক দেখলেই সন্দেহের চোখে দেখে।
","5"
"তাই বিশ্বাস অর্জন করতে না না খুঁজে এগিয়ে চললো।
","5"
" একদিন এমনি করে এমন কিছু ওরা পেল কিন্তু তার জন্য গল্প সাজালে হবে না তার জন্য উপযুক্ত ব্যবস্থা নিতে হবে।
","5"
"এমনি করে দুবাই কোথায় ব্যাবসা।
","5"
"ছেলেদের কোথায় পাঠিয়েছে।
","5"
" তার খোঁজ নিতে শুরু করলো।
","5"
"তার পর সন্দেহ হতে লাগলো ছেলে দুটো আদৌ বেঁচে আছে কিনা।
","5"
" তখন খোঁজ নিতে নিতে জানতে পারলো তাদের একটা হসপিটাল এর সাথে যোগাযোগ আছে।
","5"
" তখন ব্যাপার টা আরো ঘোলাটে মনে হলো।
","5"
" এক এক করে সিবিআই এবং ডিটেকটিভ ব্রাঞ্চে র সাথে যোগাযোগ করলো।
","5"
"এগিয়ে চললো তাদের একশন।
","5"
" দেখলো এক কিডনি রেকেট চক্র।
","5"
" হাতে নাতে ধরতে  চারিদিকে চর ছড়িয়ে দিল।
","5"
" এবং হাতে নাতে ধরার জন্য ।
","5"
"এক জন রুগী সেজে ঢুকে পড়ে চারিদিকে পুলিশ ছড়িয়ে দিয়ে ঢুকে পড়লো ।
","5"
"এবং এতদিনে সব রহস্যের সমাধান করতে ।
","5"
"এগিয়ে গেল সেই ছেলে দুটো র খোঁজ করে কত বছর আগে ।
","5"
"চেহেরা দেখিয়ে জানতে চাইলো ।
","5"
"তখন সকলে চিনতে পেরে বললো তারা এখানে দেখেছিল।
","5"
"তবে এখন নেই।
","5"
"কেন এসেছিল এবং চলেগেছে জিজ্ঞেস করতে বললো অসুস্থ ছিল।
","5"
"তখন বুঝতে পারলো সেই ছেলে গুলো র কিডনি চুরি গেছে।
","5"
"এবং গুম করে দেওয়া হয়েছে।
","5"
