"sentence","emotion category"
"আমার মৃত্যুর পরেই আমি জানতে পারি, আমার মৃত্যুর জন্য আমি নিজে দায়ী।
","5"
" ওরা শুধু আমার পেটে ছুরি মেরে চলে যায়।
","5"
" আমি ছুরি বের করার ফলে ভেতরে নাড়ি ভুড়ি সব ছিড়ে যায়।
","5"
" ডাক্তার মরার আগ পর্যন্ত আমাকে বাঁচানোর অনেক চেষ্টা করেছে।
","5"
" ছুরিটা আমি বের করে জ্ঞান হারিয়ে ফেলি।
","5"
" তারপর থেকে কিছু মনে নেই।
","5"
" কে আমাকে হাসপাতালে নিয়ে আসলো, কখন ভর্তি করল, কে বা আমার জন্য রক্ত দিল।
","5"
" মরে যাবার পরে পর সবাইকে দেখতে পাচ্ছি,  সবার কথা শুনতে পাচ্ছি, সবাই খুব আফসেট।
","5"
" কিন্তু আমি কিছুতে বুঝতে পারছি না কেউ কেন আমাকে খুন করতে চাইবে।
","5"
" বয়সই বা কত হয়েছে! সামনের জানুয়ারিতে ২৮ হবে।
","5"
" এখনো মরার বয়স হয়নি।
","5"
" এখন দিব্যি ঘুরবো, ফিরবো, জীবনের কত কাজ বাকি পড়ে থাকলো।
","5"
" রাণুকে খুব মনে পড়ছে, বেচারি কত স্বপ্ন দেখেছিল, আমার সাথে সংসার করবে।
","5"
" আমাদের ঘর আলো করে দুটো সন্তান আসবে।
","5"
" ওদের নিয়েই আমাদের বাকি জীবন পার করে দিব।
","5"
" রাণু এ্যামবুলেন্সে আমার লাশের পাশে বসে কাঁদছে।
","5"
" ও কখনো চিৎকার করে কাঁদতে পারে না।
","5"
" শুধু চোখ দিয়ে ছলছল করে অশ্রু ঝরছে।
","5"
" আমার দিকে তাকিয়ে থাকছে আর বারবার আমার মুখে হাত দিচ্ছে।
","5"
" তখন আমার অন্য রকম অনুভূতি হচ্ছে।
","5"
" মনে হচ্ছে স্রষ্টা যদি আবার আমার দেহে প্রাণ ফিরিয়ে দিতো।
","5"
" আমি কয়েক বার রাণুকে জড়িয়ে ধরতে চেয়েছি,ওর সাথে কথা বলার চেষ্টা করছি কিন্তু পারিনি।
","5"
" আমি বুঝতে পারছি না এরপরে কি হতে পারে।
","5"
" আমার আত্মা কিছুতে শান্তি পাচ্ছে না।
","5"
" আমাকে কে বা কারা হত্যা করতে চেয়েছে সেটা আমার জানতেই হবে।
","5"
" স্বর্গীয় দূতরা এসেছিল আমাকে নিতে।
","5"
" আমি তাদের মাধ্যমে স্রষ্টার কাছে একটা ফরিয়াদ করি আমি আমার হত্যার রহস্য উন্মোচন করতে চাই।
","5"
" আমার আত্মাকে আমার দেহের মধ্যে দিয়ে আমার প্রাণ ফিরিয়ে দিতে।
","5"
" কিন্তু আমার ফরিয়াদ শোনা হলো না।
","5"
" তবে আমাকে একটা সুযোগ দেওয়া হলো।
","5"
" আমার আত্মাকে মুক্ত করে দেওয়া হলো আমি চাইলে যে কোন জীবিত মানুষের শরীরে প্রবেশ করে নিজের মত করে নিয়ন্ত্রণ করতে পারবো।
","5"
" কিন্তু কোন অসাধু তান্ত্রিক যদি আমাকে তার বশ করে নিতে পারে তবে তার ইচ্ছে অনুযায়ী তার গোলামী করতে হবে।
","5"
" তার মৃত্যুর পর অথবা তার ইচ্ছা করে সে মুক্তি দিলে আমি মুক্তি পাবো।
","5"
"  আর যখন আমি আমার হত্যা করার জন্য যারা এসেছিল তাদের চিনতে পারবো তখন আমার আত্মাকে পৃথিবী থেকে নিয়ে যাওয়া হবে।
","5"
" আমি স্রষ্টার কাছে কৃতজ্ঞতা প্রকাশ করে রহস্য উন্মোচনের জন্য বেরিয়ে পড়লাম।
","5"
" আমাকে এমন একজনকে খুঁজে বের করতে হবে যার নাড়ী নক্ষত্র আমি জানি।
","5"
" কারণ ওর মত করে ওকে নিয়ন্ত্রণ করে রহস্য উন্মোচন করতে হবে।
","5"
" একটু এলোমেলো হলে হবে না।
","5"
" এলোমেলো হলে তান্ত্রিকের হাতে ধরা পড়ার ভয় থেকে যাবে।
","5"
" এমন মানুষ দুজন আছে।
","5"
" রবিন, আমার সৎ ভাই।
","5"
" কিন্তু আমি কখনো ওকে সৎ ভাই বলে মনে করিনি।
","5"
"  কিন্তু বহু বার আকাশ আমাকে সাবধান করেছে।
","5"
"  মা আর রবিন আমার বিরুদ্ধে কোন চক্রান্ত করছে।
","5"
" কিন্তু আমার কখনো তা মনে হয়নি।
","5"
" বরং আমি আকাশকে শাসিয়েছি।
","5"
" এমন উল্টাপাল্টা কথা বললে তাকে বাড়ি থেকে বের করে দিব।
","5"
" আকাশ আমার বাবার বন্ধুর ছেলে।
","5"
" ওর বাবা মা মারা যাবার পর থেকেই আমাদের বাড়ি আছে।
","5"
" আমাদের সাথে ওর বেড়ে ওঠা।
","5"
" আমরা তিন ভাইয়ের মত ছিলাম।
","5"
" ও আমার খুব ভালো বন্ধু এবং ভরসার পাত্র।
","5"
" বাবা আমাদের সম্পত্তির  একটা অংশ ওর নামেও রেখেছে কিন্তু ও কিছুই জানে না।
","5"
" বাবা বলেছে ও যে দিন বিয়ে করবে সেই দিনই ওর অংশ ওকে বুঝিয়ে দিতে।
","5"
" আমি এই দুজনের নাড়ি নক্ষত্র সব জানি।
","5"
" এদের যে কোন এক জনের উপর ভর করতে হবে বা এদের দুজনের উপর সুযোগ বুঝে ভর করতে হবে।
","5"
" আমাদের বাড়িতে আরো পাচঁ জন থাকে।
","5"
" আমার মামা মামি আর তার এক মাত্র মেয়ে রিয়া।
","5"
" আর মজিদ কাকা আর তার স্ত্রী।
","5"
" ওরা আমাদের বাড়ির অনেক পুরনো কাজের লোক।
","5"
" বাড়ির সব কাজ কাকিমা দেখে আর বাইরের কাজ মজিদ কাকা সামলায়।
","5"
