"sentence","emotion category"
"বিচক্ষনতা          @সিন্টু-বিডি.কম ""আরে জেল,হাজত ও জরিমানা তো পুরুষ লোকের জন্য।
","5"
""" পান চিবাতে চিবাতে ষাটোর্ধ সুপ্রিমকোর্টের এডভোকেট অজয় বাবু চেম্বারে গোমরা মুখ করে  বসে থাকা হাবা টাইপের লোকটাকে উদ্দেশ্য করে বললেন।
","5"
" বৃস্পতিবার সপ্তাহের শেষ দিন।
","5"
"দেখে মনে হয় কোর্ট বিল্ডিং এলাকায় বিচার প্রার্থী থেকে উকিলদের সংখ্যা বেশি।
","5"
"কালো গ্রাউন পরা এত বেশি সংখ্যক উকিল দের এক সাথে দেখলে যে কারো মনে হতে পারে দেশে কাকের চেয়ে উকিলের সংখ্যা বেশি।
","5"
"কিন্তু হাতে গুনা  মুষ্টিমেয় কয়েক জন ছাড়া ওকালতি পেশায়  অন্যদের তেমন সফলতা চোখে পড়ার মত না।
","5"
"হয়তো  কেউ কেউ বিভিন্ন পৈতৃক ব্যবসা আর রাজনীতি নিয়ে টিকে আছেন।
","5"
" ""৪৩৮"" নম্বর রুম।
","5"
" চট্টগ্রাম জজ কোর্টের এপেক্স বিল্ডিং।
","5"
" পুরা বিল্ডিং এর মধ্যে এই রুমটি বুধবার থেকে শনিবার দুপুর পর্যন্ত খুব জমজমাট থাকে।
","5"
"এডভোকেট অজয় ক্রিমিনাল কেইস গুলি দেখেন।
","5"
"চট্টগ্রামের অনেক বড় বড় ক্রিমিনাল কেইস গুলি ডিল করেন এবং উনার সাকসেস রেইট প্রায় ৯০%।
","5"
" ঢাকা সুপ্রিম কোর্টে, ঢাকার পল্টনের মানিকগঞ্জ হাউজে,চট্টগ্রামের হাজারী গলি, আর ৪৩৮ নম্বর রুম তো আছে।
","5"
" মোট চারটি চেম্বার ম্যানটেইন করেন তিনি।
","5"
" চারটি চেম্বারে ১০/১২জন জুনিয়র আর সহকারী আছেন ৬/৭ জন।
","5"
" মোট কথা রমারম ব্যবসা।
","5"
"আর এই বয়সে পাক্কা জহুরীর চোখে সব চিনে ফেলতে পারেন।
","5"
" তাই মক্কেলের চোখ দেখে বলতে পারেন ভিতরের আকুতি মাখা অনুভূতি।
","5"
" উকিল বাবু ১৫/২০ জন লোকের মাঝে হঠাৎ হাবা টাইপের লোকটাকে  টার্গেট করলেন কেন?
","5"
" কারন উকিল বাবু ঠিকই জানেন জাত অপরাধীর লক্ষন গুলি?
","5"
" এডঃ অজয়ের এমন প্রশ্নে হঠাৎ ভেগা ছেগা খেয়ে আমতা আমতা করে বলতে লাগলেন,""স্যার আমি না, আমি না, আমার---- --"" মাঝ পথে কথা থামিয়ে দিয়ে উকিল বাবু বললেন ""সেই এক কথা, "" তুমি না করলেও তোমার বউয়ের ভাই খুনটা করেছে আর কি?
","5"
"আর আমার চেম্বারে ক্রিমিনালই বেশী আসে?
","5"
""" ""উকিল বাবু সব জানেন।
","5"
"তার চোখে ফাঁকি দেওয়া চারটি খানি কথা না।
","5"
""" চামচা টাইপের একজন বলে উঠলেন।
","5"
" লোকটার নাম সাজ্জাদ।
","5"
"লোকে আড়ালে বজ্জাত বলে ডাকে।
","5"
"দেখে মনে হয় ভাজা মাছটাও উল্টিয়ে খেতে পারে না।
","5"
"কিন্তু মাদ্রাসায় পড়ুয়া এই লোকটা আসলেই বজ্জাতের হাড্ডি।
","5"
" মাথায় সারাক্ষন কুবুদ্ধি কিলবিল করে।
","5"
" যে দিন কারো ক্ষতি করতে পারে  না ঐদিন যেন তার ভাত হজম হয় না।
","5"
"কথায় আছে তো পরের ক্ষতি করতে করতে একদিন নিজের ও বড় ক্ষতি হয়ে যায়।
","5"
"তখন আর সংশোধন হওয়ার সময় থাকে না।
","5"
"সময়ই প্রকৃতির নিয়মে তার প্রতিশোধ ঠিকই নিয়ে নেয়।
","5"
" মনে মনে সাজ্জাদ ভাবতে লাগলো লোকটা জ্যোতিষী নাকি?
","5"
" আমি কোন কিছু না বলাতেই যেন সব খবর জেনে গেল?
","5"
" ""ঐ মিয়া তোমাকে বলছি,মনে মনে কি ভিড় ভিড় করছ।
","5"
" টাকা আনছ টাকা।
","5"
"দশ হাজার টাকা দাও।
","5"
" তার পর তোমার সব কথা শুনবো।
","5"
" আশা করি তুমি ঠিক জায়গায় এসেছ এবং তোমার সব কাজ হয়ে যাবে।
","5"
""" এক নিঃশ্বাসে সাজ্জাদকে উদেশ্য করে কথা গুলি বলে আর একটা পান মুখে পুরে দিল।
","5"
