"sentence","emotion category"
": লাশ :                             ১ সামনে এগিয়ে চলেছে একটি লাশ মানে অন্যের কাঁধে।
","5"
" 'আলি ভাইয়ের মৃত্যু আমরা মানছি না,মানব না'।
","5"
" শ্লোগান উঠছে বারে বারে মিছিল থেকে।
","5"
" সামনে দৃপ্ত পায়ে হেঁটে চলেছেন ""এগিয়ে ভারত"" দলের সভাপতি শ্যামল গুল।
","5"
" যদিও ব্যক্তিগত ভাবে আলি ভাইকে চিনি না এবং জানিও না উনি কিভাবে মারা গেছেন, এসেছি শুধু চাকরি বাঁচানোর খাতিরে।
","5"
" ঐ শ্যামল গুলের তৈরি একটা স্কুলে দৈনিক ১৫০ টাকার চাকুরে আমি।
","5"
" কয়েকটা টিউশনি আর এই চাকরি এই আমার সম্বল।
","5"
"    ভোটের আর বেশি দেরী নেই, তাই রাস্তা, বাজার রঙবেরঙের দলীয় পতাকায় ছেয়ে গেছে।
","5"
"মিছিল এগিয়ে চলেছে গ্ৰামের রাস্তা দিয়ে, কাবুলের আমবাগানের ভেতর দিয়ে, নিত্যপুরের হাটের মধ্যে দিয়ে।
","5"
" লোকজন একবার করে তাকিয়েই যে যার মত নিজের কাজে মন দিচ্ছে, একটা কুকুর ঘেউ ঘেউ করে উঠল হাটে ঢোকার পথে যেন এই মিছিলের তীব্র প্রতিবাদী ও একাই।
","5"
" অবশেষে আমাদের মিছিল গিয়ে থামল আলি ভাইয়ের কবরডাঙ্গার বাড়িতে।
","5"
" বাড়ি বললে ভুল হবে আসলে খড়, বাঁশের বেড়া আর টালির সংমিশ্রণে তৈরি একটি ধ্বংসস্তূপ বলা ভালো।
","5"
" দলীয় পতাকায় প্রায় মুড়ে দেওয়া হয়েছে বাড়িটা।
","5"
" দেখে মনে হবে এক ৯০ বছরের বৃদ্ধাকে যেন বেনারসী শাড়ি পড়ানো হয়েছে।
","5"
"      শ্যামল বাবু পৌঁছেই জোর তদারকি শুরু করে দিয়েছেন, আলির শোকস্তব্ধ পরিবারকে সান্ত্বনা দিচ্ছেন।
","5"
" পরিবার বলতে শুধু ওর বৌকে দেখা যাচ্ছে সাথে দুটো ছোট ছেলে।
","5"
"এত লোকের ভিড় দেখে মনে হয় বৌটি মনে হয় কাঁদার সাহস হারিয়ে ফেলেছে।
","5"
" বাচ্চা দুটো অপলক ভাবে তাকিয়ে রয়েছে এত কর্মকান্ডের দিকে।
","5"
" অন্যদিকে পঞ্চায়েত সদস্যরা এদিক ওদিকে দৌড়াচ্ছেন কেউবা আবার স্বামী হারা স্ত্রী কে সান্ত্বনা দিতে গিয়ে শ্যামল বাবুকে সান্ত্বনা দিয়ে দিচ্ছেন।
","5"
"সব কাজ মিটতে মিটতে ঘড়ির কাঁটা ১২টার ঘর পেরিয়ে গেল, প্রায় পৌনে একটায় মিছিল আবার কবরস্থানের উদ্দেশ্যে রওয়ানা দিল।
","5"
"                                 ২ 'তোমার লজ্জা করল না ঐ মিছিলে হাঁটতে'?
","5"
" সারাদিন অনেক হাঁটাহাঁটি হবার দরুন সন্ধ্যা বেলায় একটু তন্দ্রা লেগে এসেছিল চোখে,না হলে অসময়ে ঘুমানোর বাতিক আমার নেই?
","5"
" টেবিল থেকে চশমাটা তুলে চোখে দিয়ে বললাম 'কেন কি হয়েছে কি?
","5"
" সব ব্যাপারে বড়দের মত টিকটিক করিস না তো অনুপম'?
","5"
" অনুপম মানে আমার সদ্য স্নাতক উত্তীর্ণ ভাইয়ের মুখে কৌতুকের হাসি খেলে গেল।
","5"
" ' ঐ জাফর আলী মানে আজকে তোমাদের আলি ভাই মারা গেছে পরশু আমি নিজে তার কবরে মাটি দিয়েছি, তোমরা তার দেহটাই কবর থেকে তুলে..' -'থাম, যা জানিস না তাই নিয়ে জ্যাঠামো করিস না।
","5"
" অনেক বড় হয়ে গেছিস না তুই?
","5"
"' বললাম আমি?
","5"
" -'এটা জ্যাঠামো নয়, যে লোকটা রাজনীতি থেকে শত হাত দূরে ছিল তোমরা তাকেই দলের লোক বানিয়ে দিলে?
","5"
" ছিঃ' - 'তুই কতটুকু চিনিস জাফর আলীকে?
","5"
"' কিছুক্ষণ চুপ করে থাকার পর অনুপম আস্তে আস্তে জবাব দিল ' হ্যাঁ, আমি চিনি, আমার সবথেকে কাছের বন্ধু ছিল আর তুমি তো গিয়েছিলে মোসাহেবি করতে?
","5"
"' কিছুক্ষণ আমার মুখে কথা এল না, চশমাটা ঝাপসা ঝাপসা লাগছে।
","5"
