"sentence","emotion category"
"লাল চা (সংঘমিত্রা রায়চৌধুরী) --------------------------------- বাইরে বৃষ্টির দাপট আরও বেড়ে গেছে, কারেন্ট চলে গেল আর এমন সময়ই হঠাৎ দরজায় কেউ নক করল... তিতাস বাড়ীতে একা ছিলো।
","5"
" নক করার আওয়াজ শুনে ওর চোখটা চট করে একবার দেওয়াল ঘড়ির দিকে গেলো।
","5"
" সাড়ে সাতটা।
","5"
" সাধারণত বাবা এসময় ফিরে আসে।
","5"
" তবে এখনো ফিরতে পারে নি আজ।
","5"
" বোধহয় এই তুমুল ঝড় বৃষ্টির জন্য ট্রেন লেট।
","5"
" ছ'টার কাছাকাছিতে তো শুরু হয়েছে।
","5"
" পাক্কা প্রায় ঘন্টা দেড়েক ধরে প্রকৃতির এই তান্ডব চলছে।
","5"
" এমনিতেই তো মায়ের ফিরতে সাড়ে ন'টা বেজে যায়।
","5"
" আজ যে কি হবে কে জানে?
","5"
" মুহুর্মুহু বাজ পড়ছে, সেই ঝড় শুরু হওয়ার সঙ্গেই শুরু?
","5"
" প্রথম থেকেই এতো বাজ পড়ছে যে তিতাস ভরসা করে মা বাবাকে ফোন করে খবরও নিতে পারছে না, কোলকাতায় কি হচ্ছে, আর ওরা এখন কোথায়?
","5"
" এখন ফোন করলে বাবা মা দু'জনেই ওকে ভীষণ বকবে?
","5"
" বাবা এলে তো বাইকের আওয়াজও পেতো।
","5"
" আর তাছাড়া কারেন্ট অফ থাকলে বাবা ওর নাম ধরে চিৎকার করে ডাকে।
","5"
" একেবারে স্ট্রিক্টলি বলা আছে যে চেনা গলার আওয়াজ না পেলে বা আই হোল দিয়ে না দেখে কোনো অবস্থায়ই দরজা খুলবে না।
","5"
" তিতাস স্কুল থেকে ফেরার পর ট্যুইশনে যাওয়া পর্যন্ত রেশমীপিসি থাকে।
","5"
" রাতের খাবার আর বাবা-মার জন্য আদা দিয়ে লাল চা করে ফ্লাস্কে রেখে, সব গুছিয়ে গাছিয়ে রেখে তারপর রেশমীপিসি বাড়ী চলে যায়।
","5"
" আজও যতক্ষণ রেশমীপিসি ছিলো ততক্ষণ আকাশ পরিষ্কার, মেঘের লেশমাত্রও খেয়াল করে নি।
","5"
" তাছাড়া তিতাস জিওগ্রাফি প্র্যাকটিক্যাল খাতা তৈরী নিয়ে একটু ব্যস্তও ছিলো।
","5"
" পাঁচটা নাগাদ রেশমীপিসি বেরোলো রোজকার মতোই, তিতাস দরজা বন্ধ করে এসে একটু টিভি চালিয়ে বসেছিলো সিআইডি দেখতে।
","5"
" খানিকক্ষণ পরেই ঝোড়ো হাওয়া উঠতে শুরু করেছিলো আকাশ কালো করে।
","5"
" রোজ বাড়ী যাবার পথে, বিকেলে তিতাসকে রিক্সায় বা টোটোতে তুলে দিয়ে তবেই রেশমীপিসি স্টেশনের ওপারে নিজের বাড়ীতে যায়, মায়ের কথামতোই।
","5"
" বন্ধুদের সাথেই বেশীরভাগ ফেরে তিতাস ট্যুইশন থেকে, সাতটা নাগাদ, আর ততক্ষণে বাবাও ফিরে আসে কলেজ থেকে।
","5"
" টুয়েলভে ওঠার পর থেকে রোজ ট্যুইশন নেই।
","5"
" তাই জন্য এই কেবলমাত্র শুক্রবারটাতেই পুরো সন্ধ্যেটা তিতাসকে একদম একলাই থাকতে হয়, বাবা-মা না ফেরা পর্যন্ত।
","5"
" বাবা বলেছে তিতাস এখন যথেষ্ট বড় হয়েছে ওটুকু সময় একা থাকতে পারবে।
","5"
" মা আর রেশমীপিসি শুনে শুধু চোখাচোখি করেছে, বাবার মুখের ওপর কেউ আর কিছু বলে নি।
","5"
" তিতাসের এবার কান্না পাচ্ছে।
","5"
" দরজায় নক করার আওয়াজটা হয়েই চলেছে।
","5"
" বাইরে গাঢ় অন্ধকারে কিছু দেখা যাচ্ছে না।
","5"
" তিতাস এমার্জেন্সি লাইটটা তুলে ধরে আই হোলের ভেতর দিয়ে দেখতে চেষ্টা করলো, কিন্তু কিচ্ছু দেখা যাচ্ছে না।
","5"
" দরজায় নক করার আওয়াজ থামে নি এখনো।
","5"
" তিতাস এবার সাহসে ভর করে কাঁপা কাঁপা গলায় জিজ্ঞেস করলো, ""কে, কে, কাকে চাই?
","5"
""" ""আরে আমি, দরজা খোলো,"" রেশমীপিসির গলা?
","5"
" চেনা গলা পেয়ে তিতাস যেন হাঁফ ছেড়ে বাঁচলো।
","5"
" দরজাটা খুলে দিলো।
","5"
" রেশমীপিসি ঘরে ঢুকে এলো, আর একরাশ ভেজা ঠান্ডা হাওয়া এসে তিতাসের মুখে ঝাপটা মারলো।
","5"
" এতক্ষণের উৎকন্ঠা কাটানোর পরে রেশমীপিসিকে দেখে তিতাসের গলার কাছে একদলা কান্না যেন পাকিয়ে উঠলো।
","5"
" রেশমীপিসি তিতাসের জ্ঞান হবার আগে থেকেই ওদের বাড়ীতে।
","5"
" তিতাসের মাও নিশ্চিন্তে অফিস করেছে রেশমীপিসির ভরসায় তিতাসকে রেখে।
","5"
" আগে রেশমীপিসি তিতাসদের বাড়ীতেই রাতেও থাকতো।
","5"
" তারপর যখন স্বামীপরিত্যক্তা রেশমীপিসির বিয়ে হোলো আবার, তখন থেকে আর থাকতে পারে না রাতে।
","5"
" তার ওপর আবার কিছুদিন হোলো রেশমীপিসির মাও কোমর ভেঙে শয্যাশায়ী, রেশমীপিসি নিজের কাছে এনেই রেখেছে।
","5"
" আসলে রেশমীপিসির আগের স্বামী তাড়িয়ে দিয়েছিলো বাচ্চা কাচ্চা হয় নি বলে।
","5"
" আর এখনকার স্বামী আজাদ রিক্সা চালায়, আর যা রোজগার করে সবটাই নেশায় উড়িয়ে দেয়।
","5"
" তাই সংসার চালু রাখতে আর মায়ের দায়িত্ব সামলাতে রেশমী পিসির আর তিতাসদের বাড়ীর কাজটা ছাড়া হয় নি।
","5"
" তিতাসকে ভীষণ ভালোবাসে রেশমীপিসি, সেই ছোট্ট থেকে কোলে পিঠে করে বড়ো করেছে তো।
","5"
" তাই আজকে এই ঝড়বৃষ্টি মাথায় নিয়েই রেশমীপিসি চলে এসেছে, শুধু একলা বাড়ীতে তিতাস ভয় পাবে বলেই।
","5"
" একদম চুপচুপে হয়ে ভিজে গেছে রেশমীপিসি।
","5"
" তিতাস বললো, ""রেম্মীপি, তুমি আবার এইরকম ভিজে ভিজে এলে কেন?
","5"
" ছাতা নিয়ে আসো নি কেন?
","5"
" আমি ঠিক থাকতে পারতাম?
","5"
" বাবা ভাববে আমি তোমাকে আটকে রেখেছি।
","5"
""" ""বাব্বা, তিতু অনেক বড়ো হয়ে গেছে তো, ভয় পাবে না বলছে।
","5"
" ছাতা ভুলে গেছি গো, তোমাদের বাড়ী থেকে গিয়ে অন্য একজায়গায় গেছিলাম কিনা, তাই,"" হাসতে হাসতেই বললো রেশমীপিসি, ""খালি এখনো সেই রেম্মীপি!""  তিতাস লজ্জা পেয়ে হেসে ফেললো।
","5"
" সেই কোন ছোট্টবেলায় রেম্মীপি ডাকতো, এখনো ঐ ডাকটাই রয়ে গেছে।
","5"
" রেশমীপিসিও তিতাসকে আদর করে তিতু বলেই ডাকে এখনো।
","5"
" তিতাস বললো এবার, ""রেম্মীপি, তুমি ভিজে কাপড়টা ছেড়ে নাও গো, শরীর খারাপ করবে।
","5"
""" ""না,না, আমার কিচ্ছু হবে না,"" বলে রেশমীপিসি কাপড় ছাড়তে ঢুকলো ছোট বাথরুমে।
","5"
" ওখানেই রেশমীপিসি নিজের কাপড়চোপড় রাখে, ও বাথরুমটা তেমন দরকার পড়ে না ওদের, তাই।
","5"
" বাইরে উল্টোপাল্টা হাওয়া আর বৃষ্টি সমানতালে চলছে এখনো।
","5"
" বাবা বা মা কেউই এখনো ফোনও করে নি।
","5"
" কারেন্টটাও এখনো আসে নি।
","5"
" নাহলে তবু টিভি দেখা যেতো বসে বসে, কাল শনিবার, তিতাসের আর মায়ের ছুটি, বাবার হাফ ডে।
","5"
" তাই আজকাল শনিবার সকালেই শুধু মা রেশমীপিসিকে আসতে বলে।
","5"
" শনিবার বিকেলে রেশমীপিসির ছুটি।
","5"
"ওর অসুস্থ বুড়ি মায়ের কাছে যাতে একদিন একটু বেশী সময় থাকতে পারে।
","5"
" তাছাড়া রেশমীপিসিরও তো বয়স বাড়ছে, একবেলা বিশ্রাম তো দরকার হয়।
","5"
" মাও খুব ভালোবাসে রেশমীপিসিকে।
","5"
" তিতাসের ছ'মাস বয়স থেকে এই এতো বছর টানা ওদের বাড়ীতে, তাই রেশমীপিসিও ওদেরকে খুব আপন ভাবে।
","5"
" তিতাস আর রেশমীপিসি বসে বসে নানানরকম গল্প করছে, তাও এতক্ষণে মাত্র ন'টা বাজে।
","5"
" হাওয়ার দাপট কমেছে, কিন্তু বৃষ্টি বেশ ভালোই পড়ছে।
","5"
" রেশমীপিসি বললো, ""তিতু, তুমি বরং খেয়ে নাও, তোমার জন্য আজ তো রুটি আলু-পেঁয়াজ ভাজা আর অমলেট করে রেখেছি।
","5"
" বাবা মা এখনো ফেরে নি, সন্ধ্যেবেলা তো আজ আর বাবার সঙ্গে কিছু খাওয়া হয় নি, ক্ষিদে পেয়েছে তো এতক্ষণে।
","5"
" সেই কখন ইস্কুল থেকে এসে ভাত খেয়েছো।
","5"
""" সত্যিই তিতাসের ক্ষিদে পেয়েছে।
","5"
" ""নাও, তুমি বোসো, খেয়ে নাও,"" বলে রেশমীপিসি মোমবাতির কাঁপা কাঁপা আলোয় তিতাসকে খেতে দিয়ে দিলো।
","5"
" তিতাস খেতে বসে বললো, ""রেম্মীপি, তুমিও খাও।
","5"
""" রেশমীপিসি বললো, ""না গো, আমার ক্ষিদে পায় নি এখনো, তুমি খাও।
","5"
""" তোমার বাবা মা কেউ একজন ফিরলেই আমি বাড়ী যাবো, তারপর আমার মা'কে খাইয়ে তবে খাবো।
","5"
" এখন তুমি খেয়ে নাও, রুটি ঠান্ডা হয়ে যাচ্ছে।
","5"
""" তিতাস আবার বললো, ""না, তুমিও কিছু খাও আমার সঙ্গে, তুমিও তো সেই দুপুরে আমার সাথেই ভাত খেয়েছো, আমার ক্ষিদে পেয়েছে আর তোমার ক্ষিদে পায় নি?
","5"
""" রেশমীপিসি হাসতে হাসতে বললো, ""আচ্ছা বাবা, আচ্ছা, তোমার সাথে কথায় আমি পারবো না?
","5"
" খালি কথায় বড়ো হলে হবে?
","5"
" কাজেও তো বড়ো হতে হবে!"" ""বাবা-মা আর কখন লাল চা খাবে?
","5"
" রেম্মীপি তুমি বরং চা'টাই খেয়ে নাও অনেকগুলো বিস্কুট দিয়ে,"" বলে তিতাস চেয়ার ছেড়ে উঠে গিয়ে রেশমীপিসিকে ফাইবারের প্লেটে করে বেশ অনেকগুলো বিস্কুট এনে দিলো?
","5"
" আর ফ্লাস্ক থেকে চা ঢেলে কাপে ভর্তি করে দিলো।
","5"
" ""রোজ রোজ তো তুমিই আমাকে খেতে দাও, আজ আমি তোমায় দিলাম,"" বলে তিতাস চায়ের কাপটা রেশমীপিসির সামনে রাখলো।
","5"
" ঠিক একোরিয়ামের টেবিলটার পাশেই দেওয়ালে হেলান দিয়ে মেঝেতে দু'হাঁটু মুড়ে বসেছে রেশমীপিসি, ওর নাকি মেঝেতে না বসলে আরাম হয় না, তাই।
","5"
" তিতাসের মুখে কথাটা শুনে রেশমীপিসির চোখদুটো যেন ছলছল করে উঠলো।
","5"
" তিতাস খেয়ে উঠে সবে হাত ধুচ্ছে এমন সময় বাবার ফোন, মা বাবা একসাথেই হাওড়া থেকে ট্রেনে উঠেছে।
","5"
" ঝড়ে আর বাজ পড়ে কয়েকঘণ্টার জন্য সব ট্রেন চলাচল বন্ধ ছিলো।
","5"
" মোবাইল ফোনের টাওয়ারও কাজ করছিলো না, তাই ফোন করতেও পারে নি।
","5"
" রাত প্রায় দশটা বাজে, তিতাস যেন খেয়ে নেয়।
","5"
" তিতাস বললো, ""বাবা, চিন্তা কোরো না, আমার খাওয়া হয়ে গেছে, রেশমীপিসি রয়েছে আমার কাছে।
","5"
" আমাকে ঠিক সময়ে খেতে দিয়ে দিয়েছে।
","5"
" এখন আমরা গল্প করছি।
","5"
" তোমরা সাবধানে এসো।
","5"
""" এখনো কারেন্ট আসে নি, এমার্জেন্সি লাইটটা তো অনেক আগেই দপদপ করে নিভে গেছে, আর এটাই শেষ মোমবাতি।
","5"
" রেশমীপিসি বললো, ""তিতু, মোমবাতিটা বরং, নিভিয়ে দাও, তুমি তো এখন আর পড়াশোনা করছো না, শুধু শুধু আলো জ্বেলে রেখেই বা কি হবে?
","5"
""" একটু থেমে আবার বললো, ""তিতু, তার চেয়ে বরং তোমার ফোনে গান চালাও?
","5"
""" তিতাসের কাছে মায়ের পুরোনো ফোনটা আছে গানভর্তি, ওতে সিমকার্ড নেই, শুধু গানই শোনে ওতে তিতাস।
","5"
" তিতাস ব্লুটুথ অন করে স্পিকারে গান চালিয়ে দিলো।
","5"
" পুরোনো পুরোনো সব হিন্দি গান, মা খুব ভালোবাসে, রেশমীপিসিও ওসব গানই শুনতে চাইলো।
","5"
" তিতাসেরও ওসব গান ভালোই লাগে।
","5"
" গান শুনতে শুনতেই রেশমীপিসি রান্নাঘরে টুকিটাকি কিছু কাজ সারলো, অন্ধকারেই হাতড়ে হাতড়ে বোধহয়।
","5"
" প্রায় এগারোটা নাগাদ তিতাস বাবার বাইকের আওয়াজ পেলো, ততক্ষণে বৃষ্টি একেবারে থেমে গেছে।
","5"
" আকাশ পরিষ্কার হয়েছে, তারায় ভরা আকাশে তৃতীয়ার ফালি চাঁদ।
","5"
" তিতাস ফোনের টর্চ জ্বালিয়ে মোমবাতিটা হাতে নিলো আর রেশমীপিসি উঠে দাঁড়িয়ে বললো, ""আমি নীচে গিয়ে গেট খুলে দিয়ে বাড়ী চলে যাবো, কেমন?
","5"
" কাল তো ছুটি, তিতু মা'কে বোলো আমি দেরী করে আসবো একটু?
","5"
