"sentence","emotion category"
"|| ১ || কলকাতায় সাধারণত এত শীত পড়ে না।
","5"
" বছরের শুরুটাই হাড়কাঁপানো ঠান্ডার মধ্যে দিয়ে এল।
","5"
" পয়লা তারিখ, নতুন বছর, তাও সকাল সাতটায় হাজিরা দিতে হবে, তারপর ফালতু ব'সে থাকো।
","5"
" সোয়েটারের উপর একটা হুডি চাপিয়ে চেয়ারে ব'সে কাঁপছি, হঠাৎ সুশোভন ঢুকল ঘরে।
","5"
" উল্টোদিকে ব'সে প'ড়ে বলল, ""একটা ফাটাফাটি মার্ডার কেসে যাবে নাকি?
","5"
""" আমি নড়েচড়ে বসলাম?
","5"
" বললাম, ""মার্ডার?
","5"
" বছরের শুরুতেই?
","5"
" কে খুন হ'ল?
","5"
""" সুশোভন বলল, ""অনিরুদ্ধ বাগচী?
","5"
" হাজরার দিকে বাড়ি।
","5"
" ওখান থেকেই এলাম।
","5"
""" আমি বললাম, ""তুমি একা গেছিলে স্পটে?
","5"
" আমার ফোন লাগছিল না, নাকি পোঁদে কেউ সুড়সুড়ি দিয়েছে ব'লে ডাকোনি?
","5"
""" সুশোভন হেসে বলল, ""আরে দাদা তুমি ভোররাত্রে কোনওদিন স্পটে গেছ নাকি যে ডাকব?
","5"
" ভাবলাম হয়তো বৌদির সাথে কোনও প্ল্যান রয়েছে নিউ ইয়ারের, তাই ডাকিনি?
","5"
" আমি গিয়ে কেসটা দেখে এলাম, এখন তুমি চলো, সরেজমিনে দেখবে।
","5"
""" আমি হেলান দিয়ে ব'সে একটা সিগারেট ধরিয়ে বললাম, ""শুনি কেসটা আগে।
","5"
" ডিটেইলে বলো।
","5"
""" সুশোভন গুছিয়ে ব'সে বলল, ""হাজরা থেকে আলিপুর যাওয়ার পথে এদের বাড়ি।
","5"
" বিশাল বড়ো একটা বিল্ডিং, তার মধ্যে অনেক ফ্যামিলি থাকে।
","5"
" মানে বেশিরভাগটাই ভাড়া আর কী।
","5"
" মেসও আছে তিনতলায়।
","5"
""" আমি বললাম, ""কততলা বাড়ি?
","5"
""" সুশোভন বলল, ""পাঁচতলা?
","5"
" চারতলা আর পাঁচতলা মিলে মেইন ফ্যামিলি থাকে, মানে বাগচীরা।
","5"
" নীচের তিনটে ফ্লোরে ভাড়া।
","5"
" ফ্যামিলির হেড হচ্ছেন অলোক বাগচী, তিনি শয্যাশায়ী।
","5"
" বয়স প্রায় সত্তরের কাছাকাছি।
","5"
" ছোটোছেলে অনিরুদ্ধ, বয়স আটত্রিশ।
","5"
" সল্টলেকে আইটিতে চাকরি করে।
","5"
" কী যেন ডিপার্টমেন্টের হেড।
","5"
" বিবাহিত, একটি দশ বছরের মেয়ে আছে।
","5"
""" আমি বললাম, ""আর বাকি ভাইরা?
","5"
""" সুশোভন বলল, ""আর একটিই ভাই, অনির্বাণ?
","5"
" একচল্লিশ বছর বয়স, অবিবাহিত।
","5"
" এছাড়া অলোকবাবুর স্ত্রী আছেন, আশাপূর্ণা।
","5"
" তার বয়স ষাট।
","5"
" বেশ চাঙ্গা মহিলা, ছোটোছেলের মৃত্যুতেও খুব একটা ভেঙে পড়েছেন ব'লে মনে হ'ল না।
","5"
""" আমি বললাম, ""এ তো গেল সংসার।
","5"
" ঘটনাটা বলো।
","5"
