"sentence","emotion category"
"উফ্! আর পারছি না আমি! কি করব কিছু মাথায় আসছে না।
","5"
" তিন দিন হল দিশা আমায় ছেড়ে চলে গেছে, সাথে মিষ্টি (আমাদের মেয়ে) কেও নিয়ে গেছে।
","5"
" আমার বাড়ির লোকের সাথে তো আমি নিজেই সম্পর্ক শেষ করে দিয়েছিলাম, তাদের সাথেও যোগাযোগ নেই আজ প্রায় পাঁচ বছর।
","5"
" ১ সেদিন তুলিকে দেখলাম।
","5"
" একদম মনেই ছিলনা ওর কথা, তবু হঠাৎ এক ঝলক ওকে দেখেই যেন মনে হল ওকে কোনদিন ভুলিইনি আমি।
","5"
" আমি দাঁড়িয়েছিলাম এসপ্ল‍্যানেড মেট্রো স্টেশনের বাইরে এক কলিগের জন‍্য, ওখান থেকে আমাদের দমদম যাওয়ার কথা।
","5"
" একটা ক্লায়েন্ট মিটিং ছিল।
","5"
" এইসব সময় মনে হয় ভাগ‍্যিস মোবাইল নামক বস্তুটি আবিষ্কার হয়েছিল! কোথাও একা অপেক্ষা করতে হলে মোবাইল টা বেশ ভালো সঙ্গ দেয়, ওই একা-বোকা ভাব টা আর আসে না, যদিও মোবাইলেও বিশেষ কিছু করার নেই, নেট টা অন করে টুকটাক এই অ‍্যাপ ওই অ‍্যাপে ঘুরছি, হঠাৎ একটা ঝকঝকে অউডি গাড়ি চোখে পড়ায় দৃষ্টিটা আটকে গেল ওইদিকে।
","5"
" অউডি টা থামলো গ্র‍্যান্ডের সামনে।
","5"
" ড্রাইভিং সিটে ছিলেন এক বছর পঁয়ত্রিশ-ছত্রিশের ভদ্রলোক আর পাশে ছিল তুলি।
","5"
" পেছনে ছিলেন একটি দুই-আড়াই বছরের ঘুমন্ত শিশু কোলে এক বয়ষ্কা।
","5"
" সেই বয়ষ্কা বাচ্চাটি কোলে বেরিয়ে এলে ওনার পাশে রাখা ফোল্ডিং প্র‍্যাম টা বার করে আনলেন ভদ্রলোক, তারপর তিনি আবার গাড়িতে বসে গাড়ি পার্ক করতে এগিয়ে গেলেন।
","5"
" তুলি প্র‍্যাম টা আনফোল্ড করে, বাচ্চাটাকে কোলো নিয়ে একটু আদর করে প্র‍্যামে শুইয়ে দিয়ে সেই বয়ষ্কার সাথে কথা বলতে বলতে এগিয়ে গেল গ্র‍্যান্ডের গেটের দিকে।
","5"
" প্রথমটায় আমার বিশ্বাস হয়নি, তবে ওই নির্ভেজাল হাসি আর কারও হতে পারে না।
","5"
" তাকিয়ে ছিলাম আমি ওই দিকে।
","5"
" অনেক বদলে গেছে তুলি, শরীরে, পোশাকে, হাবেভাবে, তবে ওই নিষ্পাপ চশমায় ঢাকা চোখ দু'টো ঠিক আগের মতোই আছে।
","5"
" ওই বাচ্চাটি বোধহয় ওরই, ভদ্রলোক ওর স্বামী, আর বয়ষ্কা সম্ভবত ওর শাশুড়ি, দেখে খুব সুখী মনে হচ্ছে ওকে।
","5"
" আমি আমার বুকে হঠাৎ একটা মোচড় টের পেলাম।
","5"
" তুলিকে দেখে যতটা অবাক হইনি, তার চেয়ে অনেক বেশি অবাক হলাম বুকের মোচড়টায়।
","5"
" এটা কিসের ইঙ্গিত! অনুশোচনার না বিস্ময়ের! তুলিরা ওই ভদ্রলোকের অপেক্ষায় যেখানে দাঁড়িয়েছিল, আমি যেন অজান্তেই ওখানে চলে গেছিলাম।
","5"
" দারুন লাগছে ওকে দেখতে।
","5"
" তুলি একবার চোখ তুলে দেখল আমায়, ওর মুখে ভাবের কোন পরিবর্তন দেখলাম না, ওরা কথা চালিয়ে যাচ্ছিল, এর মধ‍্যে সেই ভদ্রলোক চলে আসায় ওরা ভেতরে ঢুকে গেল, আমি দাঁড়িয়ে রইলাম রোদের মধ‍্যে।
","5"
" যাকে আমি একসময় মানুষ বলেই মনে করিনি, তাকে এত সুখী দেখে কি আমার খারাপ লাগছে নাকি হিংসে হচ্ছে! বুঝলাম না।
","5"
" কিন্তু কোনকিছুই বা হবে কেন! যাকে আমি ভুলেই গেছিলাম তাকে দেখে মনের মধ‍্যে এই রেখাপাতের কারন আমি কিছুতেই ঠাওর করতে পারলাম না।
","5"
" শুধু খেয়াল করলাম হাতের ফোনটা বেজে চলেছে।
","5"
" ২ আমি তুলিকে খুব ভালোবাসি।
","5"
" ওহ্! ক্ষমা করবেন! আমি দিশাকে খুব ভালোবাসি, তবু ও ভুল বুঝলো আমায়।
","5"
" আমাদের ছোট্ট পরিবার খুব সুখের জানেন! আমি, দিশা আর আমাদের চার বছরের ছোট্ট মেয়ে মিষ্টি।
","5"
" আমি একটি নামী বেসরকারী সংস্থার সেলস ডিপার্টমেন্টে কাজ করি, ভালোই মাইনে, শুধু মাঝেমধ‍্যে একটু বাইরে যেতে হয়।
","5"
" দিশার সাথে এক বছরের প্রেম, তারপর আমরা বিয়ে করি, আর তার পরের বছর আমার মেয়ে আসে আমাদের ঘর আলো করে।
","5"
" আমি নিজেকে আগা গোড়াই খুব বুদ্ধিমান মনে করি।
","5"
" নাঃ, শুধু মনে করি না আমি মানুষটা বুদ্ধিমানই।
","5"
" জীবনে অনেক কিছুই সহজে পেয়েছি।
","5"
" কেন জানেন! কারন আমি আমার লক্ষ এবং আমার মাঝে আবেগ কে আসতে দিইনি কোনদিন।
","5"
" আমার মনটা খুব শক্ত, সেটা আমার একটা বিশাল বড় গুন বলে মনে করি আমি, কারন আমার বিশ্বাস মস্তিষ্ক আমাদের দেয় কিন্তু হৃদয় শুধুই কেড়ে নেয়।
","5"
" জানিনা এই বিশ্বাস আমার মনে কবে কখন কে কিভাবে গেঁথে দিয়েছিল, তবে খুব ছোট থেকেই আমি এভাবেই বেড়ে উঠেছি।
","5"
" হয়তো এটাই আমার মানসিক গঠন যেটা অন‍্যদের থেকে আমায় আলাদা করে।
","5"
" আপনাদের মনে হতে পারে, আবেগ ছাড়া প্রেম কিকরে সম্ভব।
","5"
" আমি বলব সম্ভব।
","5"
" আসলে প্রেমটা একটা প্ল‍্যান।
","5"
" হ‍্যাঁ! প্ল‍্যান! এখন কেউ আবার বলবে সেটা ভাগ‍্যের প্ল‍্যান।
","5"
" কিন্তু আমার মতে ভাগ‍্য জিনিসটা বোকা এবং ইমোশনাল লোকেদের জন‍্য।
","5"
" আসলে প্রেমটা মানুষেরই প্ল‍্যান, হৃদয়ের বিনিয়োগ না করে জিনিসপত্র পরখ করার মতোই মানুষ পরখ করে যাও, যার সাথে সব ঠিকঠাক মনে হবে, লেগে পর, আর কী! যে সময় আমার দিশার সাথে সম্পর্কটা গড়ে ওঠে, বলতে পারেন ব‍্যাপারটা আমার প্ল‍্যানের একটা অংশ।
","5"
" আমি ঠিক করেই রেখেছিলাম কখন বিয়ে করব, দিশার সাথে পরিচয়টাও হয়ে গেল এক আত্মীয়ের মাধ‍্যমে, আমিও ভেবে দেখলাম এর সাথে মিলে মিশে দেখা যেতে পারে, বিয়ে যখন করবই, তাতে একে অপরকে জানতে শুনতে আপত্তি কোথায়! নিজের সিদ্ধান্ত চিরকাল নিজে নিতেই অভ‍্যস্থ আমি, তাই এতে শুধু দিশার মনের কথাটা বোঝা ছাড়া আমার আর কোন দায় ছিল না।
","5"
" আর প্রথম দিন ওর সাথে কথা বলেই বুঝেছিলাম যে ওর আমাকে ভালোই লেগেছে, তাই সম্পর্কটা এগোতে সময় লাগেনি।
","5"
" ৩ তুলির সাথে আমার পরিচয় অনলাইন।
","5"
" আমি তখন সদ‍্য একটা কোম্পানী তে জয়েন করেছি।
","5"
" তুলি যাদবপুরে থাকত, আর আমার বাড়ি ব‍্যারাকপুর।
","5"
" আমাদের দু'জনের মধ‍্য মিল বলতে শুধু ওই জায়গা দুটির নামের শেষে ""পুর"" টুকু, আর কোন মিল ছিল না আমাদের।
","5"
" আমি নিজেই স্বীকার করি যে খোলা মন আমার কোনদিনই খুব একটা ছিল না।
","5"
" দক্ষিন কলকাতার লোকেদের হাইফাই রকম সকমে আমার আবার একটু কম্প্লেক্স বোধও কাজ করত।
","5"
" আপনাদের মিথ‍্যে বলব না।
","5"
" তেইশ বছর বয়সেও আমার মাথাতে কোনদিনও আসেনি যে সবকিছুরই ব‍্যাতিক্রম থাকে, সবাই এক হয় না।
","5"
" তুলি সেরকমই একটা ব‍্যাতিক্রম বলতে পারেন।
","5"
" তুলিকে দেখতে তেমন ভালো ছিল না, বরং একটু কুৎসীতের দিকেই বলা চলে।
","5"
" শ‍্যামলা গায়ের রঙ, ছোট করে কাটা অনতিঘন চুল, আকর্ষনীয় ছিল শুধু ওর শরীর টা, আমার যেমনটা পছন্দ ঠিক সেরকম।
","5"
" আমি তখন চাকরী পেয়ে পুরো স্বাধীন আর আমার প্ল‍্যান অনুযায়ী আমার সেটা ফুলে ফুলে মধু খেয়ে বেড়ানোর সময়।
","5"
" তেমন ই এক মুহূর্তে তুলি এসে পড়ল আমার জীবনে।
","5"
" আমি বেশ কয়েকদিন কথা বলার পর জেনেছিলাম ও বড় আমার থেকে, দু'বছরের।
","5"
" সেদিন বিশ্বাস করুন মনে মনে খুব খুশি হয়েছিলাম, এটা একটা অন‍্যরকম অভিজ্ঞতা হবে এই ভেবে।
","5"
" তুলি কথায়-ব‍্যাবহারে খুব মিশুখে একটি মেয়ে, ওর কাউকে বন্ধু বানাতে বেশি সময় লাগে না, খুব সুন্দর কথা বলে আর হাসি-খুশি একজন মানুষ।
","5"
