"sentence","emotion category"
"এক. কিছুদিন আমার কাজের চাপ কম থাকাতে প্রায় মুহিবের বাসায় যেতাম।
","5"
" মুহিব কিন্তু পেশায় ডাক্তার, খুব বেশি প্র্যাকটিস করে না।
","5"
" ওর কথা হচ্ছে বাঁচার জন্য যেটুকু দরকার সে পরিমান উপার্জন হলেই তো হল।
","5"
" জীবনে এডভেঞ্চারের দরকার আছে।
","5"
" সে জন্য পাশাপাশি গোয়েন্দার কাজটা করে।
","5"
" বাহিরে সূর্যের প্রখরতা আস্তে আস্তে বাড়ছে।
","5"
" আমরা দু'জন মেডিকেলের একটা বিষয় নিয়েই কথা বলছিলাম এমন সময় কলিং বেল বেজে উঠল।
","5"
" দরজা খুলতেই একজন লোক রুমে ঢুকে ধপাস করে সোফায় বসে পড়ল।
","5"
" - আমাকে এক গ্লাস পানি দিবেন?
","5"
" খুব সকালে রওয়ানা করেছি, একফোঁটা দানা পানি ও পেটে পড়েনি?
","5"
" মুহিব পানি এবং সাথে কিছু নাস্তা এনে লোকটিকে দিল।
","5"
" লোকটির বয়স চল্লিশের উপর হবে।
","5"
" কি একটা চিন্তায় তার মুখে ভয়ের ছাপ পড়ে আছে।
","5"
" নাস্তা খেয়ে আমাদের দিকে ফিরে বসল।
","5"
" - ডিটেক্টিভ মুহিব ফয়সাল?
","5"
" - আমিই মুহিব ফয়সাল?
","5"
" আপনার বাড়ি ফরিদপুর, আপনি ফেরিতে দাড়িয়ে সিগারেট খেয়েছিলেন এবং আপনি বাসে ডান পাশে বসেছিলেন আর আপনার পাশের সিটে খুব মোটা একজন লোক বসেছিল।
","5"
" এবার আপনার সমস্যা বলুন।
","5"
" - এক্সাক্টলি, কিন্তু?
","5"
" - আপনার শার্টের পকেট থেকে বাসের টিকেটের কিছু অংশ বের হয়ে আছে, যেখানে ফরিদপুর লেখাটা দেখা যাচ্ছে?
","5"
" আপনার শার্টের দুহাতে এবং বুকের অংশে মরিচার দাগ পড়ে আছে কিন্তু হালকা ভাবে।
","5"
" তারমানে আপনি ফেরির নিচের তলায় চারপাশে যে উচু লোহার অংশ থাকে সেখানে দুহাত রেখে নদীর দিকে ঝুঁকে সিগারেট খেয়েছিলেন এবংকিছু ছাই এখন ও আপনার বুকের লোমে আটকে আছে।
","5"
" আপনার ডানহাতে দেখুন বাসের জানালার নিচে যে স্টিলের পাত থাকে সে গুলোর স্পষ্ট দাগ পড়ে আছে, তাহলে আপনি ডানপাশে বসেছেন এবং পাশের সিটে মোটা লোক ছিল বলেই সবসময় জানালার পাশেই হাত রেখেছেন ভালোমতো বসার জন।
","5"
" - আমি মো. কাসেম মিয়া, আমার বাড়ি ফরিদপুর।
","5"
" আমার ছেলেকে আমি খুব ভালবাসি।
","5"
" গতকাল আমার ছেলেকে তার সব থেকে প্রিয় বন্ধুর খুনের দায়ে পুলিশ গ্রেফতার করেছে।
","5"
" কিন্তু বিশ্বাস করুন আমার ছেলে নিরপরাধ।
","5"
" - কি হয়েছে আমাদের খুলে বলুন।
","5"
" - আমার ছেলের নাম নাহিদ এবং তার বন্ধুর নাম মেহেদি।
","5"
" ওরা দুজনে খুব ভাল বন্ধু, সারাদিন এক সাথে থাকত।
","5"
" কেউ কাউকে ছাড়া কোথাও ঘুরতে ও যেত না।
","5"
" গত পরশু ওরা দু'জন হাড়োকান্দি নামে একটা বিলে ঘুরতে যায়।
","5"
" হঠাৎ মেহেদি মানে আমার ছেলের বন্ধুর পেট ব্যাথা শুরু হয়, কয়েকবার সেখানে বমি করে।
","5"
" আমার ছেলে তাকে দ্রুত ফরিদপুর মেডিকেল কলেজ হাসপাতালে নিয়ে আসে।
","5"
" সেখানে পাতলা পায়খানা শুরু হয়।
","5"
" ডাক্তাররা তাকে স্যালাইন দেয় এবং বাকি চিকিৎসা দেয়।
","5"
" গতকাল দুপুরে সে মারা যায়।
","5"
" মেহেদির বাবা নাম করা উকিল, উনি আমার ছেলেকে সন্দেহ করেছেন।
","5"
" তাদের ধারনা আমার ছেলে ঘুরতে যাওয়ার নাম করে তার বন্ধুকে কিছু খাওয়ায়ে মেরে ফেলছে।
","5"
" আমার ছেলেকে পুলিশ সন্দেহভাজন হিসেবে গ্রেফতার করেছে।
","5"
" কিন্তু বিশ্বাস করুন আমার ছেলে কিছু করেনি।
","5"
" - আপনার জানামতে ওদের দুজনের মধ্যে কি কোন কারনে ঝগড়া হয়েছিল বা মনমালিন্য ছিল?
","5"
" - না, ওরা অনেক ভাল বন্ধু?
","5"
" আপনি না আসলে বিনা কারনে আমার ছেলের হয়ত শাস্তি হবে।
","5"
" প্লিজ আমার ছেলের জন্য কিছু করুন।
","5"
" এ কথা বলেই উনি কান্না শুরু করে দিলেন।
","5"
" - আমি আর আমার বন্ধু কাল আসছি ফরিদপুরে।
","5"
" আপনি বাসায় চলে যান।
","5"
" লোকটি বিদায় নিয়ে চলে গেল।
","5"
" আমি এতক্ষণ বসে শুধু শুনেই গেলাম।
","5"
" - ফাহিম, ফরিদপুরের নাম শুনলে কেমন জানি লাগে।
","5"
" জীবনের ছয়টি বছর ফরিদপুর মেডিকেলে কাটিয়েছি।
","5"
" এক হিসেবে নিজের ক্যাম্পাস ও দেখা হয়ে যাবে তাই কেসটা হাতছাড়া করতে চাই না।
","5"
" আগামিকাল ফরিদপুর যাওয়ার জন্য তৈরি হও বন্ধু।
","5"
" দুই. পরেরদিন সকাল এগারটায় আমরা ফরিদপুর পুরাতন বাস স্ট্যান্ড এসে নামলাম।
","5"
" মি. কাসেম মিয়া আমাদের জন্য হোটেলের ব্যবস্থা করেছেন।
","5"
" মুহিব এ শহরের আনাচে কানাচে সব ভালমতো চিনে, সে জন্য আর ওনাকে আসতে বলেনি।
","5"
" রুমে এসে ফ্রেশ হয়ে কাসেম মিয়াকে আবার ফোন দিল মুহিব।
","5"
" - আপনার ছেলে কোথায় পড়ত?
","5"
" - সরকারী রাজেন্দ্র কলেজে ইন্টারমিডিয়েট সেকেন্ড ইয়ারে?
","5"
" - ওর ফ্রেন্ড সার্কেল কতজন আছে জানেন কিছু?
","5"
" - ওর তেমন ফ্রেন্ড নেই?
","5"
" তবে ওরা ৪-৫ জন এক সাথে থাকে সবসময়।
","5"
" এ কথা বলেই মুহিব ফোন রেখে আমার দিকে ঘুরে দাঁড়াল।
","5"
" - চলো বন্ধু , রাজেন্দ্র কলেজ যাই।
","5"
" - আচ্ছা, চল।
","5"
" হোটেল থেকে নেমে মাত্র পনের টাকার রিকশা ভাড়া দিয়ে রাজেন্দ্র কলেজে এসে নামলাম।
","5"
" দেখলাম মাত্র ক্লাসে শেষে ছেলেরা বের হচ্ছে।
","5"
" একজনকে ডাক দিয়ে মেহেদি আর নাহিদের ফ্রেন্ডদের কথা বলতেই দেখিয়ে দিল।
","5"
" কয়েকগজ পিছনে পাঁচজন এক সাথে আসছে।
","5"
" আমাদের দিকেই তাকিয়ে ওরা অন্যদিকে হাটা শুরু করল।
","5"
" মুহিব এবার দ্রুত পায়ে এগিয়ে ওদের ডাক দিল।
","5"
" -দাঁড়াও, তোমরা যেহেতু আমাকে চিনতে পেরেছ তাহলে আমি কেমন সেটা ও জানো।
","5"
" তোমাদের বন্ধুর খুনের ব্যাপারে একটু সাহায্য লাগবে।
","5"
" আশা করি সেটা করবে তোমরা।
","5"
" এবার ছেলেগুলো দাঁড়াল।
","5"
" আমরা তাদেরকে নিয়ে একটা গাছের ছায়ায় বসলাম।
","5"
" - তোমাদের বন্ধুদের সম্পর্কে যা জানো সেটা ক্লিয়ারলি বল।
","5"
" ওদের মধ্যে কি কোন বিষয় নিয়ে ঝামেলা ছিল?
","5"
" ওদের মধ্যে একজন বলা শুরু করল, - আসলে দেখেন ওরা দু'জন খুব ভালো বন্ধু ছিল, দুই ভাইয়ের মত বলতে পারেন?
","5"
" মেহেদির বাসায় সৎ মা আছে।
","5"
" ও মাঝে মাঝে নাহিদের বাসায় থাকত।
","5"
" নাহিদ মেহেদিকে কিছু খাওয়ায়ে মেরে ফেলবে আমরা বিশ্বাস করতে পারছি না।
","5"
" - ওদের মধ্যে গত দুই তিনদিনে কোন ঝামেলা হয়েছিল?
","5"
" - ঝামেলা না, তবে গত এক সপ্তাহ ধরে দু'জন দু'জনকে এড়িয়ে চলে?
","5"
" কারন কি সেটা আমরা জানি না।
","5"
