"sentence","emotion category"
"প্ল্যাটফর্মে পা দিতে দিতেই ট্রেনটা নাকের ডগা দিয়ে বেরিয়ে গেলো! আবার সেই ন'টা বেজে চল্লিশ মিনিটে ট্রেন| রাত ন'টা বেজে গেলেই হবিবপুর স্টেশনটায় যেন শ্মশানের নিস্তব্ধতা নেমে আসে! যাও বা একটা টিউবলাইট লাগিয়েছে তাও |বেশিরভাগ দিন জ্বলেই না! বেছে বেছে সেদিন অফিস থেকে আমাকে এখানেই কেন ট্রান্সফার করেছিল তার সদুত্তর আমি আজও পাইনি| তবে হ্যাঁ তার ট্রান্সফারের বিষয়ক কথাবার্তা চলছে, খুব শীঘ্রই হয়তো এই জায়গাটার হাত থেকে মুক্তি পাবে সে! বেশ খিদে খিদেও পাচ্ছে, ব্যাগে যাও বা একটা বিস্কুটের প্যাকেট ছিল তাও আসার সময় সেটা তার অফিসের সামনে বসে থাকা সারমেয় বন্ধুদের মধ্যে ভাগ করে দিতে হয়েছে! ফোনের নেটওয়ার্ক পাওয়ার থেকে এখানে ভগবানের দর্শন পাওয়া বেশি সহজ, তাই নিতান্তই অসহায় হয়ে বসে রইলাম ট্রেনের অপেক্ষায়! -""আরেকটু আগে এলেই কিন্তু ট্রেনটা পেয়ে যেতেন "" হঠাৎই একটা নারীকণ্ঠ ভেসে এলো আমার দিকে| যেখানে রাত বাড়লে ভূতে আসতেও ভয় পায় সেখানে একটা মেয়ের গলা?
","5"
" খিদের জ্বালায় কি মানুষ ভুলও শোনে?
","5"
" -""কেউ কিছু বললে একটা প্রত্যুত্তর দিতে হয়! শহরের মানুষরা কি সামান্য ভদ্রতাও জানেনা নাকি?
","5"
""" না না, ভুল নয়, ঠিকই শুনছে সে| রীতিমতো শহরের লোকদের অপমান করছে! -""শহরের লোকরা প্রত্যুত্তর দিতে অবশ্যই জানে তবে অচেনা অজানা লোকেদের সাথে কথা বলতে ঠিক স্বাচ্ছন্দ্য বোধ করেনা! যাই হোক, আপনি কে?
","5"
""" -""অচেনা লোকেদের সাথে কথা বলতে স্বাচ্ছন্দ্য বোধ করেনা কিন্তু অচেনা লোকের পরিচয় জানতেও দ্বিধা বোধ করেনা! তাই নয় কি?
","5"
""" এভাবে একটা মেয়ে আমাকে কথায় বোল্ড করে দিতে পারে এমনটা আমি স্বপ্নেও ভাবিনি! -"" ভাবেননি তো ভাবার অভ্যাস করুন! যাই হোক, আমার নাম নিশি, নিশিগন্ধা!"" -""মা-মা-মানে আপনি কিভাবে বুঝলেন যে আমি কি ভাবছিলাম?
","5"
""" -"" সেটা আপনার না জানলেও চলবে! তা একজনের পরিচয় জানলে যে নিজের পরিচয়টাও দিতে হয় সেটা জানেননা?
","5"
""" -"" ইয়ে মানে হ্যাঁ, আমার নাম অয়ন, অয়ন সেনগুপ্ত! এখানে যে বড়ো ফ্যাক্টরিটা আছে ওখানে আমি সেলস ম্যানেজারের কাজ করি!"" -""ম্যানেজার?
","5"
" বাঃ বিশাল ব্যাপার তো! তা বলি যে চা খাবেন নাকি?
","5"
" -""হ্যাঁ?
","5"
""" -""চা চা! কানেও কম শোনেন নাকি?
","5"
" নাকি ভাবছেন রাতের বেলায় আপনাকে চা খাইয়ে অজ্ঞান করে আপনার টাকাপয়সা হাতিয়ে নেব?
","5"
""" -""সেটা ভাবাই কি স্বাভাবিক নয়?
","5"
""" -""একেবারেই নয়!"" -""কেন নয়?
","5"
""" -"" এ আপনি ছাড়ুন তো, খেতে হবেনা আপনাকে চা!"" মনটা এমনিই চা চা করছিলো, তাই আর লোভ সামলাতে পারলাম না! পকেটে 200 টাকার বেশি নেইও, তাই বেশি ভেবে কাজ নেই! চা পানে সম্মতি জানাতেই মেয়েটি কোথায় যেন চলে গেলো কে জানে ! কি বেশ নাম বললো..... হ্যাঁ, নিশিগন্ধা! জায়গাটা বেশ অন্ধকার তবে এটুকু বুঝেছি যে মেয়েটির বেশ লম্বা চুল আছে, তার চুল বারবারই হাওয়ায় আমার দিকে উড়ে আসছিলো! বেশ মিষ্টি একটা গন্ধও আসছিলো তার চুল থেকে! খানিকক্ষণ বাদে মেয়েটি ফিরে এলো দুকাপ চা হাতে করে! আজকাল আর মাটির ভাঁড়ে চা পাওয়াই যায়না, তাই এতদিন বাদে মাটির ভাঁড় দেখে মনটা বেশ নেচে উঠলো! টিউবলাইটের আলোয় এবার মেয়েটির মুখ ভালোভাবে লক্ষ্য করতে পারছি! বেশ সুন্দরী মেয়েটি, চোখের মধ্যে এক অদ্ভুত মায়া আছে, আর সবথেকে দৃষ্টিআকর্ষক বিষয় হলো তার নাকের তিলটি!! -"" আমাকে পর্যবেক্ষণ করার সময় পরেও পাবেন! চা টা ঠান্ডা হয়ে যাচ্ছে, খেয়ে নিন !"" কথায় কথায় জানলাম সে এখানেই থাকে! তার বাবা এখানকার প্রাথমিক বিদ্যালয়ের শিক্ষক কিন্তু তার পড়াশোনায় বিশেষ আগ্রহ নেই| -"" পড়াশোনা জানাটা কিন্তু খুবই গুরুত্বপূর্ণ আজকের দিনে, বিশেষত মেয়েদের জন্য"" -"" আপনি বেশি জ্ঞান দেবেন না তো! যেটুকু পড়াশোনা জানার দরকার সেটুকু আমি জানি! আমি সই করতে পারি, আর জায়গাবিশেষে সরি থ্যাংক ইউ ও বলতে জানি"" -"" সবই বুঝলাম! কিন্তু এত রাতে এই ফাঁকা স্টেশনে আপনি কি করছেন?
","5"
