"sentence","emotion category"
"মানুষের মতো ছোট্ট নিউক্লিয়ার ব্যাটারিটা নিয়ে দেবযানীর নরম সিলিকনের বুকের মাঝখানে রাখতেই চোরাবালিতে ঢুকে যাওয়ার মত ব্যাটারিটা ভিতরে ঢুকে গেল।
","5"
" চাদরটা টেনে দিলাম, দেবযানীর চোখের পাতা খুলে গেল।
","5"
" বুঝলাম আরও পাঁচ মিনিট অপেক্ষা করতে হবে, মানে বাবা ডায়রিতে এরকমই লিখে গেছেন।
","5"
" তার লেখা মতোই ঘরের সমস্ত যন্ত্রপাতি লুকোনো জায়গাগুলোতে ঢুকিয়ে দিলাম।
","5"
" এখন শুধু অপেক্ষার পালা।
","5"
" সেই ফাঁকে বলে রাখা ভালো, আমার বাবা, নীরব মজুমদার, ছিলেন এই শতাব্দীর অন্যতম সেরা বিজ্ঞানীদের মধ্যে একজন।
","5"
" ছোটখাটো আকারের নিউক্লিয়ার ব্যাটারি থেকে শুরু করে, ভ্যারিয়শন, ক্রাইমেট প্রসেসর, পাওয়ার মাস্ক ইত্যাদি সবই বাবার আবিষ্কার।
","5"
" যদিও বৈজ্ঞানিক মহলে এবং জনসমক্ষে ক্লাইমেট প্রসেসর ও পাওয়ার মাস্ক প্রকাশিত নয়, বাবার ইচ্ছায় এবং অন্য একটি কাজের জন্য।
","5"
" ও হ্যাঁ, পাঁচ মিনিট শেষ হয়ে আসছে।
","5"
" দেবযানীর ধবধবে সাদা চোখের ভেতর কালো মনি দুটো স্পষ্ট হয়ে উঠল, উঠে বসল দেবযানী।
","5"
" ঘুম ঘুম চোখে বিছানার পাশে তাকিয়ে আমাকে দেখেই গায়ের পড়ে যাওয়া চাদরটা আবার জাপ্টে ধরে বলল,""এ কি সুদীপ্ত?
","5"
"! তু.. তুমি! এই ঘরে, এখন!! আর... আমার জামা-কাপড় কোথায়?
","5"
"!"" বাবার লিখে যাওয়া ডাইরি অনুসরণ করে মানসিক অনুভূতি সম্পন্ন এই ক্লোন তৈরিতে নিজে সাফল্য পেয়ে বেশ পুলকিত হলাম?
","5"
" সেই অনুভূতিটা মনের মধ্যে চেপে রেখে বললাম,""কাল রাতে পার্টি থেকে ফেরার পথে যা দেখালে!!! অত ড্রিঙ্ক করার কি কোনো দরকার ছিল?
","5"
"! জামাকাপড়ে বমি করে একশেষ করেছ! আমি এত কষ্ট করে স্নান করিয়ে শুইয়ে দিলাম! সারারাত জেগে থাকলাম! আর এখন সময় কি জানো?
","5"
" এখন দুপুরবেলা! আর তুমি কিনা জিজ্ঞেস করছো আমি এখানে কেন?
","5"
""" দেবযানী লজ্জায় মাথা নিচু করে জিভ কেটে বলল,""ইইইইইমা..!!! কি করেছি!!"" -""থাক থাক! আমার সামনে আর এত লজ্জা পেতে হবে না তোমায়?
","5"
" আমি বাইরে যাচ্ছি, তুমি হাতমুখ ধুয়ে আলমারি থেকে জামা কাপড় পড়ে নাও।
","5"
""" বারান্দায় সোফায় এসে বসলাম।
","5"
" সত্যিই! বাবার কোনো তুলনা নেই! কোনো রোবট এরকমভাবে লজ্জা পায়! ভাবনা চিন্তা করতে পারে! আমার তো মনে হয় না।
","5"
" কিন্তু একটা কথা আমায় বেশ ভাবাচ্ছে।
","5"
" বাবা দেবযানীকে তৈরি করার জন্য একটা নির্দিষ্ট মুখের ছবি দিলো কেন?
","5"
" বাবা নিজে কেন বানালো না?
","5"
" আর..... আমার চিন্তায় বাধা দিয়ে দেবযানী ঘর থেকে বেরিয়ে এলো?
","5"
