"sentence","emotion category"
"||প্রথম গল্প || একটা সাদা গ্রাউন পরা মহিলা একটা বাচ্চাকে কোলে নিয়ে মিহি স্বরে কিছু একটা গান করে যাচ্ছে।
","5"
" মহিলাটির মুখটাও ঝাপসা।
","5"
" চারিদিকে কেমন যেন অন্ধকার হয়ে আছে।
","5"
" একজন এসে মহিলাটির চুলের মুঠি ধরে মেঝের উপর দিয়ে টানতে টানতে নিয়ে যেতে থাকে।
","5"
" বাচ্চাটা মেঝেতে পড়ে চীৎকার করে কাঁদতে থাকে।
","5"
" তারপর...তারপর...রক্ত...শুধু রক্ত...চারিদিকে রক্ত বয়ে গিয়ে আকাশটাও লাল হয়ে আসে! ****** ধড়ফড় করে খাটের উপর উঠে বসে ভূতনাথ।
","5"
" এই রাতে এসির মধ্যেও সে রীতিমত ঘেমে উঠেছে।
","5"
" আবার সেই স্বপ্নটা, বীভৎস স্বপ্নটা।
","5"
" ভূতনাথ নামটা বেশ সেকেলে হলেও মানুষটার বয়স ছাব্বিশ।
","5"
" আসলে ছোটবেলায় ভূতনাথের ঠাকুরদাদা শিবের ভক্ত ছিলেন তাই বাড়ির সবার অমতে নাম রেখেছিলেন- ভূতনাথ।
","5"
" এই নামের জন্য তাঁকে অনেকবারই স্কুল-কলেজে বন্ধুদের টিটকিরি খেতে হয়েছে।
","5"
" অনেকবার সে নামটা বদলাবে ভেবে ভেবেও আর বদলানো হয়নি।
","5"
" ভূতনাথের পরিবার পাঁচপুরুষের জ্যোতিষী।
","5"
" সেও জ্যেতিষটা মোটামুটি জানলেও এসবকে লোক ঠাকানোই মনে করে, তাই সে পারিবারিক রাস্তা ছেড়ে ফরেনসিক সায়েন্সে গবেষণা করেছে।
","5"
" ভূতনাথের বাবা একটু অসন্তুষ্ট হলেও মা খুব খুশি।
","5"
" সত্যি বলতে ভূতনাথের পুরো নামটা আরো হাস্যকর- “ভূতনাথ শাস্ত্রী”।
","5"
" সেই ভূতনাথ এসেছে বন্ধু অমলের বিয়েতে।
","5"
" আজকাল বাঙালীদের মধ্যেও ‘ডেসটিনেশন ওয়েডিং’ ব্যাপারটা বেশ চালু হয়েছে।
","5"
" অমলের বিয়ের ডেসটিনেশন মন্দারমণি।
","5"
" এখানে একটা রিসর্ট ভাড়া করা হয়েছে।
","5"
" সেখানেই পাত্রপক্ষ-পাত্রীপক্ষ সবাই উঠেছে।
","5"
" দেখতে গেলে পুরো রিসর্টটাই এই বিয়ে পার্টির দখলে।
","5"
" ভূতনাথের ঘরটা বেশি বড় নয়, কিন্তু বেশ সাজানো।
","5"
" সিঙ্গেল বেড, একধারে টিভি অন্যদিকে বাথরুম।
","5"
" ভূতনাথ নরম সাদা বিছানা থেকে উঠে বাথরুমে গিয়ে চোখে মুখে জল দিলো।
","5"
" আয়নার দিকে কিছুক্ষণ তাকিয়ে থাকে সে- ঠাকুরদার কথাই কি ঠিক হচ্ছে! না, আর ঘুম আসবে না।
","5"
" ভূতনাথ তার ঘর থেকে বেরিয়ে আসে।
","5"
" লম্বা করিডোরের দুপাশে সারি সারি ঘরগুলোর দরজাগুলো বন্ধ, আলোগুলো চুপচাপ ঝিমোচ্ছে।
","5"
" ভূতনাথ একবার হাত ঘড়ির দিকে তাকায়- রাত ২টো ৪০ মিনিট।
","5"
" একটা লিফট দিয়ে নিচে এসে হোটেলের রিসেপশনের সামনের একটা চেয়ারে এসে বসে।
","5"
" রিসেপশন থেকে মেয়েটি এসে একবার ভূতনাথের কিছু প্রয়োজন কিনা জিজ্ঞাসা করে।
","5"
" ভূতনাথ জানায় তার কিছুই চাই না।
","5"
" মেয়েটি আবার ফিরে যায়।
","5"
" ভূতনাথের এখানে বড় গুমোট লাগছে, কাঁচের দরজাটা ঠেলে বাইরে আসে।
","5"
" সামনেটার অনেকটা ফাঁকা জায়গা।
","5"
" হোটেলের সীমানার দেওয়াল খুব উঁচু না- সমানে সমুদ্র দেখা যায়।
","5"
" রাতের বেলা যদিও দলা দলা অন্ধকার আর চাঁদের আলো ছাড়া তেমন কিছুই দেখা যাচ্ছে না।
","5"
" সমানের অনেকটা জায়গা ফুলের বাগান আর কিছু বসার জায়গা আছে।
","5"
" রাতের বেলা যদিও চেয়ারগুলো সব তুলে একধারে করে রাখা।
","5"
" ভূতনাথ হাঁটতে হাঁটতে রিসর্টের খোলা জায়গাটার ডানদিকে অনেকটা চলে যায়।
","5"
" রিসর্টটার এই দিকটার সীমানাটা কাঁটাতার লাগানো।
","5"
" সীমানার বাইরে বেশ কিছুটা ফাঁকা বালি বালি অঞ্চল।
","5"
" দিনের বেলা ওখানে অনেক দোকান পত্র বসে।
","5"
" তার কিছুটা পিছন দিকে থেকে শুরু হয় ঝাউবন- প্রথমে কিছুটা বিক্ষিপ্ত পরে ঘন হয়ে আসে।
","5"
" ভূতনাথ সেদিকে তাকিয়ে আনমনে স্বপ্নের কথা ভাবতে ভাবতেই সিগারেট ধরায়।
","5"
" বেশ দূরে কিছু সামুদ্রিক পাখির কর্কশ ডাক শোনা যায় আর সমুদ্রের ঢেউ।
","5"
" আধো অন্ধকার আধো চাঁদের আলোতে যেন সমুদ্রতট আরো মোহময়ী লাগছে।
","5"
" একমুখ সিগারেটের ধোঁয়া ছাড়তেই ভূতনাথের ভ্রূঁ কুঁচকে যায়- এই রাতে ওটা কে?
","5"
" ঝাউবনের মধ্যে একটা মহিলা দাঁড়িয়ে আছে- কপালের সামনে হাতে রেখে সমুদ্রের দিকে তাকিয়ে?
","5"
" যেন কারো ফিরে আসার প্রহর গুনছে।
","5"
" এই চাঁদের ঝাপসা আলোতেও তাকে বেশ অপরূপ লাগছে।
","5"
" টিকালো নাক, টানা টানা চোখ আর পাতলা দুটি ঠোঁট।
","5"
" পরণে একটা শাড়ি- তবে এই আবছা আলোয় ঠিক ঠাহর করা যায় না কি রং! মেয়েটি হঠাৎ ভূতনাথের দিকে ফিরে তাকালো।
","5"
" চমকে উঠে ভূতনাথের হাতের সিগারেট পড়ে গেলো।
","5"
" এতক্ষণে ভূতনাথ মেয়েটির পুরো মুখটা দেখতে পেলো।
","5"
" অপরূপ সুন্দরী কিন্তু কেমন যেন একটা থমথমে ভাব- হাসলে বোধহয় আরো ভালো লাগতো।
","5"
" মেয়েটি দূর থেকেই ভূতনাথকে হাতের ইশারায় ঝাউবনের ভিতরে কিছুর দিকে যেন নির্দেশ করলো।
","5"
