"sentence","emotion category"
"ধুর ভাললাগছেনা- বলে উঠল পিকু।
","5"
" ঘুরতে এসে এমন হাল হবে কে জানত,তাহলে আর আসত না।
","5"
" এই সব জঙ্গল এলাকা এমনি ই ভাললাগে না পিকুর।
","5"
" পিকুরা সবাই মিলিয়ে জনা পাঁচ ।
","5"
" পিকু,সায়নী,বর্ষা, মেঘলাদি আর মেঘলাদির ছেলে জিতু।
","5"
" এদের মধ্যে মেঘলাদি ওদের থেকে অনেকটাই বড় ,বিয়ে হয়ে গেছে মেঘলাদির ,বয়স প্রায় তেত্রিশ।
","5"
" আর ওরা বাকিরা সবাই তেইস র ঘরে,সবাই ইউনিভারসিটির স্টুডেন্ট।
","5"
" ও রা মেঘলাদির কাছে পিজি তে থাকে আর একসাথে ইউনিভারসিটি যায় ।
","5"
"মেঘলাদি ওদের কাছে মালকিন কম দিদি বেশী।
","5"
" বিমল দা বাইরে নেভী তে চাকরী করে বলে মেঘলাদির সব জগত টাই জিতু আর পিকুদের নিয়ে।
","5"
" মেঘলাদির শ্বশুর শাশুড়ি মারা গেছে সেই জন্য এই পিজি চালু করে মেঘলাদি তার অবসর সময় কাটায় ।
","5"
" পিকুরা বেল্ পাহাড়ি ঘুরতে এসেছ, নাম এ পাহাড় হলেও জায়গাটা জঙ্গলে ভরা।
","5"
" এখানে ও রা মেঘলাদির বান্ধবী রিতা দির বাড়ি উঠেছে।
","5"
" রিতাদিরা এখানে চারজন মানুষ, রিতাদি,রিতাদির বর শৈবাল দা ,রিতা দির শাশুড়ি আর রিতাদির ছেলে মিশুক।
","5"
" মিশুক এখন ক্লাস ৭ এ পরছে।
","5"
" খুব ভাল মানুষ এরা, পিকুদের যত্ন এর ত্রুটি হতে দিছে না।
","5"
" রিতাদির ভীষণ মজা মেঘলাদি কে কাছে পেয়ে ।
","5"
" শৈবাল দার এখানে একটা হোটেল আছে কিন্তু সেটা এখান থেকে অনেক দূরে ।
","5"
"গাড়ি নিয়ে যাতায়াত করে।
","5"
" হোটেল টা খুব ভাল চলে ,মেন রোডের ধারে হোটেল এর ব্যাবসায় ভালই লাভ।
","5"
