"sentence","emotion category"
"    কাটা সাহেবের ভুত বাংলো প্রথম পর্ব রবিবার সকাল, হরিদার হাতের লুচি কচুরি যেন অমৃত।
","5"
" আমি আর বিক্রম বেশ আয়েস করে বসেছি চেয়ারে।
","5"
" আমি হাঁক দিয়ে ডাকলাম, “ হরি দা কতদূর?
","5"
" পেটে তো ইঁদুর ডন বৈঠক দিতে শুরু করে দিয়েছে”?
","5"
" রান্না ঘর থেকে একটা হাসির শব্দ ভেসে এলো, আর তার সাথে ভেসে এলো গরম গরম লুচি আর আলুর দমের লোভনীয়ও গন্ধ।
","5"
" মিনিট ২ পরে হরিদার থালা নিয়ে প্রবেশ।
","5"
" আমরা ক্ষুধার্ত পশুর মতন ঝাঁপিয়ে পড়লাম তাতে, হরিদার তো হেসে লুটোপুটি অবস্থা।
","5"
" বিক্রম একটা লুচি বেশ পরিতৃপ্তির সাথে মুখে পুরে বলল “ হরি দা খবরের কাগজ টা দাও তো”।
","5"
" হরি দা কিছুক্ষণের মধ্যেই আজকের কাগজ টা এনে দিয়ে চলে গেল বাজারে।
","5"
" বিক্রম লুচি খেতে খেতে কাগজে চোখ বুলতে লাগলো।
","5"
" হঠাৎ আমায় ঠেলা দিয়ে বললো "" শুভ এই দেখ"", বলে কাগজটা বাড়িয়ে দিল আমার দিকে।
","5"
" আমি কাগজটা নিয়ে বললাম "" কি দেখবো?
","5"
""" ও বললো "" ভালো করে দেখ, দেখতে পারছিস না?
","5"
""" আমি রেগে গিয়ে বললাম “ আরে কী দেখবো?
","5"
" সেটা না বললে দেখবো টা কী?
","5"
"”  বিক্রম মিটি মিটি হেসে বলল “ দেখ একটা ছোটো বক্সে একটা খবর বেরিয়েছে” আমি রীতি-মতো চোখ বড় করে খুঁজতে লাগলাম?
","5"
" কয়েক সেকেন্ড পর খুঁজে পেলাম।
","5"
" একটা চৌকো বক্সে ছোট ছোট করে কিছু লেখা।
","5"
" আমি পড়লাম , পড়ে তো আমার চক্ষু চড়ক গাছ হয়ে গেল।
","5"
" আমি চোখ গোল গোল করে তাকিয়ে বললাম "" বিক্রম?
","5"
" এইরকম আজকাল হয়ে নাকি?
","5"
"""  বিক্রম বললো "" ওটাই তো আশ্চর্যের বিষয়,, দেখার যে ভীষণ লোভ হচ্ছে ভায়া?
","5"
""" আমি হেসে ফেললাম।
","5"
" তার আগে খবর টা কি সেটা বলা দরকার।
","5"
" খবরটা খানিক এইরকম, "" বর্ধমানের মঙ্গলগঞ্জ নামক জায়গায় অবস্থিত কাটা সাহেবের বাংলো।
","5"
" বাংলোটি অনেকদিন ধরেই পরিত্যক্ত অবস্থায় আছে ভুতের উপদ্রবে।
","5"
" দুজন বন্ধু গেছিল সেই বাংলোতে রাত কাটানোর জন্য।
","5"
" ওরা ভুতে ঠিক বিশ্বাস করেনা, তাই ভুত বলে কেউ নেই সেটা প্রমাণ করার জন্য শুক্রবার রাত ১০ টার দিকে পৌঁছয় সেই বাংলোতে।
","5"
" শনিবার বেলা ২ টো নাগাদ ওখানকার কিছু মানুষ জন ওই বাংলোর পাশ দিয়ে যাওয়ার সময় রাস্তার কিছুটা দূরে দুজন মানুষকে মাটিতে শুয়ে থাকতে দেখে।
","5"
" তারাই প্রথম পুলিশে খবর দেয়।
","5"
" পুলিশ এসে দুজনকে হাসপাতালে ভর্তি করলে ডাক্তার একজনকে মৃত বলে ঘোষণা করে।
","5"
" অন্য আরেকজনের আঘাত খুব বেশি গুরুতর নয় তবে এত-টাই ভয় পেয়েছে যে এখনো ঠিক করে কথা বলতে পারছে না, তাও যতটুকু জানা সম্ভব হয়েছে ওটার উপর নির্ভর করেই এই খবর।
","5"
""" আমি তো পড়ে তাজ্জব বনে গেলাম।
","5"
" সত্যি বলতে এই ২১ শতাব্দীর যুগেও যে ভুত বলে কেউ থাকতে পারে তা জেনে বেশ আশ্চর্য আর কৌতূহল লাগছে ।
","5"
" আমি জিজ্ঞেস করলাম "" কি বিক্রম যাবি নাকি?
","5"
