"sentence","emotion category"
"আরে ও সীমা...সন্ধ্যা প্রদীপটা জ্বালিয়ে দে।
","5"
" ক্যালেন্ডারে দেখ তো,আজ কি কিছু আছে?
","5"
" একাদশী বা পূর্ণিমা?
","5"
" আমার কোমরটা খুব যন্ত্রনা হচ্ছে।
","5"
" না হলে আমিই প্রদীপ জ্বালিয়ে দিতাম।
","5"
" তোর মা কাল আসবে,তোর মামার বাড়ি গেছে।
","5"
" এই দুদিন একটু কষ্ট কর।
","5"
" সীমা:আমি জ্বালিয়ে দিচ্ছি প্রদীপ কিন্তু আজ কোনো পূর্ণিমা নয় অমাবস্যাও নয়।
","5"
" তুমি ডাক্তার দেখাও।
","5"
" সীমা ক্লাস টেন এ পড়ে।
","5"
" সামনেই পরীক্ষা, তাই মায়ের সাথে মামার বাড়ি যায়নি পড়াশুনায় ব্যাঘাত ঘটবে বলে।
","5"
" সন্ধ্যা প্রদীপ জ্বালিয়ে সীমা তুলসী তলায় গেছে,অমনি কিছু একটা যেন সীমার পাস দিয়ে চলে গেল,কিন্তু আবছা অন্ধকারে দেখতে পেল না।
","5"
" ভয়ে ভয়ে সীমা প্রদীপ জ্বালিয়ে সন্ধ্যা আরতি করে ঘরে ঢুকে পড়লো।
","5"
" ঠাকুমাকে গিয়ে বললো- 'ঠাকুমা আমি যখন প্রদীপ জ্বালিয়ে তুলসি তলায় গেলাম অমনি কিছু একটা আমার পাস দিয়ে চলে গেল কেমন অদ্ভুত মনে হলো।
","5"
" আর কি দুর্গন্ধ, পচা পচা লাগছে।
","5"
" আমার ভয় করছে ঠাকুমা।
","5"
" ঠাকুমা: ধুর ছাই! ও কিছু না,শেয়াল হবে হয়তো।
","5"
" ঠিক আছে দরজায় খিল দিয়ে দে।
","5"
"আর বাইরে বেরোতে হবে না।
","5"
" সীমার গা'টা এখনো কেমন ঘিন ঘিন করছে সেই পচা গন্ধে।
","5"
" গন্ধটা যেন নাকে লেগে রয়েছে।
","5"
" ঠাকুমার সাথে কথা বলতে বলতে সীমা মনে মনে ভাবছে বাইরে কে ছিল ওটা?
","5"
" আমি পড়ার ঘরে যাই ঠাকুমা,আমার অনেক পড়া বাকি আছে,তোমার কিছু লাগলে আমায় ডেকো তখন,একা উঠে কিছু আনার চেষ্টা করোনা?
","5"
" ঠিক আছে।
","5"
" যা মন দিয়ে পড়াশোনা কর।
","5"
" পড়াশোনা করতে করতে প্রায় রাত আট টা বাজে।
","5"
" সীমা জানালার বাইরে তাকিয়ে দেখে,জোৎস্নার আলো ফুটে উঠেছে।
","5"
" মিটিমিটি জোনাকি গুলো গাছের পাতায় পাতায় যেন আরও আলো ছড়িয়ে দিচ্ছে।
","5"
" নিঝুম রাত।
","5"
" আকাশের বুকে বাদুড় উড়ে চলে ফলের খোঁজে।
","5"
" সীমা রাতের প্রকৃতি আগেও দেখেছে বাড়ির জানালা দিয়ে।
","5"
" কিন্তু আজকের প্রাকৃতিক দৃশ্য যেন এক অপূর্ব ও অনাবিল মুহূর্ত।
","5"
" তাই প্রকৃতির প্রান্তে নিজের মনকে হারিয়ে ফেলেছে।
","5"
" কে যেন পেছন থেকে হাত বাড়িয়ে সীমাকে টেনে ধরেছে।
","5"
" বে'খেয়ালি মনের সীমা বাবা'গো মাগো বলে চিৎকার করে পিছনে ঘুরে দেখে, অবাক হয়ে যায়।
","5"
" ঠাকুমা কথা বলতে পারছে না শুধু ইশারায় বলছেন জল খাবেন।
","5"
" সীমা বুঝতে পেরে ছুটে গিয়ে একগ্লাস জল নিয়ে আসে,ঠাকুমাকে দেয়।
","5"
" জল খেয়ে ঠাকুমা নাতনি সীমার মাথায় হাত বুলিয়ে বলেন-'তুই আমাকে বাঁচালি রে।
","5"
" আমি মুড়ি খাচ্ছিলাম।
","5"
" শুকনো মুড়ি আমায় গলায় আটকে যায়।
","5"
" কাছে জল ছিল না,তাই তোকে ডাকতে পারিনি।
","5"
" উফঃ ঠাকুমা।
","5"
" আমি তো ভয় পেয়ে গেছিলাম।
","5"
" জল নাও আর নিজের ঘরে যাও।
","5"
" আমি কয়েকটা রুটি বানিয়ে আনি।
","5"
" রাতে খেতে হবে তো।
","5"
" রান্না ঘরে সীমা আটা মাখছে,মনে কেমন একটা ভয় আজ।
","5"
" হঠাৎ পেছনে যেন কে দাঁড়িয়ে রয়েছে।
","5"
" সামনের দেওয়ালে বিরাট ছায়া পড়েছে।
","5"
" সীমা স্তব্দ।
","5"
" যেই পেছনে ঘুরে দেখে, অমনি কেউ নেই।
","5"
"সঙ্গে সঙ্গে সামনে ঘুরে দেখে ছায়াটাও নেই।
","5"
" কি অদ্ভুত! ভুত নয়তো! ঠাকুমা নাতনি এবার রাতে খাওয়া দাওয়া সেরে ঘুমোতে যাবে।
","5"
" সীমা পড়ার ঘরে বই নিয়ে নাড়াচাড়া করছে আর একবার করে বাইরের মনোরম প্রাকৃতিক দৃশ্য দেখছে।
","5"
" সারি সারি সারসের দল আকাশে উড়ে যায়।
","5"
" ভাসমান মেঘের জন্যে চাঁদ মাঝে মাঝে ঢাকা পড়ে,আবছা অন্ধকার হয়ে যাচ্ছে।
","5"
" দূরের ওই বট গাছে সমানে পেঁচা ডেকে চলেছে।
","5"
" সীমা বট গাছটার দিকে তাকিয়ে রয়েছে।
","5"
" বাদুরগুলো উড়ে এসে ডালে ঝুলছে বট ফল খাচ্ছে।
","5"
" মাঝে মাঝে বাদুড় গুলো ডেকে উঠছে।
","5"
" হঠাৎ বট গাছ থেকে সাদা কিছু একটা লাফ দিয়ে নীচে মানলো।
","5"
" ঝুলতে থাকা বাদুড় গুলো সাঁই সাঁই করে যে যার মতো এদিক ওদিক উড়ে পালাতে থাকে।
","5"
" সীমার গা শিউরে ওঠে।
","5"
" অদ্ভুতুড়ে সাদা জিনিসটা পাশের পুকুরে হন হন করে নেমে গেল।
","5"
" তারপর অদৃশ্য হয়ে যায়।
","5"
" জলের মাছগুলো হঠাৎ লাফালাফি করা শুরু করলো।
","5"
" সীমার গলা শুকিয়ে আসে।
","5"
" পা দুটো নড়াতে পারছে না।
","5"
" চোখের পলক ফেলে আবার তাকাতেই জানালার বাইরে সীমার চোখের সামনে কেউ একটা দাঁড়িয়ে রয়েছে।
","5"
" একটা দমকা হাওয়া জানালা দিয়ে ঘরে ঢুকলো সাথে দুর্গন্ধ।
","5"
" সীমা চিৎকার করে ঠাকুমা বলে ডেকে ওঠে আর পেছনে ঘুরে পালাতে গিয়ে দেখে দরজার সামনে প্রকান্ড কে একটা দাঁড়িয়ে রয়েছে।
","5"
" আর সারা ঘরের আলো জ্বলছে নিভছে।
","5"
" সীমার চিৎকারে পাশের ঘরে ঠাকুমার ঘুম ভেঙে যায়।
","5"
" কে?
","5"
" কে?
","5"
" কে?
","5"
" কি হয়েছে?
","5"
"বলতে বলতে ঠাকুমা ছুটে আসেন?
","5"
" অমনি সেই ধবধবে সাদা অদ্ভুত কিছু মিলিয়ে গেল,কিন্তু সারা ঘরে দুর্গন্ধ রয়েছে।
","5"
" ঠাকুমা নাতনিকে জড়িয়ে ধরে জানালার বাইরে তাকিয়ে দেখেন প্রকান্ড লম্বা কেউ বাতাসে ভাসতে ভাসতে বট গাছটার দিকে চলে যাচ্ছে।
","5"
" থরহরিকম্প ঠাকুমা নাতনি কোনোপ্রকার জানালা বন্ধ করে ঘরে বসে রয়েছে।
","5"
" সীমার চিৎকারে পাশের বাড়ির সকলে ছুটে আসে।
","5"
"কি হয়েছে জানতে চায়।
","5"
" সীমা ও ঠাকুমা সব ঘটনা বলে।
","5"
" কেউ আর বিশ্বাস করে না ওনাদের কথা।
","5"
" জানালা খুলে বাইরে তাকিয়ে দেখে কেউ নেই।
","5"
" সীমা বলে-' বিশ্বাস যদি না হয় তাহলে এই দুর্গন্ধ কোথা থেকে আসছে?
","5"
" সবাই বললো,তা ঠিক কথা, হয়তো জানালার বাইরে ইঁদুর মরে পড়ে রয়েছে?
","5"
" আজ এত রাতে দেখতে হবে না কাল সকালে দেখে নিও।
","5"
" বাইরে নিশ্চই কিছু মরে পড়ে রয়েছে।
","5"
" সেদিন রাতে পাশের বাড়ির কাকিমা এসে সীমা'দের ঘরে ঘুমালেন।
","5"
" কারুর চোখে সারারাত ঘুম নেই।
","5"
" সকালে সীমার বাবা ও মা, মামার বাড়ি থেকে চলে আসেন।
","5"
" সীমার বাবা সব শুনে বাড়ির পিছনে গিয়ে দেখেন একটা মুণ্ডুহীন সাপ মরে পড়ে রয়েছে।
","5"
" আর তার পাশেই একটা পেঁচাও মরে পড়ে রয়েছে।
","5"
" হয়তো সেগুলোর দুর্গন্ধ ছিল।
","5"
" কিন্তু ওই লম্বা অদ্ভুত জিনিস টা কি ছিল তাহলে?
","5"
" সীমা ও তার ঠাকুমা যতই বলার চেষ্টা করুক ওই অদ্ভুত কিছুর বিষয়ে, সবার মুখে একটাই কথা-"" না দেখলে বিশ্বাস করবো না""?
","5"
" আবার নিশ্চই আসবে।
","5"
" ।
","5"
