"sentence","emotion category"
"//১// বৈশাখীপূর্ণিমার রাত।
","5"
" উঠোনে ফটফট করছে জোতস্না।
","5"
"একটা পিঁড়িতে বসে তালপাতার পাখায় হাওয়া খাচ্ছে হরিপদ।
","5"
" মাটির রান্নাঘরে বিজয়িনীর মত রাতের রান্না করছে বুড়ি মা কৃষ্ণদাসী।
","5"
"লেবু পাতা আর গন্ধরাজের গন্ধে চারপাশ ম ম করছে।
","5"
" ঘরে দোর দিয়েছে কমলা।
","5"
" আজকের খণ্ডযুদ্ধতে হার হয়েছে তার।
","5"
"তাই ঘরে দোর দিয়ে চোখের জলে নাকের জলে এক করছে বোধহয়।
","5"
" এই ঘটনার বিপরীত পরিস্থিতি ও যে হয়না এমনও নয়, বাকবিতণ্ডায় হরিপদ র মা কৃষ্ণদাসী হারলে পাড়া মাথায় করে বুক চাপড়াত আর বউ কমলা মহানন্দে বসে রান্না করত ।
","5"
" হরিপদ এমন করেই পাখার বাতাস খেত।
","5"
" হরিপদ শহড়ে একটি শাড়ির দোকানে চাকরী করে।
","5"
" শনিবার বিকেলে বাড়ি আসে আবার সোমবার ভোরে ফিরে যায়।
","5"
" গ্রামের বাড়িতে থাকে মা আর বউ।
","5"
" সারা সপ্তাহের মা বউ এর পরস্পরের প্রতি যাবতীয় নালিশ এই দুদিনে শুনতে হয় হরিপদকে।
","5"
" নালিশ ক্রমে তুমুল ঝগড়ার রুপ নেয়, অনেক গালাগালি কান্নাকাটির পর এক পক্ষের হার হয় এক পক্ষের জিত।
","5"
" প্রতি হপ্তায় এই এক বাঁধা রুটিন তার।
","5"
"মা বউ এর কল্যাণে বাড়ির চালে কাকচিল বসতে পারেনা।
","5"
" এই করেই প্রায় বছর পাঁচেক কাটিয়ে দিল তারা।
","5"
" কৃষ্ণদাসী এমনিতেই বাতিকগ্রস্ত।
","5"
"বাপ মরা একমাত্র ছেলে কে অনেক কষ্টেসৃষ্টে মানুষ করেছেন, তাই ছেলের ওপর একচ্ছত্র অধিকার ছাড়তে নারাজ, হরির বউ তাই প্রথম থেকেই চোখের বিষ তার।
","5"
" তার ওপর বউ এর এখনও ছেলেপুলে হয়নি, তাই দিনদিন মনের ঝাল বেড়েই চলেছে কৃষ্ণদাসীর।
","5"
