"sentence","emotion category"
"বৃষ্টির সুভারম্ভে কারুর মন খুশিতে ভরে উঠুক বা নাই উঠুক,আমার মন আনন্দাসৃত হয়ে ওঠে।
","5"
" সারাদিন অঝোর ধারায় বৃষ্টি হবে, বাস্তু-ভিটার জলের স্রোত বয়ে যাবে সোজা পুকুরের এক কোনায়, সেই জলের বিপরীতে কই, মাগুর,সিঙ্গি এমনকি শোল মাছ যখন লাফিয়ে ডাঙায় ওঠার চেষ্টা করে,আমি ওৎ পেতে বসে থাকতাম মাছগুলোকে ধরবার উদ্যেশে।
","5"
" এ আমার একপ্রকার নেশা ছিল।
","5"
" দিনের বেলা মাছ, যতটা না ওপরে ওঠার চেষ্টা করে তার থেকে বেশি, রাতে চেষ্টা করে।
","5"
" চারিদিক ঘুটঘুটে অন্ধকার,হাতে টর্চলাইট, শক্ত পোক্ত একটা লাঠি,ছাতা মাথায় করে ও কোমরে একটা থলে গুঁজে মাছ ধরার নেশায় বেরিয়ে পড়তাম, অবশ্যই দাদুকে লুকিয়ে বাড়ির পেছনের দরজা দিয়ে।
","5"
" উৎসাহ কেবল আমার কাকু দিতেন।
","5"
" সেবার খুব বৃষ্টি হয়েছিল।
","5"
" আমার মন উসখুস করছে কখন যাবো মাছ ধরতে।
","5"
" রাত প্রায় আটটা বাজে।
","5"
" দাদু ঘুমোতে যাবেন যাবেন করছেন।
","5"
" যেই বিছানা ধরলেন অমনি আমি পেছনের দরজা দিয়ে দিলাম ছুট।
","5"
" যা ভেবেছিলাম তাই।
","5"
" কই মাগুরের লাফালাফি ওপরে ওঠার জন্য, আর আমি অতি সন্তপর্নে একটা একটাকে ধরে ব্যাগে রাখছি।
","5"
" অনেক মাছ কুড়িয়ে,বাড়ির পেছনের দরজা দিয়ে এসে কলসির মধ্যে জল ভরে তাতে জ্যান্ত মাছগুলো ছেড়ে দিলাম, কারণ একদিনে সব মাছ না মেরে জ্যান্ত রাখলে কটা দিন খাওয়া যাবে।
","5"
" পরের দিন দুপুরে দাদু যখন খেতে বসলেন,পাতে কই মাছের ভাজা ও মাগুর মাছের ঝোল দেখার সাথে সাথে আনন্দিত না হয়ে, মুখ ঝামটা দিয়ে আমায় ডাক পড়লো,কেন আমি রাতে মাছ ধরতে বেরিয়েছিলাম তার কৈফিয়ত দিতে হবে।
","5"
" আমি ভয়ে ঘরের ভিতর থেকে বেরোনোর সাহস পেলাম না।
","5"
" আমার ছোট কাকুও দাদুর পাশে বসে খাচ্ছিলেন,বাঁচিয়ে দিলেন কাকু, সঙ্গে সঙ্গে বলে উঠলেন,ও মাছ ধরতে যায়নি,আমি আজ সকালে বাজার থেকে কিনে এনেছি।
","5"
" যাক।
","5"
" এ যাত্রায় বাঁচাগেল।
","5"
" দুপুর বেলা ঘুমোনোর সময় দাদু আমাকে ডেকে বললেন আমার কাছে শুয়ে পড়, একটা ঘটনা শোনাবো তোকে, তারপর তুই আর কোনোদিন মাছ ধরতে অন্তত রাতে বেরোবি না।
","5"
" ভয়ার্ত মুখ-চোখে,দাদুর কাছে শুয়ে,কম্বলের তলায় আশ্রয় নিলাম।
","5"
"মনোযোগের সহিত গল্প শোনার চেষ্টা করলাম।
","5"
" দাদু গল্প বলা শুরু করলেন........ "" আমি তখন ছোট ছিলাম।
","5"
" আমি আর তোর ছোট দাদু, আমাদের দুজনেরও খুব নেশা ছিল মাছ ধরবার।
","5"
" ঐ যে আমাদের ছোটো পুকুর আছে,একসময় তাতে প্রচুর মাছ থাকতো।
","5"
" আমি আর তোর দাদু জাল ফেলে মাছ ধরবো বলে আগের দিন রাতে কথা বলছিলাম।
","5"
" হঠাৎ বাড়ির সদর দরজায় কেউ খট খট করে চলে গেল।
","5"
" আমরা দুজন বাইরে বেরিয়ে দেখি কেউ নেই, ভাবলাম হয়তো কুকুর বা শেয়াল হবে।
","5"
" ঘরে ঢুকে দুজনে দরজার শিকল তুলে ঠিক করলাম কাল সকালে সূর্য ওঠার আগে পুকুরের মাছ ধরে কাছেই হাটে নিয়ে যাবো বিক্রির জন্য।
","5"
" যার ঘুম আগে ভাঙবে সে ডেকে তুলবে, তারপর এক সাথে মাছ ধরতে যাওয়া হবে।
","5"
" দুজনে ঘুমোতে গেলাম।
","5"
" শেষ প্রহরের জোৎস্নার আলোয়, বাইরে চারিদিক আলোকিত, মাঝে মধ্যে জোনাকির আনাগোনা জানান দেয় এটা নিশুতি রাত,সবাই সাবধান।
","5"
" তোর ছোট দাদু ডাক দিল-দাদা ওঠ! ওঠ!মাছ ধরতে যাবিনা?
","5"
" কখন ভোর হয়ে গেছে?
","5"
" তাড়াতাড়ি আয়, আমি পুকুরপাড়ে চললাম তুই জাল নিয়ে তাড়াতাড়ি আয়।
","5"
