"sentence","emotion category"
"আমি অলোকা।
","5"
"আজ আমার বাড়িতে বিরাট বড় পার্টি রাখা হয়েছে কারণ আমি উচ্চ-মাধ্যমিকে মেয়েদের মধ্যে প্রথম হয়েছি।
","5"
" শুধু তাই নয় আমাদের স্কুল থেকে এই প্রথম কেউ উচ্চ মাধ্যমিকে প্লেস পেয়েছে।
","5"
" আর সেই কারণেই এই পার্টির আয়োজন।
","5"
"পার্টিতে সবাই এসেছেন খালি একজন বাদে।
","5"
"অনুপমা ম্যাডাম।
","5"
"আমাদের স্কুলের অঙ্কের শিক্ষিকা।
","5"
"আমি ক্লাস ফাইভ থেকেই স্কুলে ফার্স্ট হতাম আর সেই কারণেই স্কুলের সব ম্যাডামরাই আমাকে খুব ভালোবাসতেন।
","5"
"এঁদের মধ্যে অনুপমা ম্যাডাম ছিলেন অন্যতম।
","5"
"উনি পার্সোনালি আমাকে ডেকে ডেকে অঙ্ক করাতেন।
","5"
"আমি যখন ক্লাস নাইনে পড়ি তখনই উনি রিটায়ার হয়ে যান।
","5"
"কিন্তু তার পরেও উনি আমাকে ওনার বাড়িতে বারবার যেতে বলতেন এবং আমি গেলে খুব যত্ন করে আমায় অঙ্ক করাতেন...আর এর জন্য কখনো উনি আমার থেকে পয়সা নেন নি,আমার বাবা দিতে চেয়েছিলেন কিন্তু তা উনি ফিরিয়ে দিয়েছিলেন।
","5"
"উনি বলেছিলেন,""আমি একা মানুষ এত টাকা দিয়ে কি করব?
","5"
"ছাত্রীগুলো জীবনে বড় হোক সেটাই আমি চাই?
","5"
"""..।
","5"
"শুনেছিলাম অনুপমা ম্যাডাম বিধবা।
","5"
"বেশ অল্প বয়সেই বিধবা হয়েছিলেন উনি।
","5"
"ওনার মেয়ে সাগরিকার বিয়ে হয়ে গেছে।
","5"
" সে এখন ইঞ্জিনিয়ার স্বামীর সাথে অ্যামেরিকায় সেটেলড।
","5"
" তাই অনুপমা ম্যাডাম বাড়িতে একাই থাকেন।
","5"
