"sentence","emotion category"
"""বয়স?
","5"
"  বয়স জেনে কি করবেন মশাই ?
","5"
" ""  মুচকি হেসে সিগারেটের ছাইটা অ্যাস্ট্রেতে ফেলে ধীরে সুস্থে বললেন অমিত বাবু ?
","5"
"  একটা অস্বস্তি লাগল নিজের ।
","5"
"  কোন পুরুষ মানুষ বয়সের ব্যাপারে  এত রক্ষনশীল হতে পারে জানতাম না ।
","5"
"  তার ওপর আমি তো একজন অজানা অচেনা মানুষ,  বলতে কি দোষ ?
","5"
"             লাটাগুড়িতে তখন কদিন অঝোরে বৃষ্টি ?
","5"
"  আমি টুকটাক লেখালিখি করি ।
","5"
"  পুজোসংখ্যায় একটা গল্প চাই,  প্রকাশকের আবদার  ।
","5"
"  অফিসে সাতদিনের ছুটি নিয়ে গেলাম ডুয়ার্সে ।
","5"
"  বিয়ে থাওয়া করিনি ।
","5"
"  কোন চাপ নেই,  ইচ্ছামত বেরোতে পারি ।
","5"
"  কিন্তু একদিন পরেই শুরু হল এই আহাম্মক বৃষ্টি ।
","5"
"  যেন থামতেই চায়না ।
","5"
"  দুদিন কটেজের ঘরে থেকে হাঁফিয়ে উঠলাম।
","5"
"  গল্প আর মাথা দিয়ে বেরোয় না ।
","5"
"  শুধু কানের কাছে এক ঘ্যানর ঘ্যানর বৃষ্টির শব্দ।
","5"
" পাশের কটেজে থাকত আর এক ভদ্রোলোক।
","5"
"  সাদা পাজামা পাঞ্জাবি পড়ে বেশ নিপাট বাঙালি লাগে ।
","5"
"  আর কয়েকটা বাঙালির মত ছোটখাটো ভুঁড়িও আছে।
","5"
"  চোখে চশমা ।
","5"
"  বয়স ওই পঞ্চাশের কাছাকাছি ।
","5"
"  ডিনার বা লাঞ্চের সময় দেখা হত।
","5"
"  কোন কথা নেই কারো সাথে,  চুপচাপ খেয়ে চলে যেত ।
","5"
" বারান্দা থেকে দেখতাম ঠিক এগারো টায় দরজা বন্ধ করে শুয়ে পড়ত ।
","5"
"  একদমই বোরিং লাইফ  কিন্তু বোরিং দের কাছ থেকেই তো গল্প পাওয়া যায়।
","5"
" একদিন ডিনার শেষ করেই হাত টা বাড়িয়ে দিলাম ।
","5"
"  - হ্যালো ।
","5"
"  আমি সমরেশ সেন।
","5"
"  আপনি ?
","5"
" ভদ্রোলোক চশমার ওপর দিয়ে দেখলেন ?
","5"
"  তারপর আস্তে আস্তে হাত বাড়ালেন।
","5"
"  - আমি অমিত মুখার্জি ।
","5"
" - কি করেন?
","5"
"    বলতে বলতে সামনের চেয়ারে বসলাম?
","5"
" ভদ্রোলোক একটু মুচকি হাসলেন।
","5"
