"sentence","emotion category"
"পশ্চিমী আমেরিকা যুক্তরাষ্ট্রের নেভেদা স্টেট।
","5"
" এর দক্ষিণে অবস্থিত এক মিলিটারি বেজ এরিয়া, যার নাম এরিয়া-একান্ন।
","5"
" পৃথিবীর সবচে সুরক্ষিত অঞ্চলের মধ্যে এটি একটি।
","5"
" এই সুরক্ষিত ঘেরা বেষ্টিত এলাকার ভেতর কারওপ্রবেশের অধিকার নেই।
","5"
" স্থানটি আয়তনে প্রায় ২৬০০ বর্গ কিলোমিটার।
","5"
" পৃথিবীর একটা বিশাল অংশের মানুষের ধারণা যে ওখানে এলিয়েন নিয়ে গবেষণা করা হয়।
","5"
" এর প্রবেশ দ্বারের পথের এক ধারে লেখা আছে, ‘এ এলাকায় প্রবেশের চেষ্টা করলেই তাকে গুলি করা হবে।
","5"
"' এখনকার তালিকা ভুক্ত কর্মীদের ছাড়া আর কাউকেই এখানে ঢুকতে দেওয়া হয় না।
","5"
" তবু ভুল বশত কেউ ঢুকে গেলেসে লাশ হয়ে ফিরে আসে।
","5"
" আসলে এখানে আছে আমেরিকার গোপন সামরিক বাহিনীর অপারেশন ঘাঁটি।
","5"
" এখানে বেশ কিছু সামরিক হাওয়াই আড্ডা ছাড়াও কিছু কিছু গোপনীয় গবেষণাগারও আছে।
","5"
" পরীক্ষামূলকউড়োজাহাজ তৈরি ও অস্ত্রশস্ত্রের সিস্টেমের পরীক্ষা নিরীক্ষা এখানে চলতে থাকে।
","5"
" এর মধ্যে দু একটি অতি সংবেদনশীল গোপন গবেষণাগারে কি নিয়ে গবেষণা হয় তা কিন্তু সাধারণের কাছে একেবারেই অজ্ঞাত।
","5"
" এখানকার কর্মরত পদার্থ বিজ্ঞানী বব লেজার বলেন, সেখানে রেটিকুলাম-৪ নামক জ্যোতিষ্ক থেকে আসা এলিয়েন এবং এক ফ্লাইং সসার রয়েছে।
","5"
" ফ্লাইং সসার মানে হল অন্য জ্যোতিষ্ক মণ্ডল থেকে আসা অজ্ঞাত অন্তরীক্ষযান।
","5"
" যাকে আমরা উড়ন চাকতিও বলে থাকি।
","5"
" এই উড়ন চাকতি দিয়েই নাকি ভিন গ্রহের প্রাণীদের আমাদের পৃথিবীতে আগমন ঘটে।
","5"
" আর এই প্রাণীদের আমরা বলি, এলিয়েন।
","5"
" এখানকার কর্ম-কর্তারা দাবি করেছেন যে বেতারতরঙ্গের মাধ্যমে এখান থেকে ভিন গ্রহের প্রাণীদের সাথে যোগাযোগ করা সম্ভব হয়েছে।
","5"
" এই এরিয়া-৫১-র চারপাশে ঘিরে আছে কিছু সাধারণ জনবসতি।
","5"
" এখানে আছে ছোট বড় সব গ্রাম--নাম তার রাচেল, এলোমা, এস স্প্রিং, ক্রিস্টাল, মার্কারী এই সব।
","5"
" মার্কারী গ্রাম নেভেদা রাজ্যের একেবারে দক্ষিণে রয়েছে।
","5"
" গ্রামেকয়েক ঘর লোকের বাস।
","5"
" এর নিকটতম নগর হল, লাস ভেগাস।
","5"
" মার্কারী গ্রামের প্রায় পাশ ঘেঁষা হল এরিয়া-৫১, সেই গোপনীয় সংরক্ষিত এলাকা।
","5"
" গ্রামের শেষের উত্তর দিকেই এর এক প্রবেশ রাস্তা রয়েছে।
","5"
" মার্কারী ভিলেজের ছেলে-মেয়ে রিয়ন, গ্রেস, টেলার, লাইলা, এয়লা।
","5"
" ওরা ছোট থেকেই পরস্পর বন্ধু।
","5"
" বাচ্চা বেলা থেকে এক জাগায় খেলে বেড়িয়ে অভ্যস্ত।
","5"
" এখানকার রহস্য ঘেরা কল্পবিজ্ঞানের কথা ওরাও অনেক শুনেছে।
","5"
" এগ্রামের বয়স্কদের মুখে ওরাও অনেকবার শুনেছে,গ্রামের লোকরা নাকি দেখেছে রাতের অদ্ভুত সেই অন্তরীক্ষ যানকে।
","5"
" ওগুলোর আকার নাকি গোলাকার।
","5"
" ঠিক যেন বলয়ের আকারের মত।
","5"
" রিঙের আকৃতি যেমনটা হয়।
","5"
" তারভেতরটা থাকে আবছা আলোময়।
","5"
" আর তার নিচের তিন জাগার ছিদ্র পথ দিয়ে বেরিয়ে আসে বেশ জোরালো আলোর ফোয়ারা।
","5"
" এর গতি নাকি ভীষণ।
","5"
" নিমেষের মধ্যে আকাশ ভেদ করে চোখের বাইরে বেরিয়ে যায় ! দ্রুততমগতিতে আকাশ চিরে যাবার সময় এক অদ্ভুত শব্দের সৃষ্টি হয়।
","5"
" অনেকটা সাঁ সাঁ স্যাৎ, ব্যাস অন্তরীক্ষ যান মুহূর্তের মাঝে ভেনিস হয়ে যায়।
","5"
" শিশু-কিশোর মনে কৌতূহল থাকে সব চে বেশী।
","5"
" ওরা শুনে আসছে যে ওই এলাকায় নাকি এলিয়েনদের বাস।
","5"
" এলিয়েনরা ছোট ছেলে-মেয়েদের নাকি খুব ভালবাসে।
","5"
" এমন কি ওদের সঙ্গে ওরা খেলা করতেও ভালবাসে।
","5"
" ওরাঅজ্ঞাত ভিন গ্রহ থেকে আসা উড়ানের কথাও জেনেছে।
","5"
" এ সবের অনেক কিছুই অবশ্য এখানকার ছেলে-মেয়েদের শোনা কথা বা রূপকথার মত গল্পে পড়া।
","5"
" ওরা এও জানে এ জাগার উত্তরে আছে সুন্দর এক ঝিল, যার নাম, গ্রুম।
","5"
" আর এই গ্রুম ঝিলের উত্তর পশ্চিমে আছে এক মরুস্থল।
","5"
" তার নাম মাজবে মরুস্থল।
","5"
" রিয়ন বলে, ‘এক এলিয়েন শিশুও নাকি সেখানে ঘুরে বেড়ায়, ওকে একটা ঘেরা জাগায় রাখা হয়েছে।
","5"
"‘ লাইলা বলে, 'আমার গ্র্যান্ড ফাদারও বলেছে, ওখানে নাকি এলিয়েনরা ভিন গ্রহ থেকে আসে, আবার কাজকর্ম সেরে নিজের গ্রহে তারা ফিরে যায় !’ গ্রেস, টেলার, এয়লা আশ্চর্য হয়ে সে সব গল্প শোনে।
","5"
" এদের মধ্যে এয়লা অসম্ভব প্রকারের ভীতু।
","5"
" সে চোখ বড় বড় করে জরজর হয়ে সবার দিকে তাকিয়ে থাকে।
","5"
" টেলরও ভীতু প্রকৃতির।
","5"
" সে হঠাৎ সাহসী হয়েই আবার ভীত হয়েপড়ে।
","5"
" কিন্তু লাইলা রিয়ন আর গ্রেস ভীষণ, ভীষণ সাহসী।
","5"
" এমন কি ওদের মনের মাঝে কখনও কখনও জীবনের ঝুঁকি নেবার মত সাহস গজিয়ে ওঠে।
","5"
" লাইলা তো প্রায়ই বলে, চল না আমরা এরিয়া-৫১ ঘুরে আসি ?
","5"
" এলিয়েনকেএকবার দেখে আসি ! গ্রেস বলে, ‘আমারও দেখতে ইচ্ছে হয় রে ! আর ওই অন্তরীক্ষ উড়ান যার মধ্যে এলিয়েনরা বসে থাকে?
","5"
"...ওঃ, ভাবতেই শরীরে কেমন যেন রোমাঞ্চ জেগে ওঠে !’ রিয়ন ওদের মধ্যে বড়, সে চুপ করে কি যেন ভাবে।
","5"
" তারপর মুখ তুলে বলে ওঠে, ‘চল না আমরা একদিন অভিযানে বেরিয়ে পড়ি।
","5"
" আমরা তিনজন পারি নাকি--ওই এরিয়া-৫১-এর ঘেরা বন্দি পার করে ওখানকার গোপনএয়ারপোর্ট, গোপন গবেষণা গৃহ, যেখানে এলিয়েন নিয়ে গবেষণা চলছে, সে সব চুপি চুপি দেখে আসতে ?
","5"
"’ লাইলার চোখ দুটো যেন আনন্দে জ্বলে ওঠে, ও বলে, ‘বা, তা হলে খুব ভাল হবে, আমরা ওই গ্রুম ঝিল আর মরুস্থলও দেখে আসবো?
","5"
"‘ গ্রেস বলে, ‘তা কি করে হবে ?
","5"
" সে তো অনেক, অনেক দূরে !’ রিয়ন গ্রেসকে সমর্থন করে বলে ওঠে, ‘তা ঠিক, অত দূর আমরা হেঁটে পৌঁছাতেই পারবো না ! কিন্তু সমস্যা কি জানিস, ঘরে না জানিয়ে আমাদের বের হতে হবে আর তাড়াতাড়ি ফিরেও আসতে হবে?
","5"
"‘ হাসল গ্রেস, বলল, ‘অবশ্য যদি আমরা বেঁচে থাকি।
","5"
" একটা গুলি কিংবা হঠাৎ একটা বোমা এসে যদি আমাদের মাঝে ফাটে আর আমরা.তা হলে—‘ রিয়ন বলে ওঠে, ‘তবে থাক তোরা ঘরে বসে, তোদের আর যেতে হবে না, তোরা না গেলেও আমি একদিন ঠিক করেছি, একাই বেরিয়ে পড়বো।
","5"
"‘ --‘না, না’, গ্রেস ও লাইলা এক সঙ্গেই প্রায় বলে উঠলো,’ আমিও যাবো’ এমনি ভাবনায় ওরা অনেক দিন থেকেই অনুপ্রাণিত হয়ে আছে।
","5"
" সামান্য দূরের ঘেরা বন্দির ভেতরের রহস্য যেন ওদের বহুদিন ধরে হাত ছানি দিয়ে ডেকে আসছে ! কিন্তু এত দিন আর যাওয়া হয়ে ওঠেনি।
","5"
" এতটা সাহস ওরা করেউঠতে পারেনি।
","5"
" আজ ওরা বড় হয়েছে।
","5"
" গ্রেস এগার বছরের, লাইলা ন বছরে পা দিলো আর রিয়ানের তের বছর চলেছে।
","5"
" স্থানকালপাত্র সব মিলিয়ে ওরা সাধারণ আর দশটা বাচ্চা থেকে অনেকটাই সাহসী তাতে সন্দেহ নেই ! সেদিন গভীর রাত।
","5"
" গ্রেস, রিয়ন আর লাইলা পা টিপে টিপে নিজেদের ঘরের বাইরে বেরিয়ে এলো।
","5"
" ওরা একসঙ্গে মিলিত হয়ে রওনা দিলো সেই গভীর জঙ্গলের দিকে।
","5"
" সেই শ্বাপদ সঙ্কুল এরিয়া-৫১-এর দিকে।
","5"
" সেখানেচারদিকে ছড়িয়ে আছে শত্রু আর শত্রু।
","5"
" আছে কিম্ভূতকিমাকার সব রক্ষীদল হাতে তাদের রয়েছে বন্দুক।
","5"
" অনধিকার প্রবেশকারীদের ওরা ছেড়ে কথা বলবে না।
","5"
" ওরা এসে পড়লো প্রবেশ রাস্তায়।
","5"
" দেখতে পেলো সেই বোর্ড, যেখানে প্রবেশের ভয়ঙ্কর সতর্কতা জারি করা আছে।
","5"
" গ্রেস বোর্ডের দিকে একবার নজর দেবার চেষ্টা করলো।
","5"
" আবছা চাঁদের আলোয় কিছুই পড়া যাচ্ছিলো না।
","5"
" সোজারাস্তা অনেকখানি দূর চলে গেছে।
","5"
" বনের মাঝ থেকে মাঝে মাঝে অদ্ভুত ধরনের শব্দ কানে এসে লাগছে।
","5"
" না, ওদের মাঝে যেন তেমন ভয় নেই।
","5"
" ওরা যে আজ জীবনের ঝুঁকি নিয়ে বেরিয়েছে।
","5"
" অনেক সময় এমনি হয়, ঝোঁকআকাঙ্ক্ষা পূরণের জন্যে মানুষ যেন প্রাণপণ করে বসে থাকে ! ওদের হাতে হাতিয়ার আছে, আছে মোবাইল আর সামান্য পরিমাণে জল ও খাবার।
","5"
" প্রয়োজনে ওরা মোবাইলের টর্চে পথ দেখে নেবে বা সামনের বিপদের সম্ভাবনা কিছুটা আঁচ করে নেবে।
","5"
" সড় সড় সড় গাছের পাতাগুলি হঠাৎ নড়ে উঠলো।
","5"
" ওরা চুপ হয়ে এক জাগায় দাঁড়িয়ে পড়লো।
","5"
" না, আলো জ্বালানো যাবে না, আশপাশে সৈনরক্ষীরা যদি থেকে থাকে তবে ওরা ওদের লক্ষ্য করে গুলি ছুঁড়তে পারে ! কিছু সময়পরে ওরা আবার হাঁটা শুরু করল।
","5"
" প্রায় এক ঘণ্টা কেটে গেছে, ওরা প্রায় পাঁচ কিলো মিটার ভেতরে প্রবেশ করে গেছে।
","5"
" আপাতত কোন বিপদ ওদের কাবু করতে পারেনি।
","5"
".পথে অনেক রকম শব্দ ওরা শুনতে পেয়েছে।
","5"
" সাপ,জন্তু-জানোয়ারদের এপাশ থেকে ওপাশে সরে যেতে দেখেছে।
","5"
" এবার ওদের সামনে সত্যি বুঝি বিপদ এসে দাঁড়ালো।
","5"
" এক জাগায় এসে ওরা দেখল সেখান থেকে সরু সরু রাস্তা তিন দিকে চলে গেছে।
","5"
" এবার, এবার কি করবে ওরা ?
","5"
" চাঁদনী আলো তখন নেই বললেই চলে?
","5"
" ডুবে যাওয়া চাঁদেরম্লান আলো গাছের আড়াল থেকে শাখা প্রশাখার আবডাল দিয়ে চুয়িয়ে পড়ছিল।
","5"
" সেই ক্ষীণ আলোয় ওদের চোখে পড়লো, খাম্বার মাথায় একটা বোর্ড ঝুলছে।
","5"
" ওরা সে দিকেই এগিয়ে গেলো।
","5"
" কিছু লেখা আছে তাতে কিন্তু অস্পষ্টআলোক কিছুই বোঝা যাচ্ছিলো না।
","5"
" ওরা এবার সতর্কতা নিয়ে চারপাশে তাকিয়ে নিলো।
","5"
" মোবাইল বের করলো, তার থেকে টর্চ জ্বালল।
","5"
" খুব সন্তর্পণে পড়ে নিলো--অনধিকার প্রবেশ কারীদের আবার সাবধান করে দেওয়া আছে।
","5"
"ভুলে এসে গেলে তারা যেন তৎক্ষণাৎ এ এরিয়ার বাইরে বেরিয়ে যায়।
","5"
" আর শেষে লেখা আছে আর ৫ কিলো মিটার দূরে আছে ড্রিমল্যান্ড পরীক্ষণ হাওয়াই আড্ডা।
","5"
" অন্য রাস্তাগুলিতেও নিশ্চয় এমনি বোর্ড লাগা থাকবে ভেবে ওরা অন্য রাস্তার দিকে এগিয়ে গেলো।
","5"
" হ্যাঁ, লাগা আছে বোর্ড।
","5"
" বোর্ডে লেখা আছে--এখন থেকে ১৮ কি.মি.দূরত্বে আছে উড়ান পরীক্ষা কেন্দ্র প্যারাডাইস রেঞ্জ।
","5"
" রিয়নফিসফিস করে বলে উঠলো, ‘না এ পথে যাবার দরকার নেই।
","5"
" তা ছাড়া অনেক দুরও হবে।
","5"
"‘ এবার তৃতীয় রাস্তার মুখের দিকে ওরা এগিয়ে গেলো।
","5"
" না, এখানে কোন বোর্ড তো লাগা নেই ! তবে ওরা কি ভাবে জানবে যে এ রাস্তাকোথায় গেছে ?
","5"
" লাইলা চাপা স্বরে বলে উঠলো, ‘তা হলে হয়ত এই রাস্তা গেছে এলিয়েনদের গবেষণাগারের দিকে?
","5"
"‘ ঠিক এমনি সময় দূর থেকে সাঁ সাঁ একটা শব্দ ভেসে আসতে লাগল।
","5"
" মুহূর্তের মধ্যে বোঝা গেলো কোন দ্রুতগামী যান মাটি পথে অথবা আকাশ পথে ছুটে আসছে ! ওরা চট করে গিয়ে একটা বড় গাছের আড়ালে দাঁড়ালো।
","5"
" এবারদেখা গেলো অনেক আলোর ছটা চারদিকে ঘুরে যাচ্ছে ! তৎক্ষণাৎ কানের পর্দা ফাটার মত আওয়াজ করে একটা বায়ুযান ওদের মাথার ওপর থেকে উড়ে গেলো।
","5"
" নিশ্চয় ওই বিমানটা শেষ রাতের সার্চে বেরিয়েছে।
","5"
" রিয়ন ওরাদেখেছে ওদের গ্রামেও অনেক রাতে এমনি তীব্র আলোক ছাটায় রশ্মি এসে পড়ে।
","5"
" এটাও সেই ব্যাপার সন্দেহ নেই।
","5"
" এখানেও তীব্র এলো এদিক ওদিক ছড়িয়ে গেলো।
","5"
" কিন্তু ওদের গায়ে সে আলোক রশ্মি লাগলো না।
","5"
" রিয়ন বলল,‘আমরা বেঁচে গেলাম, এই আলোর সামান্য ছেটাও যদি আমাদের কারো গায়ে লাগতো তাহলে ওরা আমাদের ধরে ফেলত !’ লাইলা বলল, ‘ও মাই গড ! আমরা বেঁচে গেলাম !’ গ্রেস বলে উঠলো, ‘এই তো সবে শুরু, আরও অনেক বাধা আমাদের পার করতে হবে।
","5"
"‘ এবার ওরা নিজেদের মধ্যে কথা বলে স্থির করে নিলো যে ওরা ওই তৃতীয় রাস্তা ধরেই এগোবে।
","5"
" যে রাস্তায় পথ নির্দেশের কোন বোর্ড লাগা নেই সেই রাস্তাতেই হয়ত কোন বিশেষ রহস্য লুকানো আছে।
","5"
" এখানে ভয়ের অন্ত নেই।
","5"
"প্রতি পদে পদে জীবন সংশয়ের ভয় লুকিয়ে আছে।
","5"
" কালো নিগ্রো গার্ডরা কোথায় যে লুকিয়ে ঘাপটি মেরে আছে, কেউ তা বলতে পারে না ! রিয়ন, গ্রেস ও লাইলা ওরা নিজেদের গ্রামে গার্ডদের দেখেছে।
","5"
" ওরা কথা কম বলে।
","5"
"ওদের গায়ে ছাই রঙা উর্দি পড়া থাকে।
","5"
" তবে ওরা দেখেছে বাচ্চাদের দেখলে ওরা সামান্য হলেও হাসে ! তাদের কাছে ডেকে জিজ্ঞেস করে, ‘হোয়াটস ইয়োর নেম ?
","5"
" হাউ আর উ ?
","5"
"’ আসলে ওরাও তো মানুষ?
","5"
" ওদের ছেলে মেয়েপরিবার সব থাকে ! তৃতীয় রাস্তা ধরে ছেলে মেয়েরা প্রায় দু কিলোমিটার এগিয়ে গেছে।
","5"
" এদিকে রাত শেষ হতে চলেছে।
","5"
" বনের মধ্যে কেমন একটা হালচাল চলছে।
","5"
" অদ্ভুত ধরনের শব্দ ভেসে আসছে।
","5"
" এ সব ওরা শুনেছে।
","5"
" জংলী জন্তু জানোয়ারেরবিভিন্ন ডাক শুনে ওরা অভ্যস্ত।
","5"
" এ সময়টা জন্তু জানোয়ারদের গা ঢাকা দেবার, আশ্রয় খুঁজে ফেরার সময়।
","5"
" রিয়ানদের বিপদের ঝুঁকি দিনে আরও বেড়ে যাবে।
","5"
" দিনে যেমন চারদিকে গার্ড থাকবে তেমনি অন্য কর্মচারীরাওনিজের নিজের কাজের আড্ডায় ও গবেষণাগারের দিকে আনাগোনা করে বেড়াবে।
","5"
" এবার তৃতীয় রাস্তাও দেখা গেলো দু ভাগে বিভক্ত হয়ে গেছে।
","5"
" ওরা আবার এগিয়ে গেলো পথের গোরায় টানানো বোর্ড দেখার জন্যে।
","5"
" আর মোবাইলের আলো জ্বেলে যেই বোর্ড দেখতে গেলো, আচমকা ওদের পেছন থেকে একটাচীৎকার এলো, ‘কে ওখানে ?
","5"
"’ আলো-ছায়া ঘেরা একটা কালো মানুষের ছায়া ওদের দিকেই ছুটে আসতে দেখা গেলো?
","5"
" ওর হাতের বন্দুকের ছায়া বারবার দুলে দুলে উঠছিল।
","5"
" তার মধ্যেই আবার প্রতিধ্বনিত হল, ‘কে ওখানে ?
","5"
"মৃত্যুর জন্যে প্রস্তুত হও !’ গার্ড এবার তার হাতের বন্দুক তান করে আকাশের দিকে গুলি ছুঁড়ল, ‘গুড়ুম’ শব্দ করে গুলিটা মনে হল আকাশ চিরে বেরিয়ে গেলো?
","5"
" রিয়ন তাড়াতাড়ি বলে উঠলো, ‘আমরা পালাবো না, হাত উঁচু করে দাঁড়াবো !’ ওরা তৎক্ষণাৎ দু হাত ওপরে করে দাঁড়িয়ে পড়ল।
","5"
" তীব্র একটা আলো এসে ওদের চোখে মুখে পড়লো।
","5"
" গার্ড বোধহয় ইতিমধ্যে দেখে নিয়েছে তিনজনবাচ্চা ছেলে মেয়েকে।
","5"
" ও এবার জিজ্ঞেস করলো, ‘হু আর উ ?
","5"
"’ রিয়ন বলল, ‘উই আর ওনলি ভিজিটর, স্যার !’ বন্দুকের নল ওদের সামনে ধরে রেখে গার্ড ওদের নিরীক্ষণ করে নিলো, বন্দুক চালাতে গিয়েও চালাল না?
","5"
" এক হাতে বন্দুক আর আরেক হাতে গার্ড ওদের সার্চ করে ওদের কাছে রাখা মোবাইল ও বড় ছুরিগুলি বার করে নিলো।
","5"
"তারপর বলল, ‘গো এহেড—সামনে এগিয়ে চলো !’ রিয়ান, গ্রেস, লাইলা ওরা স্পষ্ট বুঝতে পারছিল, ওদের পেছনে জুতো মচমচিয়ে বন্দুক উঁচিয়ে গার্ডও চলেছে।
","5"
" প্রায় তিন কিলোমিটারের মত এগিয়ে গেল ওরা।
","5"
" এবার দূরে দেখা গেলো একটা বিল্ডিঙের মাথা।
","5"
" ওটাকে কেমন যেন অদ্ভুত আকারের লাগছিল।
","5"
" চারদিকের ভোরের আলোয় মনে হচ্ছে যেন আধতালা কোন ইমারতের মাথামাটির ওপরে জেগে আছে।
","5"
" কাছে এসেও ওরা বুঝতে পারলো না যে এটা কি ধরনের বিল্ডিং ! আসলে এটা একটা আন্ডার গ্রাউন্ড বিল্ডিং।
","5"
" এর অনেক তলা মাটির অনেক নিচে থেকে উঠে এসেছে।
","5"
" একটা বর্গাকৃতির লোহারদরজার সামনে এসে ওকি-টকির মত একটা জিনিস হাতে নিয়ে গার্ড বলে উঠলো, স্যার, ‘ট্রেসপাসর্স স্যার !’ ট্রেসপাসর্স বলতে বোঝায় বিনা অনুমতিতে প্রবেশ করেছে এমনি কাউকে।
","5"
" গার্ড অন্য প্রান্ত থেকে আদেশ পেল—‘ওদের গুলি করে দাও !’ গার্ড কিছু সময় চুপ থাকলো।
","5"
