"sentence","emotion category"
" এক ।
","5"
" হাই হাই রেয়ান।
","5"
" টেন্সড?
","5"
" হুম?
","5"
" কিছু ভাবলে গেমটার ব্যাপারে?
","5"
" না?
","5"
" ভয় লাগছে।
","5"
" এত কেন ভয় পাচ্ছ আত্রি! সব গেমেই তো রিস্ক থাকে।
","5"
" কিন্তু তা বলে এরকম ভয়ঙ্কর গেম!!! আমি জাস্ট ভাবতে পারছি না।
","5"
" ভাবো ভাবো।
","5"
" ভাবা ছাড়া আর কোনো অপশন আছে কি?
","5"
" তুমি না খেললে অন্য কেউ খেলবে?
","5"
" তুমি আর চান্স পাবে না তখন।
","5"
" মন সায় দিচ্ছে না।
","5"
" শ্রীজন মানবে না।
","5"
" গেমের কথাটা যে শ্রীজনকে বলতেই হবে এমনও তো কোনো কথা নেই।
","5"
" পরে যদি কেস খেয়ে যাই?
","5"
" যদি বড় কোনো বিপদে পরে যাই?
","5"
" তখন কে সামলাবে?
","5"
" পরের কথা ভাবছো?
","5"
" এখনই কি কম বিপদ তোমার লাইফে?
","5"
" চিন্তা কোরো না।
","5"
" আমি সব ইনফো তোমাকে দিয়ে দেব।
","5"
" যেদিন খেলার জন্য পুরোপুরি প্রস্তুত হবে জানিও।
","5"
" খেলা শুরুর পর এক সপ্তাহ সময় পাবে তুমি।
","5"
" তোমার একটা মুভ তোমাকে পাঁচ লাখ টাকা দিতে পারে।
","5"
" ভাবতে পারছো?
","5"
" পাঁচ লাখ! এক সপ্তাহে টোটাল সাতটা মুভ তুমি নিতে পারবে, তার সঙ্গে পাঁচ লাখ মালটিপ্লাই করে নিও?
","5"
" কিন্তু... নিজের ফ্যামিলিকে বাঁচাতে হয়তো এটাই তোমার হাতে শেষ সুযোগ! ভেবে দেখো।
","5"
" আমি আর কিছু বলবো না।
","5"
" ভাববো।
","5"
" এখন লগ আউট করব।
","5"
" শ্রীজনের ফেরার সময় হয়ে এল।
","5"
" ।
","5"
" দুই ।
","5"
" এন্টারের কিইটা এবার হয়তো ভেঙ্গেই যাবে।
","5"
" তখন থেকে যে বারবার নির্দয়ের মত তাতে চাপ পড়েই যাচ্ছে।
","5"
" কাঁপা হাত, কপালে ঘাম, আর স্থির চোখ! হৃদপিণ্ডের আওয়াজটাও যেন বাইরে অব্দি শোনা যাচ্ছে।
","5"
" ভয়, টেনশন, রাগ সব মিলে মিশে এক অদ্ভুত অনুভূতি খেলা করছে শ্রীজনের মনে।
","5"
" চেহারাতেও তারই প্রকাশ।
","5"
" আবার শ্রীজন সাইটটা খুলবার চেষ্টা করল।
","5"
