"sentence","emotion category"
"প্রথমে আমার ঘুম ভাঙ্গলো।
","5"
" আমি স্লিপিং চেম্বারের বাইরে আসতে , একটা যান্ত্রিক গলায় শুনতে পেলাম “ওয়েলকাম , কমান্ডার রাহুল বসু।
","5"
"” যার কাছ থেকে আওয়াজ টি এলো , লেখকএবারে সে এগিয়ে এলো ।
","5"
" অবশ্য এগিয়ে এলো ঠিকই, কিন্তু হেঁটে নয়, বরং অ‍্যান্টিগ্র‍্যাভিটি রশ্মির সাহায্যে উড়ে।
","5"
" সে মানুষ নয় ।
","5"
"সে এই 'নিউটন 2350’ মহাকাশ যানের সর্বশ্রেষ্ঠ কর্মচারী ,এক রোবট।
","5"
"নাম 'আইনষ্টাইন’ ওরফে 'আই’।
","5"
" 'আই’ এগিয়ে এসে আমায় রিপোর্ট করলো “এভরিথিং ওকে।
","5"
" মহাকাশযান 'নিউটন 2350’ এখনো অতি আলোক গতিতে লক্ষ্যবস্তু 'নোভা’র দিকে এগিয়ে চলেছে।
","5"
" লক্ষ্য বস্তু এখনো 0.5 আলোকবর্ষ দূরে।
","5"
" অবিলম্বে মহাকাশযানের গতি কমিয়ে আলোর নব্বই শতাংশ গতিতে আনা উচিত।
","5"
"” আমি বললাম “ধন্যবাদ তোমায় ‘আই’।
","5"
" এবারে অটোমেটিক কন্ট্রোল থেকে ম‍্যানুয়াল কন্ট্রোল নেব ।
","5"
" তবে সবার আগে তুমি জানাও ক‍্যাপটেন রোশনি তার স্লিপিং চেম্বার থেকে উঠেছেন কিনা।
","5"
"” এবারে ‘আই’ পুনরায় বলল , “ক‍্যাপটেন রোশনির ঘুম ভেঙেছে।
","5"
" তিনি অতি শীঘ্রই আপনার সাথে যোগ দেবেন।
","5"
"” এই সব কথা বলতে বলতে দেখি ক‍্যাপটেন রোশনি আমার দিকে এগিয়ে আসছে।
","5"
" টানা ছয় মাস ঘুমোবার পর তাকে আগের চেয়ে বেশি ফ্রেশ ও সুন্দরী লাগছে।
","5"
" মহাকাশযান সৌর জগৎ ছাড়িয়ে যাওয়ার পরই আমরা ‘অতি আলোক গতি’ সেট করে দিয়ে , পূর্ব নির্ধারিত ব‍্যাবস্থা অনুযায়ী স্লিপিং চেম্বারে ঘুমোতে চলে গিয়েছিলাম।
","5"
" কারণ আমাদের লক্ষ্য বস্তু 'নোভা’ গ্রহ 432 আলোকবর্ষ দূরে ছিলো।
","5"
" ক‍্যাপটেন রোশনি কাছে এসে বললো “সুপ্রভাত, কমান্ডার রাহুল।
","5"
"” আমি ও প্রত্যুত্তরে বললাম “ওয়েলকাম”।
","5"
" যদিও দুজনেই জানি এই মহাশূন্যে , কোন দিন বা রাত নেই।
","5"
" তবুও পৃথিবীর অভ‍্যাস মতো দেখা হলে সাদর সম্ভাষণ জানানো।
","5"
" রোশনি বললো , “কমান্ডার , বর্তমান পরিস্থিতি কি যদি একটু বলেন , ভালো হয়।
","5"
