"sentence","emotion category"
"(একটি সম্পূর্ণ কল্পবিজ্ঞান ভিত্তিক গল্প) নিজের গ্লোবের ভেতরে ভ্রূ কুঁচকে বসেছিলেন পীযুষ বাবু।
","5"
" পীযুষ দত্তরায়।
","5"
" ইন্ডিয়ান পুলিশের ইস্টার্ন কম্যান্ডের AHTC Department এর প্রধান।
","5"
" বসেন লালবাজারে।
","5"
" AHTC র পুরো নাম Alien and High Tech Criminals. আপনারা যারা 2018 তে বসে এই সত্যি ঘটনাটা পড়ছেন, তাদের জানিয়ে দিচ্ছি, এখন 2069 সাল।
","5"
" ভারতে একটিই পুলিশ বাহিনী, ভারতীয় পুলিশ, যার হেড কোয়ার্টার চেন্নাইতে।
","5"
" চালিত হয় নিজেদের কম্যান্ডারদের দ্বারা।
","5"
" পীযুষ বাবুর department বহিঃর্বিশ্ব থেকে আগত আর পৃথিবী আর চাঁদের খুব technologically advanced ক্রিমিনালদের ধরার, তাদের সাজা দেওয়ানোর কাজ করেন।
","5"
" তিনি রিপোর্ট করেন ভারতীয় পুলিশের প্রধানকে।
","5"
" খুব নাম যশ তার পীযুষের।
","5"
" কিন্তু এই কদিন সময়টা ভালো যাচ্ছে না একদম।
","5"
" তার মাসিমা শুক্র গ্রহে নতুন ফ্ল্যাট নিয়েছেন, বার বার ডাকছেন যেতে।
","5"
" গৃহপ্রবেশে ইলিশ মাছ (শুক্র গ্রহের কৃত্রিম সমুদ্রে এখন সুস্বাদু ইলিশ চাষ হচ্ছে, এক কেজি তিনশোর নীচে একটাও নেই) রান্না করেছিলেন, দই ইলিশ।
","5"
" পীযুষ বাবুর খুব পছন্দের জিনিস।
","5"
" কিন্তু যেতে পারেন নি।
","5"
" তার জন্য মন খারাপ, আবার এই কেসটাতে কিছুতেই এগোতে পারছেন না, তার জন্যও মেজাজটা বিগড়ে আছে।
","5"
" হেড অফ কম্যান্ডার্সের সাথে এই মাত্র কথা হোল তার Visua presence এর মাধ্যমে।
","5"
" পৃথিবী সংসদের চিফ খুব চিন্তিত এই কেসটা নিয়ে, দ্রুত সমাধান করতে হবে।
","5"
