"sentence","emotion category"
"পিক্সি এখন সারাদিন মন খারাপ করে বসে থাকে।
","5"
"একার সংসার এ তেমন কিছু কাজ থাকে না আর কাজ করতেও ভালো লাগে না।
","5"
"তাছাড়া যেখানে পিক্সি চাকরি করতো সেখান থেকে ৫ বছর আগেই অবসর নিয়েছে।
","5"
"টাকা পয়সার প্রয়োজন খুব একটা নেই ,এত দিন এ যা জমিয়েছে আর যা পূর্বপুরুষ রেখে গেছেন তাতে তিন পুরুষ হেসে খেলে চলে যাবে।
","5"
" পিক্সির হাসব্যান্ড দশ বছর আগেই মারা গেছে।
","5"
"ছেলে আছে একটা তার নাম গুক।
","5"
"মা এর ছেলে থেকেও নেই! ছেলে আমেরিকাতে থাকে।
","5"
"রোবটেক্স নিয়ে পড়াশোনা করে এখন রোবট বানানোর প্রচেষ্টা করে করে নিজে যেন একপ্রকার রোবট-ই হয়ে গেছে।
","5"
"বাবা মারা যাবার কয়েক বছর আগে থেকেই ছেলে ওখানে থাকে,যোগাযোগ ও রয়েছে।
","5"
"এখন তো ফোন করার সুবিধা আর কষ্ট করে মোবাইলের স্ক্রিন এ হাত দিয়ে এত ঘষাঘষি করতে হয় না।
","5"
"খালি মুখে বলো-'কলিং গুক' তাহলেই কল চলে যাবে।
","5"
"অপশন আছে 'সি'।
","5"
"একবার অপশন 'সি' বললেই ক্যামেরা অন।
","5"
"ব্যাস ডিরেক্ট অপর জনকে দেখতে পাবে।
","5"
"এই সব এর জন্য ঘরে তোমায় একটা এয়ার কলার লাগাতে হবে শুধু এটুকুই।
","5"
"দিনে দুবার করে কথা হয় ছেলের সাথে কিন্তু কাজের চাপ থাকলে একবার।
","5"
"আমার ভালোই খেয়াল রাখে... কিরে কবে আসবি ইন্ডিয়া তে?
","5"
"কতদিন তো আসিস না?
","5"
"আমায় কি চোখের দেখা দেখতেও ইচ্ছা করে না তোর?
","5"
"উফফ! মিমি তুমি কি যে বলো না যাবো,যাবো?
","5"
"এবার পুজো তে যাবো।
","5"
"একমাস বাকি আছে আমি সব কাজ সেরে নিচ্ছি এখানে।
","5"
"বুঝতেই তো পারছো এখানে আমি ছাড়া কিছুই সম্ভব নয়।
","5"
"কোম্পানি ছাড়তে চায় না।
","5"
"আর এত অর্ডার এর চাপ... তুই প্রত্যেকবার এই এককথা বলে যাস!তুই তো মিমিকে আর ভালোবাসিস না তাই আসিস না,আমি জানি।
","5"
"না,না মিমি আই লাভ ইউ সো মাচ।
","5"
"ইউ আর মাই সুইটেস্ট মম ইন দি ওয়ার্ল্ড।
","5"
"মিমি আমি যখন পুজো তে যাবো তখন ভালো ভালো রান্না করবো বুঝলে?
","5"
"আচ্ছা বাবা!আচ্ছা তুই যা যা ভালোবাসিস সব করবো,তুই আগে আয় তো?
","5"
"ওকে মম এখন আর সময় নেই এবার রাখি বুঝলে।
","5"
"ওষুধ গুলো টাইম এ খেও।
","5"
"ওকে বেটা বাই টেক কেয়ার।
","5"
" এই বলে ফোন টা কেটে গেল।
","5"
"প্রতি টা দিন ফেলে আসার আনন্দের দিন গুলোর কথা ভাবতে ভাবতেই কোথা দিয়ে প্রায় এক মাস কেটে গেল বুঝতে পারে নি গুক এর মা পিক্সি।
","5"
" মা তুমি রাগ কোরো না মা।
","5"
"আমি খুব শিগগিরি আসবো।
","5"
"তুমি তো বোঝো বলো আমার মিমি তো...একপ্রকার পিক্সি গুক এর কথা কেড়ে নিয়েই বললো-তুই বলেছিলিস আসবি আমি কত তোরজোর শুরু করলাম,তোর জন্য কত কি খাবার এর অর্ডার দিলাম,মার্কেটিং করলাম আর তুই এখন বলছিস আসবি না?
","5"
"কতদিন তোকে দেখিনি রে আমি মরে গেলেও বুঝি দেখতে আসবি না কথা গুলো বলার সময় পিক্সির গলা টা ধরে এলো?
","5"
"মা এসব কথা তুমি বলো না কি করবো বলো এত কাজ এর চাপ... তোর কাজ টাই আগে মা নয়?
","5"
" মা শোনো শান্ত হও...আর আমি কথা বলতে চাই না তোর সাথে?
","5"
"তোর জন্য এইভাবে আমি তিন বছর ধরে ওয়েট করছি।
","5"
"আসবো আসবো বলিস কিন্তু আসিস না,শেষ মুহূর্তে ঠিক ক্যান্সেল করিস।
","5"
" একথা বলেই ফোন কেটে দিয়েছিল পিক্সি।
","5"
"গুক জানত মা এর রাগ কমলে মা নিজেই ফোন করবে।
","5"
"পিক্সি পরের দিন ফোন ও করে ছিল।
","5"
"গুক মা কে খুশি করার জন্য একটা গিফট পাঠিয়ে দিয়েছিল।
","5"
" মা তোমার জন্য একটা গিফট পাঠিয়েছি।
","5"
"পাঁচ দিন এর মধ্যে তোমার কাছে চলে যাবে।
","5"
"কেমন লাগলো জানিও।
","5"
" কি গিফট?
","5"
" সারপ্রাইজ মিমি?
","5"
" সকালবেলা সমস্ত কাজ সেরে সবেমাত্র বসতে যাবে পিক্সি,তখনি ডোর বেল বাজলো।
","5"
"সিসিটিভি তে ফুটেজ চেক করে দরজায় লাগানো ইডেন্টি কার্ড এর ইনফরমেশন চেক করে দরজা খুলে দেখলো একটা বড়ো বাক্স।
","5"
"সিগনেচার করে ডোর লক করে বাক্স তা নিয়ে ঘরে ঢোকে পিক্সি।
","5"
"তারপর ছেলেকে ফোন করে- হ্যা রে তুই এটা কি পাঠিয়েছিস?
","5"
"আমি কি বাচ্চা?
","5"
"না মা তুমি একা থাকো সবসময়,তাই ও তোমার সঙ্গ দেবে?
","5"
"দেখবে ভালো লাগবে।
","5"
"একটা রোবট সে আবার আমার সঙ্গে কি সঙ্গ দেবে রে?
","5"
"ওসব তোদেরই ভালো?
","5"
"আচ্ছা ওটা একটু ফিটিংস করো,তার পর চার্জ এ দাও।
","5"
"দেখো একটা বুকলেট আছে।
","5"
"আমি অন দ্য ওয়ে।
","5"
"সো টক টু ইউ লেটার।
","5"
" ওকে টেক কেয়ার এন্ড সেভ ড্রাইভ।
","5"
" ফোন টা রাখার পর পিক্সি বললো-কি ভাবলাম আর কি হলো! পিক্সি ভেবেছিল কোনো দামি কার বা জুয়েলারী গিফট করবে।
","5"
"সত্যি কি যেন একটা!এই যন্ত্রটা কিভাবে সঙ্গ দেবে আমায়?
","5"
"হেল্প করে?
","5"
"আমার ফাই-ফর্মাস খেটে?
","5"
" ডিসগাস্টিং সত্যি ছেলেটার নাম রাখার আগে একবার নেট সার্চ করে মিনিংটা দেখে নিলে আর এই নাম রাখতাম না?
","5"
"ওর বাবা যে ভয়টা পেত সেটাই হয়েছে।
","5"
"সত্যিই গুক অশেতাঙ্গ বিদেশিতে পরিণত হয়েছে।
","5"
"এইসব ভাবতে ভাবতেই রোবট ফিটিংস করে চার্জে বসিয়ে দিল পিক্সি।
","5"
" পরের দিন সকালবেলা ঘুম ভাঙলো একটা মিষ্টি ডাকে।
","5"
"'গুড মর্নিং মিমাই! গেট আপ!গেট আপ!'ঘুম ভেঙে চোখ রগড়ে পিক্সি বললো তোকে মিমাই বলতে কে শেখালো?
","5"
"সরি!আই কান্ট আন্ডারস্টান্ড হোয়াট আর ইউ টকিং?
","5"
"উফ!তখনি পিক্সি বললো সো মি ইওর চেস্ট?
","5"
"বলেই সেটিং এ গিয়ে ল্যাংগুয়েজ চেন্জ করে দিলো।
","5"
"তার পর বললো-ইউ ক্যান সে ইংলিশ বাট আই ডোন্ট লাইক দোস গাই হু সেড ভেরি মাচ ইংলিশ।
","5"
"ওকে মিমাই।
","5"
"আমায় না কেউ শেখায়নি মিমাই বলা।
","5"
"গুক ব্রো মিমি বলে তাই আমি মিমি তাকে আরও স্পেসাল করার ট্রাই করলাম।
","5"
"আচ্ছা বেশ।
","5"
"মিমাই চলো এক্সারসাইজ করবো।
","5"
"না ওসব ভালো লাগে না আমার।
","5"
"আচ্ছা মিমাই তুমি ডান্স করতে পারো?
","5"
