"sentence","emotion category"
"বৃষ্টিটা এবার আর থামবেই না মনে হচ্ছে, কলকাতায় বন্যা হবেই।
","5"
" আমার এগারো চলার অফিস ঘরের জানালা দিয়ে দেখছিলাম গোটা সেক্টর ফাইভ ভাসছে।
","5"
" সব জলাশয় গুলো উপচে রাস্তায় উঠে এসেছিল গত কালকেই।
","5"
" আজ সকাল থেকেই পথে ছিল হাঁটু জল, নারকেল গাছের মাথাগুলো জলাশয়ের উপর জেগে রয়েছে।
","5"
" দুপুরেই ঋজু বলেছিল ক্যাবের বদলে স্পিড বোট চলবে এবার রাস্তায় ।
","5"
" পিয়াল বেলা তিনটেয় অফিস ছেড়ে বেড়িয়েছে এই দুর্যোগ দেখে।
","5"
" সন্ধ‍্যা সাতটায় বাড়ি পৌঁছে ফোন করেছিল।
","5"
" সারা কলকাতাই নাকি ভাসছে।
","5"
" ল‍্যপিটা ব্যাগে ভরে ভাবছিলাম কি করে বাড়ি ফিরবো।
","5"
" এত রাত অবধি জেগে কাজ করছিলাম উইক-এন্ডে রিয়াকে নিয়ে একটু ঘুরতে যাবো বলে।
","5"
" ও এক মাসের প্রোজেক্টে হঠাৎ কলকাতা এসেছে।
","5"
" নেক্সট উইক ফিরে যাবে।
","5"
" বেসমেন্টে জল থৈ থৈ করছে, গাড়ি বের করাই যাবে না।
","5"
" রাত প্রায় নটা।
","5"
" কি করবো ভাবতে ভাবতে অফিসের বাইরে এলাম।
","5"
" বাসের শেডে যে দু একজন দাঁড়িয়ে রয়েছে তাদের জুতো জলের নিচে।
","5"
" আর বাস গেলে বড় বড় ঢেউ কোমর পর্যন্ত ভিজিয়ে দিচ্ছে।
","5"
" সরকারের উচিত বিপর্যয় ঘোষণা করে রেসকিউ টিম পাঠানো।
","5"
" এসব ভাবছিলাম অফিসেরবাইরে র‍্যাম্পে দাঁড়িয়ে।
","5"
" হঠাৎ মনে হল বৃষ্টিটা আরো জোরে নামল সাথে উথালপাথাল হাওয়া।
","5"
" আমার পাশে একটি অল্প বয়সী ছেলে এসে দাঁড়িয়েছিল।
","5"
" একটা মোবাইল বার করে চারপাশের ফটো তুলছিল।
","5"
" এই বিল্ডিং এ প্রচুর অফিস রয়েছে।
","5"
" এগারো বারো তলায় আমাদের কোম্পানি।
","5"
" একে আগে দেখেছি বলে মনে পড়ল না।
","5"
" ছেলেটার চোখ দুটো ভারি অদ্ভুত, সবুজ মনি, অথবা লেন্স পড়েছে সবুজ।
","5"
" বেশ ফরসা, হাইট আমার মতোই।
","5"
" একটা সুমো জাতীয় গাড়ি এসে দাঁড়িয়েছিল সামনে।
","5"
" ওর ড্রপিং কার হয়তো, গাড়িতে উঠতে গিয়ে ছেলেটি আমায় বলল -''আমি সাউথের দিকে যাবো, আপনাকে কি কোথাও ছেড়ে দেবো ?
","5"
" এই দুর্যোগে আজ আর কিছুই পাবেন না?
","5"
" '' এ তো হাতে চাঁদ পাওয়া, হাইল্যান্ড পার্কে আমার ফ্ল্যাট।
","5"
" ওকে ধন্যবাদ জানিয়ে উঠে বসলাম।
","5"
" জল কেটে দ্রুত এগিয়ে চলল গাড়িটা।
","5"
" বৃষ্টিতে চারপাশ ঝাপসা, কিছুই চোখে পড়ে না।
","5"
" ছেলেটা ওর মোবাইলে ব্যস্ত।
","5"
" ভদ্রতার খাতিরে আমি নিজের পরিচয় টুকু দিয়ে চুপ করে বসলাম।
","5"
" একটা হাল্কা মিউজিক বাজছে গাড়ির ভেতর, এসিটা ফুল, বেশ শীত করছিল।
","5"
" অত্যধিক ক্লান্তিতে ঘুমিয়ে পড়েছিলাম বোধহয়, চোখ খুলতেই মনে হল এক গভীর সুরঙ্গের ভেতর দিয়ে চলেছি কোথাও।
","5"
" বৃষ্টির চিহ্ন নেই আর।
","5"
" ঘুটঘুটে অন্ধকার, গাড়ির ভেতর একটা হাল্কা সবুজ আলো জ্বলছে।
","5"
" সহযাত্রীর দিকে তাকাতেই ও বলল -''আর কয়েক মিনিট, পৌঁছে গেছি আমরা।
","5"
""" আমায় অবাক করে গাড়িটা একটা বড় কেল্লার মত বাড়ির সামনে এসে দাঁড়ালো।
","5"
" ঘড়ির দিকে তাকিয়ে দেখি সে দেহ রেখেছে।
","5"
" জল ঢুকেছিল হয়তো।
","5"
" কিন্তু এ আমি কোথায় এলাম !! নেমেই দেখি আরো চমক অপেক্ষা করছে আমার জন্য।
","5"
" আমার সহযাত্রীর নাম তখনো জানি না।
","5"
" সে আমায় নিয়ে একটা ঘরে ঢুকল, সেই ঘরে দেখি জাপানের বড় বৈজ্ঞানিক মিঃ সুকাতোমা উকিয়ানি, চীনের মিঃ ইয়াং সু চেন, আমেরিকার মিঃ পলসন, রাশিয়ার মিঃ ভ্লাদিন, জার্মানের মিঃ জর্ডন এবং আরো দুজন ভদ্রলোক বসে রয়েছেন।
","5"
" মিঃ ভ্লাদিন আর পলসন আমার পূর্বপরিচিত।
","5"
" আমায় দেখেই উঠে দাঁড়িয়ে পলসন বলল -''আরে দিগন্ত, তোমায় ও তুলে এনেছে ওরা ?
","5"
"'' পলসনের মুখে খাটি বাংলা শুনে আমি অবাক হতেও ভুলে গেছিলাম?
","5"
" এমন সময় পেছন থেকে একটা চেঁচামেচির সাথে ঘরে ঢুকল অস্ট্রেলিয়ার স্নেল পিটারসন।
","5"
"কিন্তু ও বাংলায় বলে চলেছে -'' আমায় কোথায় নিয়ে যাচ্ছ?
","5"
" আমি বাড়ি যেতে চাই?
","5"
"'' সুকাতোমা উঠে দাঁড়িয়ে বলল -''আমাদের এখানে কেন আনা হয়েছে এখনি বলো।
","5"
" '' আমি নিজের হাতে চিমটি কেটে বুঝলাম জেগেই আছি।
","5"
" ঠিক তখনি ঘরে ঢুকল এক সুন্দরী মহিলা আর দু জন পুরুষ।
","5"
" মহিলা এতটাই সুন্দর যে সবাই কথা বলতে ভুলে গেছিল ওনাকে দেখে।
","5"
" ঘরের ঠিক মাঝখানে দাঁড়িয়ে উনি বললেন -'' আমাদের বিশ্বে আপনাদের সবাই কে স্বাগত।
","5"
" আমি এই বিশ্বের চিফ নাকাটা, এরা আমার দুই সহকারী পেম আর কিম।
","5"
" আপনারা দশ জন .....'' -''দশ জন নয়, নয় জন !! কেন আমাদের এখানে আনা হয়েছে বলবেন ?
","5"
"'' ভ্লাদিন বলে উঠল?
","5"
" নাকাটা নিজের হাতের বেশ বড় মোবাইলের মত যন্ত্রটার দিকে তাকিয়ে বলল -''হানিফ আসে নি?
","5"
" এই দেশটার উন্নতি সম্ভব নয় আর?
","5"
" সর্বদা পিছিয়ে রয়েছে ওরা।
","5"
" তখনি ঘরে ঢুকল পাকিস্তানের হানিফ কালাম।
","5"
" অবাক হয়ে ও যখন চারদিক দেখছে নাকাটা আবার নিজের ও সবার পরিচয় দিলো।
","5"
" বাকি দু জন লন্ডন ও আফ্রিকা থেকে এসেছেন।
","5"
" মিঃ রবিন আর জোসেফ।
","5"
" নাম আগেও শুনেছিলাম।
","5"
" এই প্রথম দেখলাম।
","5"
"নাকাটা বলতে শুরু করেছিল -'' আপনারা এখন পৃথিবীর বাইরে এক অন্য বিশ্বে রয়েছেন।
","5"
" এই বিশ্ব আপনাদের পৃথিবীর থেকে বহু দূরে এবং অনেকটাই উন্নত।
","5"
" এখানকার বাতাসে রয়েছে ট্রান্সলেটার মলিকিউলস।
","5"
" তাই সবাই সবার ভাষা মাতৃভাষার মতোই শুনতে পাচ্ছেন।
","5"
" আমাদের হাতে সময় খুব কম।
","5"
" পৃথিবীকে এক ধ্বংসের হাত থেকে বাঁচাতে চাই আমরা।
","5"
" আপনাদের দশ জনকে আমরা নির্বাচন করেছি সেই জন্য।
","5"
" এর আগেও পৃথিবী কে বহুবার এভাবে রক্ষা করেছি আমরা।
","5"
" সে সব ইতিহাস বলার মত সময় নেই।
","5"
" আপনারা সবাই পৃথিবীর নাম করা বৈজ্ঞানিক।
","5"
" গবেষণা করে চলেছেন বিজ্ঞান কে এগিয়ে নিয়ে যাওয়ার জন্য।
","5"
" আপনাদের দশ জনের রিসার্চের বিষয় প্রায় এক, সময় যন্ত্র।
","5"
" সময়ের আগে পিছে যেতে বদ্ধ পরিপক আপনারা।
","5"
" এ আবিষ্কার বদলে দেবে পৃথিবীর ভবিষ্যৎ।
","5"
" কিন্তু ইতিহাস কখনো বদলানো যায় না।
","5"
" সময় সরণীতে পিছিয়ে গিয়ে কেউ যদি নিজের পূর্ব পুরুষকে মেরে ফেলে ইতিহাস থেমে যাবে, আপনার জন্মই হবে না আর।
","5"
" পুরানো ভুল শুধরে ফেললে ভবিষ্যৎ ধ্বংস হবে।
","5"
" তাই ইতিহাস শুধু দেখাই যাবে এই মেশিনে।
","5"
" ইতিহাস থেকে শিক্ষা নেবো আমরা, ভবিষ্যতে সেই ভুল করবো না আর।
","5"
" ভবিষ্যতের ভুলের পরিণাম দেখে তাকেও শুধরে নেবো ঘটনা ঘটার আগেই।
","5"
"কিন্তু সশরীরে সেখানে পৌঁছতে পারব না কেউ।
","5"
" এই মেশিন এ শুধু দেখা যাবে সব।
","5"
" বদলাতে হবে নিজেদেরকে।
","5"
"সেই মেশিন তৈরির পথে আপনাদের এগিয়ে দেবো আমরা।
","5"
" পৃথিবীতে তৃতীয় বিশ্বযুদ্ধ আসন্ন।
","5"
" তাকে আটকাতে হবে, জন বিস্ফোরণ রোধ করতে হবে।
","5"
" সবুজায়নের মাধ্যমে প্রাকৃতিক দুর্যোগকে আটকাতে হবে।
","5"
" এসব সবাই জানে।
","5"
" কিন্তু তবুও পাহাড় জঙ্গল ধ্বংস হচ্ছে।
","5"
" জলাভূমি বুজিয়ে হাই-রাইজ হচ্ছে।
","5"
" নদীতে বাঁধ দিয়ে প্রাকৃতিক দুর্যোগ সৃষ্টি করা হচ্ছে।
","5"
" আসলে ভবিষ্যতে কি হতে পারে কেউ জেনেও জানতে চাইছে না।
","5"
" এই মেশিন লোককে ভয়ংকর ভবিষ্যতের দর্শন করাবে।
","5"
" তাতে যদি সকলে বোঝে এর গুরুত্ব।
","5"
" আসুন আপনাদের ল্যাবে নিয়ে যাই।
","5"
" তাহলে আরো বুঝিয়ে বলতে পারবো।
","5"
" '' -''আপনি যে এভাবে আমাদের দশ জনকে তুলে আনলেন পৃথিবীতে হয়তো এতক্ষণে খোঁজ শুরু হয়ে গেছে, দশ জন বৈজ্ঞানিকের অপহরণ!! কি অবস্থা হয়েছে কে জানে!!''মিঃ রবিন বলে ওঠে।
","5"
" ততক্ষণে ঘরের ঠিক মাঝখানে নেমে এসেছে একটা কাচের লিফট।
","5"
" নাকাটা কিম আর পেমের ইশারায় সবাই তার ভেতর ঢুকতে শুরু করেছে।
","5"
" লিফট উপরে উঠতে শুরু করতেই আমার মনে পড়ল রিয়ার সাথে পরদিন ভোরে শিলং যাওয়ার কথা ছিল।
","5"
" বহুদিন পর ওকে কাছে পেতাম একান্তে।
","5"
" এবার সাহস করে ওকে প্রপোজ করে বিয়ের ডেটটা ফাইনাল করবো ভেবেছিলাম, আংটিও কিনেছিলাম একটা।
","5"
" কোথায় রিয়া, আর কোথায় এখন আমি!! লিফট থামতেই এক বিশাল কাচের হলের ভেতর বেরিয়ে এলাম আমরা।
","5"
" এক দিকে বড় টিভিস্ক্রিন লাগানো।
","5"
" অন্য দিকে গ্যালারীর মত চেয়ার।
","5"
" সামনে কম্পিউটারের মত যন্ত্র।
","5"
" আমাদের বসতে বলে নাকাটা ওর সাথীদের নিয়ে ঐ যন্ত্রের সামনে গিয়ে দাঁড়ালো।
","5"
" সু চেন বলল -''আমাদের বাড়িতে খবর দিতে দিন।
","5"
" নয়তো বিপদ বাড়বে।
","5"
"” নাকাটা একটু হেসে বলল -''সু চেন আর রবিন ঠিক ভেবেছিল।
","5"
" তবে আমাদের আবিষ্কার করা এক মেশিনের নাম ক্লোনিং-গান।
","5"
" যা দিয়ে মুহূর্তের মধ্যে আপনাদের মত উন্নত মানের ক্লোন তৈরি করতে পারি আমরা, ফটো তোলার মত আপনাদের ফটো তুললেই ঐ গান আপনার ক্লোন তৈরি করে ছেড়ে দিতে পারে।
","5"
" আপনাদের দশ জনের ক্লোন রয়ে গেছে পৃথিবীর বুকে।
","5"
" তাই চিন্তা করবেন না কেউ।
","5"
" ক্লোনের স্বভাব চরিত্র মস্তিষ্ক সব এক।
","5"
" তাই আপনাদের হয়ে অফিস মিটিং এমনকি পরিবারের সাথে সময় ও সেই কাটাচ্ছে।
","5"
" আমার মনে পড়ল ছেলেটা অফিসের বাইরে ফটো তুলছিল।
","5"
" ওদিকে হানিফ লাফিয়ে উঠেছে ততক্ষণে, বলল -''মানে আমার স্ত্রীর সাথে এখন রয়েছে আমার ক্লোন ?
","5"
"'' -''সে তো আপনারই অংশ?
","5"
" বসে পড়ুন হানিফ।
","5"
" কাজের কথায় আসি।
","5"
"'' নাকাটার কথায় হানিফ বসে পড়লেও ওর ঝুলে পড়া মুখটা ছিল দেখার মত।
","5"
" আর আমি ভাবছিলাম আমার ক্লোন এই মুহূর্তে রিয়ার সঙ্গে শিলং যাচ্ছে হয়তো।
","5"
" আর ভাবতে পারছিলাম না!! -''এখন দেখানো হবে টাইম মেশিন বানানোর সব পদ্ধতি।
","5"
" মন দিয়ে দেখবেন।
","5"
" দেশে ফিরে আপনাদের স্মৃতি থেকে এই পদ্ধতিটুকু রেখে বাকি সব মুছে দেওয়া হবে।
","5"
" আমার কথা, এই বিশ্বের কথা কিছুই মনে থাকবে না আর।
","5"
" এভাবেই আমরা মেসোপটেমিয়া থেকে মিশর, মহেঞ্জোদারো সব সভ্যতাকে এগিয়ে যেতে সাহায্য করে আসছি যুগ যুগ ধরে।
","5"
" ভিঞ্চিকে এখানে এনে হেলিকপ্টার বানানো শিখিয়েছিলাম, বেচারা সব গুলিয়ে ফেলেছিল।
","5"
" কম্পিউটারের নক্সা থেকে আজকের জেট প্লেন সব শিখিয়েছি বিভিন্ন উন্নত মস্তিষ্কের বৈজ্ঞানিকদের।
","5"
" এবার আপনারা দশ জন ফিরে গিয়ে এই টাইম মেশিন বানাবেন।
","5"
" যে আগে শেষ করবে ইতিহাস তাকেই মনে রাখবে।
","5"
" তাই মন দিয়ে শিখবেন ।
","5"
"'' এর পর ঘর অন্ধকার করে বিশাল টিভির পর্দায় শুরু হল প্রোগ্ৰামিং এর খেলা।
","5"
" মন দিয়ে দেখতে দেখতে কি ভাবে যে সব চিন্তা ভুলে ওর ভেতর ঢুকে গেছিলাম জানি না।
","5"
" কতক্ষণ এসব চলেছিল মনে নেই।
","5"
" হঠাৎ সব লাইট জ্বলে উঠতেই মনে হল সিনেমা শেষ।
","5"
" আমাদের সবার হাতে নাকাটার মত বেশ বড় একটা করে মোবাইল দেওয়া হল।
","5"
" পাঁচ বাই আট, ঠিক ট্যাবের মত দেখতে।
","5"
" নাকাটা বলে চলেছে, -''এ বার ডেমো, ঐ মেশিনে সবাই জায়গা টাইম আর ডেট সেট করুন।
","5"
" ব্যাক ডেটে করুন আগে।
","5"
" '' আমি তারিখ দিয়ে লিখলাম ১৫৫৭, পানিপথ, সময় সকাল দশটা, আমার ট্যাবের পর্দায় চলছে ভীষণ যুদ্ধ।
","5"
" আবার দিলাম আমার জন্ম তারিখ ও হাসপাতালের ঠিকানা, ওটির বাইরে বাবা, মামা, দাদু পায়চারি করছে।
","5"
" ডাক্তার একটা বাচ্চা কোলে বেরিয়ে এলো।
","5"
" -''এবার সবাই বর্তমানে যাবেন।
","5"
" '' নাকাটা বলল।
","5"
" আমি শিলং এর হোটেলের নাম লিখলাম।
","5"
" ডেট টাইম দিলাম।
","5"
" একটা সাদা ফ্রক পরেছে রিয়া, আমার মত দেখতে ছেলেটাকে ফেডেড ডেনিম জিনস আর সাদা গেঞ্জিতে মানিয়েছে।
","5"
" রিয়াকে একটা গাড়িতে নিয়ে ও চলল, আমি আর সহ্য করতে পারছিলাম না।
","5"
" ট্যাবটা ভেঙ্গে ফেলতে ইচ্ছা করছিল।
","5"
" -''এবার আসল জিনিস, ভবিষ্যৎ।
","5"
"আগামী তিন বছরের পর একটা ডেট দিন সবাই।
","5"
"'' মনটা ভার হয়ে গেছিল, তবুও দিলাম একটা ডেট টাইম, কলকাতায়।
","5"
" পর্দা জুড়ে বোম্বিং চলছে।
","5"
" যুদ্ধ শুরু।
","5"
" পাশেই পলশনের মেশিনের পর্দায় ও যুদ্ধ, ও ধারে স্নেলের অস্ট্রেলিয়া ডুবে যাচ্ছে প্লাবনে, সমুদ্রে এটমিক ব্লাষ্টিং করিয়েছে শত্রুরা।
","5"
" নাকাটার কথা মত আরো দু মাস পরের ডেট দিলাম, চারদিকে ধ্বংসস্তূপ, নেই কোনো প্রাণের চিহ্ন।
","5"
" পাগলের মত তারিখ দিয়ে লিখে চলেছি, দিল্লি, কেরালা, লন্ডন, পিটসবার্গ, কোহিমা, সিঙ্গাপুর, ইটালি,রিয়াদ, সিডনি সব ধ্বংস হয়ে গেছে।
","5"
" কিছুই নেই।
","5"
" সবাই এ ওর মুখের দিকে তাকাচ্ছে।
","5"
" -''এবার আসা যাক আলোচনায়।
","5"
" এই ভবিষ্যৎ বদলাতে হবে।
","5"
" আগামী দু বছরের মধ্যে সবার হাতে তুলে দিতে হবে এই মেশিন।
","5"
" বানাবেন আপনারা।
","5"
" মেশিনে ভবিষ্যৎ দেখে সাবধান হবে জনগণ।
","5"
" থাকবে না যুদ্ধ।
","5"
" শেষ হবে হিংসা।
","5"
" কারণ অপরাধীদের সংখ্যা কমে যাবে।
","5"
" ডেট টাইম সময় দিলেই মানুষ যে কোনো অপরাধ কে ঘটিয়েছিল জেনে যাবে।
","5"
" ভয়ে কেউ অপরাধ করবে না।
","5"
" ভয় একটা দরকারি জিনিস।
","5"
" আমরা বলি ভয় কে জয় করতে।
","5"
