"sentence","emotion category"
"ছোট্ট এই দশ বাই দশ ফুটের ঘরটা কুট্টুসের পৃথিবী।
","5"
" বলা ভালো ব্রহ্মাণ্ড, ইউনিভার্স।
","5"
" ঘরের ছাদ থেকে লম্বা লম্বা দড়িতে ছোটো ছোটো রঙবেরঙের চাকতি ঝোলানো।
","5"
" চাকতি বললে আবার কুট্টুসবাবুর ভারি রাগ হয়।
","5"
" ওগুলো ওর ইউ.এফ.ও.।
","5"
" অর্থাৎ কিনা, আনআইডেন্টিফায়েড ফ্লাইং অবজেক্ট-এর মডেল।
","5"
" সারা ঘরের দেওয়াল জুড়ে বিচিত্রসব মূর্তির স্টিকার।
","5"
" কেউ সবুজ রঙের, তো কারোর চারটে হাত, কারোর আবার ইয়াব্বড় মাথা, তাইতে শুঁড় কিলবিল করছে।
","5"
" টিভি চালালেই দিনরাত্রি স্টার ট্রেক, ই.টি. এইসব চলতে থাকে।
","5"
"কুট্টুসের মা’র তো পাগল পাগল অবস্থা।
","5"
" নয় বছরের জন্মদিনে জুল ভার্নের আর আইজ্যাক আসিমভের কল্পবিজ্ঞানের কয়েকটা বই ওর বাবা উপহার দিয়েছে।
","5"
" এখন দিনভর ছেলে ক্যাপ্টেন নিমো সেজে কার্ড বোর্ডের নটিলাস-এ চেপে বসে থাকে।
","5"
" কুট্টুস রাত্রে বেড-টাইম স্টোরিতেও শুনতে চায় রহস্যময় ক্রপ সার্কেল-এর গল্প।
","5"
" রাতারাতি ইয়াব্বড় শস্যক্ষেতে ফুটে ওঠা বিচিত্রসব জ্যামিতিক নকশার গল্প বাবার মুখে শুনে মনে মনে ভাবে কুট্টুস, ইস্, আমাদের ফ্ল্যাটবাড়ির ছাদে কেন একটা ইউ.এফ.ও. নামে না! ই.টি.-র মতো একটা এলিয়েন-বন্ধু হলে কী মজাটাই না হত।
","5"
" আর কুট্টুসের মা রাগ করে বকেন ওর বাবাকে।
","5"
" “একেই তো ছেলে সারাদিন গল্পের বইয়ে মুখ গুঁজে পড়ে আছে।
","5"
" তার ওপর তুমি ওর মাথায় এইসব আজগুবি গপ্পো ঢোকাচ্ছ! এবার পড়াশোনাটা পুরোপুরিই লাটে উঠবে।
","5"
