"sentence","emotion category"
"বিল্টুর বয়স ১০ বছর হলে কি হবে, দুষ্টুমিতে আর সবাইকে ব‍্যস্ত করে তুলতে ওর জুড়ি মেলা ভার।
","5"
" পড়াশুনো একদম ভালোলাগেনা ওর,বিশেষ করে পরীক্ষা।
","5"
" কে যে পরীক্ষা বের করেছিল, যার জন‍্য রেসাল্ট বেরোলেই মা-বাবার বকুনি খেতে হয়।
","5"
" আঁকতে খুব ভালোবাসে বিল্টু।
","5"
" ফাঁক পেলেই টুক করে রংপেন্সিল নিয়ে বসে পড়ে সে,আর সঙ্গী হয় কল্পনাপ্রবন মন।
","5"
"আঁকার হাতো ওর বেশ ভালো, সবাই বলে।
","5"
" ""হোমওয়ার্কটা শেষ হলো?
","5"
" কোনো সাড়া নেই কেন?
","5"
""" মায়ের চিৎকার?
","5"
" ""এইরে ঘুমিয়ে গেছিলাম!আধঘন্টা হয়ে গেল!"" মা এলে তো কপালে মার জুটবে ভেবেই চটপট লেখা শেষ করতে বসে গেল বিল্টু।
","5"
" বড়ো অদ্ভুত এক স্বপ্ন দেখছিল সে।
","5"
" যতক্ষণ না তার কল্পনা আঁকার খাতায় বহিঃপ্রকাশ পাচ্ছে,ততক্ষণ যেন শান্তি নেই ওর।
","5"
" তাই তাড়াতাড়ি খাওয়া শেষ করে যেই আঁকার সরঞ্জামে হাত দিতে যাবে অমনি মায়ের ডাক, ""ঘুমোতে চল।
","5"
"সকালে পড়ার স‍্যার আসবেন।
","5"
"এখন আঁকতে বসার সময় নয়।
","5"
""" আঁকার আবার সময় অসময় কি?
","5"
" বড়রা কিচ্ছু জানেনা,বোঝেনা?
","5"
" বাধ‍্য হয়ে লক্ষ্মীছেলের মতো ঘুমোতে গেল বিল্টু।
","5"
" একটা লোক এগিয়ে আসছে, না ওটা লোক না বাচ্চা?
","5"
" রোগা,বিল্টুর মতো উচ্চতা, মাথায় চুল নেই, চোখ দুটো ছোটছোট, হাত-পা সরুসরু, গায়ের রং সবুজ?
","5"
" বিল্টু ফাঁকা মাঠে একা দাঁড়িয়ে ভাবছে লোকটা হঠাৎ কোথা থেকে এলো?
","5"
" আর এরকম অদ্ভুত দেখতে! লোকটা বিল্টুর মুখোমুখি দাঁড়ালো?
","5"
" বিল্টুকে অবাক করে দিয়ে খনা গলায় বলল,"" আমি কোথা থেকে এসেছি,হঠাৎ কিকরে এলাম ভাবছো তো?
","5"
""" বলেই খি খি করে হেসে উঠল লোকটা?
","5"
" বিল্টু আরো অবাক! লোকটা মনের কথা পড়তে পারে! ""সুপ্রভাত বিল্টু।
","5"
" আমি রেক।
","5"
" গ্ল‍্যাডিয়ান গ্ৰহ থেকে এসেছি।
","5"
" তুমি মানুষ?
","5"
""" ""হ‍্যাঁ?
","5"
" গ্ল্যাডিয়ান কোন গ্ৰহ?
","5"
"কই পড়িনি তো?
","5"
""" বিল্টু জিজ্ঞাসা করল?
","5"
" ""তোমরা মানুষরা কতোটুকু জানো?
","5"
"আমরা এলিয়ানদের চেয়েও উন্নত?
","5"
" তোমাদের পৃথিবী থেকে ১০০০ কোটি ২০লক্ষ মাইল দূরে।
","5"
""" বিল্টু রেক এর কথায় রেগে গেলেও কৌতূহল বসত জিগ‍্যেস করল,""তোমরা যে সবার চেয়ে উন্নত প্রমাণ কি?
","5"
""" গম্ভীর ভাবে রেক বলল,""চলো প্রমাণ দেখাচ্ছি?
","5"
""" বলেই হাতের একটা বোতামে চাপ দিতেই বিল্টু দেখল সে দাঁড়িয়ে আছে এক নদীর পাশে,যার অপর পাড়ে সবুজ পাহাড়! কত রংবেরং-এর ফুল আর প্রজাপতির মেলা! বিল্টু আনন্দে কিছুক্ষণ ছুটোছুটি করল।
","5"
" ""এসো আমার সাথে"" রেক বলল।
","5"
" বিল্টুর আরো অবাক হওয়ার পালা।
","5"
" সে সমুদ্রের তলায়! কিন্তু তার গায়ে একফোঁটাও জল লাগছেনা! কি করে সম্ভব সেটা ভাবার অবকাশ পায়নি সে।
","5"
"এতো রকমের মাছ,সামুদ্রিক প্রাণী,জেলিফিস কতো রং তাদের দেহে।
","5"
" আরো আছে বিশালাকৃতি হাঙর,তিমি; নাম না জানা জীব।
","5"
" কেউ কিচ্ছু বলছেনা ওদের।
","5"
" বিস্ময়ে চেয়ে রয়েছে বিল্টু, কথা বলতেও যেন ভুলে গেছে।
","5"
" ""আরো প্রমাণ দেখাচ্ছি তোমায়।
","5"
""" বলতে বলতেই মরুভূমিতে হাজির ওরা।
","5"
" কি ভীষণ রোদ! তাকানো যাচ্ছেনা।
","5"
" ""আমি এখানে থাকবোনা,আমায় অন‍্য কোথাও নিয়ে চলো।
","5"
""" বিল্টুর কাঁদো কাঁদো স্বর শুনে ওকে একটা আলোর বলয়ে ঘিরে দিল রেক।
","5"
" আশ্চর্য!এতোটুকু তাপ লাগছেনা! অবাক চোখে বিল্টু রেকের দিকে তাকাল।
","5"
" পরক্ষণেই ওদের ওপর ঝরে পড়তে লাগল তুলোর মতো বরফ।
","5"
" চারিদিক তুষারাবৃত! বিল্টু আনন্দে আত্মহারা হয়ে গেল।
","5"
" বরফের মানুষ তৈরী করতে লেগে গেল সে।
","5"
" কিছুপরে হঠাৎ রেককে জিজ্ঞাসা করল বিল্টু, ""তুমি বাংলা জানলে কিকরে?
","5"
" আর এখানে এসেছো কেন?
","5"
""" ""আমি সব গ্ৰহের মধ‍্যে একশ চল্লিশটি গ্ৰহের ভাষা জানি?
","5"
""" একটু থেমে রেক বলল,""এখানে এসেছি আমাদের কাজে।
","5"
"যেটা সম্পূর্ন গোপনীয়।
","5"
"তবে তোমাদের পৃথিবী ঘুরে দেখার ইচ্ছে আছে।
","5"
""" ""আমায় তোমাদের বাড়ি নিয়ে যাবে?
","5"
""" রেক হেসে বলল,""আমাদের গ্ৰহে কোনো মানুষ যেতে পারবেনা,কারন আমাদের গ্ৰহের তাপমাত্রা দিনে দুশো ডিগ্ৰী,আর রাতে একশো ডিগ্ৰীর কাছাকাছি?
","5"
" তবে আমি তোমাকে দেখাতে পারি আমাদের বাসস্থান।
","5"
""" ""দেখব,দেখব"", উত্তেজনায় লাফিয়ে উঠল বিল্টু।
","5"
" একটা ছোটো বুকের বোতাম স্পর্শ করতেই বিল্টু দেখল গ্ল্যাডিয়ান গ্ৰহের অভ‍্যন্তর।
","5"
" চারিদিক সবুজ,নীল আর লাল।
","5"
" গাছপালাগুলো সবুজে সবুজ; তার মাঝে মাঝে লাল রংয়ের পাহাড়।
","5"
" পাহাড়ের চূড়া সাদা বরফে ঢাকা।
","5"
"তার ওপর রোদ পড়ে আলো বিচ্ছুরিত হচ্ছে।
","5"
" নীল জলধারা তারই ফাঁকে বয়ে চলেছে।
","5"
" এতো স্বচ্ছ জল যে জলধারার তল পর্যন্ত দেখা যাচ্ছে।
","5"
" পাখি উড়ছে কিন্তু কি অদ্ভুত সুন্দর দেখতে! আর রয়েছে অসংখ‍্য রোগা রোগা মানুষ,রেকের মতো।
","5"
"তাদের সবার মুখে হাসি! ""তোমরা কি খাও?
","5"
""" ""আমাদের খাবার লাগেনা?
","5"
" গাছেদের ক্লোরোফিলের মতো ক্লোরোফিলিন আমাদের দেহে আছে।
","5"
" আমাদের দেহে খাবার তৈরি করতে পারি ল‍্যারি নক্ষত্রের আলোতে।
","5"
" আর অতিরিক্ত খাদ‍্যের দরকারে এই ট‍্যাবলেটে কাজ হয়ে যায়।
","5"
""" বলতে বলতেই বিল্টুর হাতে একটা তিনকোনা ছোট্ট ট‍্যাবলেট দিলো রেক।
","5"
" ওটা খেতেই বিল্টুর মনে হলো ওর শরীরে জোর আরো বাড়ল আর খিদেও মিটে গেল! ""এখানে হঠাৎ এলে কি করে?
","5"
""" ""তুমি এই নদীর ধারে যেভাবে এসেছ,সেই ভাবে এসেছি?
","5"
""" রেকের মুখের কথা শেষ হতে না হতেই এক অদ্ভুত দেখতে এক গোল বল চলে এল।
","5"
" রি রি করে একটা শব্দ আর হালকা গোলাপী আলো সেটার ভিতর থেকে আসছে।
","5"
" বলটা আসতে আসতে মাটিতে নামল,কিন্তু মাটি স্পর্শ করলনা।
","5"
" রেক বিল্টুর হাত ধরে ঐ গোল বলটায় স্পর্শ করতেই ওরা চলে এল বলের ভিতরে।
","5"
" বিল্টু ঐ বলের ভিতর নিজেকে দেখে চমকে গেল।
","5"
" একি সেও ওদের মতো দেখতে হয়ে গেছে কিছুটা, বিশেষত উচ্চতায়।
","5"
" সেখানে রেকের মতো আরো চারজন আছে।
","5"
" তারা যে যার নিজের কাজে ব‍্যস্ত।
","5"
" কেউ ওর দিকে ফিরেও দেখলনা।
","5"
" স্পেশ সিপটা এতো স্বচ্ছ বাইরের সবকিছু দেখা যাচ্ছে।
","5"
" কতরকম ছোট ছোট যন্ত্র আর বোতাম।
","5"
" তার কয়েকটা দেখাল রেক।
","5"
" কোনোটা প্রেস করলে ভিতরের কম্পার্টমেন্ট থেকে খাবার চলে এলো,স‍্যান্ডুইচ।
","5"
" বিল্টু খুব খুশি হয়ে খেল।
","5"
"ও অবাক হয়ে গেল যে একটা হাতের মতো মেশিন ওর খাওয়া হয়ে যেতেই রুমাল দিয়ে ওর মুখ মুছিয়ে দিল।
","5"
" জলের বদলে একটা জেলির মতো ছোট্ট বল দিল রেক।
","5"
" বিল্টু খেয়ে আশ্চর্য হয়ে গেল জল বুঝতে পেরে।
","5"
" ""আমাদের গ্ৰহে তোমাদের পৃথিবীর মানুষের মতো দুঃখ নেই, আছে শুধু আনন্দ।
","5"
" আমরা সত‍্যে বিশ্বাসী।
","5"
" আমরা যা দেখি তাই শিখি, সব কিছু গভীরে গিয়ে বুঝতে চেষ্টা করি।
","5"
" সবসময় আমরা কিছু না কিছু আবিষ্কার করে চলেছি।
","5"
"নিজেদের ইচ্ছে মতো প্রকৃতিকে পরিবর্তন করতে পারি।
","5"
" সেটা দেখেছো নিজের চোখে।
","5"
""" অবাক হয়ে বিল্টু দেখল সে ঐ ফাঁকা মাঠে দাঁড়িয়ে আছে।
","5"
" কখন যে বলটা থেকে বেরলো বুঝতেই পারলনা।
","5"
" ও কিছু বলবার আগেই রেক বলল,""তুমি কোথাও যাওনি, প্রকৃতির রূপ পরিবর্তন করেছিলাম মাত্র।
","5"
""" মৃদু হাসল রেক।
","5"
"রেকের স্পেশ সিপটাও উধাও।
","5"
" চারিদিকে মৃদু গোলাপী আলো,আর সামনে সেই ছোটখাটো অদ্ভুত 'লোক'।
","5"
" ""আর কতো ঘুমোবি?
","5"
" ৭টা বাজে ওঠ,ওঠ?
","5"
""" যাঃ।
","5"
" মায়ের ডাকাডাকিতে বিল্টুর গেল ঘুম ভেঙে।
","5"
" রেক গেল কোথায়?
","5"
" বিছানায় বসে ভাবছিল বিল্টু ওটা স্বপ্ন না সত‍্যিই ওরকম হয়! সত‍্যি মানুষ কতোটুকু জানে?
","5"
" মনে মনে ভাবল সে?
","5"
" নাঃ, তাড়াতাড়ি পড়াটা করে নিয়ে ছবিটা আঁকতেই হবে আজ; যারা রাগেনা,বকে না,সব সময় হাসিখুশি থাকে,তাদের ছবি।
","5"
