"sentence","emotion category"
"রোবক্স চোখ খুলতে লম্বা লম্বা গাছের ফাঁকদিয়ে লালচে আকাশটা দেখতে পেল নিশা।
","5"
" ধড়পড় করে উঠে বসল।
","5"
" বুঝতে পারল কোন একটা জঙ্গলের মধ্যে এসে পড়ছে সে।
","5"
" সারি দেওয়া বড় বড় গাছ, সব একই রকমের।
","5"
" কোথাও কোন লতা-গুল্মের আড়াল নেই।
","5"
" শুকনো পাতা, পশু-পাখি কিছুই যেন নেই।
","5"
" বড় অদ্ভুত রকমের জঙ্গলটা।
","5"
" ঘোর কাটতে মনে পড়ল নিশার, সে তো একা নয়, কুণাল কোথায়?
","5"
" টল-মল করে উঠে দাঁড়াল সে?
","5"
" চোট বেশি লাগেনি কিন্তু মাথাটা ভারি হয়ে আছে।
","5"
" কিছুটা দূরেই কুণাল তখনও অচৈতন্য।
","5"
" অনেক ডাকাডাকি তে জেগে উঠল সেও।
","5"
" পরস্পরকে জীবিত দেখে স্বস্তি পেল ওরা।
","5"
" কি ভাবে যে ঘটনাটা ঘটে গেল ভাবতে থাকল দুজনে।
","5"
" নিশা বাংলাদেশী, এশিয়া এয়ারলাইন্সে বছর খানেক হল কাজ করছে।
","5"
" কার্গো এয়ারক্রাফ্টের কোপাইলট ও, কুণাল ওর সিনিয়র।
","5"
" বেশ কিছুদিন হল ঢাকা-গোল্ড কোস্ট রুটে উড়ান ভরছে ওরা।
","5"
" একসাথে থাকতে থাকতে কাজ ছাপিয়ে কোথাও গভীরে পৌঁছে গিয়েছিল ওদের সম্পর্কটা।
","5"
" কিন্তু একসাথে উড়ে বেরানোর দিন ফুরিয়ে আসছিল ওদের।
","5"
" কুণাল এয়ার দোহার প্যাসেজ্ঞার সার্ভিসে ক্লিয়ারেন্স পেয়েছে।
","5"
" নিশা শেষ কয়েক ঘণ্টা একসাথে আকাশে ভেসে যাওয়ার আগে একটা স্পেশাল ডিনার অ্যারেঞ্জ করেছিল কুণালের জন্য।
","5"
" সে রাত্রে আবেগটা কেউই ধরে রাখতে পারেনি।
","5"
" মনে প্রাণে একাত্ম হয়ে পরেছিল ওরা।
","5"
" ফ্লাইংয়ের সময় ককপিটে পাইলটদের সব কথা ফ্লাইং রেকর্ডারে রেকর্ড হয়, কাজের ছাড়া অন্য কথা বলার নিয়ম নেই।
","5"
" তাই অন্য দিনের মতই ককপিটে কাজের নির্দেশ দিচ্ছিল কুণাল, নিশা উত্তর করছিল তার।
","5"
" তবু যেন নিস্তব্ধতা ছেয়ে যাচ্ছিল ওদের মধ্যে।
","5"
" কিছুটা ক্লান্তিও ঘিরে ধরছিল বোধহয়।
","5"
" ইন্টারন্যাশনাল ফ্লাইং রেগুলেশন অ্যান রুলস্ অনু্যায়ী এখন পাইলটদের প্রতিবার ফিটনেস ক্লিয়ার করেই উড়ানে যেতে হয়।
","5"
" এয়ার কার্গোয় অতটা মেনে চলা না হলেও আজ ওরা একটা অন্যায় করেই বসেছিল।
","5"
" আসলে এই স্পেশাল মুমেন্টটা মিশ করতে চায়নি কেউই।
","5"
" প্রায় মিনিট চল্লিশ হবে টেকঅফ করেছে।
","5"
" এয়ার ট্রাফিক কন্ট্রোলের সাথে সময় সময় কথা বলছে কুণাল।
","5"
" নিশা প্রপাইলার চেক করার পর বিমানটাকে অটোপাইলটে দিয়ে দিয়েছে কুণাল।
","5"
" অজান্তেই পরস্পরের চোখে চোখ থেমে গেছে কখন খেয়াল করেনি ওরা।
","5"
" হঠাৎ ঝাঁকুনি দিয়ে উঠল বিমানটা।
","5"
" এয়ার ট্রাফিক কন্ট্রোলের সাথে যোগাযোগ বিচ্ছিন্ন হয়ে গেল।
","5"
" কিছু বোঝার আগেই বিমান ভীষণরকম দুলতে শুরু করল।
","5"
" উইন্ডোস্ক্রিনে বড় বড় পাথরের মত কি সব আছরে পড়তে দেখা গেল।
","5"
" মনিটরে মেসেজ স্ক্রল হচ্ছে, লেফ্ট উইংয়ের সেকেন্ড ইজ্ঞিন বিকল হয়ে পড়েছে।
","5"
" আলার্ম বাজতে শুরু করেছে।
","5"
" নিশা তাড়াতাড়ি চেকলিষ্ট মেলাতে শুরু করল।
","5"
" নোস পজিশন কিছু বোঝা যাচ্ছে না, বিমান যে কোনদিকে ধেয়ে চলেছে বুঝে পাছে না কুণাল।
","5"
" বিমান কন্ট্রোলে নিতে শক্ত হাতে থ্রটেলটা চেপে ধরেছে সে।
","5"
" কয়েক সেকেন্ডে ধোঁয়ায় ভরে উঠল ককপিট, ফ্লাইং ডেকের কিছুই দেখা যাচ্ছেনা আর।
","5"
" কিছুই করার নেই দেখে ইমারজেন্সি লাইফ সেভিং সাপোট হাতরে বারকরল নিশা।
","5"
" কুণাল এস্কেপ হ্যাচটা কোন রকমে খুলে নিশাকে টেনে নিলো সেই দিকে।
","5"
" এমন একটা দুর্ঘটনার পরও বেঁচে গিয়েছে ওরা, তবু এই জঙ্গলে বসে থাকলে হবে না।
","5"
" রেস্কিউ টিম খুঁজে পাবে না ওদের।
","5"
" বিমানটা নিশ্চয় কাছেই কোথাও ক্রাশ করেছে, সেখানে পৌঁছাতে হবে।
","5"
" কিন্তু এই জায়গাটা ঠিক বুঝে উঠতে পারছে না কুণাল।
","5"
" হিসাব মত ওদের ভারত মহাসাগরে থাকার কথা।
","5"
" কিন্তু কোথায় গর্জনশীল চল্লিশা! কি ভাবে এমন অদ্ভুত রকমের জঙ্গলে এসে পড়ল তারা, ভাবতে থাকল কুণাল।
","5"
" তবেকি বিমান বাঁকা পথে রিইউনিয়ন দ্বীপে বা তার আসে পাশে কোথাও এসে পড়েছে।
","5"
" নিশাও বুঝে পাচ্ছে না কিছু।
","5"
" বেশ কিছুটা হাঁটার পর একটা ফাঁকা জায়গায় এসে পৌঁছালো ওরা।
","5"
" এবার খোলা আকাশের দিকে তাকিয়ে চোখ ছানাবড়া হয়েগেল ওদের।
","5"
" আকাশে চারদিকে চারটে সূর্য।
","5"
" মাটিতে চারটে ছায়া পড়ছে ওদের।
","5"
" এমন কোন দেশ জানাছিলনা কুণালের।
","5"
" জায়গাটা একটা পাহাড়ের উপর।
","5"
" খানিকটা দূরে আর একটা জঙ্গল শুরু হচ্ছে।
","5"
" ওখানে ঝর্ণা থাকবে বোধহয়, একটা আওয়াজ ভেসে আসছে।
","5"
" তেষ্টায় ভেঙে পড়ছে নিশাও তাই ওদিকেই এগোতে থাকল ওরা।
","5"
" দুটো দিন কেটে গেছে কোন জনবসতির ছাপ নেই কোথাও।
","5"
" এখানে রাত ঘুটঘুটে অন্ধকার, আকাশে একচিলতে চাঁদও নেই।
","5"
" রাত্রে তারা পর্যন্ত দেখা যায় না।
","5"
