"sentence","emotion category"
"                          #বড়দিন_স্পেশাল                           #গল্প                             সান্তাক্লজ শীতের শহরের মতোই আজ বেশ মিঁইয়ে আছে সোহাগ' ।
","5"
" তবে এই সোহাগ কিন্তু কোনো ছোট্ট মেয়ে বা নবদম্পতির উষ্ণ আদর নয় ; সোহাগ হল বালিগঞ্জ সার্কুলার রোডে অবস্হিত, বছর দশেকের পুরোনো এক সাজানোগোছানো আট কামরার বৃদ্ধাশ্রম ।
","5"
" তথাকথিত অভিজাত পরিবারের প্রায় আঠারো জন বৃদ্ধ-বৃদ্ধার বর্তমান আবাসস্থল এই সোহাগ ।
","5"
" কোনোরকম রক্তের সম্পর্ক বা আত্মীয়তার বন্ধন না থাকা সত্ত্বেও এক দৃঢ় হার্দিক মায়াবি বাঁধনে আজ বন্দি ওরা সবাই ।
","5"
" আন্তরিকতার উষ্ণ চাদরে মোড়া অনন্য স্বপ্নিল পরিবেশ সর্বদাই বিরাজ করে সোহাগে ।
","5"
" সৌজন্যে জীবনের সায়াহ্নে পৌঁছে যাওয়া এই মানুষগুলো ।
","5"
" তবে আজকের এই উৎসবমুখর বড়দিনের সকালে সোহাগের আবহাওয়া কুয়াশা জড়ানো সূর্যের মতোই থমথমে ।
","5"
" ভবনে কান পাতলে পিন পড়ার শব্দ অবধি শোনা যাচ্ছে ।
","5"
" অন্যান্য বছরের ন্যায় এবারও 'আগামী ' নামক একটি স্বেচ্ছাসেবী সংগঠন আবাসনের সকল অধিবাসীকে নিয়ে ক্রিসমাসে শহর ভ্রমণের পরিকল্পনা করেছে , গন্তব্য এবার ইকোপার্ক ।
","5"
" পরিকল্পনা মতোই , ঘড়ির কাঁটা সাতটা ছুঁতে না ছুঁতেই 'আগামী'-র সদস্যরা বাস নিয়ে হাজির বৃদ্ধাশ্রমে ।
","5"
" কিন্তু প্রভু যিশু হয়তো এ বছরের জীবননাট্যে লিখতে চেয়েছিলেন কোনো নতুন মোড় ।
","5"
" আবাসিকরা সকলেই আজ বেড়াতে যেতে নারাজ ।
","5"
" লাবণ্যদেবী বেশ কয়েকবার প্রত্যেককে বুঝিয়ে বললেন ---  "" আরে , সামান্য তো জ্বর ।
","5"
" কিচ্ছু হবে না আমার ।
","5"
" তোমরা যাও, রেডি হয়ে ঘুরে এসো ।
","5"
" ফিরে এসে দেখবে , একদম ফিট আমি  ; রান্নাঘরে বড়দিনের কেক বানাচ্ছি ।
","5"
" কতগুলো ওষুধ তো খেলাম ।
","5"
" সেরে যাবে ।
","5"
" বাচ্চা বাচ্চা ছেলেমেয়েগুলো কত উৎসাহ নিয়ে এসেছে , তোমাদের নিয়ে গোটা শহরটা ঘুরে দেখবে; ওদের নিরাশ কোরো না প্লিজ ! এইমাত্র তো ট্যাবলেট খেলাম ।
","5"
" ঘন্টা দুই যাক , জ্বর নেমে যাবে ।
","5"
" "" "" তা হয় না লাবণ্যদি , তোমাকে এই অবস্থায় ফেলে রেখে কী করে যাব আমি ?
","5"
" নিজের দিদির থেকে আলাদা করে কোনোদিন দেখেছি আমি তোমায় ! আজ আমার নিজের দিদি বিছানায় পড়ে থাকলে আমি কী পারতাম তাকে ফেলে বেড়াতে যেতে?
","5"
" বলো ! "" --- ছোট্ট শিশুর মতো বলে ওঠেন বছর বাহাত্তরের অবসরপ্রাপ্ত অধ্যাপক বাণীব্রতবাবু ?
","5"
" ""দেখো, লাবুদি সত্তরটা ক্রিসমাস কাটিয়ে ফেলেছি ।
","5"
" নতুন করে আর কী আছে দেখার ! আমার যখন পক্স হয়েছিল , রাত জেগে মাথায় কে হাত বোলাতো শুনি ?
","5"
" কাল বিকেলেও আমার বাতের ব্যথায় তেলটা কে মালিশ করেছিল ?
","5"
" তুমি সুস্থ হয়ে ওঠো ?
","5"
" বর্ষশেষের রাতে এবার রবি ঠাকুরের গানে মেহফিল নামবে সোহাগে , কিন্তু আজ আমি তোমাকে এক দণ্ডও কাছ ছাড়া  করতে পারব না ; বলে দিলুম ।
","5"
" ""-- বছর সত্তরের  বিধবা রমাদেবীর গলা অভিমানী শোনায় বেশ ।
","5"
" বাণীব্রত ঘোষ , রমা সেন প্রমুখ সকলেই ' সোহাগ' -এর সোহাগপ্রাপ্ত  বহুদিন ধরে ।
","5"
" বছর চারেক আগে একমাত্র  ছেলে ওমের  হাত ধরে এই সোহাগ ভবনে আগমন একাত্তর বছরের বিধবা লাবণ্য সিনহার ।
","5"
" সেদিন ছেলেকে জড়িয়ে ধরে খুব কেঁদেছিলেন তিনি ।
","5"
" রুটিবিক্রেতা স্বামী এবং একমাত্র সন্তান ওমকে নিয়ে লাবণ্যদেবীর ছিল এক দারিদ্র্যজয়ী সুখের সংসার ।
","5"
