"sentence","emotion category"
"#নষ্ট_কুড়ি_পর্ব_১ #মুক্তধারা_মুখার্জী©copyright protected চোখ ফেটে জল বেরিয়ে আসছে ডোডোর।
","5"
" এতদিন বাড়ির থেকে স্কুলটাই প্রিয় ছিল তার।
","5"
" এবার সে কি করবে?
","5"
"কোথায় গিয়ে লুকোবে?
","5"
" টিফিন টাইম চলছে?
","5"
" বড় মাঠটার এক কোণে বসে মুখ লুকিয়ে কাঁদছে ডোডো।
","5"
" ছোট থেকেই নরম মনের,গোলগাল ছোট্ট ডোডো সারা বাড়ি দাপিয়ে বেড়াতো।
","5"
" মা,বাবা আর ছোট্ট ডোডো---তিনজনের সুখী পরিবার।
","5"
" বাবা আশুতোষ মিত্র ব্যাংকে চাকরি করেন।
","5"
" মা মৈত্রেয়ী হাউজ ওয়াইফ।
","5"
" সংসার,ছেলে আর অবসরে আঁকা নিয়ে সময় কেটে যায় মৈত্রেয়ীর।
","5"
" ডোডোর মুখের বুলি ফুটতে বেশ দেরীই হয়েছিল।
","5"
" বছর দুয়েক হতে চললো তখনও 'মাম' আর 'পা' ছাড়া বিশেষ কিছুই বলতো না।
","5"
" ইশারা করে জিনিস চাইতো।
","5"
" চিন্তায় পড়ে বারবার ডাক্তারের কাছে নিয়ে গিয়েছিল।
","5"
" কি জানি শেষে কি তাদের ছেলে বোবা হলো?
","5"
" শেষে ডাক্তারের পরামর্শে স্পিচ থেরাপি করানো হয় ডোডোর?
","5"
" তারপর থেকে ডোডো একটু একটু করে কথা বলতে শুরু করে।
","5"
" ডোডোর রোজ খেলার সাথী ছিল দুটো বাড়ি পরেই দত্তকাকুর ছোট্ট পাগ টা।
","5"
" ডোডো রোজ দুপুরের খাওয়া সেরে এক ছুট্টে পালিয়ে যেতো ওদের বাড়ি।
","5"
" মা তখন নিশ্চিন্তে রং আর তুলিতে ভরিয়ে তুলতেন সাদা ক্যানভাস।
","5"
" তিনি জানতেও পারতেন না তার ছোট্ট ডোডোর শৈশবও একটু একটু করে রক্তাক্ত হয়ে উঠছে।
","5"
" ----ডোডো সোনা, একটু আমার কাছে এসো।
","5"
" ----কেন কাকু?
","5"
" আমি তো রকির সাথে খেলছি?
","5"
" ----- আরো সুন্দর একটা খেলা খেলবো তোমার সাথে।
","5"
" পেডোফিলিক সমীরণ দত্তের চোখ দুটো চকচক করে ওঠে।
","5"
" দুই মাস যাবৎ ডোডো আসে তাদের বাড়িতে খেলতে।
","5"
" ডোডোর গোলগাল চেহারা টা দেখলেই বছর চল্লিশের সমীরণ বাবু উত্তেজিত হয়ে পড়েন।
","5"
" রোজ একই সময়ে ডোডো আসে।
","5"
" এ সময় এ বাড়ির অর্ধেক থাকে না আর বাকিরা দুপুরের ভাত ঘুমে ব্যস্ত।
","5"
" লক্ষ্য করে দেখেছেন,ডোডোর মাও আসেনা নিতে ।
","5"
" ডোডোকে জিজ্ঞাসা করেছেন ডোডোর মা আঁকা নিয়ে ব্যস্ত থাকেন এই সময়।
","5"
" অতএব সুবর্ণ সুযোগ।
","5"
" ---- ডোডো বাবু, চলো আমার সাথে ওই ঘরটায় চলো।
","5"
" নতুন ধরণের খেলা খেলবো।
","5"
" সাড়ে তিন বছরের ডোডো সমীরণ বাবুর হাত ধরে নাচতে নাচতে চলে যায়।
","5"
" ডোডো বুঝতেই পারলো না এসব কি হলো আজ তার সাথে।
","5"
" কাকু বলেছে কাউকে কিছু না বলতে।
","5"
" বললেই মা নাকি চলে যাবে ডোডোকে ছেড়ে।
","5"
" না না, ডোডো যে একা থাকতেই পারে না।
","5"
