"sentence","emotion category"
"রচনায়,#রূপাঞ্জন_ব্যানার্জী# প্রচ্ছদ অঙ্কনে,#গুগুল# প্রথম পর্ব -"" সোনা এবার মোবাইলটাকে একটু রেহাই দে।
","5"
"সারাদিন ওই এক অকাজ, মোবাইলে টেপাটেপি।
","5"
" সামনে ফাইনাল পরীক্ষা এবার বইটা একটু ধর সোনা।
","5"
""" -"" Off Mom, Come on and just chill. আমি ঠিক পড়ে নেবো।
","5"
" দাঁড়াও না, এই তো সবে মোবাইলটা নিলাম।
","5"
" এখুনি বসছি।
","5"
""" রান্নাঘর থেকে শাড়ির আঁচল দিয়ে ঘাম মুছতে মুছতে খুন্তি হাতে বেরিয়ে এলেন মিনুর মা।
","5"
" "" দেখবো দেখবো, বিয়ের পর যখন চলে যাবি; শ্বশুর বাড়ি গিয়ে কেমন মোবাইল ঘাটতে পারিস দেখবো।
","5"
""" মিনুর মা আবার রান্না করতে ঘরের ভিতর চলে গেলেন।
","5"
" "" হ্যাঁ মা, তোমরা তো আমায় বিদায় দিতে পারলেই বেঁচে যাও, তাই না?
","5"
" আর দেখো মা ওসব বিয়ে টিয়ে আমার দ্বারা করা হবে না?
","5"
" পরিষ্কার করে বলে দিচ্ছি তোমার আর বাবার জীবন আমার জ্বালাতন সহ্য করেই কেটে যাবে।
","5"
""" এমন সময় ধড়াম করে খুন্তির আওয়াজ হলো কড়াই তে, মা নির্ঘাত খুব ক্ষেপে গেছে; এর পর কপালে দুঃখ আছে বুঝতে পেরে ফোনটা রেখে আস্তে করে পড়তে চলে গেলো মিনু।
","5"
" হঠাৎ খিলখিলিয়ে হেসে উঠেই পরক্ষণেই নিজেকে দমিয়ে দেয়।
","5"
" এ কি করছে সে?
","5"
" এই সব উল্টোপাল্টা দিনকয়েক আগের কথা ভাবলে তার চলবে কেন?
","5"
" বাসর রাতে নতুন বৌকে কিছুটা সংযম, শালীনতা মেনে চলতে হয়; এটাই শিষ্টাচার?
","5"
" ঘরের দরজা বন্ধ করা আছে, কতক্ষণে এসে ওকে একটু ঘুমোতে দেবে; এত রাত জাগা যে তার অভ্যেস নেই।
","5"
" কে জানে কেমন তার নতুন বর, তাকে নিজের মত থাকতে দেবে কিনা?
","5"
" হটাৎ আবার এক দমকা হাসি তার গলার কাছে এসে আটকায়; মিনুর নিজের বর নিয়ে কত উচ্চাকাঙ্ক্ষা ছিল মনে করে?
","5"
" ওর মনে পড়ে, মাকে সে একদিন বলছিল- "" দেখো মা, এত বিয়ে বিয়ে করছো আমার; আমার বর নিয়ে অনেক গুলো শর্ত আছে ওকে?
","5"
" না পেলে আমিই নিজে খুঁজে নেব?
","5"
""" - "" বর নিয়েও শর্ত!! তা শুনি কি ওগুলো?
","5"
""" সেলাই বোনার কাটা গুলো একপাশে সরিয়ে রেখে গালে হাত দিয়ে মেয়ের কথা শুনতে এগিয়ে বসে?
","5"
" "" প্রথমত, আমার হাবুকে আমার মতো ফর্সা হতে হবে।
","5"
" দ্বিতীয়ত,.."" - "" এই এক মিনিট, এক মিনিট... হাবু মানে?
","5"
""" - "" হাবু মানে Husband?
","5"
" ওফ মা, আগে শোনো না চুপ করে।
","5"
" দেখো দ্বিতীয়ত, আমার হাবুকে আমার সমান লম্বা হতে হবে; এই যেমন আমি ৫'৭"" এইরকমই।
","5"
" বেশি লম্বা হলে চলবে না।
","5"
" মডার্ন তো হবেই, একটু ভালো মাইনের চাকরি করবে আর আমাকেও করতে দেবে।
","5"
"তৃতীয়ত, ছেলেকে কোনো যৌথবাড়ি থেকে হলে চলবে না, ওই ননদ-জা এনাদের কূটকাচালি আমার চলবে না।
","5"
" সব সময় আমাকে মেনে চলতে হবে।
","5"
" চতুর্থত, আমার উপর কোনো কথা চাপানো চলবে না; বা সোজা কথা আমার উপর ছড়ি ঘোরাতে আসবে না।
","5"
