"sentence","emotion category"
"গল্পের প্রারম্ভে আমার অপ্রকাশিত একটি কবিতার কয়েক কলি লিখতে খুব ইচ্ছে করছে.... মাগো..... তুমি কোন ক্ষণে মোরে, মনে ধরিয়াছিলে?
","5"
" তুমি কেন প্রাণে তব, বাঁধিয়াছিলে?
","5"
" জনগণে মোরে দেখিয়া,হাসে দিনে রাতে?
","5"
" উদিবে কি কোনোদিন, সুবোধ এ জগতে?
","5"
" নই পুরুষ?
","5"
"তব নারী জগতের অলংকার সম।
","5"
"   লহ মোর আশীর্বাদ, বাঁচিয়া থাকিও জনম জনম।
","5"
" বাইরে অঝোর ধারায় বৃষ্টি ঝরছে।
","5"
"সুমন্ত মাথায় একটা গামছা ফেলে দৌড়োতে দৌড়োতে ঘর থেকে বেরিয়ে গেল।
","5"
" মুসল ধারে বৃষ্টির মধ্যে দৌড়োতে দেখে পাড়ার সুধা কাকু দাওয়ায় বসে হুঁকোটা নামিয়ে জিজ্ঞেস করলেন- ওরে সুমন্ত এই বৃষ্টির মধ্যে ছুটে ছুটে কোথায় যাস?
","5"
"বাড়িতে কোনো বিপদ হলো না তো---?
","5"
" সুমন্তর আর কথার জবাব দেওয়ার সময় ছিলোনা?
","5"
"শুধু হাত নেড়ে ইশারায় বলে গেল- 'না না কিছু হয়নি'।
","5"
" বিপদ নামক শব্দ শুনে ভিতর থেকে বেরিয়ে এলেন সুধা কাকুর বউ (কাকিমা)-'কার আবার কি বিপদ হলো'?
","5"
" ওই সুধাকে দেখলাম বৃষ্টির মধ্যে মাথায় গামছা ফেলে ছুটে ছুটে বাজারের দিকে গেল?
","5"
" কি হয়েছে কিছুই বললো না।
","5"
"শুধু হাত নেড়ে চলে গেল।
","5"
" কি জানি কি হলো।
","5"
" কাকিমা মুচকি হেসে বলল ও......... বুঝেছি।
","5"
" বৌমার শরীরটা খারাপ ছিল তো।
","5"
" মনে হয় তাই সুমন্ত ডাক্তারের কাছে গেছে।
","5"
" আমি যাই একটু ওদের বাড়ি।
","5"
" ছাতাটা কোথায় আছে জানো?
","5"
" ঐতো! ঝুলছে ওখানে?
","5"
" তাড়াতাড়ি যাও।
","5"
" কাকিমা ছুটতে ছুটতে গেলেন সুমন্তের বাড়িতে।
","5"
" কই'রে সুমন্তর মা..... বৌমা এখন কেমন আছে।
","5"
" সুমন্তকে ছুটতে ছুটতে যেতে শুনলাম,,ডাক্তারের কাছে গেল মনে হয়,বলতে বলতে ঘরের ভিতর প্রবেশ করলেন।
","5"
" বৌমা যন্ত্রনায় ছটফট করছে, আর আসে পাশের বাড়ির মহিলারা ঘিরে রয়েছে।
","5"
" সময়ে ডাক্তারবাবুও এসে হাজির।
","5"
" ক্ষনিকের মধ্যে বৌমা প্রসব দিলেন সদ্যোজাত শিশু সন্তান।
","5"
" সত্যিই তো ওই সময়টা আনন্দঘন মুহূর্ত।
","5"
" প্রবল বৃষ্টি মাথায় নিয়ে যে শিশু জন্ম নিলো সে তো সত্যি মহান হবে, স্বয়ং ভগবান শ্রীকৃষ্ণ তো বৃষ্টি মাথায় নিয়ে নিজে বেঁচে ছিলেন।
","5"
" সকলে বাচ্চাটিকে ভগবানের বর পুত্র হিসেবে ভাবতে লাগলো।
","5"
" সুমন্তর বাড়িতে আনন্দের কোলাহল মুখরিত হতে লাগলো।
","5"
" বৃষ্টি ততক্ষনে থেমে গেছে।
","5"
" সুধা কাকু দু হাত তুলে প্রণাম করে বললেন দুর্গা-।
","5"
" দুর্গা-।
","5"
" দুর্গা।
","5"
" না গো- দুর্গা নয়, এ কানাই হয়েছে।
","5"
" এখন ডাক্তার আছে।
","5"
" যাক ভালোয় ভালোয় প্রসব টা হয়ে গেছে।
","5"
" বলতে বলতে কাদা জড়ানো পা-টা দুয়ারে ঝেড়ে ঘরে ঢুকলেন।
","5"
" আমি তো ভয় পেয়ে গেছিলাম,সুমন্তের বাবার বয়স হয়েছে তো-সুধা কাকু বললেন।
","5"
" না না সে সব কিছু না।
","5"
" তোমার তো নাতি হলো,সুমন্ত বলেছে তুমি একবার দেখে এসো কোনো একদিন গিয়ে।
","5"
" সুমন্তর ছেলে হয়েছে।
","5"
"সেই আনন্দে সারা পাড়া মিষ্টি বিতরণ করলো।
","5"
" বাড়ির অনুষ্ঠানে সুন্দর গান বাজছে যা বহুদূর শোনা যাচ্ছে- মোর কোলে আজ, দোলে অবোধ শিশু-----            মোর প্রাণে আজ,বাজে প্রানের বাঁশি।
","5"
" মোর প্রাণ জুড়ে রয়.., মোর একরত্তি শিশু......            হবে হবে বড়, পুরিবে মোর মনের আশা।
","5"
" কালের নিয়মে ও সময়ের সাথে সাথে সুমন্তর ছেলে বড় হতে লাগলো।
","5"
" নায়েক মশাই এর হাতে তার কুষ্টি গণনা হলো।
","5"
" নায়েক মশাই বললেন,সুমন্ত তোমার ছেলে তো 'দেবগণ' দেখতে পাচ্ছি।
","5"
" সাবধানে রেখো।
","5"
" একদিন সুমন্ত ছেলে কে পোলিও খাওয়াতে নিয়ে গেছিলো,সেদিন তার আধার তথ্যেও নাম ""দেব"" নথিভুক্ত হলো।
","5"
" বাবা-মা ও দাদু-ঠাকুমার স্নেহে সুমন্তের ছেলে দিন দিন বড়ো হতে লাগলো।
","5"
" সারাক্ষন খেলনা বাটি নিয়ে খেলা করতো, মায়ের টিপের পাতা থেকে টিপ নিয়ে নিজের মাথায় পরতো, ঠাকুমাকে পরাতো, দাদুও বাদ যেত না।
","5"
" আলতা মাখত,লিপস্টিক ঠোঁটে মাখত ও মা-কে মাখাতো।
","5"
" দাদু ইয়ার্কির ছলে বলতো, 'সালা মেয়েদের জিনিস নিয়ে খেলা করে সারাক্ষন।
","5"
"তুই কি মেয়ে না কি রে।
","5"
" দেবের আগমনে কেমন যেন পরিবার সুখ স্বাচ্ছন্দে ভরে উঠলো ।
","5"
" সকলের মনে ছোট্ট দেব কে নিয়ে অনেক আশা প্রত্যাশা দিনকে দিন বেড়ে যেতে লাগলো।
","5"
" দেব এখন আট বছর বয়স, ভালো কথা বলে, কিন্তু কেমন একটা মেয়েলি মেয়েলি টান ধরে কথা বলে।
","5"
" ছন্দপতন তখনই ঘটলো যখন সবাই দেবের মধ্যে একটা মেয়েলি ভাব স্পষ্ট লক্ষ করলো।
","5"
" ঠাকুমা বকাবকি করতেন-'ছেলেটার কথা বলার ধরণ দেখো।
","5"
" দিন দিন বড় হচছে আর মেয়েদের মতো করে চলন বলন।
","5"
" দেবের মা ওকে বোঝাও'।
","5"
" স্কুলে বন্ধু-বান্ধবরা দেবের সাথে ইয়ার্কি করে ওকে দেব না বলে দেবী বলে ডাকে,কারণ ওর মধ্যে মেয়ের সব গুন বর্তমান তাই।
","5"
" সেলুন এর দোকানে নিয়ে গেলে চুল কাটাবে না,বলে বড় চুল রাখতে ভালো লাগে।
","5"
" সত্যি তো তার আর কি অপরাধ, ভগবানের সৃষ্টির কাছে সকলের মাথা নত।
","5"
" দেব একা নয়।
","5"
