"sentence","emotion category"
"কলকাতার নিষিদ্ধপল্লিতে তখন সন্ধ্যার রঙ খেলেছে।
","5"
" নানারঙের শাড়ি, গয়না পড়ে মেয়েরা দাঁড়িয়ে আছে খদ্দেরের আশায়।
","5"
" কেউ কেউ পান চিবুতে চিবুতে শাড়ির আঁচল ওড়াচ্ছে।
","5"
" কেউবা খদ্দেরের মন জোগাতে হাঁসি ঠাট্টায় ঢলে পড়েছে।
","5"
" রূপমতীর আজ ঘুম ভাঙতে দেরি হয়ে গেছিল।
","5"
" এঁটো থালা যেমন মেজে আবার নতুন করে পরিবেশন করা হয়, তেমনই মুখে হরেকরকম মেকাপ লাগিয়ে, সেজেগুজে বাইরের বারান্দায় এসে দাঁড়াল সে।
","5"
" আঁচলের গিঁট খুলে পানটা সবে মুখে পুরতে যাবে, ঠিক তখনই সামনে এসে উদয় হল এক বছর তিরিশের যুবক।
","5"
" রাস্তার হলুদ আলোতে তার মুখটা বোঝা যাচ্ছেনা ঠিক।
","5"
" তার ওপর মুখে রুমাল চাপা দেওয়া।
","5"
" চারিদিকে সচকিত দৃষ্টি ঘুরিয়ে রূপমতীর দিকে তাকালো।
","5"
" লোকটার ভাবগতিক সন্দেহজনক।
","5"
" তবে রূপমতী কিছু বলল না।
","5"
" কত চোর-ছ্যাঁচোর ই তো আসে।
","5"
" আর এমনিতেই আজ ব্যবসায় দেরি হয়ে গেছে।
","5"
" তাই হাতের পানটা গালের একদিকে ঠেলে দিয়ে লোকটার হাত ধরে নিজের ঘরের দিকে এগিয়ে চলল।
","5"
" অন্ধকার ঘরটার এককোনায় জ্বলছে একটি হ্যারিকেন।
","5"
" তারই কটু গন্ধে ভরে গেছে ঘরটা।
","5"
" -কিরে বাবু, দাম জানতে চাইলি না?
","5"
" আজ কি ঢেলে দিবি নাকি থলি?
","5"
" লোকটা উত্তরে কিছু বলল না?
","5"
" রূপমতী ঘুড়ে দাঁড়াল তার দিকে।
","5"
" লোকটার মুখ থেকে রূমাল সরে গেছে এখন।
","5"
" মুখে বহুদিনের না কাটা একমুখ দাড়ি।
","5"
" রূপমতী আরো কিছু বলতে যাচ্ছিল।
","5"
" আলো আঁধারির মাঝে দাঁড়িয়ে থাকা লোকটার ঠোঁট দুটো একটু ফাঁকা হল আর ঐ ফাঁক থেকে বেরিয়ে এল, -রূপু...।
","5"
" চমকে উঠল রূপমতী।
","5"
" কে?
","5"
" কে ডাকে তাকে ঐ নামে?
","5"
" ঐ নামে তাকে এখানে কেউ চেনেনা?
","5"
" কেউ ডাকে না।
","5"
" ডাকত কেবল একজন।
","5"
" এই গোটা বিশ্বে একজনই তাকে ডাকত এই ‘রূপু’ নাম ধরে।
","5"
" এ নাম যে তারই দেওয়া।
","5"
" ঠান্ডা স্রোত তার পিঠের মাঝবরাবর বইয়ে গেলো।
","5"
" হাত দুটো গরম হয়ে উঠেছে।
","5"
" ঘন ঘন নিঃশ্বাস পড়ছে।
","5"
" -সতীশদা! মেঝেতে পাতা মাদুরের ওপরেই বসে পড়ল রূপমতী।
","5"
" মনে পড়ে গেলো পনেরো বছর আগের সেই গ্রাম্য জীবনের কথা।
","5"
" তার নিজের গ্রাম, ধুলধুলি।
","5"
" বাবা, মা আর তার সব থেকে প্রিয় সতীশদা।
","5"
" চোখের জল তার বাঁধ মানল না।
","5"
