"sentence","emotion category"
"এই মুহূর্তে বিশ্ব জুড়ে তোলপাড় হচ্ছে ""Mee too"" নামক এক সামাজিক ব্যাধির বিরুদ্ধে প্রতিবাদ।
","5"
" নামী দামী লোকজন আজ বিব্রত বা বিদ্ধস্থ হচ্ছে Mee too এর প্রতিবাদের ঝড়ে।
","5"
"যে সকল নারী এর দ্বারা আক্রান্ত তারা আজ গর্জে উঠছে।
","5"
" ভালো লাগছে যে তারা প্রতিবাদী।
","5"
" এই গল্পের প্রত্যেকটা চরিত্র কাল্পনিক।
","5"
" কোনো ব্যক্তি বা স্থানের নামকরণ কেবল গল্পের জন্য।
","5"
" আশা যাক মূল গল্পে।
","5"
" সময়টা 2010 সাল হবে।
","5"
" রতন কল সেন্টারে জব করতো।
","5"
" এমনই কল সেন্টারে যে সকল ছেলে মেয়ে জব করে, তারা একটু ওভার স্মার্ট হয়।
","5"
" ভালো পসিশন এ আছে রতন।
","5"
" হঠাৎ একদিন ফ্লোর এ এক বৌদি এলেন কল কিভাবে নিতে হয়, প্র্যাকটিস করতে।
","5"
" নাম অনামিকা।
","5"
" চোখ দুটো পটল চেরা।
","5"
" সেই লম্বা।
","5"
" মাথায় কোঁকড়ানো চুল।
","5"
" চোখে আই লাইনার পরা।
","5"
" সত্যি অপূর্ব দেখতে।
","5"
" এককথায় খুবই সুন্দরী নারী।
","5"
" অনেকেরই নজর কাড়তো বৌদি অনামিকা।
","5"
" ফ্লোর এ কল নেওয়া প্র্যাক্টিস চলছে।
","5"
" কিভাবে কাস্টমার এর সাথে কথা বলতে হয় শোনানো হচ্ছে।
","5"
"বৌদি অনামিকা এসে আমার পাশে বসলেন।
","5"
" বসে শুনছেন কিভাবে আমি কল নিচ্ছি।
","5"
" রতন বৌদিদের টিমের মেন্টর।
","5"
" আমি দেখছিলাম,রতন মাঝে মধ্যে এসে অনামিকা বৌদির পিঠে হাত বুলিয়ে বলছে ঠিক ঠাক কল শোনা হচ্ছে তো?
","5"
"অনামিকা বৌদি যে অস্বস্তি ফিল করছে সেটা ওর বডি ল্যাংগুয়েজ এ বুঝতে পারছিলাম?
","5"
"বৌদির পিঠের দিকটা চওড়া করে দেখা যাচ্ছিলো।
","5"
" আর রতন বার বার এসে স্মার্টলি বৌদির পিঠে হাত বোলাচ্ছিল।
","5"
" বৌদি হয়তো লজ্জায় কিছু বলতে পারছিলেন না।
","5"
" বিষয়টা আমার নজর এড়িয়ে যায়নি।
","5"
" আমি কল নেওয়ার মাঝে বৌদিকে বললাম, আপনি কি অস্বস্তি ফিল করছেন, না রিলাক্স আছেন।
","5"
" বৌদিও বললেন-' আমার অস্বস্তি হচ্ছে'।
","5"
"বললাম,আপনি ওনাকে বলুন এরকম পিঠে হাত বোলাবেন না।
","5"
"আপনার অস্বস্তি হচ্ছে।
","5"
" রতন আবার এসে বৌদির পিঠে হাত বোলাতে বোলাতে কল কিভাবে নিতে হয় তার আলোচনা করতে লাগলো।
","5"
" আমি রতন এর দিকে তাকিয়ে দেখলাম -ওর চোখে-মুখে কামার্ত ভাব ফুটে উঠেছে।
","5"
