"sentence","emotion category"
":বিষাক্ত রজনীমালা: দেখ দেখ অমিত কেমন লালায়িত নজরে দেখছে আমায়।
","5"
" এরা প্রতিদিন এমন ভাবে তাকিয়ে তাকিয়ে দেখে আমাকে।
","5"
" বিরক্তিকর।
","5"
" ওদের ঘরে কি মা বোন নেই?
","5"
" বিচ্ছিরি সব অঙ্গভঙ্গি করে আমায় দেখে?
","5"
" আমার মনে হয় এখুনি একটা ঠাসিয়ে চড় মেরে আসি।
","5"
" অমিত: ছাড় না রিয়া।
","5"
" এ সব ফালতু লোকের দিকে না তাকালেই হয়।
","5"
" কাজ নেই,কম্ম নেই ওদের।
","5"
" আনকালচার্ড সব।
","5"
" আমাদের উচিত এবার থেকে এই পথে না এসে অন্য পথ ধরা।
","5"
" রিয়া: কিন্তু অন্য পথ ধরলে টিউশন থেকে ঘরে ফিরতে অনেক দেরি হয়ে যাবে।
","5"
" আমার মা তোর ভরসায় আমাকে এত দূরে টিউশনি পাঠায়।
","5"
" তুই না থাকলে আমিও এত দূরে পড়তে আসতাম না।
","5"
" মায়ের চোখের পলক পড়ে না ততক্ষন, যতক্ষন না আমি ঘরে ফিরি।
","5"
" তুই একটা কথা চিন্তা কর রাত দশটার সময় ঘরে ফেরা মুশকিল হয়ে যাচ্ছে।
","5"
" এভাবে সমাজ চলতে পারে না।
","5"
" এর বিরুদ্ধে প্রতিবাদ হওয়া উচিত।
","5"
" আমি ভাই অন্যায় কে বরদাস্ত করি না।
","5"
" সিগারেটে সুখটান, পাশে মদের বোতল আর প্লাস্টিকের গ্লাসে রঙিন জল ঢেলে উচ্শৃঙ্খল দল থেকে দুজন বেশ উত্তেজিত হয়ে বলে উঠলো-'শালী বড় বড় কথা বলছে।
","5"
" আমার অনেক দিন ধরে তোর উপর নজর পড়েছে।
","5"
" তোকে ধর্ষণ করেই ছাড়বো।
","5"
" আজ না হয় কাল।
","5"
" এটা আমাদের এলাকা।
","5"
" ইচ্ছে করছে ছিঁড়ে খাই তোকে।
","5"
" আর এই ছাগলটা কে হয়, ওটা কি তোর প্রেমিক?
","5"
" অমিত: (হাত জোড় করে) দাদা ও বাচ্চা মেয়ে?
","5"
" ওর কথায় রাগ করবেন না।
","5"
" ওর ভুল হয়ে গেছে।
","5"
" ওর হয়ে আমি ক্ষমা চেয়ে নিচ্ছি।
","5"
" আমি আর ও একই পাড়ায় থাকি।
","5"
" ভাই বোন ভাবতে পারেন নতুবা বন্ধু বান্ধবী ও ভাবতে পারেন।
","5"
" এক টিউশনে পড়ি দুজন।
","5"
" রিয়া: না অমিত এগুলোর কাছে ক্ষমা চাইবি না।
","5"
" আমরা কি কোনো অপরাধ করেছি যে ক্ষমা চাইবো?
","5"
" অমিত: আহঃ রিয়া, ছাড় না?
","5"
" কথা বাড়ালে কথা বাড়বে।
","5"
" চল চল বাড়ি যাই।
","5"
" পাশের ফ্ল্যাটের দোতলা থেকে একজন আওয়াজ দিলেন-"" দাদা তোরা মেয়েটার সাথে ওমন অভদ্র আচরণ করছিস কেন?
","5"
" মেয়েটা কি বলতে বলতে যাচ্ছিল আমি সব শুনেছি ওপর থেকে?
","5"
" তোরা সব ওখানে বসে প্রতিদিন মদ খাস আর রাস্তায় মেয়েদের উত্যক্ত করিস একটা অন্যায়।
","5"
" ঘরে আয় দাদা।
","5"
" বলেই মেয়েটা নীচে নেমে আসে।
","5"
" রিয়ার কাছে ক্ষমা চেয়ে নেয় তার দাদার এমন আচরণের জন্য।
","5"
" আমার নাম সীমা।
","5"
" ডাক নাম 'রজনীমালা' তুমি কোথায় থাকো?
","5"
" তোমার ফোন নম্বর দাও আমাকে,কোথাও এমন বিপদে পড়লে আমাকে ফোন করো?
","5"
