"sentence","emotion category"
"চাকরি থেকে অবসরের পর, মানব বাবুর আর নতুন করে কিছু করবার নেই।
","5"
" প্রতিদিন সকালে উঠে মর্নিং ওয়াক করতে বেরোনো।
","5"
" ওনাদের একটা টিম আছে-""Ultimate Senior citizen forum"" বাগানে খানিকক্ষণ হাঁটাহাঁটির পর চায়ের কাপে তুফানি ঝড় ও নানান ম্যাগাজিনে চোখ বুলিয়ে অতীত জীবনের অনেক স্মৃতির সাথে তর্কবিতর্কের পর বাড়ি ফিরে নাতি নাতনির সাথে সময় কাটানো ছাড়া আর বিশেষ কিছু করবার ইচ্ছেও থাকে না।
","5"
" জীবনের একটা বৃহৎ সময় চাকরি সূত্রে পারিশ্রমিকের বিনিময়ে জনসেবাই করে গেছেন।
","5"
" এবার তিনি প্রতিজ্ঞাবদ্ধ পরিবারকে ছাড়া অন্য কোথাও সময় দেবেন না।
","5"
" প্রতিদিনের ন্যায় সেদিন সকালে আড্ডার পর মানব বাবু বাড়ি ফিরছেন।
","5"
" হঠাৎ লক্ষ করলেন কয়েকটা পথ শিশু নিজেদের মধ্যে খুব মারামারি করছে।
","5"
" মানববাবু থমকে দাঁড়ালেন।
","5"
" ছোট্ট এক শিশু ত্রিপল দিয়ে ঘেরা ঝুপড়ির ভেতর কাঁদছে,আর দুজন খুব মারামারি করছে বাইরে।
","5"
"মানব বাবু দুজনকে মারামারি থেকে বিরত করেন।
","5"
" তারপর জানতে চান কেন মারামারি করছিল ওরা।
","5"
" কাঁদো কাঁদো চোখে বছর ছয়ে'কের বাচ্চা মেয়ে বলছে-""দাদু, আমার বাবা নেই, মা কাগজ কুড়োতে গেছে।
","5"
" কাল রাতে মা একটা পাউরুটি এনে দিয়েছিল ছোট ভাইয়ের জন্য,আজ দাদা সকালে উঠে খেয়ে নিচ্ছে।
","5"
" আমি ছাড়াতে গেছি আর অমনি আমাকে মারছে।
","5"
" ভাই ঘরের ভিতরে খাবে বলে কাঁদছে,আর মা বলে গেছে রুটিটা ভাইকে দিতে।
","5"
" তাই আমি দাদার থেকে রুটিটা ছাড়িয়ে নিয়েছি।
","5"
" আমি দাদাকে দেবো না খেতে।
","5"
" আর ঘরে খাবার নেই যে ভাই কে খেতে দেবো""।
","5"
" ""প্লাবন যখন বাঁধ মানে না তখন তাকে আটকাতেও নেই,বয়ে যেতে দিতে হয়।
","5"
" প্রবাহ ধারা শেষ হবার পর নতুন ভাবে বাঁধের মেরামত করলে তা দীর্ঘস্থায়ী হয়।
","5"
" তেমনি মানব বাবু মেয়েটিকে কান্না থেকে বিরত করলেন না,তাকে মন খুলে কেঁদে যেতে দিলেন""।
","5"
" মেয়েটির দাদা বললো-"" না দাদু,আমি কাল রাতে না খেয়ে ঘুমিয়ে গেছিলাম,তাই আমার সকাল সকাল ক্ষিদে পেয়েছিল,সেই জন্য রুটিটা খেতে চেয়েছিলাম।
","5"
" আমার এখন খুব ক্ষিদে পেয়েছে।
","5"
" ""মানব বাবু তাঁর জীবনে কখনওই এই ক্ষুধার্ত অভিজ্ঞতার সম্মুখীন হননি।
","5"
