"sentence","emotion category"
"আজ আবার তনু আমায় অপমান করলো বাবার সামনে আর বাবা না শোনার ভাণ করলো।
","5"
" ধীরে ধীরে নিজের বাড়িই পরবাস হয়ে উঠেছে।
","5"
" মা যদি শেষ সময়ে আমায়, বাবা আর তনুকে দেখার কথা না বলে যেতেন তাহলে কবেই আমি বাড়ি ছেড়ে চলে যেতাম।
","5"
" আমি মা কে কথা দিয়েছিলাম, এখন এই বাড়ির সিংহভাগ খরচ চলে আমার রোজগারের টাকায় কিন্তু বাবা আর তনুর ধারণা আমার একা থাকার সাহস নেই, আমি দুর্বল।
","5"
" যে চুপচাপ সয়ে যায় তাকেই মানুষ দু পায়ে দলতে চায়।
","5"
" বাবা বহুদিন ধরে মানে আমার সেই কিশোর বেলা থেকেই আমার সাথে এমন করে চলেছেন , তার আগে সব ঠিক ছিল।
","5"
" পাড়ার পূজোয় আমার রিনরিনে গলার আবৃত্তিতে যখন সবাই প্রশংসায় পঞ্চমুখ হত বা পরীক্ষায় যখন আমি ফার্স্ট বা সেকেন্ড হয়ে প্রাইজ আনতাম তখন বাবার মুখ গর্বে চকচক করতো।
","5"
" কবে সেই মুখে আঁধার ঘনালো ঠিক করে বলতে পারবো না কিন্ত বাবা আমায় আর কোথাও সাথে নিয়ে যেতে চাইতেন না।
","5"
" তনুও ছোটোবেলায় দাদাভাই বলতে অজ্ঞান ছিল, বড় হবার পর ও আর আমায় কিছু বলে ডাকে না, বিনা সম্বোধনে কথা বলে।
","5"
" ওর বন্ধুদের সামনে আমার যাওয়া মানা, কারণ জিজ্ঞেস করায় বললো ওরা কনফিউজড হয় তোকে দাদা বলবে না দিদি বলে ডাকবে।
","5"
" আমি প্রথম সন্তান, ছেলে হয়ে জন্মেছিলাম বলে বাড়িতে আনন্দের বাণ ডেকেছিল।
","5"
" আমি দুষ্টু ছেলে ছিলাম না, বাবা মা কে কোনো ব্যাপারেই কষ্ট দিই নি, পড়াশুনায় ভালো, এক্সট্রা কারিকুলামে ভালো, শুধু তের চোদ্দ বছরের ছেলেদের গলার আওয়াজে যখন পরিবর্তন আসে আমার তা আসে নি, ঠোঁটের উপর গোঁফের সুকুমার রেখা যখন আসার কথা তখন আসে নি বলে আমি ব্রাত্য হয়ে গেলাম?
","5"
" ক্লাস নাইনে যখন পড়ি তখন একদিন স্কুলের ওয়াশ রুমে আমায় ঘিরে ধরেছিল ক্লাস টেনের কয়েকটা ছেলে, ওরা আমার প্যান্ট টেনে নামাতে চেষ্টা করছিল, ইনারের মধ্যে হাত ঢোকাতে চাইছিল সেই সময়ে হঠাৎ ওয়াশ রুমের দরজায় জোর ধাক্কা, বারংবার ধাক্কায় ওরা আমায় ছেড়ে দেয়, আমারই সেকশনের অভ্রনীল কে সেদিন দেবদূত মনে হয়েছিল?
","5"
" ও বয়েজ ওয়াশ রুমের ভিতরে ঢুকে আমার প্যান্টের উপরে তোলা শার্ট, এলোমেলো চুল, রাগে আর কান্নায় থমথমে কালো হয়ে যাওয়া মুখ দেখে অবাক হয়ে বলেছিলো "" কি হয়েছে রে?
","5"
" এই তোরা সুমিতের সাথে কি করছিলি ?
","5"
" দরজাই বা খুলছিলি না কেন?
","5"
" এক ক্লাস উঁচুর দাদারা হো হো করে হেসে উত্তর দিয়েছিল "" সুমিত না কি! ও তো সুমিতা, ও এইখানে কি করছে, ওর তো গার্লস টয়েলেটে যাবার কথা?
","5"
" "" বলে হাসতে হাসতে বেরিয়ে যায় ছেলের দল।
","5"
" অভ্র ছুটে গিয়ে একজনের হাত চেপে ধরে "" এখনি ওর কাছে মাপ চা নইলে তোদের আমি এমন ট্রিট দেবো না যে ভুলতে পারবি না ""।
","5"
" যার হাত ধরেছিল সে ছাড়া বাকি সবাই দৌড়ে পালায় কিন্ত বজ্র মুষ্টিতে একটাকে ধরে হিড়হিড় করে টেনে আমার সামনে এনে বলে "" সরি বল, একা পেয়ে খুব কেতা দেখাচ্ছিলিস, আর কোনো দিন যদি এমন করিস হকি স্টিক দিয়ে পিটিয়ে তোদের মাথা ভেঙে দেব।
","5"
""" এরপর থেকে অভ্র আমার রক্ষাকর্তা হয়ে উঠলো, রিমার্ক পাস করা ছাড়া আর কোনো শারীরিক র‍্যাগিং করার সাহস কেউ পায় নি কারণ ও আরো কয়েকবার আমার জন্যে মারপিটে জড়িয়েছে।
","5"
" আস্তে আস্তে অভ্রনীল কে খুব কাছের একজন বলে মনে হচ্ছিল, এমন একজন যার সব কথা শোনা যায়, যার সাথে মন খুলে সব বলা যায়।
","5"
" অভ্রনীল চোদ্দ বছরেই হাতে পায়ে অনেকটা লম্বা, বেশ বড়সড় দেখতে লাগে, স্কুলের ফুটবল টিমের ক্যাপ্টেন।
","5"
" ফর্সা সুন্দর চেহারা, ঠোঁটের উপর হালকা গোঁফের কালো রেখায় ভীষণ আকর্ষণীয় লাগতো।
","5"
" ক্লাসের মেয়েরাও অভ্র বলতে পাগল।
","5"
" অভ্র খানিকটা উদাসীন ছিল মেয়েদের ব্যাপারে, ওর সারা মন জুড়ে ছিল ফুটবল আর অঙ্ক।
","5"
" যেসব সাবজেক্টস মুখস্থের তাতে ও নেই, ইতিহাস ভূগোল বাংলা ইংরাজি জীবন বিজ্ঞান পড়তেই চাইতো না।
","5"
" আমি ওকে এইসব বিষয়ে হেল্প করতে লাগলাম, খেটেখুটে যেসব নোট বানিয়েছি, সব ওর সাথে শেয়ার করেছি।
","5"
" উদাসীন ছেলেটা শুধু চাইতো আমি একটু শক্তপোক্ত হই, কেউ মারলে ঘুষি মেরে তার নাকটা ফাটিয়ে দি।
","5"
" সেই চেষ্টায় ও আমাকে ফুটবল মাঠে ডাকতো, ওর ইচ্ছে এড়িয়ে যাওয়ার সাধ্য কি আমার আছে?
","5"
" আমি সকালে ওর প্রাকটিসের মাঠে হাজিরা দি, নিজে মাঠে নামি না, সাইড লাইনের পাশে বসে চেঁচিয়ে উৎসাহ দিতে থাকি, প্রতিদানে ও আমার দিকে ভুবন ভোলানো হাসি হাসে?
","5"
" গজ দাঁতে, লাল টুকটুকে ঠোঁটে অপরূপ লাগে ওকে, প্রাকটিস শেষে ওর কিট ব্যাগ থেকে তোয়ালে বের করে হাতে দি, ও অনুযোগ করতে থাকে "" কেন নামিস না, মাঠে?
","5"
" দেখ তো কি রোগা রোগা তোর হাত পা?
","5"
""" অবুঝ ছেলে না বুঝলেও আমি ধীরেধীরে অনুভব করছি অভ্রনীল আমায় টানছে ওর দিকে, ওর ঘামের গন্ধও আমার প্রিয় হয়ে উঠেছে?
","5"
" চারটে বছর আমরা এক সাথে কাটিয়েছি, আমাদের মধ্যে কিছু মিল ছিল।
","5"
" আমার বাবা ততোদিনে আমায় বিষচক্ষে দেখতে শুরু করেছেন আর অভ্রর বাবা ব্যস্ত তার বিজনেস আর মা ব্যস্ত সাজগোজ, কিটি পার্টি আর তাসের জুয়ো নিয়ে, একমাত্র সন্তানের সাথে তারা দিনেরাতে দু চারটে কথা বলারও সময় পান না।
","5"
" আমাদের তিক্ত পারিবারিক সম্পর্ক আমাদের আরো কাছাকাছি নিয়ে এসেছিল।
","5"
" আমি লিটারেচার ভালোবাসি তবু অভ্র যখন জোর করলো তখন হায়ার সেকেন্ডারি তে আমি সাইন্স নিয়েছিলাম শুধু ওর পাশে বসবো বলে, ওর কাছাকাছি থাকতে পারবো বলে।
","5"
" ও খেলাধুলোর সাথে সাথে পড়াশোনায়ও উন্নতি করছিল কারণ তখন আর ইতিহাস ভূগোলের বিভীষিকা নেই।
","5"
" বড় হচ্ছিল বলে বাবা মা র উদাসীনতা আর ততোটা কষ্ট দিচ্ছিল না, আমাকে ও ভালোবাসতো ভাই এর মতো, প্রিয়বন্ধুর মতো কিন্ত আমার মনের খবর ও কখনো টের পায় নি।
","5"
" টুয়েলভের পর অভ্রনীল চলে গেল ব্যাঙ্গালোরে বি টেক করতে, আমার টুয়েলভের রেজাল্ট মাধ্যমিকের মতো ভালো হয় নি।
","5"
" তার দুটি কারণ ছিল, প্রথমত সেইসময় আমি মনের দিক থেকে পুরোপুরিভাবে বিধ্বস্ত ছিলাম, ততোদিনে বুঝে গেছি আমি অন্যরকম, আর পাঁচজনের মতো নই।
","5"
" আমার ভিতরে আরেকটা আমি আছে যে সুমিত বা মায়ের খোকন নয় যে মুক্তি চাইছে, উপরের পুরুষালি খোলস ছেড়ে বেরিয়ে আসতে চাইছে, চাইছে মুক্তির আকাশ।
","5"
" দু নম্বর কারণটি হল আমি সাইন্সের বিষয়ের থেকে আর্টসে বেশি স্বচ্ছন্দ, বেশি তুখোড়।
","5"
" যাবার আগে অভ্রনীল আমায় চাইছিল আমিও যেন ইঞ্জিনিয়ারিং করি ওর সাথে।
","5"
" প্রাইভেট কলেজে নম্বরে হয়ত আটকাতো না কিন্তু বাবা আমার জন্যে অতো খরচ করতে রাজী ছিলেন না।
","5"
" আমি ইংলিশে অনার্স নিয়ে সেন্ট জেভিয়ার্সে ভর্তি হলাম।
","5"
" অভ্রনীল ধীরেধীরে দূরে চলে যাচ্ছিল, তার প্রধান কারণ হাতে পায়ে চঞ্চল ছেলেটার নানা বিষয়ে আগ্রহ আর আমি নিজে বেশি লং ডিসট্যান্স কল করতেও পারতাম না পয়সার অভাবে।
","5"
" কলেজে একটি ছেলের সাথে আলাপ হল মানে সে নিজে এসে ভাব করলো।
","5"
" শ্যামলা রঙ, মাথায় ঝাঁকড়া ঝ্যাঁকড়া কোঁকড়া চুল, ভীষণ কাটাকাটা চোখমুখ, অসম্ভব স্মার্ট, গীটার বাজিয়ে জীবনমুখী গান গায় আবার কখনো বেঞ্চে তবলা ঠুকে।
","5"
" ভীষণ পপুলার, সেন্ট জেভিয়ার্স থেকেই স্কুলিং করেছে, সবাই তাকে চেনে, মেয়েদের মধ্যেও তার ভীষণ পপুলারিটি।
","5"
" রণদীপ আমায় আমার খোলস থেকে টেনে বের করলো, গ্রুপে টেনে নিয়ে যায়, সবার সামনে আমার এতো প্রশংসা করে যে আমার লজ্জা লাগে।
","5"
" ওর সাথে ঘুরতে টেনে নিয়ে যায়, সিনেমা দেখি একসাথে, একদিন কমন রুমে সেদিন বৃষ্টিতে আকাশ কালো, কেউ ছিল না আমি ওকে গান শুনিয়েছিলাম"" আমার বেলা যে যায়, সাঁঝ বেলাতে / তোমার সুরে সুরে সুর মিলাতে --""।
","5"
" আমার গানের গলা বেশ ভালো না শিখেও, ও আমায় হঠাৎ জড়িয়ে ধরে চুমু খেল একটা।
","5"
" আমার সারা শরীর কেঁপে উঠেছিল, পা থরথর করে কাঁপছিল।
","5"
" রণদীপ মুচকি হেসে বলে "" এতো সুন্দর গানের জন্য একটা কিসি তো বনতাই হ্যায় ।
","5"
" ""ওর খিচুড়ি হিন্দীতে হাসি আসে, তাড়াতাড়ি চলে এসেছিলাম সেদিন বাড়িতে।
","5"
" তারপরেও বেশ কয়েকবার ও টেনে নিয়ে গিয়েছে আমায় ওর ঘরে, পি জি হয়ে থাকে কসবায়।
","5"
" ওয়ান রুম ফ্লাট, সেখানে ওর হাত ধরে খানিক চিনলাম শরীরের রহস্য।
","5"
" ভালোবাসা আর কৃতজ্ঞতায় গলে গেছিলাম, তাহলে আমিও ব্রাত্য নই, সৃষ্টি কর্তা আমার জন্যেও কাউকে গড়েছেন! হায়! এই সুখ ক্ষণিকেরই ছিল।
","5"
" দেখলাম ওর অন্য বন্ধু, বিশেষ করে বান্ধবীদের সাথে অতিরিক্ত অন্তরঙ্গতা ছবি।
","5"
" আমি আমার পড়াশোনার প্রায় সমস্ত খরচই ওঠাতাম টিউশনি করে, বাবার কাছে হাত পাততে সঙ্কোচ হত, মা অবশ্য আমায় জামাপ্যান্ট কিনে দিতেন পূজোয় আর জন্মদিনে।
","5"
" সেই টিউশনির পয়সার সিংহভাগ নিয়ে নিতে লাগলো রণদীপ, আজ প্রিয়াঙ্কার বার্থডে পার্টি কাল তানিয়াদের রুফটপ পার্টি, উপহার কিনবে বলে আমার পার্স উপুড় করে নিয়ে নেয়।
","5"
" আমি কতোদিন পয়সার অভাবে হেঁটে ফিরেছি পার্ক স্ট্রীট থেকে চেতলায়।
","5"
" আমার সামনেই মেয়েদের সাথে ফ্লার্ট করে, আমার অপমান ক্লিষ্ট মুখের দিকে তাকিয়ে হা হা করে হেসে বলে এরা হল টাইমপাস কিন্তু বারে বারে নানা মেয়েদের সাথে অতিরিক্ত অন্তরঙ্গতা আমার বিশ্বাসকে কাঁপিয়ে দিতে থাকে।
","5"
" আমার দিদিমা বেশ ভালো পদাবলী কীর্তন গাইতেন, তার দুকলি আমার মধ্যে অনুরণিত হতে থাকে সর্বক্ষণ -- "" সখী, কেমনে রাখিব হিয়া আমারি বঁধুয়া আনবাড়ি যায় আমারি আঙিনা দিয়া।
","5"
" "" আমি জেনেছি বঁধুয়া মানে প্রিয়তম, এটি কিন্তু বধু নয়।
","5"
" আমি হৃদয় দিয়ে রাধার বেদনা আর অপমান অনুভব করতে থাকি।
","5"
" আমারই রক্তের পয়সা দিয়ে এইসব স্তাবক মেয়েদেরকে উপহার কিনে দেয় আর আমি টিফিনে এক কাপ চায়ে খিদে মেটাই , বাসের পয়সা বাঁচাতে হেঁটে ফিরি।
","5"
" শত লাথি ঝ্যাঁটা খেয়েও প্রেম যায় না, বিশেষ করে আমার মতো অভাগার যার জীবনে কেউ নেই, কেউ আসে নি কখনো।
","5"
" তবুও সেটা কাটলো প্রচণ্ড আঘাত পেয়ে, তখন আমাদের পার্ট থ্রি হয়ে গেছে , সাত দিন চোখের দেখাও দেখি নি, ফোন করলেও তোলে না, আমি ওর সম্ভব্য সব আড্ডার জায়গা চষে ফেলেছি এবং জেনেছি যে ও একটা গ্রুপের সাথে পুরী গেছে।
","5"
" শেষে একজনের সূত্র থেকে জানলাম যে একটি মেয়ের বাড়িতে গেট টুগেদার আছে।
","5"
