"sentence","emotion category"
"(১) সারা বাড়িটা আজ ফুলে ও বেলুনে সাজানো; আজ অনু-র জন্মদিন।
","5"
" তাই নিজের হাতে সবটা সাজিয়েছেন অমরেশ বাবু, অনু-র শ্বশুরমশাই আর (শাশুড়ি) মা ব্যস্ত রয়েছেন রান্নাঘরে সেই সকাল থেকেই।
","5"
" আজ প্রায় দেড় বছর হল অনু এসেছে এ বাড়িতে, এই নিয়ে দ্বিতীয়বার ওর জন্মদিন পালন হচ্ছে।
","5"
" কিন্তু এ বছরের আনন্দ উত্তেজনাটা যেন একটু অন্যরকম আলাদা, এখন ওর তিন মাস চলছে, তাই বাড়ির প্রত্যেকের সাবধান বাণী, ভালবাসা ও সতর্ক পাহারায় তার দিন কাটছে।
","5"
" হালকা সুরের মূর্ছনায় বৈঠকখানার বাতাস ভাসছে।
","5"
" তাই শুনতে শুনতে আর আনমনে পত্রিকার পাতা ওল্টাতে অনু ভেবে চলেছে সমু-র কথা।
","5"
" সকাল থেকে বন্ধুরা, বাড়ির সবাই শুভেচ্ছা জানিয়ে গেলেও তার দেখা নেই।
","5"
" সেই কোন সকালে বেরিয়ে গেছে, বাড়িতে একবার ফোন করেও জানায়নি, চিন্তা হয় বোঝে সেটা।
","5"
" ফোনটাও সাথে নিয়ে যায় নি, এত ভুলোমনা হয়েছে কিছু বলা যাবে না।
","5"
" অফিস আজ যাবে না বলেছিল,ভেবেছিলাম গেল বছরের মতোই দিনটা কাটবে, কিন্তু কোথায় কি?
","5"
" তবু এই দিনটা এলে অনু-র মুখে একটা গভীর কষ্টের ছাপ ফুটে ওঠে?
","5"
" যদিও এ বাড়িতে আসার পর তার কষ্টের মাত্রাটা অনেকটাই কমে গেছে কিন্তু ছেড়ে যায়নি আর যাবেও না কোনোদিন।
","5"
" (২) গত বছর সকালে উঠে যখন সে দেখেছিল সারা ঘরময় ফুল আর বেলুনে সাজানো, দু-চোখ বেয়ে নোনাজল নেমে এসেছিল; ছুটে গিয়ে জড়িয়ে ধরেছিল সমু-কে।
","5"
" ভাব গম্ভীর সমরেশ অনু-র কানের কাছে মুখ নামিয়ে বলেছিল, "" মনে উঠেছে ঝড়, ঝাপসা হয়েছে দৃষ্টি- কালো মেঘ নয়নে, অসময়ে এলো বৃষ্টি।
","5"
""" কান্না থামিয়ে বিস্ময়ভরা দৃষ্টি নিয়ে ভাবছিল অনু, কি করে সমু পারে এমনভাবে চট করে সাজিয়ে ফেলতে কথাগুলোকে।
","5"
" চোখের চাহনিতে ""কি"" জিজ্ঞেস করেই সমু ভারী পরিবেশটা হালকা করতে বলেছিল,""ওমা, দেখে যাও ছিচকাঁদুনে কাঁদছেন।
","5"
""" ওমনি নিজেকে ছাড়িয়ে চোখের জল মুছে নিয়েছিল অনু আর অভিমানী গলায় বলেছিল,"" এই একদম আমায় ছিচকাঁদুনে বলবে না,বলে দিচ্ছি।
","5"
""" না আর কিছু বলেনি তখন সমরেশ, মা সামনে এসে পড়ায়, শুধু মুখ টেপে মুচকি হেসেছিল।
","5"
" ""কিরে! তোর কাজ নেই, আজকের দিনেও সকাল থেকে মেয়েটাকে জ্বালাতন করছিস""-অভিযোগের গলায় বলেছিলেন মীনাক্ষী দেবী, সমু-র মা, অনু-র শাশুড়ি।
","5"
" কিচ্ছুটি না বলে চোখে চোখ দিয়ে দুষ্টু হেসে ""রাত বাকি..."" গেয়ে শিস্ দিতে দিতে বাজার চলে গিয়েছিল বিচ্ছুটা।
","5"
" ""কি হয়েছে রে, মা-বাবার কথা মনে পড়ছে ""-বলেই বুকে টেনে নিয়েছিলেন মীনাক্ষী দেবী।
","5"
" হাঁপুস নয়নে শাশুড়ি মা-র কাঁধের আঁচল ভিজিয়েছিল অনু।
","5"
" স্নান সেরে শাশুড়ি মায়ের দেওয়া জামদানি আর হালকা কিছু গয়না গায়ে চাপিয়ে গেছিল (শাশুড়ি) মা-এর কাছে।
","5"
" প্রণাম করতে যেতেই থামিয়েছিলেন মা, ""এই কি করছিস! এদিকে আয়"", বলে হাত ধরে টেনে নিয়ে গিয়েছিলেন ঠাকুরঘরে।
","5"
" যেখানে রয়েছে রাধাগোবিন্দের বিগ্রহ আর ঠিক তাদের পায়ের কাছে ফোটফ্রেমে হাসি হাসি মুখে চেয়ে আছেন অনু-র মা-বাবা।
","5"
" একটা রোড এক্সিডেন্টে ওনারা চলে গেছেন এই পৃথিবীর মায়া কাটিয়ে।
","5"
" তখন অনু-র বয়স মাত্র পনের, সামনে মাধ্যমিক পরীক্ষা আর তখনই এমন একটা দুঃসংবাদ এসে পৌঁছায় ওর কাছে।
","5"
" প্রাথমিক ধাক্কা সামলে, মনের দুঃখকে মনে চেপে কোনমতে পরীক্ষাটা দেয় সে।
","5"
" তারপর কাকুর হাত ধরেই উচ্চমাধ্যমিক ও কলেজের গন্ডি পেরোয়।
","5"
" আর কলেজের গন্ডি পেরোতে না পেরোতেই বিয়ে, তারপরেও পড়াশোনা নিয়ে আরও এগনোর কথা দুই বাড়ির সবাই বললেও, অনু আর এখন পড়তে চাইনি।
","5"
" ""আগে ওনাদের প্রণাম কর"", মা-এর কথায় ভাবনায় ছেদ পড়ল অনু-র।
","5"
" ও বাড়ি থেকে সবাই এসেছিল সেদিন।
","5"
" সব মিলিয়ে সারাটাদিন কেটে ছিল বেশ আনন্দে, হাসি-গানে, গুরুজনদের আশিসে।
","5"
" কিন্তু মাঝের পাঁচটা বছর সে এভাবে পায়নি এই দিনটাকে।
","5"
" কাকুর আনা কেকটা কাটত ঠিকই কিন্তু মায়ের অভাবটা যেন বেশি করে জানান দিত সেদিন।
","5"
" যে জিনিসটা খুব মিস্ করেছিল এতগুলো বছর তা আবার হাতে এসেছিল মায়ের পরশধন্য পায়েসের বাটি।
","5"
" (৩) আজ আরও এক বছর যোগ হল তার বয়েসের খাতায়, দেড়টা বছর যেন কত তাড়াতাড়ি পেরিয়ে গেল।
","5"
" মনে হয় এই তো সেদিন, সবে তৃতীয় বর্ষের পরীক্ষা দিয়েছি হঠাৎ রাঙাপিসি এসে হাজির সাথে নিয়ে একটা ছবি মানে সমন্ধ।
","5"
" মা-বাবার একমাত্র ছেলে, সরকারী চাকরি করে আর বয়েসের পার্থক্যটাও খুব একটা বেশি নয় মাত্র চার বছর।
","5"
" সব শুনে কাকু মত দিলেন,""ঠিক আছে, এসে দেখে যান ওনারা, যোগাযোগ কর""।
","5"
" এরপর দেখাশুনা, কথাবার্তা, আশীর্বাদ সব যেন কেমন পর্যায়ক্রমে পেরিয়ে গেল।
","5"
" আশীর্বাদের পর থেকেই কখনও খুব খুশি হচ্ছিল আবার কখনও কেঁদে ভাসাচ্ছিল অপর্ণা, অনু-র খুড়তুতো বোন, বছর দুয়েকের ছোট সে।
","5"
" বেচারি নিজের মা কে কোনোদিনও পায়নি, ওর জন্ম দিতে গিয়ে মারা যান অনু-র কাকিমা।
","5"
" তবে যতদিন অনু-র মা ছিল মায়ের কমতি সে একটুও বোঝেনি।
","5"
" কথাবার্তার আগে যখন সবাই অনু-র মতামত জানতে চেয়েছিল, ও বলেছিল, ""তোমারা যা ভালো বোঝ""।
","5"
" শুধু দাদার কাছে জানতে চেয়েছিল ""তোর কেমন লেগেছে?
","5"
""", শুভ বলেছিল ""ভালো তবে একালের ছেলেদের চেয়ে ভিন্ন""?
","5"
" সেটা অনুও খানিকটা বুঝেছিল যেদিন প্রথম আলাপ হয়েছিল আর বাকিটা বুঝেছে এতদিনে।
","5"
" মেয়ে দেখতে ছেলে নিজের থেকে আসেনি দুই বাড়ির জোরাজুরিতে তার আসা।
","5"
" কথায় কথায় বুঝতে পারে দাদার বলা সেই কথাটা এ ছেলে সত্যিই আলাদা।
","5"
" আজকের দিনে দাড়িয়ে এ ফেসবুক করেনা, হোয়াটস্অ্যাপ থাকলেও তা না থাকার সামিল।
","5"
" অবশ্য অনু নিজেও ফেসবুক করে না ডিএক্টিভেট করে রেখে দিয়েছে তবে হোয়াটস্অ্যাপে রোজই দেখা পাওয়া যায়।
","5"
" উচ্চতায় ছেলে অনু-র চেয়ে মাত্র সাড়ে তিন ইঞ্চি মত বেশি, তবু জানি না কেন এই ছেলেকে অনু-র ভালো লেগে যায়।
","5"
" (৪) এতদিনে ও সমুকে পুরোটা না হলেও অনেকটা বুঝেছে।
","5"
" সবচেয়ে যে ব্যাপারটা ভালো লাগে, ওর মনে যা মুখেও তাই।
","5"
" সমু-র সহ্যশক্তি দেখে অবাক হয়, যেমন শারীরিক তেমন মানসিক, বড্ড অনুভূতিশীল ও।
","5"
" জিম-ব্যায়াম করা শরীর সাথে ব্ল্যাক বেল্ট, সাঁতার শিখেছে আবার গিটার ও তবলা বাজাতে জানে, এখনও শিখছে।
","5"
" রাগের মাথাতেও কখনও কটূক্তি করে না বরং শুনেছে স্কুল লেভেলে নাকি বেশ কয়েকজনকে উত্তম-মধ্যম দিয়েছে কটূক্তি করায়।
","5"
" ফেসবুক করাকে বলে সময় নষ্ট করা অথচ দেখেছে ঘন্টার পর ঘন্টা কাটিয়ে দিতে পারে গল্পের বই হাতে পড়লে।
","5"
" আজকাল মাঝে মধ্যে কবিতা লিখে ফেলে বিভিন্ন বিষয়ে, আগে নাকি এক-দুটো ছোট গল্প লিখেছিল অগোছালো স্বভাবের জন্য সে সব আজ কোথায় হারিয়ে গেছে।
","5"
" কবিতাগুলো কে ছাপানোর কথা অনু সমুকে অনেকবার বলেছে কিন্তু বললেই সমু বলে, ""ওসব না ছড়া না কবিতা, এ মনের কিছু্ ছন্দময় কথা।
","5"
""" এরকম কিছু এক-দুই থেকে দশ-বিশ লাইন ভেবে ফেলে ছন্দ সাজিয়ে।
","5"
" বাইরে থেকে সমু-র বাইকেের হর্ন শোনা গেল, সাথে সাথেই ভাবনার তালটা কেটে গেল।
","5"
" বেলা প্রায় এগারোটা নাগাদ বাবু ফিরলেন, হাতে একটা ফুলে থাকা খাম নিয়ে।
","5"
" খামের ভেতর একটা ডায়েরি আর পেন গিফট করেছে ওর জন্মদিনে আর বেশ মিষ্টি সুগন্ধী গোলাপী গোলাপ।
","5"
" অভিমানী চোখে তখন একটু একটু করে খুশির আভাস দেখা দিয়েছে।
","5"
