"sentence","emotion category"
"প্রবাসের এপারে আমি সঞ্জীব, স্ত্রী নীরা।
","5"
" গল্প যেভাবে হয় সেভাবে নাই বা করলাম, শুরুতে একটি দুর্ঘটনা বা কোনও প্রেক্ষাপট এসব নাই বা বললাম, শুরু করা যাক না একটি ছোট্ট পিংপং বল দিয়ে।
","5"
" হ্যাঁ আমার আলেকজান্ডার এটি নিয়েই নাচাতো আমায়, মানে নাঁচানোর চেষ্টা করত।
","5"
" দু’বছর বয়স হলেও প্রচন্ড বুদ্ধিদীপ্ত চোখ ছিল।
","5"
" আজ স্কটল্যান্ডে আমার ছেলে অনি আর ছেলের বউ মধুমিতার সাথে রয়েছে, পড়ে ইন্টারন্যাশনাল স্কুলে।
","5"
" জানতাম ছেলে শুধু দেশী সফটওয়্যার কোম্পানীতে আটকে থাকবে না।
","5"
" তৈরি করবে স্বপ্নের ইমারত, তবে তা বিদেশে সেটা বুঝিনি।
","5"
" যে শরত্চন্দ্র-বঙ্কিম, রাজশেখর বসুর মহাভারত শুনে মানুষ, সে এতটা অর্থলোভী হবে তা বুঝতে পারিনি।
","5"
" আমার ব্যাংকের চাকরী থেকে অবসরের পর আনন্দপুরে যে বাড়ীতে থাকি তা আরও আধুনিক করে সাজিয়ে গুছিয়ে নেব ভেবেছিলাম কিন্তু ডাইনিং টেবিল খোকার বিদেশ যাওয়ার কথা আর চোখ চিকচিক করা আমায় নাড়িয়ে দিয়েছিল।
","5"
" এটাই জীবনের টেক অফ।
","5"
" নিজেকে দোষ দেব না, আরও চাই, আরও লোভ তো আমাদের সবার রিপুর ভিতরেই রয়েছে।
","5"
" প্রয়োজনে সীমারেখা যে আমরা ভুলেছি।
","5"
" আসলে বিদেশী কনজিউমারিজম আমাদের সব বিবেক বিবেচনা নষ্ট করেছে।
","5"
" যাক সেসব কথা, ছেলের সংসার ভালই রয়েছে, তবে নাতিটা বাংলা শিখল না।
","5"
" সেদিন ফোনে নাতির সাথে কথা বলতে বলতে আমায় জিজ্ঞাসা করল... - দাদু পরামহংসস্ কে, ও কি সত্যিই ঠাকুর?
","5"
" স্বামীজীকে গড দেখিয়েছে?
","5"
" - তোমায় কে বলল এসব?
","5"
