"sentence","emotion category"
"রাস্তার ধারের গ্লিটিসিয়া গাছটা বেগুনী রঙের ফুলে ছেয়ে আছে ।
","5"
"একটা মাদকতাময় ঝিমঝিম গন্ধ বাতাসে ভেসে ভেসে নাকে এসে ধাক্কা দিচ্ছে ।
","5"
" এপ্রিলের প্রচন্ড গরমের পিচগলা কলকাতায় আগুন ঝরানো সূর্যের উত্তাপে বুক জ্বলে যাচ্ছে তৃষ্ণায় ।
","5"
"পাশে রাখা বোতলটা থেকে একটু জল খেল ইমন ।
","5"
"তাপমাত্রার পারদ তখন চল্লিশ ছুঁইছুঁই ।
","5"
"মন ভালো নেই ইমনের ।
","5"
" প্রায় সাড়ে পাঁচ বছর পরে কলকাতায় এল ইমন ।
","5"
"বলতে গেলে দেশে ফিরল ।
","5"
"সেই যে একদিন প্রচণ্ড ঝগড়া করে বহ্নির সাথে সব সম্পর্ক ত্যাগ করে দেশ ছেড়ে বিদেশে পাড়ি দিয়েছিল তারপর এই ফিরল সে ।
","5"
"মুর্শিদাবাদের প্রত্যন্ত গ্রামের সাদাসিদে বইপড়ুয়া ইমন কলকাতায় ইঞ্জিনিয়ারিং পড়তে এসে বহ্নির নজরে পড়ে যায় ।
","5"
"বহ্নি যে কি দেখেছিল ওর মধ্যে কে জানে ।
","5"
" ছটফটে ডাকাবুকো উজ্জ্বল প্রাণবন্ত সব বিষয়ে এগিয়ে যাওয়া বহ্নি ইমনকে ওর কাছের মানুষ করে ফেলল ।
","5"
"একেবারে যাকে বলে হরিহর আত্মা অথবা দুই দেহ এক প্রাণ ।
","5"
" একসাথে একবেঞ্চে বসা একসাথে ,ক্যান্টিন ,টিফিন ভাগ করে খাওয়া ,ইউনিয়নে তর্ক ,স্যারদের সাথে কথা সবসময় দুজনে একসাথে ।
","5"
" ওদের আলাদা ভাবে ভাবাই যেত না ।
","5"
" বন্ধুরা ও টিজ করতে ছাড়ত না , 'জোড়া শালিক' ,'ফেবিকুইক' বা আরো বাজে বাজে নামে ডাকত ।
","5"
"ইমন লজ্জা পেত ।
","5"
" বহ্নির হাবভাব দেখে ইমন ভাবত, কি করে একটা মেয়ে যে এমন বেপরোয়া হতে পারে..........বহ্নি বলত ,-' আমি তো আগুন আর তুই আমার ইমন , ইমু ,ইমনকল্যান '।
","5"
