"sentence","emotion category"
"- দাদা আপনার জলখাবার।
","5"
" একমনে খবরের কাগজের পাতাটা ওল্টাচ্ছিলাম।
","5"
" চোখ তুলে দেখি খাবারের প্লেট হাতে শিউলি দাঁড়িয়ে।
","5"
" গরম গরম ছ'টা লুচি আর আলুরদম।
","5"
" গাওয়া ঘির গন্ধে ঘরটা ম -ম করছে।
","5"
" সকালে অফিস থাকে সুনন্দার ।
","5"
" তাই রান্নার টুকিটাকি সাহায্য আর ঘর -দোর গুছিয়ে রাখার জন্য একজন রাতদিনের লোকের কথা অনেকদিন থেকেই বলে আসছিল।
","5"
" অবশেষে ইচ্ছেপুরণ হয়েছে সুনন্দার।
","5"
" চার আনার জায়গায় ষোলো আনা পয়সা উসুল হয়েছে।
","5"
" এত কম টাকায় এত ভাল লোক পাওয়া সত্ত্যি ভাগ্যের ব্যাপার।
","5"
" আমার হাতে জলখাবারের প্লেট টা দিয়েই কলিন নিয়ে শিউলি বসে গেল কাচের আলমারির সামনে।
","5"
" আয়নার গায়ে লেগে থাকা দাগগুলো ঘষে ঘষে তোলবার চেষ্টা করছিল।
","5"
" আমি খেতে খেতে বারবার আড়চোখে আয়নার দিকে তাকাচ্ছিলাম।
","5"
" শিউলিকে কেন জানি আজ খুব সুন্দর দেখাচ্ছে।
","5"
" আলুলায়িত ঘন চুলের তরংগ, কালো দুটো ভুরুর মাঝে ছোট টিপ আর চোখে কাজলের আলতো টান, তাতেই যেন শিউলি বর্ষার ভরা দিঘী।
","5"
" ঘষে ঘষে পরিষ্কার করার ফলে শরীরের ওপরের দিকটা বেঁকে বেঁকে যাচ্ছে শিউলির।
","5"
" দুধেআলতা শাড়ির ফাঁকে শিউলির প্রস্ফুটিত যৌবন।
","5"
" সেদিকে তাকাতেই বুকের ভেতরটা কেমন উষ্ণ হয়ে উঠছিল।
","5"
" আয়না দিয়ে চোখে চোখ পড়তেই শিউলি বলল - আর লুচি নেবে দাদা?
","5"
" আরো আছে?
","5"
" ঘাড় নেড়ে না বললাম।
","5"
" - আয়নাটা অনেকটা পরিষ্কার হয়েছে না দাদা?
","5"
" - হুম অনেকটা?
","5"
" রান্নার হাত টা বেশ ভাল মেয়েটার।
","5"
" বয়সটাও কম।
","5"
" তাই বেশ চটপটে।
","5"
" মাত্র ছ'মাস হল এ বাড়িতে এসেছে।
","5"
" আর এর মধ্যেই সংসারটাকে বেশ গুছিয়ে নিয়েছে।
","5"
" সুনন্দা না থাকলে সব কাজ একা হাতেই সামলায়।
","5"
" সবচেয়ে বড় কথা কোনো কাজ বলার আগে নিজে থেকেই করে নেয়।
","5"
" শিউলি আগে রাতদিন বাড়িতেই থাকত।
","5"
" ইদানীং ওর বাবা অসুস্থ থাকায় রাতে বাড়ি ফিরে যায়।
","5"
" ক'দিন আগে সুনন্দা বলছিল শিউলি হাজার পাঁচেক টাকা ধার চেয়েছে।
","5"
" ওর বাবার কি একটা অপারেশন হবে।
","5"
" ওই টাকাটা আমার হাতের ময়লা।
","5"
" মানি ব্যাগেই থাকে সবসময়।
","5"
" তবু ইচ্ছে করেই দিইনি।
","5"
" . এদিন রবিবার।
","5"
" অখণ্ড অবসর।
","5"
" জলখাবার খেয়েই সুনন্দা বাপের বাড়ি চলে গেছে।
","5"
" ওখানে সারাদিন থেকে রাতে ফিরবে।
","5"
" দুপুরের খাবার খেতে খেতে ইচ্ছে করেই টাকার কথাটা তুললাম।
","5"
" - বউদি বলছিল তোমার নাকি কি জন্য টাকার দরকার?
","5"
" - হ্যাঁ দাদা?
","5"
" হiজার পাঁচেক খুব দরকার।
","5"
" আমি তিন মাসে কাটিয়ে দেব।
","5"
" - কি দরকার এত টাকার?
","5"
" - বাবার গলব্লাডার অপারেশন হবে?
","5"
" যা জমানো আছে তাতে ওই টাকাটা কম পড়ছে।
","5"
" - ঠিক আছে।
","5"
" তুমি খাবার পরে আমার ঘরে এস।
","5"
