"sentence","emotion category"
"কোথায় পাব তারে আমাদের জন্মের সাথে সাথে শুরু হয় এক- নাকি অনন্ত খোঁজ ।
","5"
" বয়েসের সাথে সাথে তার নানাবিধ রকম দেখা যায় ।
","5"
" এরই অপর নাম কি নিয়তি ?
","5"
" ভাবি মাঝে মাঝে ?
","5"
" শিশু ভূমিষ্ঠ হলো কি শুরু হোল তারআবদার , চাই তার অমৃত রস ধারা, খোঁজ খোঁজ ,কান্না কান্না ,কোথায় পাব তারে?
","5"
" না কাঁদলে মা ও যে পাত্তা দেয় না?
","5"
" তারপর হাঁটি হাঁটি পা পা হলে চাই তার অবলম্বন , হাত বাড়াচ্ছে তার আশায় ।
","5"
" সারাজীবন ছুটে চলার প্রত্যাশায় সেই যে বাড়াল হাত, ও আর গোটানোর কোন সুযোগ কিম্বা ইচ্ছে কোনটাই নেই।
","5"
" এর আর কার্যকারণ খোঁজার চেষ্টা মিছে ছলনা ।
","5"
" সীমা থেকে অসীমে , বাস্তব থেকে অবাস্তবে ,বহুরূপীর মত ক্ষণে ক্ষণে রঙ ঢং পাল্টে চলে সে।
","5"
" তাকে ধরা ছোঁয়া অলীক আশা ।
","5"
" সে শুধু তাড়িয়ে বেড়ায়’ দৃষ্টি এড়ায় , ডাক দিয়ে যায় উল্লাসে’ ।
","5"
"ও হল সোনার হরিণ ।
","5"
" যার কোন মায়া নেই , কোনচাওয়া নেই , কোন ডাক নেই অজানার , কোন খোঁজ নেই অলীকের , তার মত অভাজন কজন আছে ?
","5"
" এযে কি সুখ , কি অসম্ভব ভাললাগা , কি এক অকারণ আকর্ষণ- তা যে না বুঝল তার মানব জনমবৃথা গেল ?
","5"
" আমি খুঁজি অর্থ , তুমি পরমার্থ , আমি নিকট , তুমি দূর , অথচ শেষ বিন্দুতে গিয়ে দেখি তুমি আমি সেই পাশাপাশি , তাহলে কি কারনে ভিন্ন ভিন্ন পথে হেঁটে মরি আমরা ?
","5"
" ভাগ করে নিতাম যদিখোঁজার পথটাকে কমতো না কি পরিশ্রম ?
","5"
" আসলে এটাও একটা মস্ত ধাঁধাঁ , আমরা খুঁজতে ভালবাসি ?
","5"
" আমাদের বেঁচে থাকার উদ্দেশ্য বিধেয় সব ই ওই খোঁজ ।
","5"
" সে আছে বলেই আমার চলা ফেরা কথা বলা ।
","5"
"সে আমায় চালিয়ে নিয়ে যায় , এ পথ থেকে ও পথে , এ সম্পর্ক থেকে ঐ সম্পর্কে , এই ভাললাগা থেকে সেই ভাললাগায় ।
","5"
" আমাদের সৃষ্টিশীলতায় , আবেগে , অনুরাগে , বিরাগে , সুখে , অসুখে , দুঃখ বেদনায়, হাসিতে কান্নায় সেই এক কারন , সেই একমাত্র কারন।
","5"
" নাম যশ প্রতিপত্তি প্রশংসা মিষ্টি কথা ইত্যাদি ইত্যাদির খোঁজ খুব সুকৌশলে করি আমরা ।
","5"
" হোলে হল , না হলে নেই – কথা ছিল জীবনটাকে এমনিভাবেই রাখার ।
","5"
" তা আর হল কই?
","5"
" পরার্থপরায়নতা , সহানুভুতি, সহমর্মিতা , খুব সঙ্গোপনে অন্যের মনোযোগ আশা করে ?
","5"
" ভালোকাজ করে তার প্রশংসা ভগবান ও আশা না করে থাকতে পারেন না ।
","5"
" তাইযতই ভাবি না কেন আমাদের নিজের জন্য কিছু চাওয়া নেই , পরার্থে জীবন উৎসর্গ করেছি , বুকে হাত রেখে বলুন এই কথাটা অন্য কারুর মুখে শুনতে আপনার ভাল লাগে কিনা।
","5"
" আসলে ব্যাপার এটাই ,ক্রিয়ার বিপরীত প্রতিক্রিয়াটাও এক ধরনের খোঁজ ।
","5"
" খোঁজ কখনো শেষ হয় না ।
","5"
"আমরা হারিয়ে খুঁজি , পেয়ে হারাই , নব নব রূপে খুঁজব বলেই না ।
","5"
"একটা সম্পর্কই ধরুন, আপনি ভাবছেন শেষ হয়ে গেছে, কিন্তু কিছুদিন বাদে আবিষ্কার করলেন যে আপনি একটা স্তর পেরিয়ে আরেকটায় প্রবেশ করেছেন মাত্র , কিছুই হারায় না , প্রভু তোমার এ জগতে ।
","5"
" নিত্যতা সূত্র খালি আইনস্টাইন জানতেন কে বলেছে ,এটা আমার আপনার মত হাবা গবাও জানে! ছেলেবেলা জুড়ে থাকা স্মৃতির ঝাঁপিরা মাঝে মাঝে নাড়াচাড়া খায় , যত সামনে এগোই তত পিছুটান বাড়ে ।
","5"
" বুড়ো হলে শুরু তার দ্বিতীয় শৈশব ।
","5"
" যা নেই , যারা নেই , যা কিছু পাওয়া হয়নি সব যেন ফিরেফিরে আসে মনের জানালায় ।
","5"
" ছোটবেলার ভাঙা পুতুল , গাড়ির চাকা , দেরাজে সাঁটা স্টিকার , পড়ার ঘরের দেয়াল জুড়ে আইকন দের পোস্টার ,যা মাঝ বয়েসে অর্থহীন মনে হত তা আবার ফিরে দেখিপরবর্তী প্রজন্মের কীর্তিকলাপে ।
","5"
"এদের প্রকাশ ভঙ্গী আলাদা , কিন্তু মূল যে ভাবনাটা সেটা একই ।
","5"
" হুজুগ আর সময়ের টান , ক্ষণকালের ভাললাগা র জিনিস বড় হবার সাথে সাথে অর্থহীন মনে হয়।
","5"
" চলতেচলতে পিছে পড়ে গেল যারা , মুখের মিছিলে যারা অনেকের একজন হয়ে গেল , যা বিশেষ হতে হতে সাধারণের একজন হয়ে গেল তাদের ফিরে দেখার সাধ জাগে মাঝে সাঝে ।
","5"
" ছিল মাটির ঢেলা , কে তাতেদিল রঙ, কে দিল তাতে আকার , কে পোড়াল তা সংসার আগুনে , কে বলল প্রথম ভালবাসি , কে ঐ চৌ রাস্তায় দাঁড় করিয়ে একটু আসছি বলে আর ফিরে এল না , এসব এলোমেলো স্মৃতি গুলো সেকলে বাঁধাবড় মুশকিল সন তারিখ হিসেব করে ।
","5"
" দাদা দিদি কালচার বাঙালির অস্তিত্ব জুড়ে ।
","5"
" কত শত এলগেল , কেউ শেখাল জীবন গান , কেউ আদর্শ হয়ে রইলো , কাউকে দেখলে অনাবিল ভালোলাগায় ভাসি ।
","5"
"মনে পড়ে আমার প্রথম গৃহ শিক্ষক এর কথা ।
","5"
" আমরা জেঠতুত খুড়তুতো তিন ভাই বোন চিলে কোঠার ঘরে একসাথে তার কাছে পড়তে বসতাম ।
","5"
"সেই দাদা উচ্চ মাধ্যমিক পাশ করে আম্মাকে প্রণাম করতেএসেছে ।
","5"
" গলার কাছে ঘামে ভেজা সাদা পাউডারের দাগ ।
","5"
" আমার পড়া মা করিয়ে রাখে , কান ধরে ওঠবসের সুযোগ জোটে না।
","5"
" চোখের সামনে দুই ভাইবোন প্রায়ই সে সৌভাগ্য লাভ করে ।
","5"
"শেষমেশ ইচ্ছেকরে একদিন পড়া ভুলে যাওয়া ।
","5"
" তাও কানমলা জুটল না ।
","5"
" লজ্জার মাথা খেয়ে বলেই বসলাম ‘’ আমায় শাস্তি দেবে না?
","5"
"’’?
","5"
"তারপর মাঝরাতে একদিন ঘুম ভেঙ্গে দেখি বাবা মায়ের উৎকণ্ঠিত মুখ , উঠোনের ওপর দিয়ে কারা যেন দুপদাপিয়ে দৌড়ে যাচ্ছে ।
","5"
" ফিসফিসানিতে বুঝলাম পুলিশ ।
","5"
" অনেক বড় হয়ে মায়ের কাছে বাকি গল্প শোনা ।
","5"
"সেই দাদা নকশাল আন্দোলনে যুক্ত ছিল ।
","5"
" আমার মায়ের কাছে গচ্ছিত ছিল ওর অনেক দলিল দস্তাবেজ ।
","5"
" তারপর অনেকদিন কোন খোঁজ নেই ।
","5"
"একদিন শুনলাম পুলিসের মারে হাস্পাতালে ভর্তি ।
","5"
" তারপরব্যান্ডেজ পেঁচিয়ে দড়ি বানিয়ে সেখান থেকে পলায়ন।
","5"
" আমার সেই অরণ্য দেব মার্কা দাদা আমার বড় বেলায় বাড়ি ফিরে এল , সঙ্গে বউদি আর দুই ছেলেমেয়ে ।
","5"
" শুনলাম দাদা আমার পালিয়ে গিয়ে একগ্রামীণ হাতুড়ে চিকিৎসকের বাড়ি আশ্রয় নিয়েছিল ।
","5"
" বউদি তারি মেয়ে ।
","5"
" তার রূপ নেই , কিন্তু মন আছে ।
","5"
" দাদা এখন ওষুধের দোকান দিয়েছে ।
","5"
" পাড়া প্রতিবেশীর বিপদে আপদে তাকে পাশে পাওয়া যায় ।
","5"
"দাদা বউদি ভোট দেয় না, পুজো আচ্ছা করে না ।
","5"
" তবে ওরা ভাল আছে ।
","5"
" আমার দ্বিতীয় গৃহ শিক্ষক রিনাদি ।
","5"
" খুব ঠাণ্ডা ।
","5"
"চা খায় না ।
","5"
" মা পড়াতে এলে একগ্লাস করে দুধ দিত , আর তাই খেয়ে রিনাদির গোঁফ গজাত ।
","5"
" আমার খুব পছন্দের দৃশ্য ছিল সেটা ।
","5"
"সেই রিনাদি শুনলামপ্রেম করে ।
","5"
" অচিন্ত্য দার সাথে ।
","5"
" যা রাগ হয়েছিল ওই দাদার ওপর কি বলব! যেন সে আমার অধিকারে ভাগ বসিয়েছে ,তারপর রিনাদি একদিন পালিয়ে গিয়ে বিয়ে করলো , আর এল না ।
","5"
" বদলে এল মানুদা।
","5"
" রিনাদির ভাই ।
","5"
" এই তাল গাছের মত লম্বা ।
","5"
" কি জানি কেন এই জুটিটা ঠিক জমল না ।
","5"
" হয়ত রিনাদি অমন দাগা দেয়ায় ওর ভাইকে ঠিক মানতে পারলাম না।
","5"
" এই অধ্যায়টা খুব বেশি মনে পরে না।
","5"
" কিম্বা ব্যাপারটা আরও জটিল ।
","5"
" আমার তখন দ্বিতীয় শ্রেণী , আমার দুই সহপাঠিনী বিনতা আর পিয়ালির দাদারা আমাদের ইস্কুলে চতুর্থ শ্রেণী ।
","5"
" কি দারুণ রাজপুত্তুর মার্কা বিনতার দাদাটা ।
","5"
" তবে ওদেরবাড়ি গিয়ে ওদের বাবার চাপদাড়ি ছয় ফুটিয়া চেহারাটা এতটাই ফ্রেমে এঁটে গেল যে ওর দাদাকে ভুলেই গেলাম ।
","5"
"ওরা বদলি হয়ে গেল , কিজানি কোথায় , বর্ধমান বা বাঁকুড়া ।
","5"
" আসলে আমার কাছে তখনসবি সমান , শুধু চলে যাওয়াটা সত্য ।
","5"
" এবার আসি পিয়ালির দাদার কথায় ।
","5"
" আমরা তখন কালির কলমে লিখতাম ।
","5"
