"sentence","emotion category"
"ভোলানাথের চিঠি শ্রদ্ধেয় বিরিঞ্চিদা, বোর্ড মিটিং-এ আমাকে যে শো কজ রিপোর্ট জমা দিতে বলা হয়েছিল, সেই চিঠিখানি আপনার টেবিলের উপর রইল।
","5"
" আর তার সাথে দিলুম এই আনঅফিসিয়াল চিঠিটা, সময় করে পড়বেন।
","5"
" বোর্ডের দ্বারা নির্বাচিত আপনাদের প্রতিনিধির পদে চিনির বলদ হয়ে ল‍্যাজে গোবরে অনেক খেললুম।
","5"
" আপনাদের পরানো সোনার কাঁটা মুকুট রইল, যাকে ইচ্ছে অভিষেক করুন।
","5"
" আমি পই পই করে আপনাকে বারণ করেছিলুম, আমাকে এসবে জড়াবেন না।
","5"
" রাজনীতির বুনো ওল আর বাঘা তেঁতুলদের বোঝা কি আমার কম্ম বিরিঞ্চিদা?
","5"
" কেমন করে জিলিপির প‍্যাঁচ মেরে কথা বলতে হয়, কেমন করে অর্দ্ধেক সত‍্য গলার ভেতর দাবিয়ে রেখে ‘অশ্বত্থামা হত ইতি গজ’ টাইপ মার্কা ভাষণ দিতে হয়, এসব আমি জানবো কি করে?
","5"
" ব‍্যোম্ ভোলা মানুষ, সাতে পাঁচে থাকি না, তবু আমাকেই শেষে চোখে পড়ল আপনার?
","5"
" কেশবদার মতন পাক্কা ব‍্যুরোক্রাট ছিল?
","5"
" বিষ্ণুদা, নৃংসিহবাবুদের মতন বয়োঃজেষ্ঠরা ছিলেন।
","5"
" নিদেন পক্ষে বরের ঘরের পিসি আর কনের ঘরের মাসি নারদটা ছিল।
","5"
" তবু আমাকেই ধরতে হল আপনার! কি যুক্তি ছিল আপনাদের?
","5"
" না, ‘তুমি বাপু মর্ত‍্যজীবেদের কাছে লাইক ভোটে আমাদের থেকে অনেক বেশী এগিয়ে আছো?
","5"
" তাই দেবলোকের প্রতিনিধিত্বের ভার তোমাকেই নিতে হবে।
","5"
"’ আরে মোলো যা! আমি লাইক পাবো না তো কে পাবে?
","5"
" আমার তুষ্টিবিধানে কিছু কাঠ খড় পোড়াতে হয় কি?
","5"
" বুক ছাপিয়ে খোলা গঙ্গাঁ পড়েই আছে?
","5"
" বেলগাছে পাতারও অভাব নাই।
","5"
" আর ধুতরো তো মাঠে ঘাটে বাটে সর্বত্র! উমা বারণ করেছিল।
","5"
" ফি-বছর মর্ত‍্যে দিন চারেকের জন‍্য গিয়ে থেকে আসে তো ছেলেমেয়েদের নিয়ে।
","5"
" শেষের দুদিন চক্ষু মুদেই কোনক্রমে কাটিয়ে দেয়।
","5"
" বিসর্জনের লাল ফিতেটি কাটা পড়লেই দুম দুম পায়ে ঘরে ফিরেই তার প্রথম কথা, ‘জাস্ট্ আর নেওয়া যাচ্ছে না।
","5"
" শেষে কি না ওরা সিগারেট দিয়ে মূর্তি বানিয়ে পূজো দিল আমায়! গন্ধের চোটে অন্নপ্রাশনের ভাত উলটে আসার জোগাড়!’ তড়িঘড়ি সামলালাম তাকে।
","5"
" — ‘অমন কাজ কোরো না উমে! তুমি ভাত ওল্টালে মর্ত‍্যে অতিখাদ‍্যের ক্রাইসিস দেখা দেবে।
","5"
" এমনিতেই ফাস্ট ফুড গিলে গিলে জীবগুলোর কুমড়ো পটাশ দশা! বমন সংবরণ কর।
","5"
"’ উমা মর্ত‍্য থেকে দূরে থাকার সাবধান দিয়েছিল তখনই।
","5"
" যে কথা বলতে গিয়ে এত কথা বলা হল, সেই কথাটাই এবার বলি।
","5"
" ১লা এপ্রিলের পূর্বদিন বেস্পতিবারের বারবেলায় বিবেকানন্দ সেতু ভেঙে পড়ে এতগুলো নিরীহ লোকের প্রাণ গেল।
","5"
" আর ‘রণে বনে জলে জঙ্গঁলে’ সর্ব দোষের দোষী ‘নন্দ ঘোষ’ হয়ে রয়ে গেলুম আমি! সোর্সের কাছে খবর পেয়েই অকুস্থলে যখন ছুটে গেলুম, ততক্ষণে সেতু খান খান।
","5"
" এমনিতেই তো এই শহরটায় রাস্তা বলে কিছু নাই।
","5"
" দোকান বাজার, হাজার কিসিমের যানবাহন, ঠেলাগাড়ি, গোরুগাড়ি, মানুষ-কুকুর-গোরু সব এক সাথে চলাচল করছে।
","5"
" দুটো অ‍্যাম্বুলেন্স যে ঢোকাবো তার উপায় নাই।
","5"
" নন্দীকে দিয়ে খবর পাঠিয়ে চলতি নীলফুল পার্টির কাছ থেকে অনুমোদন করালুম খান দুই ক্রেন।
","5"
" তা কোনো কম্মের না।
","5"
" বীমগুলো তুলতে ক্রেনগুলোর কলজে ছেঁড়া দশা।
","5"
" সময় যত পেরোয় টেনশান তত বাড়ে।
","5"
" শেষে যা ভয় করেছিলুম তাই হল।
","5"
" নন্দী কাঁচুমাচু মুখে জানাল এক্ষুনি যমালয়ে যেতে হবে।
","5"
" এমার্জেন্সি তলব।
","5"
" গেলুম।
","5"
" যমদা রেগে আগুন তেলে বেগুন হয়ে পায়চারি দিচ্ছিল।
","5"
" আমাকে দেখে ফেটে পড়ল — ‘বলি, অ‍্যাক্কেলটা কি তোমাদের, অ‍্যাঁ?
","5"
" কথা নেই, বার্তা নেই এতগুলো হঠাৎ এণ্ট্রি করিয়ে দিলে! কোনো ল’ নেই?
","5"
" লজিক্ নেই?
","5"
" এভাবে অন‍্যায় অ‍্যাকোমোডেশান আমরা অফার করি না, ভোলাবাবু!’ অপমানে মুখ লাল করে যমালয় অফিস থেকে বেরিয়ে দেখি হন্তদন্ত হয়ে খাতা বগলে চিত্রগুপ্ত ঢুকছেন?
","5"
" আমাকে দেখেই এদিক ওদিক তাকিয়ে চুপিসারে বললেন, ‘স‍্যর খুব ক্ষেপে আছেন।
","5"
" টাইমের আগে এতগুলো এণ্ট্রি! আপনি যত তাড়াতাড়ি পারেন উদ্ধারকার্য‍্যটা ফুল স্কিমে চালান ভোলাবাবু!’ বলেই স‍্যাঁৎ করে সেঁদিয়ে গেলেন ভেতরে।
","5"
" আমিও ঊর্দ্ধশ্বাসে দৌড়লুম নীলফুল পার্টি নেত্রীর কাছে।
","5"
" তিনি তখন তাঁর এক জরুরী মিটিং বানচাল হয়ে গেছে বলে তুম্বোমুখে দাঁড়িয়েছিলেন গনেশ টকীজের কাছেই ওনার এক টেম্পোরারি আপিস দরজায়।
","5"
" ঘটনার সামাল দিতে ঢুকে পড়লুম ওনার অ‍্যাডভাইজার ভোলানাথ সমাদ্দার হয়ে।
","5"
" আমাকে দেখেই ধমকে বললেন, ‘এই যে ভোলাবাবু! কোথায় থাকেন কোথায়?
","5"
" কাজের সময় পাওয়া যায় না কেন?
","5"
" গাঁজা টানছিলেন না কি?
","5"
"’ আমার উত্তর শোনার সময় ওনার নেই?
","5"
" ‘দেখুন, যারা মরে গেছে, তারা তো গেছেই।
","5"
" এখন ক্ষতিপূরণের ব‍্যাপারটা প্রতীকবাবুর সঙ্গেঁ আলোচনা করে ডিক্লেয়ার করে দিন।
","5"
"’ ফাঁক পেয়েই বললুম, ‘কিন্তু দিদি, ব‍্যাপারটা যা হয়েছে তা হওয়া উচিত ছিল না।
","5"
" ফাইলটা কেন ঠিক সময় মতন আমাকে দেখালেন না?
","5"
" ছ বছর তো অনেক, একটা ফ্লাইওভার এত বছর ধরে কেন শেষ হল না?
","5"
"’ উনি আক্রমণাত্মক সুরে বললেন, ‘ওটা লাল পার্টি শুরু করেছিল?
","5"
" ওরা কাকে টেণ্ডার দেয় তার আমরা কি জানি মশাই! ফাইল দেখালেন না, ফাইল দেখালেন না! আরে, ওরা আমাদের দেখালে তবে তো আমরা আপনাকে দেখাবো?
","5"
"’ বললুম, ‘তো তখুনি বোঝা উচিৎ ছিল না, যে এতগুলো বছর লাগছে শেষ হতে, তার মানে ডাল মেঁ কুছ কালা হ‍্যায়?
","5"
" ভেঙে দিতেন!’ ঢোঁক করে এক গ্লাস জল গিলে বললেন, ‘ইয়ার্কি আর কি! ভাঁড়ে মা ভবানী অবস্থায় সরকার গড়েছি?
","5"
" একটা ফুটো পয়সা এক্স্ট্রা রেখে যায়নি বজ্জাতগুলো।
","5"
" ব্রিজটার ষাট ভাগ কাজ হয়ে গেছিল।
","5"
" তাকে ভেঙে দেবো?
","5"
"’ আমতা আমতা করে বললুম, ‘না মানে, তাহলে খামোখা কুড়িজন লোকের প্রাণ তো যেত না!’ বসেছিলেন, টেবিল চাপড়ে উঠে দাঁড়ালেন?
","5"
" রবার চটি ফট্ফট্ করতে করতে আমার নাকের ডগার সামনে এসে আঙুল নাচিয়ে বললেন, ‘ভোলাবাবু, আপনি গিনতি করেছেন?
","5"
" ওই চল্লিশ টন ওজনের ক্রেনগুলো যে বীম তুলতে পারছে না, সেগুলো তুলে আপনি দেখেছেন হতের সংখ‍্যা?
","5"
"’ স্বীকার করলুম, দেখিনি?
","5"
" ‘যান, যান, কাজ করুন! খালি অ‍্যাডভাইজার তকমা এঁটে ঘুরলেই হবে?
","5"
" মা-মাটি-মানুষ বিপদে পড়েছে?
","5"
