"sentence","emotion category"
"নেতা থেকে অভিনেতা, বইপোকা থেকে রকখোকা,বাল্মীকি থেকে তসলিমা, স্যালাড থেকে কুচিকিমা........ সবার এক প্রশ্ন, পাবলিক খাবে তো?
","5"
" খেলেই কণ্ঠনালী উঁচিয়ে - আমি হনু?
","5"
" না খেলে ছিরকুট্টে মেরে পতন ও মুর্চ্ছা।
","5"
" হায় হায় রবে প্রতিবেশীর ঘুম পগাড় পার, ফলশ্রুতি - গন্ডায় গন্ডায় - ল্যান্ডাগ্যান্ডা।
","5"
" - পিতামহ, পাবলিক কারে কয়?
","5"
" - যাহারা ভোটের লাইনে মাথায়, মিনিবাস এ পাদানিতে, বইমেলায় চাউমিনে, গণধোলাই এ সংবিধানে, ক্রিকেটে ভোগলে এবং আন্দোলনে উঁকি - তে অবস্থান করেন তাহারাই পাবলিক?
","5"
" যাহারা 'পাব' থেকে বেরিয়েই 'লিক' করার যায়গা খোঁজেন, কলকাতা কে কেতা মেরে 'কলকুত্তা' বলেন,পিকাচ্ছাদনে শহরের রঙ বদলান এবং সর্বগ্রাসী হাঁ করিয়া থকেন,তাহারাই পাবলিক।
","5"
" স্রেফ পাবলিককে খাইয়ে জুকেরবার্গ ব্যাটা ডলারে ডলার পরে ডুবডুবান্তি।
","5"
" খাই-খাও এর লঙ্গরখানা খুলে মার্ক এখন মার্কড কেউকেটা।
","5"
" তারিয়ে তারিয়ে খাচ্ছে ফেসবুক।
","5"
" দিনে সাড়ে ৭৪ খানা এস্ট্যাটাস।
","5"
" এই হাঁচলুম।
","5"
" কাশলুম।
","5"
" খেলুম।
","5"
" গেলুম।
","5"
" হালুম - জুলুম।
","5"
" টিঙ-টিঙ-টিঙ করে নোটি ঘন্টা বেজেই চলেছে।
","5"
" কেউকেটা বিবি আবার হারা উদ্দেশ্যে খাপ খুলিঙ- ওরে আমার ঘন্টুশোনা, তোকে নিয়ে আর পারিনা।
","5"
" বোঝো ঠ্যালা।
","5"
" হাঁউ - মাউ - কউন- কউন করে ১০৮ জন ঝাঁপিয়ে পড়ল।
","5"
" কি ছুইট,বন্নু হবে?
","5"
" পুন্তিসোনা?
","5"
" তাকলা - মাকান।
","5"
" এখান ওখান যেখান দিয়ে পারছে স্যাটাস্যাট ঢুকে পড়ছে।
","5"
" টাক মাথায় আঁবের মতো এর সাথে জুড়েছে দুনিয়ার ক্যামেরাকেষ্ট।
","5"
" নারী - গাড়ি - বাড়ি - চাঁদি - চচ্চড়ি।
","5"
" যা পাচ্ছে ছবি তুলছে।
","5"
" দেদার আপ-লোডায় (কেজরি- ওয়াল ও লজ্জা পাবেন), তেড়ে ট্যাগায়।
","5"
" তেইশ খানা বুড়ো আঙুল পেয়েই অমুক ফুটোগ্রাফী, তমুক আমড়াখাকী নাম দিয়ে পাতা পত্তন।
","5"
" এবার খোঁচাও।
","5"
" ঠেঙা দ্যাকাও।
","5"
" পাবলিক ভোজের ঠ্যালায় বাঙলা ভাষাটাই বেবাক হাঁ।
","5"
" - আপনি ফেসবুকে আছেন?
","5"
" শাল্লা নতুন রাজ্য যেন?
","5"
" সবাই মুখমন্তী(র-ফলা নিষেধ) - কি করেন?
","5"
" - আমি কওবি (একস্ট্রা 'ও' মানে হেব্বি কবি)?
","5"
" - অ, বই বেরিয়েছে?
","5"
" - তিনটে?
","5"
" ফেসবুকে।
","5"
" শেষটার উদ্বোধন করলেন হরিপদ গুছাইত।
","5"
" - তিনি কে?
","5"
" - তিনি ব্রি-খ্যাত কওবি.....(অফলাইন) এই এক খাবার বাওয়া?
","5"
" কবিতা।
","5"
" তেড়ে লিখছে।
","5"
" খেতে খেতে, বসতে বসতে, ঘুমিয়ে ঘুমিয়ে... লিখছে আর ট্যাগাচ্ছে।
","5"
" ছোট - মেজো - সেজো - ন - রাঙা।
","5"
" সব কবিতে ভরে গেছে।
","5"
" পাবলিক ও খাচ্ছে।
","5"
" টুকছে।
","5"
" ফ্যাঁসফ্যাসাচ্ছে।
","5"
" অন্তমিল এ দন্ত্যশুল।
","5"
" অপেক্ষার সাথে কেক খা।
","5"
" জারিজুরি - ছোটভূড়ি।
","5"
" হা-হা-হি-হি-এম্মা-ধ্যাৎ-ওওমা-ছুইট.......।
","5"
"টিঙ-টিঙ-টিঙ-টিঙ....।
","5"
"গুরুদেব বেঁচে থাকলে নোবেলটা জেরক্স করে বিলাতেন।
","5"
" যেভাবেই হোক খাওয়াতেই হবে।
","5"
" দুপাতা জেলোসিল দেবেন দাদা?
","5"
" - আপনারা কি আদৌ ভালো আছেন?
","5"
" বাজখাঁই গলায় চিহিৎকার?
","5"
" আইব্বাস নেতা এসেছেন।
","5"
" চল ভাই শুনে আসি।
","5"
" মাইক হাতে অমাইক গলা।
","5"
" প্রতিশ্রুতি খাওয়াবেন।
","5"
" স্বপ্ন খাওয়াবেন।
","5"
" ভোট খাওয়াবেন।
","5"
" ছাপ্পা খাওয়াবেন।
","5"
" দূর্নীতি খাওয়াবেন।
","5"
" আমারা ভাই ক্যালাস নীলকণ্ঠ জাত।
","5"
" সব গিলবো।
","5"
" এক দুইখানা গবেট আছে।
","5"
" শালা মঞ্চের সামনে গিয়ে প্রশ্ন করবেই- সার কই?
","5"
" ব্যস?
","5"
" ধর বেটাকে।
","5"
" এ ব্যাটা মাওবাদী।
","5"
" এত ম্যাও ম্যাও কিসের রে?
","5"
" নিজে তো সারের ফ্যাকটরী (আধুনিক বানাম)?
","5"
" সেই সার জ্যান্ত ধরে দিতে পারো না?
","5"
" চটরপটর - চটরপটর?
","5"
" দেখলেন তো ম্যাও ধরে দিলুম।
","5"
" গেঞ্জি-জাঙ্গিয়া জিন্দাবাদ, সিন্দবাদ,জিননাবাদ,গানধীবাদ।
","5"
" আমরাও খেলুম।
","5"
" মিডিয়া হালুম।
","5"
" ধুর বোদা (কা আর চো সাদা কালিতে ছাপা) মিডিয়া তো কাগুজে বাগ।
","5"
" নখ দিয়ে টিপলেই পুটুস।
","5"
" হুঁ হুঁ বাওয়া।
","5"
" গরমেন্ট চালানো কি মুকের কতা?
","5"
" আর উল্টোরথে?
","5"
" সেখানেও খাওয়ানোর পালা?
","5"
" হজমিকরন।
","5"
" সাদাকরন - সহজ - সরল - সমীকরন।
","5"
" তেড়ে গেলাও।
","5"
" টইটম্বুর করে দাও।
","5"
" হাটলেই খলাৎ।
","5"
" শিবির ছেড়ে নড়বেই না।
","5"
" তোমাদের জসিমউদ্দীন এনাদের আলিমউদ্দীন।
","5"
" তোমাদের আমআঁটি।
","5"
" এনাদের ফাটাফাটি।
","5"
" রাজনীতিম কৃত্বা।
","5"
" ঘৃতম পিবেত।
","5"
" তোমরা অবোধ জনগণমন।
","5"
" ডালমুটে দাঁতবাজি চালাও।
","5"
" আমরা এলিট তেলে নাইতে যাই।
","5"
" হাওয়ায় হাত ঘুরিয়ে পৌরাণিক ভুল।
","5"
" কারোর পেটে পুলি।
","5"
" বাকীদের পিঠেপুলি।
","5"
" বেঁচে থাকা খুঁড়োর কল।
","5"
