"sentence","emotion category"
"কাল বিয়ে উপলক্ষে বাড়িতে লোকজন গমগম করছে।
","5"
"একটু কায়দা করে বিকেলের দিকে সবাইকে কাটিয়ে ছাদে উঠে এক ফাঁকে গিয়ে একটু সুখ টান দিতে দিতে অভি ভাবলো যাক বাবা এতদিনে তার একটা হিল্লে হল আর কি।
","5"
"সেই কলেজ লাইফের গার্লফ্রেন্ড কে নয় বছর ধরে সহ্য করে বিয়ের পিঁড়িতে তোলা কি আর মুখের কথা।
","5"
"রিয়া মেয়েটা এমনিতে খুবই ভালো খালি দোষের মধ্যে চেহারাটা একটু ভারী,আর স্পষ্ট কথা মুখের উপর বলে ফেলে।
","5"
" টুক করে পকেট থেকে মোবাইলটা বার করে একটা ফোন করে নিল রিয়াকে।
","5"
" -কি রে মোটা আমার তো বিশ্বাসই হচ্ছে না যে, কাল আমাদের বিয়ে।
","5"
" -চুপ কর তো।
","5"
"আমার শরীর টা হাঁসফাস করছে, দুপুরে আমাকে যা খাইয়েছে না, সেই বলির আগে ছাগলের মত অবস্থা।
","5"
" -সে তো আমিও খেলাম।
","5"
"হজম করে নিয়েছি ব্যাপারটা।
","5"
"এই ফাঁকে বলে রাখ দেখি, কাল শ্বশুরবাড়িতে কি মেনু হচ্ছে?
","5"
" -পেটুক মশাই?
","5"
"ভুলে গেছিস বোধহয় তুই এ বাড়িতে কালকে বিয়ে করতে আসবি খেতে নয়।
","5"
" -তা আর ভুলি।
","5"
"তুই যা মাকে ডোজ্ দিয়েছিলিস আমার সাধের বিয়েটাই পন্ড হয়ে যাচ্ছিল।
","5"
" -এই কি এমন বলেছি রে?
","5"
" আমি তো ঠিক কথাই বলেছি আমি ওনার টাকায় খাইও না, পরিও না?
","5"
" তা আমাকে মোটা বলে খোঁটা দিচ্ছিল কেন?
","5"
" -এই তোর এক দোষ?
","5"
"মুখের ওপর সত্যি কথাটা সবসময় বলতে নেই, এই একটু কায়দা করে কথা বলতে হয় সোনা, পরিস্থিতি বুঝে।
","5"
"আগে বিয়েটা হয়ে যাক, তারপর যা খুশি বলিস।
","5"
" -আচ্ছা ঠিক আছে,সেসব কথা ছাড় এখন।
","5"
" কাল ভালই ভালই সব মিটলে বাঁচি।
","5"
" চল আমায় সবাই ডাকছে।
","5"
"এবার ফোন রাখি।
","5"
"কাল ঠিক সময় চলে আসিস সোনা।
","5"
"লাভ ইউ।
","5"
" পরের দিন বেশ গর্বের সঙ্গে হাসি হাসি মুখ নিয়ে অভি হাতে জাতাঁ, গলায় মালা, মাথায় টোপর পড়ে ঠিক সময়ে বর বেশে হাজির হলো ছাতনা তলায়।
","5"
"একটু পরে রিয়াকে পিঁড়ি করে নিয়ে এলো ওর দাদারা।
","5"
" সব ঠিকই চলছিল হঠাৎ সাতপাকের আগেই পিঁড়ে থেকে কিভাবে যেন পড়ে গেল অভির গোলুমোলু রিয়া।
","5"
" অভির তো আত্মারাম খাঁচা হয়ে গেল, তড়াক করে লাফিয়ে গিয়ে রিয়াকে ধরে তুলল দাদাদের সাথে।
","5"
" পিছনে উলুধ্বনি শঙ্খধ্বনি বন্ধ হয়ে সবাই চিৎকার জুড়ল ‘বউ পড়ে গেছে,বউ পড়ে গেছে’।
","5"
"যাক বাবা অক্ষত রয়েছে এটাই যথেষ্ট।
","5"
"সবাই বললো আর পিড়েতে ওঠে ঘোরার কোন দরকার নেই বাকি পাক গুলো হেঁটেই কমপ্লিট করো,অভিও সায় দিল।
","5"
"লাল বেনারসি চেলি,গা ভর্তি গয়না, মোটা রজনীগন্ধার মালা, চড়া মেকআপ সব ছাপিয়ে রিয়ার থমথমে মুখটা অভির মন কে ভীষণ নাড়া দিচ্ছিল।
","5"
"আসলে আকস্মিক ঘটনায় রিয়াও খুব হকচকিয়ে গেছিল আস্তে আস্তে স্বাভাবিক হল।
","5"
"একটু ফাঁক পেয়ে জিজ্ঞাসা করল অভি -কি হলো বল তো কেস টা?
","5"
" -আরে সকাল থেকে কিছু খাইনি না, তার উপর এই ধড়াচূড়ো?
","5"
" মাথাটা মনে হয় ঘুরে গেছিল।
","5"
" - কোথায় ব‍্যাথা লেগেছে?
","5"
" -লাগেনি রে, মোটা তো?
","5"
"রোগা হলে হাড়গোড় ভেঙে যাওয়ার চান্স ছিল।
","5"
" পরের দিন সকালে কান্নাকাটির পর্ব মিটিয়ে রিয়াকে নিয়ে রওনা হল অভি, বাড়ির উদ্দেশ্যে।
","5"
