"sentence","emotion category"
"""কুটুস, বাড়িতে আজ এতো সাজো সাজো রব কেন রে?
","5"
""" ""তুমি জানোনা তাতান দাদা?
","5"
" আজ নাকি কোন কাকাবাবু আসবেন আমাদের বাড়ি হরিদ্বার থেকে, খুব নাকি জ্ঞানী লোক?
","5"
" ঠাকুরের সাক্ষাৎ দর্শন পেয়েছেন উনি।
","5"
""" ""তুই এতো খবর কোথায় পেলি রে পিকলু?
","5"
""" ""একটু চোখ কান খোলা রাখলেই জানা যায় কুটুস দাদা?
","5"
""" ""পিকলু দেখছি বেশ স্মার্ট হয়ে গেছিস, খুব ভাল।
","5"
" আমাদের সাথে থেকে কিছু তো উন্নতি হয়েছে তোর।
","5"
""" তাতান দাদার কাছে বাহবা পাওয়া চাট্টিখানি কথা নয়।
","5"
" একটু অহংবোধে বুক ফুলে মাঝারি সাইজের বেলুন আকার ধারণ করলো প্রায়।
","5"
" একেই সকলের ছোট তাই সম্মান প্রায় পাইনা বললেই চলে, সকলের ফাই ফরমাশ খাটতেই দিন যায়।
","5"
" মা, জেঠিমা, বাবা, জেঠাই, তাতান দাদা কুটুস দাদা কারো কাছেই পিকলুর সম্মান বারে ওই নিজের নিজের দকারের সময়।
","5"
" ""বাবা পিকলু চট করে ছাদ থেকে কটা বড়ি এনে দে না, সোনা বাবা আমার।
","5"
" "" আবার জেঠাই বলবে, ""পিকলু বাবা, দেখোতো আজকের খবরের কাগজটা কোথায় আছে, একটু ঝটপট এনে দাও দেখি।
","5"
""" এরাই আবার প্রয়োজন ফুরোলেই বাবা বলতে ভুলে যান।
","5"
" এই তো সেদিন ছাদে ঘুড়ি ওড়াতে নিয়ে পা লেগে বড়ি চেপটে গেছিল, আর দেখে কে, মা, জেঠিমা দুজনে এমন বকাবকি করলো যেন বড়ি নয় সোনা দানা কিছু নষ্ট করেছি।
","5"
" মোটে তো একথালা বড়ি, তাও সবটা নয়, সাইডে একটু পা লেগেছিল তাতেই যা হল, উফ ভাবতে অবাক লাগে এরাই আবার বাবা বাছা করে নিজেদের কাজ করাবে।
","5"
" বাবা, জেঠাইও এক, সেদিন বাবার ঝরনা কলমটা একটু ধরেছি শুধু, তাতেই বাড়ি মাথায় প্রায়, ""কতদিন বলেছি পিকলু আমার দরকারি জিনিসে হাত দেবেনা, কলমটা পড়ে গেলে কি হত, এতদিনের কলম আমার।
","5"
""" আরে বাবা পড়েনি তো, ভাঙেনি তো তাতেই এতো।
","5"
" এইদিক দিয়ে তাতান দাদা কুটুস দাদা অনেক ভাল, সবসময় একরকম।
","5"
" "" পিকলু তুই এখনো ছোট আছিস কোনটা ধরলে নষ্ট হবে বুঝিস না তাই আমাদের ঘরে না বলে নাঢোকাই ভাল।
","5"
" আমরা ভেতরে ডাকলে তবেই ঢুকবি।
","5"
""" আজও তো ঢুকিনি দাদাদের ঘরের সামনে দিয়ে যেতেই তাতান দাদার প্রশ্নটা কানে এলো বলেই না আগ বাড়িয়ে উত্তর দিলাম।
","5"
" বছর আটেকের পিকলু নিজের মনে এইসব ভাবতে ভাবতে ছাদে ঘুড়ি ওড়াতে চলে গেল।
","5"
" স্বর্ণ ব্যবসায়ী তারাপদ সেনের ছোট ছেলে সমীরের ছেলে পিকলু, তাতান ও কুটুস বড় ছেলে সুবীরের, দুই ভাই পিঠা পিঠি একজন ক্লাস টেন, অপরজন নাইন।
","5"
"মেয়ে রজনীর বিয়ে হয়ে গেছে বহু আগে।
","5"
" এখন সংসারে তিনি সাথে স্ত্রী বিন্দুবালা, তিন নাতি দুই ছেলে তাদের বউ।
","5"
" বাড়িতে একটা সাজো সাজো রব উঠেছে, তারাপদ বাবুর দূর সম্পর্কিত এক ভাই, হরিদ্বারে থাকে, ঠাকুর দেবতার খুব ভক্ত, সে আসবে।
","5"
" লোকমুখে শোনা সে নাকি শ্রী কৃষ্নের সাক্ষাত দর্শন পেয়েছে।
","5"
" আগে বহূবার তারাপদ বাবু শিলিগুড়ি আসার আমন্ত্রণ জানিয়ে ছিলেন, কিন্তু লাভ হয়নি, তবে এইবারে তিনি নিজে থেকেই আসবেন বলেছেন, তাই সবাই ওনাকে স্বাগত জানাতে তৈরি হচ্ছেন, ঐশ্বরিক ক্ষমতা সম্পন্ন লোক বলে কথা, আদর আপ্যায়নে ত্রুটি থাকলে চলবেনা।
","5"
" নির্ধারিত দিনে কাকাবাবু এসে উপস্থিত হলেন।
","5"
" বাড়ির বড়বউ বাইরের দরজাতেই কাঁসার থালায় জল দিয়ে কাকাবাবুর পা ধুইয়ে আঁচল দিয়ে মুছিয়ে দিলেন।
","5"
"ধীর পায়ে কাকাবাবু ঘরে ঢুকে তারাপদবাবুর পিছু পিছু ওনার জন্য নির্ধারণ করা ঘরে গিয়ে বসলেন।
","5"
" ওনাকে বিশ্রাম করতে বলে সকলে ঘর থেকে বেরিয়ে এলেন।
","5"
" বাড়িময় নানারকম সব সুস্বাদু খাবারের গন্ধে মো মো করছে।
","5"
" পিকলুর তো জিভে জল এসে যাচ্ছে,কুটুস, তাতানেরও যে একই অবস্থা তা বলার অপেক্ষা রাখেনা।
","5"
" "" দীনবন্ধু, বাবারো বন্ধু আমারো বন্ধু।
","5"
""" তেমনি আগত কাকাবাবু সকলের কাকাবাবু।
","5"
" সেই কাকাবাবুর গল্প সকাল থেকে শুনলেও এখনো দেখে উঠতে পারেনি পিকলু, বিশ্রাম করে লুচি, আলুরদম, ছানার পায়েস, খেজুরগুড়ের রসগোল্লা খেয়ে জমিয়ে ঘুম দিয়েছেন।
","5"
" আর পিকলুদের শুধু লুচি, আলুরদম।
","5"
" কাকাবাবুকে একটিবার দেখার জন্য মনটা নিসপিস করছে।
","5"
"কাকাবাবুর ঘরের যে জানালা বাড়ির ঠিক পেছনে রয়েছে সেখান দিয়েই উঁকি দিয়ে দেখবে ভেবে পিকলু সবার চোখ বাঁচিয়ে বাড়ির পেছনে গেলো।
","5"
" জানালার কাছে গিয়ে বুঝলো সেতো অনেক উঁচু, ওর পক্ষে দেখা কোনোমতেই সম্ভব না।
","5"
" কি করা যায় ভেবে পেছন ফিরতেই দেখে কুটুস আর তাতান তার ঠিক পেছনে দাঁড়িয়ে।
","5"
" প্রথমটায় একটু ঘাবড়ে গেলেও সামলে নিয়ে বলে, "" তোমরা এখানে ! "" ""সেটা তো আমাদেরও প্রশ্ন।
","5"
" "" ""আমি মানে এমনি আরকি।
","5"
" "" "" আর লুকিয়ে লাভ নেই আমরা জানি তুই কাকাবাবুকে দেখতে এসেছিস।
","5"
""" ""কই না তো।
","5"
" "" "" বললেই হবে?
","5"
" ধরা পরে এখন না করছিস?
","5"
" ""বলে তাতান পিকলুর কাঁধে হাত রাখে, তাতে পিকলু চমকে ওঠে।
","5"
" কুটুস বলে,"" আমরাও একই কাজে এসেছি, সুতরাং আর ভয় পাসনা।
","5"
" কাকাবাবু আসতেই বাড়ির লোকগুলো কেমন পালটে গেলো, সবাই ওনার সেবা করতেই ব্যস্ত, এমনকি দাদুও।
","5"
" উনি কি খাবেন কি করবেন যত্ন ঠিক মত হচ্ছে কিনা, উফ আর পারছিনা এতেই অস্থির লাগছে, কদিন থাকলে তো আমরা বাড়ি ছাড়া হবো।
","5"
" "" ""ঠিক বলেছিস, আমাদের একজোট হতে হবে, এই অন্যায় আমরা মানবোনা, আমাদের বাড়িতে থাকবে,খাবে আর আমরাই কিনা ভালোমন্দ খাওয়া থেকে বঞ্চিত হবো?
","5"
" কিছু করতে হবে, তবে আগে দেখতে হবে ওনার সম্পর্কে শোনা গল্প সব সত্যি কিনা?
","5"
""" দাদাদের থেকে আর বিপদের আশংকা নেই বুঝে এবারে পিকলু বলে,""সব তো বুঝলাম কিন্তু জানালা যে নাগালের বাইরে।
","5"
""" তিনজনের মিলিত বুদ্ধিতে তাতান পিকলুকে ঘাড়ে চাপিয়ে নিল, তাতে পিকলুর আর কাকাবাবুর ঘরের ভেতর দেখতে কোনো অসুবিধা রইলো না।
","5"
" ঘরের ভেতর।
","5"
" তাকিয়ে দেখে কাকাবাবু আধশোয়া হয়ে বিছানায় গা এলিয়ে দিয়ে সিগারেটে সুখটান দিচ্ছেন।
","5"
" বালিশের পাশে দুখানা ফোন পড়ে রয়েছে, সেগুলো যে ওদের বাড়ির কারোর নয় সেটা পিকলু বুঝলো।
","5"
" দরজায় টোকার শব্দ পেয়েই পিকলু তাতানকে তাড়াতাড়ি সরে যেতে ইশারা করলো।
","5"
" নিশ্চিত দাদু এসেছেন, পিকলু দেখতে পেলে রক্ষে থাকতোনা।
","5"
" তিন ভাই চুপিচুপি সেখান থেকে কেটে পড়লো।
","5"
" তাতান, কুটুসের ঘরে তিনজন আলোচনায় বসলো।
","5"
" তাতান প্রথমে মুখ খোলে, "" সাক্ষাৎ ভগবানকে কেমন দেখলি?
","5"
""" "" কিছু তেমন বুঝলামনা, ভগবান সগারেট খান তাতান দাদা?
","5"
""" ""কেনো?
","5"
" উনি কি সিগারেট খাচ্ছিলেন নাকি?
","5"
" "" ""তোমরা গন্ধ পাওনি?
","5"
" "" কুটুস বলে, "" আমি পেয়েছি?
","5"
" তবে ভেবেছিলাম অন্য কোথা থেকে গন্ধটা আসছে।
","5"
" "" ""আর কি দেখলি?
","5"
""" "" ফোন, দুখানা জানো?
","5"
""" "" একটা নয় দুখানা?
","5"
" "" ""সে আর বলছি কি?
","5"
" দরজায় টোকা পড়তেই সিগারেটের ধুয়া সরানোর চেষ্টা করলেন আর ফোন দুটো তোষকের তলায় সেরিয়ে ফেললেন?
","5"
" "" "" এইসব লুকানোর কি আছে?
","5"
" "" লুকোচ্ছে মানেই ডাল মে কুছ কালা হে?
","5"
""" ""পিকলু উ উ উ.... "" দাদুর ডাকে তিনজনের আলোচনায় ছেদ পরে।
","5"
" সারাদিন তিন ভাই এর নাজেহাল আবস্থা হয়ে গেলো।
","5"
" একসাথে বসে আর আলোচনার সুযোগ পেলোনা।
","5"
" কাকাবাবুর পা টিপে দেওয়া, হাত টিপে দেওয়া, জুতো পরিষ্কার করা কাপড় জামা নেড়ে দেওয়া আরও কতকি।
","5"
" বাড়ির সকলে তো আছেই, ফাইফরমাশ খেটে খেটে প্রাণ ওষ্ঠাগত।
","5"
" তাও তিন ভাইকে রাতে এক ঘরে থাকার হুকুম করায় সকালের আলোচনা নতুন করে শুরু করার সুযোগ পেয়েছে।
","5"
" তাতান, "" কিরে ঘুমিয়ে পরলি নাকি সব?
","5"
""" কুটুস পিকলু যেন লাফ দিয়ে বিছানায় উঠে বসলো?
","5"
" ""যাক ঘুমোসনি তবে।
","5"
" এবার বল দেখি কেউ কিছু সন্দেহ জনক কিছু দেখলি কি?
","5"
""" কুটুস,"" আগে আমি বলি, উনি বুজরুকি হোক বা আসল হোক ওনার বেশিদিন আমাদের বাড়ি থাকা মানে আমাদের খেটে খেটে মরা, ওনার কিছু একটা ব্যবস্থা করতে হবে?
","5"
" কি বলিস তোরা?
","5"
""" পিকলু,"" আমারও একই কথা?
","5"
" হাত পা টিপে দিয়ে দিয়ে আমার হাত পা ব্যথা হয়ে গেলো।
","5"
"সকাল হতেই আবার শুরু হবে।
","5"
""" তাতান,"" সে আর বলতে?
","5"
" মাকে বলাতে মা বললো, ওনার সেবা করলে নাকি পূন্য হবে, উফ?
","5"
" "" পিকলু, ""জানোতো বাবা সাত দিন থাকতে বলেছে, উনি বললেন আশ্রমে নাকি চারদিনের কথা বলে এসেছেন।
","5"
"বাবা ফোনে জানিয়ে দিতে বলতেই কি সুন্দর করে বললেন উনি ফোনই ব্যবহার করেননা, বোঝো কেমন মিথ্যে কথা বলেন।
","5"
""" তাতান, "" ফোন থাকতেও না করলেন, নিজেকে ত্যাগী দেখাতে চাইছেন বুঝলি?
","5"
""" কুটুস, ""আরে মা তো গয়না সোধনের কথা কি বলছিল?
","5"
""" তাতান,"" বলিস কি?
","5"
" তার মানে গয়না সোধনের নামে অন্য কোন মতলব আছে?
","5"
""" কুটুস,"" দাদা আর কিছু ভাবার নেই, ওনাকে কিভাবে তাড়ানো যায় সেটা ভাব।
","5"
""" ""তোরা ঘুমা এখন,সকালে উঠে খেলা শুরু হবে অনেক কাজ আছে সকালে।
","5"
""" পিকলু,"" প্ল্যান রেডি?
","5"
""" ""একদম?
","5"
""" সকাল হতেই বাড়িতে সবার মধ্যেই ব্যস্ততা, তারাপদ বাবুর কিছু ঘনিষ্ঠ বন্ধুরা আসবেন কাকাবাবুর আশির্বাদ নিতে,দুপুরে এখানেই খাওয়া দাওয়া করবেন।
","5"
" তাতানের ওপর দায়িত্ব কাকাবাবুর স্নান আহ্নিকের।
","5"
" বাথরুমে ঢুকে দরজা দিতেই ধরাম্ করে শব্দ, তারপর কাকাবাবুর চিল চিৎকার, "" বাবাগো গেলো গো।
","5"
""" বাড়ির বড়রা ছুটে এসেছে, রীতিমত শোরগোল বেধে গেল।
","5"
" আধ ঘন্টার চেষ্টায় কাকাবাবুকে বাইরে বার করা গেল,উনি নিজেই ধাতস্থ হয়ে ছেছড়ে মেছড়ে দরজা খুলেছেন, নইলে দরজা ভাঙতে হতো।
","5"
" কাকাবাবুকে কলতলায় বসিয়ে কোনোমতে ধুয়ে মুছে পরিষ্কার করে ঘরে এনে বিছানায় শুইয়ে দেয়া হলো।
","5"
" ডাক্তার এসে দেখে বলে গেলেন ভয়ের কিছু নেই, ভাঙেনি কিছু ব্যথার জন্য ওষুধ দিয়ে চলে গেলেন।
","5"
"পিকলুকে এখন হাতে পায়ে কোমরে ব্যথার তেল মালিশ করে দিতে হবে, এই তেল মালিশ করেই ছোট বউ ভালো হয়েছে, সেও একবার কলতলায় পরে গেছিলেন।
","5"
" পিকলু কাকাবাবুকে ব্যথার তেল মালিশ কিরে বেরিয়ে আসার মিনিট পনেরো পরেই, "" জ্বলে গেল, পুরে গেল, উফ আর পারছিনা কে আছো জল ঢাল "" কাকাবাবুর আর্তচিৎকার।
","5"
" সেতো হবারি ছিল, পিকলু ব্যথার তেলে লিংকার মিশিয়ে মালিশ করে দিয়েছে যে, তবে নিজে হাতে গ্লাপ্স পরে নিতে ভোলেনি, নইলে তাকেও এখন এমনি চিৎকার করতে হতো।
","5"
" আবার বাড়ির লোক কাকাবাবুর ঘরে হাজির।
","5"
" ""কি হলো, কোথায় জ্বলছে, কি পুড়ছে?
","5"
""" ""আমার শরীর, তারাপদ তোর নাতি ঠিক কিছু মিশিয়েছিল তেলে, নইলে এমন জ্বলে?
","5"
""" তাতান,"" না না তা কিকরে হবে, পিকলু কিছু মেশালে তো ওর ও এমন জ্বালা পোড়া হতো, এই দেখো ওতো দিব্যি ভাল আছে?
","5"
""" তারাপদ বাবু,""তাই তো পিকলু তো দিব্যি আছে।
","5"
" কিরে তোর হাত জ্বলছে নাতো?
","5"
" "" "" না দাদু, বেশ আছি আমি?
","5"
" "" আবার কাকাবাবুর শরীর পরিষ্কার করে মুছে দিয়ে পাখা চালিয়ে বিশ্রাম করতে বলা হল।
","5"
"আর কিছুক্ষনের মধ্যেই অতিথিরা চলে আসবেন।
","5"
" একসময় এক এক করে অতিথিরা আসতে শুরু করলেন, তারাপদ বাবু কুটুসকে কাকাবাবুকে বসার ঘরে নিয়ে আসার কথা জানিয়ে অতিথি আপ্যায়নে ব্যস্ত হয়ে পরলেন।
","5"
" কুটুসও কাকাবাবুকে তৈরি করে বসার ঘরে এনে ওখান থেকে সরে পরলো।
","5"
" ভক্তরা একে একে এটা সেটা বলা শুরু করে।
","5"
" "" হরিদ্দারে গিয়েও আপনার দর্শন পাওয়া দুষ্কর, সেখানে বাড়ির পাশেই আপনার দর্শন পেয়ে বড় সুখ পেলাম।
","5"
""" ""আপনার মত পন্ডিত লোকের সাক্ষাৎ পাওয়া ভাগ্যের ব্যপার।
","5"
""" ""আমার নতুন বউমাকে একটু আশির্বাদ করুন, সন্তান সুখ থেকে যে ও বঞ্চিত।
","5"
""" কাকাবাবুর কারো কথাই কানে যাচ্ছেনা, শরীর কুট কুট করছে, এখানে সেখানে চুলকোচ্ছে, ধুতিতে দেয়া বিচুটির গুড়ো কাজ শুরু করে দিয়েছে, লোকের সামনে চুলকোতে না পেরে কাকাবাবু ঘেমে উঠছেন।
","5"
" এক সময় সহ্যের বাধ ভেঙে গেলো।
","5"
" লোক জন উপেক্ষা করে গায়ের চাদর ফেলে দুহাতে ঘস ঘস করে চুলকাতে শুরু করলেন।
","5"
" মুখে বলছেন, "" আর না আজই এখান থেকে চলে যাব, প্রভু আমায় ডাকছেন, নইলে সকাল থেকে এত কিছু কি হয় আমার সাথে।
","5"
""" বলতে বলতে বসার ঘর থেকে নিজের ঘরে চলে গেলেন।
","5"
" পেছন পেছন তারাপদ বাবু ছুটলেন।
","5"
" কাকাবাবু তখন অর্ধ নগ্ন হয়ে সারা গা চুলকে চলেছেন আর ফোনে কাউকে আজই ফেরার কথা বলছেন।
","5"
" তারাপদ অবাক চোখে দেখছেন, ত্যাগী সন্যাসী মানুষ যে কিনা কালই বলেছেন উনি ফোন ব্যবহার করেননা, সেখানে আজ নিজের ফোন দিয়ে কথা বলছেন।
","5"
" এদিকের খবর শুনে মহিলা মহলও ছুটে এসেছেন, কিন্তু কাকাবাবুর পরিস্থিতি দেখে লজ্জায় ঘরে ঢুকতে পারছেন না।
","5"
" কাকাবাবু ওই অবস্থাতেই ব্যাগ গুছিয়ে নিচ্ছেন, কিন্তু চুলকোতে গিয়ে ব্যাগ নীচে পরে যেতেই বেরিয়ে আসে বাড়ির বউদের গয়না, যা আজই সকালে বড় বউমা সোধন করতে দিয়েছিলেন।
","5"
" কিন্তু সেসব কাকাবাবুর ব্যাগে দেখে সবার চক্ষু চড়কগাছ।
","5"
" তারাপদ বাবুদের বুঝতে আর বাকি থাকেনা কাকাবাবুর আসল রূপ।
","5"
" ভন্ড সাধুর কাজই লোক ঠকানো, তাই বলে তারাপদ বাবুকে ঠকাবেন তিনি ভাবতেও পারেননি, রাগে অপমানে তিনি বলেন,"" আমার বিশ্বাসের এমন অমর্যাদা আজ অবধি কেউ করেনি।
","5"
