"sentence","emotion category"
"আমি এখন পড়াশোনা শেষ করে চাকুরী  পরীক্ষার্থী ।
","5"
" অনেক দিন হয়ে গেছে স্কুলের পড়া শেষ করা ।
","5"
" কিন্তু আমার মনের ছোট্ট একটি কোনে বন্ধুবান্ধবদের সাথে কাটানো প্রতিটি মুহূর্ত ও মাস্টারমশায়ের যত্নসহকারে শিক্ষাদান  ও মূল্যবান উপদেশ এখনও  মনে আসে আর আফসোস করে থাকি যদি একই  ক্লাসে বার বার এখনো থাকতাম  কোনো দিনের জন্য স্কুল না ছাড়তে হতো তো কতই না ভালো হতো ।
","5"
" আমি ২০০৪ সালে প্রাইমারি স্কুলে প্রথম শ্রেণীতে ভর্তি হয় ।
","5"
" স্কুলটি নাম ছিল ডিমডিহা বালক প্রাথমিক  বিদ্যালয় ।
","5"
"  স্কুলটি ডিমডিহা গ্রামের ভেতরে একদম রাস্তার ধারে অবস্থিত ছিল ।
","5"
" একতলা করে দুটি স্কুল, একটি শৌচালয় ,একটি রান্নাঘর  ও একটি মাস্টারমশায়ের অফিসে ঘর ।
","5"
" অফিসে মাস্টারমশাই থাকতো ।
","5"
"অফিসে একটি আলমারি,  ও অফিসের কাগজ পত্র  এবং অনেকগুলো ভালো ভালো লেখকের সিলেবাসের বই ও গল্পের বই থাকতো ।
","5"
"  আশেপাশে দুই তিনটে মন্দিরও ছিল ।
","5"
" নতুন ভর্তি হয়েছি তো খুব ভয় ভয় লাগতো ।
","5"
" কোনোদিন কোনোদিন স্কুলই যেতাম না ।
","5"
" মা  বাবা অনেক ধমক দিয়ে স্কুল পাঠাতেন ।
","5"
" এভাবে কয়েকদিন  স্কুল যাওয়া আসা করতে করতে মনের ভীতি তা হেটে গেল ।
","5"
" অন্য ছেলের মতো স্কুল যেতে লাগলাম ।
","5"
" বন্ধুদের সাথে পরিচয় হলো ।
","5"
" সময়টা বন্ধুদের একসাথে থাকার মধ্যেই কেটে গেল।
","5"
" বাড়ির দিকে একদম খেয়ালই হতো না ।
","5"
" স্কুলও পড়াশোনার ওপর একটা ভালোবাসার অনুভূতি সৃষ্টি হতে লাগল ।
","5"
"    বাড়ি থেকে স্কুলে আসতে পাঁচ মিনিট সময় লাগতো কিন্তু আমি ও আমার বন্ধুগুলো স্কুলের সময়ের ৩০মিনিট আগেই এসে চোর পুলিশ ,কাবাডি , লুকচুপি , হাডুডু খেলতাম  মন্দিরের বারান্দাতে ।
","5"
" খেলাগুলোতে অনেক মজা লাগতো আর কি বলব ।
","5"
"ছেড়ে যেতে মন চাইতো না ।
","5"
" কিন্তু  যখন দেখতাম দূর থেকে মাস্টারমশাই কে দেখা যাচ্ছে ঠিক তখন আমরা খেলা বন্ধ করে দিতাম ।
","5"
" দৌড়ে ক্লাসের মধ্যে চলে যেতাম ।
","5"
" মাস্টারমশাই যথাসময়ে স্কুলে হাজির হতেন ।
","5"
"  নিজ নিজ বই খুলে পড়তাম ও মাস্টারমশাই কোনো কাজ দিলে করতাম ।
","5"
" ক্লাসের বোর্ডের মধ্যে স্যার কোনো প্রশ্ন উত্তর লিখলে সেদিকে তাকিয়ে তাকিয়ে প্রশ্ন গুলি দেখতাম আর খাতায় লিখে মুখস্ত করে রাখতাম  ।
","5"
"   সিলেবাসের অধ্যায়ভিত্তিক আলোচনা করতেন ।
","5"
"  পড়াটি আমার ছাত্রটি বুঝতে পেরেছে কিনা তা যাচাই করার জন্য  প্রশ্নটি জিজ্ঞাসা করতেন  ।
","5"
"  আমরাও মাস্টারমশাইকে জিজ্ঞাসা করতাম কোনো পড়া নিজের আয়ত্তে না এলে ।
","5"
"  আমার স্কুলের মাস্টারমশাই খুব ভালো ছিলেন ।
","5"
" আমাদের কখনো ধমক দিয়ে কথা বলতেন না ।
","5"
" খুব  ভালোবাসতো সকলকে তাছাড়া আমাদের ভালোবাসবেন না কি করে আমরা তো মাস্টারমশায়ের অবাধ্য ছিলাম না ।
","5"
"  বাড়ির যা কিছুই কাজ করতে দিত সব  ঠিকমতো করে নিয়ে আসতাম ।
","5"
"  আমাদের একটি সময় খুব ভালো লাগতো টিফিনের সময় ।
","5"
" আমরা সকল বন্ধু খেলতে পেতাম ।
","5"
"  মাস্টারমশাই কোনোদিন কোনোদিন ব্রতচারী, ব্যায়াম ও  লাফদড়ি, এবং ফুটবল খেলাতেন ।
","5"
" কোনোদিন কোনোদিন মজার মজার গল্পও বলতেন ।
","5"
"গল্পের বইগুলিকেও পড়তে দিতেন কিছু সময়ের জন্য ।
","5"
"  খুব মজা লাগতো গল্পগুলি পড়তে ।
","5"
"   তাছাড়া গল্পগুলোর মধ্যে টুনটুনিরূপকথা,  ঘুমন্ত সিংহ ও নেংটি ইঁদুর , হরিণ ও সিংহ ,দুই বন্ধুও ভাল্লুক ,  এবং শিকারির ফাঁদে হরিণ ,কাক ও কোকিলের গল্প  আরো অনেক মজাদার গল্প তা আর কি বলব ।
","5"
" তাছাড়া কে না চায় গল্প পড়তে ।
","5"
" গল্প পড়লে এই সুন্দর মনটি হারিয়ে যেত গল্পের রহস্যেপূর্ন অজানা জগতে যেখান থেকে আসতে একেবারে  মন চাইতো না ।
","5"
" মনে হতো শুধু গল্পেই পড়ি ।
","5"
"   টিফিনের সময় আমরা দৌড়ে বাড়ি চলে যেতাম থালা নিয়ে আসতে ।
","5"
"  কারো কারো থালা ব্যাগের মধ্যেই থাকতো ।
","5"
"  যখন বাড়ি যেতাম টিফিনের খাবারের থালা আনতে তখন কোনো বন্ধু খাবারের লাইনে আমাদের লাইন দিয়ে দাঁড়িয়ে থাকতো যতক্ষণ না আমরা বাড়ি থেকে আসি কাউকে ঢুকতে দিত না ।
","5"
"  খাবার খুব সুন্দর রান্না করতো গ্রামের রাঁধুনি ।
","5"
" সপ্তাহের  ছয়দিন  খাবারের লিস্টের  মধ্যে ডিম ,পায়েস মাছ সয়াবিন , ও সবজির থেকে   বেগুন, ফুলকফি, বাঁধাকফি,পটল,  ঝিঙে ।
","5"
" কোনোদিন কোনোদিন খিচুড়ি থাকতো ।
","5"
