"sentence","emotion category"
"হাওড়া স্টেশন পেরিয়ে রাস্তায় নামতেই অনীক টের পেল-কলকাতা বদলে গেছে ।
","5"
" এই তিনটে শব্দ ভেঙে ভেঙে বেশ কয়েকবার উচ্চারণ করে নিজের মনেই হাসলো সে ।
","5"
" আশ্চর্যের কী ! সবকিছুই তো বদলায়, তাই কলকাতাও বদলেছে ।
","5"
" কলকাতার নির্জনতা বদলেছে, কলকাতার ইঁট-কাঠ-চুনকামের পোশাক আর নেই ।
","5"
" এখন তার কংক্রিটের দুনিয়া ।
","5"
" তার ছেলেবেলার সাথী কলকাতা ।
","5"
" ওর বাবা নেই, বাড়িতে মা আর অনীক এই দুজন মাত্র লোক ।
","5"
" মা'য়ের কথা মনে হতেই অনীকের সেদিনকার ঘটনাটা মনে পড়ে গেল ।
","5"
" মা'য়ের সাথে তুমুল ঝগড়া, মনোমালিন্য, কথাকাটাকাটি, আর অনীকের বাড়ি থেকে চলে আসা ।
","5"
" একেই বলে টান ।
","5"
" একেই বলে কলকাতা ।
","5"
" মুম্বাই তে থাকতে অনীকের একদিনও পুরোনো ঘটনাগুলো মনে পড়েনি, আর কলকাতায় পা রাখতেই কী না...! অনীকের মনে হচ্ছে, কলকাতা যেন তাকে ঠিক মেনে নিতে পারছেনা ।
","5"
" সূক্ষ অভিমান ওর উপর ।
","5"
" কারণটা কি অনীক আজ কলকাতার অতিথি হিসেবে এসেছে বলে ?
","5"
" কোলের ছেলে যখন অতিথি হয়ে যায়, তখন বেদনাটাও হয় মাকড়সার জালে আটকে পড়া ছটফট করা পোকার মতো ?
","5"
" কিন্তু অনীক করবেই বা কী ! তার কাজ যে মুম্বাইতেই ।
","5"
" "" ক্ষমা করে দাও কলকাতা ।
","5"
" অনীককে তুমি অতিথি হিসেবেই স্বীকৃতি দাও ।
","5"
""" হাওড়া স্টেশনে হাজার রকম মানুষের ভিড় ঠেলতে ঠেলতে বাসস্ট্যান্ডে এলো সে ।
","5"
" তারপর শোভাবাজারের একটা বাসে উঠে বসলো ।
","5"
" কত্তদিন ও বাসে চাপেনি ! কাঁধে চামড়ার ঝোলানো ব্যাগ আর হাতের আঙুলে দশটাকার নোট গুলো মুড়িয়ে ধরা কন্ডাকটারদের হাতে ভাড়া দেয়নি ।
","5"
" সময়মতো দরজার সামনে ভিড় ঠেলে নিজের স্টপেজে নামেনি কত্তদিন ! আজ সে এই সব করবে ।
","5"
" এক অনির্বচনীয় আনন্দে সে খুশি হয়ে উঠলো, তার কবিমন পাগল হয়ে উঠলো কলকাতার ব্যাস্ততায় ।
","5"
" ওর মনে হয় কলকাতাটাই যেন আসলে পশ্চিমবঙ্গ, আর বাকিটুকু নগণ্য ।
","5"
" মাঝে মাঝে তার এটাও মনে হয় যে কলকাতার নির্দিষ্ট কোনো আকার আকৃতি নেই, কোনো চেহারা নেই ।
","5"
" যেমন তেমন করে এটা ওটা জোড়াতালি দিয়ে তৈরি হয়ে গেছে ।
","5"
" মনে মনে জিজ্ঞাসা করল, "" কেমন আছো ?
","5"
" কলকাতা ?
","5"
" আমায় স্বাগতমও জানবেনা ?
","5"
" দশ বছর পর আমি তোমার কাছে এসেছি, তোমার কোনো ঔৎসূক্য নেই, কোনো উত্তেজনা নেই ?
","5"
""" তক্ষুনি অনীক টের পেল তার পাগলামো ।
","5"
" এইসব অবান্তর প্রশ্নের কোনো মানেই নেই ।
","5"
" কলকাতায় এলে কি সবাই তবে পাগল হয়ে যায় ?
","5"
"...না, সবাই না ?
","5"
" যারা কলকাতার জন্য একরকম পাগল, শুধু তারাই ।
","5"
" কলকাতার হাওয়াটা কেমন ছোঁয়াচে ।
","5"
" অনীকের মন ব্যাকুল হয়ে উঠলো আবার কখন সে ঝিমধরা দুপুরে হাতে বাংলা গল্পের বই নিয়ে বিছানাতে উপুর হয়ে শুয়ে শুয়ে পড়বে ।
","5"
" তাতে যেন মনটা বেশ উদাসীন হয়ে যায় ।
","5"
" পৃথিবীতে খালি দুটি প্রাণী-সে আর কলকাতা ।
","5"
" সন্ধ্যেবেলা ময়দানে শুয়ে ভাববে রবীন্দ্রনাথের কথা ।
","5"
" ভাববে আর খেলবে জীবনের সাথে সার্থকতার লুকোচুরি ।
","5"
" আবার হেঁটে যাবে ফুটপাথের এ মাথা থেকে ও মাথা ।
","5"
" ক্লান্ত হলে বাস কিংবা ট্যাক্সি নয়, প্রাণ ভরে উপভোগ করবে হাতে টানা রিক্সার আনন্দ ।
","5"
" দেখতে দেখতে দিন কাটাবে সেকেলে কলকাতার মাধুর্য ।
","5"
" দেখবে আর গর্ব করবে জব চার্নকের জন্য ।
","5"
" মেমোরিয়ালের সেই পরীর স্ট্যাচু, যেদিকেই যায় ও যেন তোমার দিকেই তাকিয়ে ।
","5"
" গিরিশমঞ্চে নাটক দেখবে, ফুটপাথের তেলেভাজা, আলুকাবলি খাবে ।
","5"
" অনুভূতি ছুঁয়ে যাবে গঙ্গার ধারের হাওয়া ।
","5"
" লঞ্চে করে দেখে আসবে ঐ বাকি সব তীর গুলো ।
","5"
" ঐ তীর গুলোর একটাতেই তো জব চার্নকের জাহাজ এসে ভিড়েছিলো ।
","5"
" কফি হাউসে সামনে কফি আর কোলের উপর খুলে রাখবে 'চলন্ত কলিকাতা'-"" ইঁটের-টোপর-মাথায়-পরা-শহর কলিকাতা/অটল হয়ে বসে আছে ইঁটের আসন পাতা ।
","5"
""" কলেজ স্ট্রীট, কলেজ স্কোয়্যার, শ্যামবাজার, ধর্মতলা, ডালহৌসি, ইডেন গার্ডেন...সব কিছুর আবছা হয়ে আসা স্মৃতির পাপড়িতে আবার হাত বুলিয়ে নেবে ।
","5"
" একজন আদ্যন্ত বাঙালির মতো হাত গোটানো পাঞ্জাবী, জিন্সের প্যান্ট, কাঁধে ঝোলানো ব্যাগ নিয়ে হেঁটে যেতে চায় সে ।
","5"
