"sentence","emotion category"
"আমরাই ভানুবাবুকে 'গল্প দাদু"" উপাধিটা দিয়েছিলাম।
","5"
" গ্রামের মধ্যিখানে একটাই খেলার মাঠ ছিল।
","5"
" আমাদের থেকে যারা বয়সে বড়,তারাই পুরো মাঠটা দখল করে খেলাধুলা করতো।
","5"
" অগত্যা আমরা দর্শকাশনে বসে মনোরঞ্জন করতাম আর শরীর চর্চার জন্য খেলা দেখার পর বাড়ি ফেরার পথে, ভানুবাবুর বাগানের মস্ত বড় চাঁপা গাছের ডালে ঝুলে গাছের ডালপালা মাটিতে ছুঁইয়ে দেওয়ার আপ্রাণ চেষ্টা করতাম।
","5"
" কখনো সখনো তা প্রীতিযোগীতার রূপ নিত।
","5"
" হেইরে-হেইরে, ধাইরে-ধাইরে নামক শব্দ করতে করতে ভানুবাবু চাঁপা গাছের প্রাণ বাঁচানোর জন্য আমাদের তাড়া করে আসতেন।
","5"
"অনেকটা বাঁদরের মতো চাঁপা গাছের মগ ডাল থেকে লাফ দিয়ে যে যার বাড়ি দৌড়ে পালাতাম।
","5"
" খালি গায়ে ধবধবে সাদা ধুতি পরা বৃদ্ধ ভানুবাবু আমাদের ধরতে না পেরে চাঁপা গাছের গোড়ায় দাঁড়িয়ে অসহায়ের মতো গাছটার দিকে তাকিয়ে হা-হুতাশ করতে করতে বক বক করতেন।
","5"
" আর পরের দিন আসলে ঠেঙিয়ে বিদায় দেয়ার অভ্যর্থনা জানাতেন।
","5"
" ভানুবাবু এ হেন ডানপিটে ছোকরা গুলোর হাত থেকে চাঁপা গাছটাকে বাঁচাতে এক নতুন পন্থার আবিষ্কার করলেন।
","5"
" সেটা হলো তাঁর গল্পের আসর বসানো।
","5"
" প্রতিদিন বিকেলে নিত্য নতুন গল্প নিয়ে ভানুবাবু হাজির হতেন।
","5"
" ওনার গল্পের পাঠশালা এতটাই জনপ্রিয়তা পেয়েছিল যে-পাড়ার ছেলেগুলো চাঁপা গাছের ডালে না চড়ে সেই গল্প শোনার প্রতি মনোনিবেশ করতো।
","5"
" হাটে-বাজারে অনেক ছোট ছোট বাচ্চা ওনাকে দেখলেই 'গল্প দাদু' বলে ডাকতো।
","5"
"প্রতিদিনের এই গল্প শুনানির ফলে একদিকে যেমন চাঁপা গাছের প্রতি অত্যাচার কমলো, তেমনি অনেক নতুন নতুন রূপ কথার গল্প শোনাও হলো।
","5"
" একদিন ভানুবাবু এমন এক গল্প বললেন গল্পটা আমার আজও মনে পড়ে।
","5"
" গল্পটা এই ছিল- তোমরা চাঁপা গাছে চড়তে আসো প্রতিদিন, আর আমি তোমাদের বারণ করি তার কারণ কি জানো কেউ?
","5"
" সবাই একসাথে মিলে- না দাদু জানিনা?
","5"
" সে এক ভয়ঙ্কর ঘটনা বলবো।
","5"
" তোমরা আরও কাছাকাছি চলে এসো।
","5"
" বাচ্চারা এত মনোযোগের সাথে গল্প শুনছিলাম যে, এই 'ভয়ঙ্কর'শব্দটা শুনতেই গায়ের লোম কেমন খাড়া হয়ে উঠলো।
","5"
" সবাই মিলে যে যার ঘাড়ে পড়ার মতো অবস্থায় চাপাচাপি করে বসে হাঁ করে গল্পদাদুর মুখের দিকে তাকিয়ে নিশ্চুপ হয়ে গল্প শুনতে লাগলাম।
","5"
" গল্পদাদু: একবার এই চাঁপা গাছের দিকে দেখো সবাই।
","5"
" আমরা তো সবাই হড়বড়িয়ে হাঁ করে ঘুরে দেখলাম গাছটার দিকে।
","5"
" গল্পদাদু: এই গাছটা কত মোটা আর মজবুত তোমরা নিশ্চই বুঝতে পারছো।
","5"
" আমরা সবাই মিলে হাঁ বললাম।
","5"
" গল্পদাদু: তাহলে শোনো।
","5"
" আমি তখন তোমাদের থেকেও ছোট ছিলাম।
","5"
" এই চাঁপা গাছটা আগে আমাদের বাড়ির সামনে ছিল।
","5"
" আমি তোমাদের মতোই রোজ এই চাঁপা গাছের ডালে বসতাম আর লাফ দিতাম নীচে।
","5"
" আমার বাবা আমাকে ঠিক আমি যেমন তোমাদের বারণ করি চাঁপা গাছে চড়তে,তেমনি আমাকেও বারণ করতেন।
","5"
" একদিন দুপুরে কাউকে না জানিয়ে আমি চাঁপা গাছের গোড়ায় বসেছিলাম।
","5"
"হঠাৎ দেখি গাছটার ডালে লম্বা লেজ ঝুলছে, প্রথমে আমি বানর ভেবে ছুটে একটু দূরে সরে যাই, যেই ঘুরে চাঁপা গাছের দিকে তাকাই, কি অবাক কান্ড ঘটলো আমার সাথে।
","5"
" আমরা ভয়ে জড়সড় হয়ে জিগ্যেস করলাম কেন?
","5"
" গল্পদাদু: কারণ গাছের ডালে কেউ নেই?
","5"
" আমার শরীরটা বেশ ভয়ে ফুলে উঠতে লাগলো।
","5"
" আমি লক্ষ করলাম চাঁপা গাছের আশেপাশে আর কোনো গাছ নেই, তাহলে জন্তুটা কোথায় গেল।
","5"
" গাছ থেকে লাফিয়ে পালালেও ঝুপ করে একটা শব্দ তো হতো।
","5"
" তাও নেই।
","5"
" যাইহোক আমি চটজলদি সেখান থেকে ফিরলাম আর আস্তে করে বাবার কাছে গিয়ে ঘুমিয়ে পড়লাম।
","5"
" পরের দিন মা আমাকে বললেন খোকা যা তো চাঁপা গাছ থেকে কিছু ফুল তুলে নিয়ে আয়,পুজোতে লাগবে।
","5"
" কালকের ঘটনাটা আমি ভুলে গেছিলাম তাই নাচতে নাচতে চাঁপা গাছে ফুল তুলতে গিয়ে দেখি, গাছে একটাও চাঁপা ফুল ফোটে নি।
","5"
" আমি ফিরে এসে মা কে বললাম 'মা'-আজ চাঁপা গাছে একটাও ফুল ফোটেনি।
","5"
" মা রেগে আমাকে বললেন কি যা তা বলছিস।
","5"
" আমি সকালে গোবর জল ছড়াতে গিয়ে গাছ ভর্তি ফুল দেখে এলাম আর তুই বলছিস একটাও নেই।
","5"
" তোর চোখ জোড়া গেছে মনে হয়,চল তো দেখি ফুল গুলো গেল কোথায়।
","5"
" আমিও মা কে বুক ফুলিয়ে বললাম চলো দেখবে।
","5"
" যেই ঘরের ভিতর থেকে বাইরে বেরিয়ে আমি আর মা চাঁপা গাছের দিকে তাকালাম,অমনি সারা গাছে অজস্র ফুল ফুটেছে।
","5"
" মা বললেন কি রে ফুল ফোটেনি যে?
","5"
"এগুলো কি ফুটেছে?
","5"
" কিন্তু ....... মা আমিতো এখুনি দেখলাম একটাও ফুল ছিল না,এখন কোথা থেকে এলো।
","5"
" মা বললেন,আমিও তোকে জিগ্যেস করছি, কোথা থেকে এলো?
","5"
" হয় তুই ঠিকঠাক দেখিসনি?
","5"
" নয়তো তুই চোখ কানা হচ্ছিস।
","5"
" আমি ঠিক বোঝাতে পারলাম না মা কে।
","5"
" এমন কান্ড শুনে আমরাও ভয়ে গল্প দাদুর আরও কাছে ঘেঁষে বসলাম।
","5"
" তারপর........ তারপর আবার একদিন মা আমাকে ফুল তুলতে পাঠালো।
","5"
"আমি সেদিন ভালো করে গাছে তাকিয়ে দেখলাম অনেক ফুল ফুটেছে।
","5"
" আমি আনন্দে গাছের একটা ডালে চড়ে বসলাম।
","5"
" আর ফুল তুলতে লাগলাম।
","5"
" অকস্মাৎ গাছের ডাল টা নড়ে উঠলো।
","5"
" আর আমি পড়ে যাওয়ার ভয়ে যে ডালে বসেছিলাম সেই ডালের দিকে দেখতেই আবার ভয়ঙ্কর অভিজ্ঞতা।
","5"
" আমরা আরও জড়সড় হয়ে বসলাম,জিগ্যেস করলাম, কি ভয়ঙ্কর অভিজ্ঞতা?
","5"
"------ গল্পদাদু: তারপর কি আমি নীচে তাকিয়ে দেখলাম, আমি কোনো ডালে বসে নেই,হওয়ায় ভেসে আছি আর নীচে এক বুড়ি ফুল কুড়োচ্ছে?
","5"
" বাঁচাও,বাঁচাও,বাঁচাও।
","5"
" বাবাগো--- মাগো---বাঁচাও আমাকে--- চিৎকার করতে লাগলাম।
","5"
" আমার চিৎকার চেঁচামেচি শুনে বাবা ও মা ঘরের ভিতর থেকে ছুটে এলেন।
","5"
" ওনারা যেই বাইরে বেরোলেন সেই বুড়িটা কেমন হওয়ায় মিলিয়ে গেল আর আমি যে হওয়ায় চড়ে ফুল তুলছিলাম দেখলাম দিব্যি এক মোটা চাঁপা ডালে বসে আছি।
","5"
" বাবা জিজ্ঞেস করলেন কি হয়েছে---?
","5"
" চিৎকার করলি কেন?
","5"
" আমি যখন ঘটনাটা বললাম,বাবা মা বিশ্বাসই করলো না আমার কথা?
","5"
"ঠিক আছে তোমরা নীচে দেখো আমি কত ফুল তুলেছিলাম একটাও নেই, বলে আমিও যেই নীচে তাকালাম দেখলাম সব ফুল পড়ে আছে।
","5"
" এমন ভয়ঙ্কর অভিজ্ঞতা তাও আমরা যে চাঁপা গাছের ডালে বসে রোজ আড্ডা দিতাম তাকে নিয়ে?
","5"
" যথারীতি সকলে আঁতকে উঠতে লাগলাম?
","5"
" গল্পদাদু: মা তো আমাকে নিয়ে খুবই চিন্তায় পড়লেন ।
","5"
" আমি যেন ভুতের তাড়নায় এমন ভুলভাল বলছি।
","5"
" গ্রামের একজন ভুত তাড়াতে ওস্তাদ,ওনাকে ডেকে আমার ঝাড়-ফুঁক, তুক- তাক করানো হলো।
","5"
" তারপর কি হলো ভূতটা চলেগেছে?
","5"
"-আমরা সবাই বলে উঠলাম?
","5"
" গল্পদাদু: তারপর শোন তো।
","5"
" একদিন আমি ও বাবা-মা মামার বাড়ি গিয়েছিলাম।
","5"
" মামার বাড়িতে তিনদিন ছিলাম,ফিরে এসে দেখি চাঁপা গাছটা নেই।
","5"
" কে যেন উপড়ে নিয়ে গেছে।
","5"
" যাক বাঁচা গেছে ভেবে আমরা হাঁফ ছেড়ে বাঁচলাম।
","5"
" তাহলে এটা কি অন্য চাঁপা গাছ?
","5"
" না রে বোকার দল এটা সেই চাঁপা গাছ?
","5"
" একদিন সকালে আমিই প্রথমে ঘুম থেকে উঠে দেখি আমাদের বাড়ির পিছনে দিব্বি জ্যান্ত অবস্থায় কেউ আবার বসিয়ে দিয়ে গেছে।
","5"
" এটা কি করে সম্ভব দাদু?
","5"
" সেটা তো আমিও আজও ভাবি কি ভাবে সম্ভব?
","5"
" তার কয়েকদিন পর আমার বাবা এক ভয়ংকর স্বপ্ন দেখেন।
","5"
" কি স্বপ্ন দাদু?
","5"
" স্বপ্নটা হলো এক ডাইনি বুড়ি গাছে চড়ে রোজ গভীর রাতে নর মাংস খেতে বেরে হতো ?
","5"
" তার খুব প্রিয় ছিল চাঁপা ফুলের গন্ধ।
","5"
