"sentence","emotion category"
"এতক্ষণে হয়তো কুয়াশার চাদর শিশির হয়ে মুক্তোর মত জ্বলে রয়েছে কোন ঘাসের উপর।
","5"
" সূর্যমামা ঠিকই তার উপস্থিতি জানিয়ে ফেলেছে।
","5"
" আর আমি কি না পড়ে পড়ে ঘুমোচ্ছি।
","5"
" ইস! বড্ড দেরি করে ফেলেছি আজ।
","5"
" এতক্ষণে হয়ত পাশের বাড়ির ছেলেরা সব ফুল গুলো কুড়িয়ে নিয়েছে।
","5"
" মিনু আজ আমাকে ডাকে নি কেন?
","5"
" তাহলে সেও নিশ্চয়ই পড়ে পড়ে ঘুমাচ্ছে?
","5"
" কাল আমাকে ডাকেনি আজ আমি ওকে ডাকবো না দেখি কত ঘুমাতে পারে ও।
","5"
" চাদরটা গায়ে জড়িয়ে গাছ তলায় গিয়ে দেখি ও বসে আছে“একা একা এলি যে! আমাকে ডাকিস না কেন?
","5"
" কতটা বেলা হয়ে গেল!”“ডাকিনি আবার! কি ঘুম রে তোর বাবা! এত বার চেঁচিয়ে চেঁচিয়ে ডাকলাম কিছু টের টি পর্যন্ত পেলি না?
","5"
" নে এবার তো ফুলগুলো পাড় নয়তো আবার ও বাড়ির বাঁদর গুলো চলে আসবে যে?
","5"
"”“দাঁড়া পাড়ছি।
","5"
"”এবছর গাছে এখনো ভালো করে ফুল ফোটে নি।
","5"
" শুধু বাঁদিকের ডালটায় সবেমাত্র ফুল ধরতে শুরু করেছে।
","5"
" সেখান থেকে বেশ খানিকটা শিউলি পাড়লাম।
","5"
" আমি গাছ থেকে নেমে দেখি ও শিউলি ফুলগুলো কুড়িয়ে আঁচলে বেঁধে রেখেছে।
","5"
" ওগুলো নিয়ে বাড়ি ফিরে এলাম।
","5"
"বাড়ি ফিরতেই মা বলল “এখনো মুখ দিস নি! বেলা কত হয়েছে মাথায় আছে ?
","5"
" আর এত শিউলি দিয়ে কি হবে?
","5"
"”“আমি আর মিনু এগুলো দিয়ে মালা গাঁথব।
","5"
"”“তোকে না কতদিন বলছি মিনুর নাম ধরে ডাকবি না বুবু বলবি।
","5"
" এখন যা তাড়াতাড়ি মুখ ধুয়ে আয়।
","5"
"”এক দৌড়ে পুকুর পাড়ে গেলাম।
","5"
" শীতকালে পুকুরের পানিতে হাত দিতেই খুব ভয় করে।
","5"
"পানি তো নয় যেন জমাট বরফ! সারাটা দিন একই অবস্থা ।
","5"
" খুব কষ্ট করে মুখ ধুয়ে তাড়াতাড়ি চুলার কাছে গিয়ে খানিকক্ষণ বসে রইলাম।
","5"
" জালনার হাত দিয়ে আকাশের দিকে তাকালাম।
","5"
" সূর্য এখন মাঝ আকাশে।
","5"
" সকালের সেই কুয়াশার মেঘ কিংবা শিশিরের মুক্তো কিছুই আর নেই।
","5"
" বাড়িটাও যেন কুয়াশার মতন ঝাপসা হয়ে আসছে।
","5"
" খুব যেন অচেনা মনে হচ্ছে আজ বাড়িটাকে।
","5"
" কিছুতেই যেন ঠিক মেলাতে পারছি না।
","5"
" তখনই একটা মৃদু আওয়াজে মনে হল কুয়াশা যেন সরে যাচ্ছে।
","5"
" মিনু মালা গাঁথার জন্য ডাকছে।
","5"
" গিয়ে দেখি খুব মনোযোগ দিয়ে মালা গাঁথছে।
","5"
" এর মধ্যেই বেশ কবার হাতে সুচ ফুটিয়েছে।
","5"
" কিন্তু সেদিকে ওর কোন মাথাব্যাথাই নেই।
","5"
" একমনে মালা গেঁথে যাচ্ছে।
","5"
" আমি আর ওকে বিরক্ত করলাম না।
","5"
" সারাটা দুপুর ধরে ও মালা গাঁথাল আর আমি ওর পাশে বসে দেখলাম।
","5"
" সবমিলিয়ে ৫ টা মালা গেঁথে ফেলেছে।
","5"
" আমি ওর কাছে একটা মালা চাইতেই:“বারে তোকে কেন দেবো আমি?
","5"
" নিজে গেঁথে নে না!”“কিন্তু আমি যে তোকে ফুল পেড়ে দিলাম?
","5"
"”“ফুলগুলো পেরেকে উদ্ধার করে দিয়েছিস?
","5"
" দেখেছিস আমার হাতের অবস্থা?
","5"
" এত কষ্ট করে একা একা গাথিলাম আর বাবু এখন বলেন কিনা আমাকে একটা দাও!”ওর কথাগুলো শুনে খুব খারাপ লাগলো আমার।
","5"
" মালা গুলো না হয় ও একাই গেঁথেছে।
","5"
" কিন্তু ফুলগুলো তো আমিই পেড়ে দিয়েছি।
","5"
" ওগুলো ছাড়া মালা গাঁথাতই বা কি দিয়ে?
","5"
" যাক গে কালই তো আবার বলবে “আমাকে কটা শিউলি পেড়ে দে না?
","5"
"” তখন দেব খুব।
","5"
" বাদল ডাকতে এসেছে।
","5"
" আজ আবার ও পাড়ার ছেলেদের সাথে ক্রিকেট খেলা আছে।
","5"
" মিনুকে জিজ্ঞাসা করলাম ” কিরে যাবি নাকি আমার সাথে?
","5"
"”“নারে যাব না আমার এখনো নাওয়া খাওয়া হয়নি?
","5"
"”অন্য দিন হলে হয়তো ওকে নিয়ে যেতাম কিন্তু আজ কেন জানি ওকে আর কিছু বললাম না সোজা চলে গেলাম মাঠে।
","5"
"মাঠ থেকে ফিরতে বেশ খানিকটা সন্ধ্যে হয়ে এসেছে।
","5"
"কে জানে মা হয়তো দরজা খোলা রেখে আমার আশায় বসে আছে।
","5"
" মিনু হয়ত ওর মালাগুলো গলায় জড়িয়ে ভাবছে আমার এত দেরি হচ্ছে?
","5"
" কেন হঠাৎ আমার খুব ভয় করতে লাগল! বার বার মনে হতে লাগলো কেউ যেন আমার পিছু পিছু আসছে?
","5"
" আমি খুব ভয় পেয়ে চিৎকার করে বাড়ির দিকে দৌড়াতে লাগলাম।
","5"
" বাড়ির কাছাকাছি আসতেই আমার মনে হতে লাগলো কি একটা শব্দ যেন আমার চিৎকার কেউ ছাপিয়ে যাচ্ছে।
","5"
" চিৎকার থামিয়ে আওয়াজটা শোনার চেষ্টা করলাম।
","5"
" আওয়াজটা আমার বাড়ির দিক থেকেই আসছে।
","5"
"বাড়িতে ঢুকেই দেখি বাড়ির সবাই উঠানে বসে কাঁদছে আর মিনু উঠানের এক পাশে মাটিতে শুয়ে আছে।
","5"
" আমি আস্তে আস্তে ওর কাছে গিয়ে বসলাম ডাকলাম ওকে “এই মিনু ওঠ।
","5"
" এখানে শুয়ে আছিস কেন?
","5"
" মিনু?
","5"
" কিন্তু ও কোন জবাব দিল না?
","5"
" উঠোনের একপাশে ওর মালা ক’খানা পড়ে আছে আমি কি ওগুলো তুললাম‌।
","5"
" ওগুলো নিয়ে আমি মিনুর কাছে বসলাম।
","5"
" একটা আমার কাছে রেখে বাকিগুলো ওর গলায় পরিয়ে দিলাম এবারও আর কিছু বলল না!বাড়ির সবাই কাঁদছে।
","5"
" আমারও খুব কাঁদতে ইচ্ছে করছে।
","5"
" কিন্তু আমি কাঁদতে চাই না।
","5"
" কাঁদলে তো ও আবার কুয়াশার মত হারিয়ে যাবে।
","5"
" আমি চাই মিনু আর ওর শিউলি ফুলের মালা সূর্যের মত আমার জীবনে জ্বলে থাকুক আজীবন।
","5"
" ।
","5"
