"sentence","emotion category"
"পাঁচসাহায্যকারী – চেকোস্লোভাকিয়ার রূপকথা এক দেশে এক রাজামশাই ছিলেন, আর ছিল এক জোয়ান রাজপুত্র।
","5"
" একদিন রাজামশাই রাজপুত্রকে ডেকে বললেন, “ রাজা হতে গেলে তো বিয়ে করতে হবে বাবা।
","5"
" এক ভালো রাজকন্যা দেখে বিয়ে করে ফেল।
","5"
" এই নাও ছোট্ট এক সোনার চাবি, উঠে যাও সবথেকে উঁচু মিনারে, সেখানে পাবে দেশবিদেশের রাজকন্যাদের ছবি, তার থেকে চট করে পছন্দ করে ফেল কাকে বিয়ে করবে”।
","5"
" রাজপুত্র উঠে গেল সেই মিনারে, দেখে বারোজন রাজকন্যার ছবি আছে আঁকা।
","5"
" আর একটি জানলা পর্দা দিয়ে ঢাকা।
","5"
" কৌতুহলী রাজপুত্র সেই পর্দা সরাতেই দেখে আরেক রাজকন্যার ছবি।
","5"
" সেই রাজকন্যার মত সুন্দরী আর কেউ নয়।
","5"
" রাজাকে ডেকে বলল রাজপুত্র “বিয়ে যদি করতেই হয়, একেই করব”।
","5"
" রাজা শুনে আঁতকে উঠলেন, আরে এ যে ডাইনী রানীর দেশের মেয়ে।
","5"
" - মানে, এই মেয়ে ডাইনী?
","5"
" - না না, এ মানুষেরই মেয়ে?
","5"
" অনেক দুরের এক রাজ্যে এক রাজারানী ছিলেন।
","5"
" রানী মেয়ের জন্ম দিয়েই মারা যান।
","5"
" রাজা মেয়েকে দেখার জন্যেই আরেকটা বিয়ে করেন।
","5"
" তবে নতুন মা ছিল ডাইনী।
","5"
" সেটা তখন বুঝতে পারেননি।
","5"
" কিছুদিনপরে রাজাও মারা যান, তখন মেয়ের সিংহাসন পাওয়ার কথা থাকলেও, রানী নিজেই সিংহাসনে বসেন।
","5"
" আর মেয়েটি অনাদরে মানুষ হতে থাকে।
","5"
" - আমি একেই বিয়ে করব বাবা।
","5"
" - সে তো বুঝলাম, কিন্তু ডাইনীরানী চায়না ওর হাত থেকে কেউ মেয়েকে উদ্ধার করুক।
","5"
" তিনটে শর্ত পালন করলে তবেই সে বিয়ে দেবে মেয়ের।
","5"
" আর শর্ত পালন করতে ব্যর্থ হলে তার গলা কাটা যাবে।
","5"
" কত রাজপুত্র উদ্ধার করতে গেছে এই মেয়েকে।
","5"
" কেউ ফিরে আসেনি।
","5"
" তুই যাসনে বাবা।
","5"
" রাজা অনেক বোঝালেন, কিন্তু রাজপুত্র অনড়।
","5"
