"sentence","emotion A1","emotion A2","emotion A3"
"টেবিলে রাখা পাটিসাপটার দিকে অপলক তাকিয়ে আছে শুভ।
","5","5","5"
" পেটে ক্ষুধা নিয়ে শুধুমাত্র ভদ্রতার খাতিরে বারবার না করে, অভদ্রতা নিবারণ হয়, ক্ষুধা নয়।
","5","5","5"
" মহিলা আবার ইনসিস্ট করলেন ""খাও"" ""না, ঠিক আছে, খাচ্ছি"" শুভর উত্তর।
","5","5","5"
" চতুর্থ বারের মত খাবেনাসূচক ইঙ্গিত দেয়ায় পেট বেচারী বিদ্রোহ করল বোধয়, একটা ছোট্ট আওয়াজ করে তা জানান দিল মুহুর্তেই।
","5","5","5"
" মহিলা জিজ্ঞাসা করলেন - ""নাম কি তোমার?
","5","5","5"
""" -জ্বী, আরশাদ ফেরদৌস -কিন্তু রানা তো ছোট্ট কি যেন নাম বললো -জ্বী, শুভ, ডাকনাম?
","5","5","5"
" বলেই মনে হল কেন বললো নামটা, উনিও যদি চৈতীর মত বলে বসে ""শুভ কোন নাম হল!! পৃথিবীর অর্ধেক ছেলের নাম শুভ"" আবার চৈতী! নাহ, চৈতীকে নিয়ে ভাবার তো কিছু নেই, অকারণে বারবার বিনা নোটিশে চৈতী কেন আসবে তার ভাবনায়?
","5","5","5"
" -ওহ আচ্ছা, সুন্দর নাম?
","5","5","5"
" তো শুভ এখন কি করছো?
","5","5","5"
" -জ্বী ব্যবসা?
","5","5","5"
" - তুমি নাকি ফ্রীল্যান্সিং করো!! রানা তো আমাকে তাই বললো (চোখ সামান্য বড় করে ফেললেন মহিলা) এবার তার দিকে ভাল করে তাকালো শুভ।
","5","5","5"
" এই ছোট্ট শহরে এমন রুপবতী হাতে গোনাও নেই।
","5","5","5"
" যারা আছে, তারা তার ধারেকাছেও নেই এবং সেটাও অন্তত এই বয়সে না।
","5","5","5"
" আঠারো বছরের সুন্দরী মেয়েরা তার তুলনায় অদৃশ্য।
","5","5","5"
" চোখে যে আলাদা মোহনীয় সৌন্দর্য আছে তা নয়, তবে চোখ বড় করাতে আলাদা একটা আভা ছড়িয়ে পড়লো মুখে।
","5","5","5"
" ভদ্রতার বেড়াজালে আটকে পড়া চোখকে আর কতক্ষণই বা নির্লজ্জ্বভাবে তাকানোর অনুমতি দেয়া যায়?
","5","5","5"
" বয়স কত হবে, ৩০?
","5","5","5"
" জোর ৩২?
","5","5","5"
" ""বৈশাখী"" নামে একটি বিউটি পার্লার চালান তিনি।
","5","5","5"
" ১৫ জন মহিলা কর্মীর কাজের জোগান দিয়েছেন।
","5","5","5"
" এই আটপৌরে শহরে এত মেয়ে প্রতিদিন নিজেকে বিউটিফাই করতে তার কাছে আসে ভাবতেই অবাক লাগে।
","5","5","5"
" কাজের পশার জমিয়েছেন এত কম বয়সে, নিশ্চয়ই কিছু আছে তার মধ্যে।
","5","5","5"
" ""কি দেখছো?
","5","5","5"
""" জিজ্ঞাসা করতেই সম্বিত ফিরে পেলো শুভ?
","5","5","5"
" ""না, মানে, আপনার বয়স কত?
","5","5","5"
""" বলেই মনে হল ভুল প্রশ্ন করে ফেললো সে?
","5","5","5"
" এটা শুধু অশালীন শোনালো না, বেয়াদবী ও সাথে অপ্রতিভ শোনালো।
","5","5","5"
" অদৃশ্য একটা কামড় দিয়েই ফেললো জিভে।
","5","5","5"
" ঠিক সে মুহুর্তে পেট আরেকবার আওয়াজ করে জানান দিলো, আর খাওয়া হল না পাটিসাপটা।
","5","5","5"
" জিজ্ঞাসা করার মত আর প্রশ্ন ছিল না বেকুব!! আল্লাহ! উনি কি যে ভাবছেন! না ওনাকে বোঝানো দরকার, প্রশ্নটা কেন ঠিক, কেন জরুরী, কেন এই মুহুর্তেই করা হল, তাতে একটু হলেও পরিস্থিতিটা স্বাভাবিক করা যাবে, তাতে যদি খানিক পাপমোচন হয়.. শুভকে অবাক করে দিয়ে উনি ফিক করে হেসে ফেললেন।
","5","5","5"
" তার হাসিই, তার কিছু বলার আগেই শুভর অপ্রস্তুতভাব মুছে দিল।
","5","5","5"
" উনি বললেন ""তোমার কত মনে হয়?
","5","5","5"
""" শুভ ভাবলো ""আমি কি ছাগল নাকি, উত্তর দিয়ে আবার বিপদে পড়ব! হুহ, এত বোকা আমি না; এটুকু কমন সেন্স আমার আছে?
","5","5","5"
"কমনসেন্স!!! যে ছেলেটি কিছুক্ষণ আগে একজন অপরিচিত মহিলার বাসায় এসে তাকে প্রথম প্রশ্ন করে আপনার বয়স কত, তার আবার কমনসেন্স!! (চলবে) ।
","5","5","5"
