"sentence","emotion A1","emotion A2","emotion A3"
"ঈশিতা ক্লাস ইলেভেন এ পড়ে।
","5","5","5"
" ক'দিন ধরে দেখছি খুব মন মরা।
","5","5","5"
" কি যে হলো মেয়েটার কিছুই বুঝতে পারছি না।
","5","5","5"
" সব সময় বই নিয়ে জানালার ধারে বসে কি যেন চিন্তা করে।
","5","5","5"
" বারান্দায় দাঁড়িয়ে অশোক বাবু একটা সিগারেট ধরিয়ে মেয়ের মনের ভাব বোঝার চেষ্টা করছেন।
","5","5","5"
" হয়তো বা মায়ের কথাই ভাবছে।
","5","5","5"
" অশোক বাবু মেয়েকে নিজের প্রানের চেয়ে ও বেশি ভালোবাসেন ।
","5","5","5"
"আজ মেয়ের উদাস মুখ দেখে তিনও কেমন বিষন্ন মনা হয়ে উঠলেন।
","5","5","5"
"বারান্দায় দাঁড়িয়ে সিগারেটে সুখ টান দিয়ে বিষন্ন মনে পূর্ণিমার সেই আলোকোজ্জ্বল ঝলমলে চাঁদের গায়ে কলঙ্ক ভরা গভীরতা মাপার চেষ্টা করতে করতে অশোক বাবু ভাবছেন বিয়ে দিয়ে দেব মেয়েটার, উচ্চ মাধ্যমিক এর পর,বাবা হিসেবে আমি আমার কর্তব্য পালন করে যাবো মাত্র।
","5","5","5"
" আমিতো আর মায়ের মতো মেয়েকে ফেলে দিতে পারি না।
","5","5","5"
" ঈশিতা তার বাবার রাজ কন্যা।
","5","5","5"
" যিনি মেয়ের উপযুক্ত লালন পালনের জন্য কোনো কিছু না ভেবে আর দ্বিতীয় বিয়ে পর্যন্ত করেনি।
","5","5","5"
" ঈশিতা বারান্দা সোজা ঘরে থাকে।
","5","5","5"
" তখন  রাত প্রায় এগারোটা বাজে।
","5","5","5"
" জোৎস্নার চাঁদ জানালার ধারে উঁকি দিয়ে যেন ঈশিতার সাথে কথা বলছে।
","5","5","5"
" গালে হাত দিয়ে বসে,ভাবনার জগতে হারিয়ে গেছে ঈশিতা।
","5","5","5"
"অশোক বাবু মেয়ের ঘরে কড়া নেড়ে ঢুকলেন।
","5","5","5"
" মা এতো রাত অবধি জেগে আছিস কেন?
","5","5","5"
" আর গালে হাত দিয়ে কি ভাবছিস মা?
","5","5","5"
" আমায় বলতে যদি কোনো অসুবিধা না থাকে তাহলে বলতে পারিস।
","5","5","5"
" আমি তোর বাবা।
","5","5","5"
" আমি তোর মায়ের মতোই।
","5","5","5"
" নির্দ্বিধায় বলতে পারিস।
","5","5","5"
" ঈশিতা চমকে ওঠে।
","5","5","5"
" সে ফিরে আসে তার কল্পনার জগৎ থেকে।
","5","5","5"
"বাবা তুমি জেগে আছো?
","5","5","5"
"যাও ঘুমাও, তোমার শরীর খারাপ না?
","5","5","5"
"কদিন আগে ডাক্তারের কাছে গিয়েছিলে, ডাক্তার তোমাকে বেশি করে ঘুমোতে বলেছে,যাও,তুমি ঘুমাও?
","5","5","5"
"আর তুমি এই সিগারেট খাওয়া বন্ধ কর।
","5","5","5"
" আমার অসহ্য লাগে ।
","5","5","5"
" আচ্ছা মা আচ্ছা তোর যখন অসহ্য লাগে আমি আর কোনো দিন সিগারেট খাবো না।
","5","5","5"
" কারণ তুই যে আমার রাজ কন্যা।
","5","5","5"
" প্রমিস করলে তাহলে?
","5","5","5"
" নে প্রমিস করলাম?
","5","5","5"
" থ্যাংক ইউ পাপা।
","5","5","5"
" আমি এই পড়ছিলাম বাবা।
","5","5","5"
" পড়তে পড়তে হঠাৎ জানালার বাইরে চাঁদ দেখতে পেলাম।
","5","5","5"
" বাবা দেখো আজকের চাঁদ টা কেমন উজ্জ্বল,সুন্দর,সুশ্রী ও স্নিগ্ধ দেখাচ্ছে।
","5","5","5"
"   তাই আমি হারিয়ে গেছিলাম ওই চাঁদের দেশে।
","5","5","5"
" বাবা! মা-ও এমন সুন্দর দেখতে ছিলো তাই না?
","5","5","5"
" অশোক বাবুর চোখের কোনে জল চলে আসে?
","5","5","5"
" নিজেকে খানিক সামলে নিয়ে বলে হাঁ মা তোর মা এই চাঁদের মতো সুন্দরী ছিলো।
","5","5","5"
" সুশ্রী,স্নিগ্ধ ও রূপবতী নারী ছিল।
","5","5","5"
" ভাবিস না মা মায়ের কথা, যত ভাববি তত বেশি দুঃখ পাবি মনে।
","5","5","5"
" তোর ও আমার কপাল খারাপ।
","5","5","5"
" তাই তুই তোর মায়ের স্নেহ পেলি না আর আমি আমার মনের মানুষ কে ধরে রাখতে পারলাম না মা।
","5","5","5"
" ঠিক আছে বাবা তুমি ঘুমোতে যাও।
","5","5","5"
" আমিও এবার ঘুমাবো।
","5","5","5"
"সেদিন হয়তো স্বপ্নে ঈশিতা তার মায়ের কথা মনে মনে স্নিগ্ধ সরল চাঁদের সাথে তুলনা করতে করতে ঘুমিয়ে পড়েছিলো।
","5","5","5"
" পরের দিন সকালে ঘুম থেকে উঠে ঈশিতা তার পড়াশুনা কমপ্লিট করে স্কুলে যায়।
","5","5","5"
" স্কুলে তার অনেক বন্ধু ও বান্ধবী আছে।
","5","5","5"
" স্কুলে ঈশিতার খুব নাম ডাক আছে।
","5","5","5"
" ভালো ছাত্রী,পড়াশুনায় ভালো।
","5","5","5"
"খুব বুদ্ধিমতী মেয়ে।
","5","5","5"
" ঈশিতার ভালো বন্ধু 'অনিক'।
","5","5","5"
" দুজনে ভালো পড়াশুনা করে।
","5","5","5"
" সে ওর নোট বুক নিয়ে পড়ে তো ঈশিতা অনিকের নোটস নিয়ে পড়ে।
","5","5","5"
" স্কুল লাইফ এ যা হয়।
","5","5","5"
" অনিক ঈশিতার প্রেমে পড়ে যায়।
","5","5","5"
" প্রথম ক্লাস শেষের পর অনিক অনেক চিন্তা করে ঈশিতা কে বললো আজ ছুটির পর তোকে ভালো কথা বলবো,আমার সাথে দেখা করিস।
","5","5","5"
" ঠিক আছে বলে ঈশিতা নিজের বেঞ্চে বসে অন্যদের সাথে গল্প করছে।
","5","5","5"
" অনিক খুব বড়লোকের ছেলে।
","5","5","5"
" বাবার ব্যবসা আছে,গাড়ি ও বাড়ি সবই আছে।
","5","5","5"
" স্কুল ছুটির পর অনিক ঈশিতার সাথে হাঁটতে হাঁটতে আসছে।
","5","5","5"
" ঈশিতা বলে বল অনিক কি বলতে চাইছিস?
","5","5","5"
" হাঁ মানে কি বলবো বলতো?
","5","5","5"
" আমি না তোকে ভালোবাসি?
","5","5","5"
" ঈশিতা বলে এটা আবার কি ভালো কথা হলো?
","5","5","5"
" ঠিক আছে?
","5","5","5"
"বন্ধু বন্ধুকে ভালোবাসতেই পারে।
","5","5","5"
" নো প্রবলেম।
","5","5","5"
" না মানে আমি তোর প্রেমে পড়েছি।
","5","5","5"
" আই লাভ ইউ।
","5","5","5"
" খানিক হতবাক হয়ে ঈশিতা বলে অনিক এটা হতে পারে না।
","5","5","5"
" আমি তোকে বন্ধু ছাড়া অন্য কিছু ভাবি না।
","5","5","5"
" তা ছাড়া আমি আমার বাবার বাধ্য সন্তান।
","5","5","5"
" তার মনে আমি আঘাত দিতে পারবো না।
","5","5","5"
" আমার বাবা আমাকে মা ও বাবার দুজনের স্নেহ দিয়ে বড় করেছে।
","5","5","5"
" আমি বাবার রাজ কন্যা সমান।
","5","5","5"
" তা ছাড়া আমি এই প্রেম বিষয়টা এখনই ভাবছি না।
","5","5","5"
" ঈশিতা আসছি বলে বাড়ির পথে রওনা দেয়।
","5","5","5"
" ঠিক আছে আমার প্রস্তাব রইলো ভেবে দেখিস।
","5","5","5"
" কদিন পর জানাস ফাইনাল ডিসিশন।
","5","5","5"
" বলে অনিক বাড়ি চলে গেল।
","5","5","5"
" সত্যি কেরিয়ার যখন তৈরি হয় মানুষের তখন অনেক বাধা আসে,আর যে সেই বাধা অতিক্রান্ত করতে পারে বাকি জীবন ভালো যায় আর যে বিফল হয় তার কপালে খুব দুঃখ থাকে,কদিন মনটা এলোমেলো হতে পড়াশুনা তেমন হচ্ছিল না,যেই দেখে পড়ায় আর মন বসছে না,অমনি একদিন অনিক কে ডেকে বলে দেয় সে এই প্রেম করতে রাজি নয়।
","5","5","5"
" সরি অনিক।
","5","5","5"
" অনিক খানিক উত্তেজিত হয়ে পড়ে।
","5","5","5"
" ঠিক আছে ভালো বাসতে হবে না।
","5","5","5"
" দেখবো কে তোকে বিয়ে করে।
","5","5","5"
" তোদের ফ্যামিলির যা বদনাম করে দিয়েছে তোর মা, আমার মনে হয় না কোনো ভালো ছেলে বিয়ে করবে।
","5","5","5"
" ঈশিতা উত্তেজিত হয়ে পড়ে।
","5","5","5"
" বলে অনিক আমার মায়ের নামে উল্টো পাল্টা বলবি না।
","5","5","5"
" আমার মা ভালো।
","5","5","5"
" তাছাড়া সে বেঁচে থাকলে তোকে মেরেই ফেলতো।
","5","5","5"
" অনিক হাঁসতে হাসতে বলে, তোর মা বেঁচে আছে।
","5","5","5"
" এই জগতেই আছে ।
","5","5","5"
" মানে?
","5","5","5"
" কি বলতে চাইছিস অনিক?
","5","5","5"
" হম।
","5","5","5"
" আমি ঠিক বলছি।
","5","5","5"
" তোর মা অন্য লোকের সাথে পালিয়ে গেছে।
","5","5","5"
" তুই তখন ছোটো ছিলি।
","5","5","5"
" আমি আমার দাদুর থেকে শুনেছি।
","5","5","5"
" দাদুকে তোর কথা বলছিলাম।
","5","5","5"
" আর দাদু তোদের হিস্ট্রি আমাকে বলেছে।
","5","5","5"
" আমাকে দাদু এও বলেছে তোর সাথে যেন না মিসি মানে তোকে ভালো না বাসি।
","5","5","5"
" তাও আমি তোকে ভালোবেসেছিলাম কিন্তু তুই না বলে দিলি।
","5","5","5"
" যাহ ভালো থাকিস।
","5","5","5"
